F2 L' F B U F
F2 L' B F U F
U' F2 L' F B U
U' F2 L' B F U
U' F2 B L' F U
F2 B L' F U F
U' B F2 L' F U
B F2 L' F U F
F2 U2 B L' F U F
U' F B L' F L' U
F' D B U F L' B'
R2 F' R' U' D F L'
R2 F' R' D U' F L'
R2 F' D R' U' F L'
R2 F' D2 R' B U' F
B' D' R2 B' D L B'
U' F2 L' D F B U
U' F2 L' D B F U
U' F2 L' D' F B U
U' F2 L' D' B F U
U' F2 L' D2 F B U
U' F2 L' D2 B F U
U' F2 L' F D B U
U' F2 L' F D' B U
U' F2 L' F D2 B U
U' F2 L' F B U D
U' F2 L' F B U D'
U' F2 L' F B U D2
U' F2 L' F B D U
U' F2 L' F B D' U
U' F2 L' F B D2 U
U' F2 L' B D F U
U' F2 L' B D' F U
U' F2 L' B D2 F U
U' F2 L' B F U D
U' F2 L' B F U D'
U' F2 L' B F U D2
U' F2 L' B F D U
U' F2 L' B F D' U
U' F2 L' B F D2 U
L' F2 L' F' B U F'
L' F2 L' B F' U F'
U2 F2 U L' F B U
U2 F2 U L' B F U
U2 F2 U B L' F U
U F2 U2 L' F B U
U F2 U2 L' B F U
U F2 U2 B L' F U
U' F2 B L' D F U
U' F2 B L' D' F U
U' F2 B L' D2 F U
U' F2 B L' F U D
U' F2 B L' F U D'
U' F2 B L' F U D2
U' F2 B L' F D U
U' F2 B L' F D' U
U' F2 B L' F D2 U
L' F2 B L' F' U F'
U' F2 B' L' F B2 U
U' F2 B' L' B2 F U
U' B L U2 R B' U'
U' B L U2 B' R U'
U' B L' F2 L' F' U
U' B L2 U2 R B U'
L B U B2 R U' R'
F2 B L' R F U F
F2 B L' R' F U F
F2 B L' R2 F U F
F2 B L' D R2 F U
F2 B L' D F R2 U
F2 B L' F R U F
F2 B L' F R' U F
F2 B L' F R2 U F
F2 B L' F U D F
F2 B L' F U D' F
F2 B L' F U D2 F
F2 B L' F U F D
F2 B L' F U F D'
F2 B L' F U F D2
F2 B L' F D U F
F2 B L' F D' U F
F2 B L' F D2 U F
B F L' F L' U F2
F B L' F L' U F2
F2 B R L' F U F
U' B F L' F L' U
F2 B R' L' F U F
F2 B R2 L' F U F
U' B F2 L' D F U
U' B F2 L' D' F U
U' B F2 L' D2 F U
U' B F2 L' F U D
U' B F2 L' F U D'
U' B F2 L' F U D2
U' B F2 L' F D U
U' B F2 L' F D' U
U' B F2 L' F D2 U
L B D2 F2 L' U F2
L' B F2 L' F' U F'
F' B U D F L' B'
F' B D U F L' B'
D' B' R' D L B2 R'
L B' R D2 F2 U' F2
F2 B' L' F B2 U F
F2 B' L' B2 F U F
B F' U D F L' B'
U' B' F2 L' F B2 U
U' B' F2 L' B2 F U
L B' D2 R F2 U' F2
B F' D U F L' B'
B' F2 L' F B2 U F
B' F2 L' B2 F U F
B F2 L' R F U F
B F2 L' R' F U F
B F2 L' R2 F U F
B F2 L' D R2 F U
B F2 L' D F R2 U
B F2 L' F R U F
B F2 L' F R' U F
B F2 L' F R2 U F
B F2 L' F U D F
B F2 L' F U D' F
B F2 L' F U D2 F
B F2 L' F U F D
B F2 L' F U F D'
B F2 L' F U F D2
B F2 L' F D U F
B F2 L' F D' U F
B F2 L' F D2 U F
B F2 R L' F U F
B F2 R' L' F U F
B F2 R2 L' F U F
