L2 R U R B' U'
L2 R U B' R U'
R L2 U R B' U'
R L2 U B' R U'
R U R U2 F U
D2 R U' F L2 U
D R U' F U B2
L2 U B' R2 U' R'
D R B2 U' F U
R U' F2 L' F' U
U R2 U2 F U R'
F2 R2 B U' F2 R
F U F' D R B2
F U F' D B2 R
D2 F L2 U F' R
D F U F' R B2
D F U F' B2 R
D F U B2 F' R
F' D' F L2 R B'
F' D' F L2 B' R
F' D' F R L2 B'
L2 B D L2 R B2
L2 B D L2 B2 R
L2 B D R L2 B2
L2 B D R B2 L2
L2 B D B2 L2 R
L2 B D B2 R L2
D B2 R U' F U
R L2 B U B2 R U'
U' L2 U2 B' R2 U' R'
R L2 B2 U B R U'
R U L2 R B' L2 U'
R U L2 B' L2 R U'
R U L2 B' R L2 U'
R U R L2 B' L2 U'
R U R U2 D F U
R U R U2 D' F U
R U R U2 D2 F U
R U R U2 F U D
R U R U2 F U D'
R U R U2 F U D2
R U R U2 F D U
R U R U2 F D' U
R U R U2 F D2 U
R U R D U2 F U
R U R D' U2 F U
L2 U R B' R U' R'
R' U R' U2 F U R'
R U R D2 U2 F U
R U R B U2 F U
R U R B' U2 F U
R U R B2 U2 F U
B' L2 B D L2 R B2
B' L2 B D L2 B2 R
B' L2 B D R L2 B2
B' L2 B D R B2 L2
B' L2 B D B2 L2 R
B' L2 B D B2 R L2
B2 L2 B D L2 R B2
B2 L2 B D L2 B2 R
B2 L2 B D R L2 B2
B2 L2 B D R B2 L2
B2 L2 B D B2 L2 R
B2 L2 B D B2 R L2
D L2 B D L2 B R
B L2 B D L2 R B2
B L2 B D L2 B2 R
B L2 B D R L2 B2
B L2 B D R B2 L2
D L2 B D B L2 R
D L2 B D B R L2
B L2 B D B2 L2 R
B L2 B D B2 R L2
U2 L2 B' R2 U' F' R'
U L2 B' L2 R2 U' R'
U L2 B' R2 L2 U' R'
R U D R U2 F U
L2 U D B' U' R B'
L2 U D B' U' B' R
D L2 B2 U B U' R
R U D' R U2 F U
R U D2 R U2 F U
D R L B' D' B' L
D2 R L2 U B' U' B
B' R L2 U R B' U'
B' R L2 U B' R U'
B2 R L2 U R B' U'
B2 R L2 U B' R U'
B R L2 U R B' U'
D R L2 U B' U' B'
B R L2 U B' R U'
B' R U R U2 F U
D R L2 B D L2 B
D R L2 B D B L2
D R L2 B2 U B U'
B2 R U R U2 F U
B R U R U2 F U
D2 R U' L2 U2 B' U'
D2 R U' D' F U B2
D' R U' D' F L2 U
D2 R U' F L2 U D
D2 R U' F L2 U D'
D2 R U' F L2 U D2
D2 R U' F L2 D U
D2 R U' F L2 D' U
D2 R U' F L2 D2 U
D2 R U' F U D' B2
D' R U' D2 F U B2
D2 R U' F D' U B2
D' R U' F L2 U B'
D2 R U' F' L2 F2 U
D' R U' F U' F U2
D2 R U' F2 L2 F' U
B' R U' F2 L' F' U
D R U' D F L2 U
L' U B R2 U' L R'
L' U B R2 U' R' L
B2 R U' F2 L' F' U
D R U' F L U B2
D R U' F L' U B2
D R U' F L2 U B2
D R U' F U B2 D
D R U' F U B2 D'
D R U' F U B2 D2
D R U' F D L2 U
B R U' F2 L' F' U
R U B R U2 F U
D' R U2 F2 U F' U
L2 U B' R2 U' R' D
L2 U B' R2 U' R' D'
L2 U B' R2 U' R' D2
L2 U B' R2 U' D R'
L2 U B' R2 U' D' R'
L2 U B' R2 U' D2 R'
L2 U B' R2 D U' R'
L2 U B' R2 D' U' R'
L2 U B' R2 D2 U' R'
L2 U B' R2 F U' R'
L2 U B' R2 F' U' R'
L2 U B' R2 F2 U' R'
L2 U B' U' D R B2
L2 U B' U' D B2 R
L2 U B' D U' R B2
L2 U B' D U' B2 R
R U B' R U2 F U
D R D U' F L2 U
D2 R D' U' F U B2
D' R D' U' F L2 U
R U B2 R U2 F U
D2 R D' B2 U' F U
D' R D2 U' F U B2
D' R D2 B2 U' F U
R U' L F2 L' F U
R U' L' U2 R B U'
D2 R F' D' F L2 B2
R U' L2 U2 R B' U'
D2 R F' D' F B2 L2
D2 R F' D' B2 F L2
R U' L2 U2 B' R U'
F' R F2 L' U F' R
D R F' B2 D' F L2
R2 U' R' U' R F U
D2 R B U' F L2 U
D R B L2 B D L2
D R B U' F U B
D2 R B' U' F L2 U
R' U' D F B2 L U
D R B' U' F U B'
R' U' D B2 F L U
D2 R B2 U' F L2 U
D R B2 L2 U B' U'
R U' D F2 L' F' U
D R B2 U' D F U
D R B2 U' D' F U
D R B2 U' D2 F U
D R B2 U' F U D
D R B2 U' F U D'
D R B2 U' F U D2
D R B2 U' F D U
D R B2 U' F D' U
D R B2 U' F D2 U
D R B2 D U' F U
D R B2 D' U' F U
D R B2 D2 U' F U
D R B2 F' D' F L2
R U' D' F2 L' F' U
R' U' F U2 R' U' R'
R' U' F D B2 L U
R U' D2 F2 L' F' U
R' U' F B2 L U R2
R2 U' F B' U B R'
R2 U' F B2 U B2 R'
R U' F D' L U B'
R U' F2 L F' L2 U
R U' F2 L' D F' U
R U' F2 L' D' F' U
R U' F2 L' D2 F' U
R U' F2 L' F' U D
R U' F2 L' F' U D'
R U' F2 L' F' U D2
R U' F2 L' F' D U
R U' F2 L' F' D' U
R U' F2 L' F' D2 U
D2 R' U' F L2 U R2
R U' F2 L2 F' L U
R U' F2 D L' F' U
R U' F2 D' L' F' U
D R' U' F U R2 B2
D R' U' F U B2 R2
R U' F2 D2 L' F' U
R2 U' B' F U B R'
R' U' B2 F L U R2
R2 U' B2 F U B2 R'
D2 R' F L2 U F' R2
D R' F U F' R2 B2
D R' F U F' B2 R2
D R' F U B2 F' R2
D R' B2 R2 U' F U
D R' B2 U' F U R2
D2 R2 U' F L2 U R'
R U2 F2 U L' F' U
D R2 U' F U R' B2
U R2 U' R' U' F U
U' R2 U2 F R2 U R
U2 R2 U2 F U F' R'
L2 U2 B' R2 U' F' R'
U R2 U2 D F U R'
U R2 U2 D' F U R'
U R2 U2 D2 F U R'
U R2 U2 F U R' D
U R2 U2 F U R' D'
U R2 U2 F U R' D2
U R2 U2 F U D R'
U R2 U2 F U D' R'
U R2 U2 F U D2 R'
U R2 U2 F D U R'
U R2 U2 F D' U R'
U R2 U2 F D2 U R'
U R2 D U2 F U R'
U R2 D' U2 F U R'
D2 R2 F L2 U F' R'
U R2 D2 U2 F U R'
D R2 F U F' R' B2
R D L2 U R B' U'
R D L2 U B' R U'
F2 R2 F' B U' F' R
L2 D R U B' U' B'
U R2 F' U' R' D' L2
U R2 F' U' D' L2 R'
U R2 F' U' D' R' L2
U R2 F' U2 F2 U R'
L2 D R B D L2 B
L2 D R B D B L2
U R2 F' D' U' L2 R'
U R2 F' D' U' R' L2
L2 D R B2 U B U'
L D R F L' F' B2
L D R F L' B2 F'
L D R F B2 L' F'
L D R B' D2 B' L
L D R B2 F L' F'
F2 R2 B U L' U2 F2
U R2 F2 U2 F' U R'
F2 R2 B U' R F2 R
F2 R2 B U' R' F2 R
F2 R2 B U' R2 F2 R
F2 R2 B U' F2 R D
F2 R2 B U' F2 R D'
F2 R2 B U' F2 R D2
F2 R2 B U' F2 D R
F2 R2 B U' F2 D' R
F2 R2 B U' F2 D2 R
F2 R2 B F' U' F' R
U R2 B U2 F U R
R' D U' F B2 L U
L2 D U B' U' R B'
L2 D U B' U' B' R
R' D U' B2 F L U
R D U R U2 F U
R D U' F2 L' F' U
R' D F B2 L U F'
L D F L' F' R B2
L D F L' F' B2 R
L D F L' B2 F' R
L D F B2 L' F' R
L2 D B D L2 B R
L2 D B D B L2 R
L2 D B D B R L2
B' U R2 U2 F U R'
B2 U R2 U2 F U R'
F2 U R2 B U' F2 R
B U R2 U2 F U R'
R' D B2 F L U F'
L D B' R D2 B' L
L2 D B2 U B U' R
L D B' D2 R B' L
L D B' D2 B' L R
L D B' D2 B' R L
L D B2 R F L' F'
F U D B2 D' F' R
L D B2 F L' F' R
R D' L2 U R B' U'
R D' L2 U B' R U'
F U F' R U R U'
F U F' U R2 U' R'
F U F' D R B2 D
F U F' D R B2 D'
F U F' D R B2 D2
F U F' D R' B2 R2
F U F' D B' R B'
F U F' D B2 R D
F U F' D B2 R D'
F U F' D B2 R D2
F U F' D B2 D R
F U F' D B2 D' R
F U F' D B2 D2 R
F U F' D' R D2 B2
F U F' D2 R D' B2
F U F' B D R B2
F U F' B D B2 R
F U F' B' D R B2
F U F' B' D B2 R
F U F' B2 D R B2
F U F' B2 D B2 R
L D' R B D2 B2 L
L D' R B' L D2 B2
L D' R B' D2 L B2
F U F2 D F R B2
F U F2 D F B2 R
F U F2 D B2 F R
F U B F' D R B2
F U B F' D B2 R
D2 U' L2 U2 B' U' R
R D' U R U2 F U
F U B' F' D R B2
F U B' F' D B2 R
F U B2 F' D R B2
F U B2 F' D B2 R
R D' U' F2 L' F' U
D' U' F U' F L' U2
U' D' F U' F L' U2
L D' B R D2 L2 B2
L D' B R D2 B2 L2
U2 D' F2 L' U F' U
F2 U' R2 B U' F2 R
L D' B D2 B2 L R
L D' B D2 B2 R L
L D' B' L R D2 B2
L D' B' L D2 R B2
L D' B' L D2 B2 R
L D' B' R L D2 B2
L D' B' R D2 L B2
L D' B' D2 L R B2
L D' B' D2 L B2 R
L D' B' D2 R L B2
L2 D2 L2 F U F' R
L2 D2 R U' L2 F U
R D2 L2 U R B' U'
R D2 L2 U B' R U'
U' D2 L2 U2 B' U' R
F U' F' D R B2 L
L D2 R U' L2 F' U
L D2 R U' F' L2 U
R D2 U R U2 F U
R D2 U' F2 L' F' U
D' U2 F2 L' U F' U
F2 U2 R2 B U' F2 R
F U2 R2 U' R2 F' R
F' U2 D' F L2 B' R'
D F L U F' R B2
D F L U F' B2 R
D F L U B2 F' R
D' F L2 U F' R B'
D' F L2 U F' B' R
D' F L2 U B' F' R
D2 F L2 U F' R D
D2 F L2 U F' R D'
D2 F L2 U F' R D2
D2 F L2 U F' D R
D2 F L2 U F' D' R
D2 F L2 U F' D2 R
D F L' U F' R B2
D F L' U F' B2 R
D F L' U B2 F' R
D2 F L2 B U F' R
D2 F L2 B' U F' R
D2 F L2 B2 U F' R
D F L2 U F' R B2
D F L2 U F' B2 R
F U2 F R2 U' F2 R
D F L2 U B2 F' R
D' F U F' R D2 B2
D' F U F' D2 R B2
D' F U F' D2 B2 R
D2 F U F' R D' B2
D2 F U F' D' R B2
D2 F U F' D' B2 R
D' F U' F L' U2 F2
D' F U' F U2 F2 R
D F U F' R B2 D
D F U F' R B2 D'
D F U F' R B2 D2
D F U F' R' B2 R2
D F U F' B' R B'
D F U F' B2 R D
D F U F' B2 R D'
D F U F' B2 R D2
D F U F' B2 D R
D F U F' B2 D' R
D F U F' B2 D2 R
U' F U2 R2 F' U' R
D F U B' F' R B'
D F U B2 F' R D
D F U B2 F' R D'
D F U B2 F' R D2
D F U B2 F' D R
D F U B2 F' D' R
D F U B2 F' D2 R
U' F U2 F' R2 U' R'
R2 F U' F R' F2 L'
D F U' F' R B2 L
R' F D B2 L U F'
B' D R U' F U B2
U' F D2 L2 B U R'
B2 D R U' F U B2
B' D R B2 U' F U
U' F D2 B L2 U R'
B2 D R B2 U' F U
B D R U' F U B2
D2 F B L2 U F' R
F' D R' F B2 L R
F' D R' F B2 R L
F' D R' B2 F L R
F' D R' B2 F R L
B D R B2 U' F U
D2 F B' L2 U F' R
F' D R2 F R B2 L
R' F B2 L U F' R2
D F B U F' B R
D2 F B2 L2 U F' R
D F B U B F' R
D F B' U F' R B'
D F B' U F' B' R
D F B' U B' F' R
F D U B2 D' F' R
B' D F U F' R B2
B' D F U F' B2 R
B' D F U B2 F' R
F' D F R' B2 L R2
F' D F R' B2 R2 L
B2 D F U F' R B2
B2 D F U F' B2 R
B2 D F U B2 F' R
F' D F B2 D2 L2 R
F' D F B2 D2 R L2
B D F U F' R B2
B D F U F' B2 R
B D F U B2 F' R
B' D B2 R U' F U
B2 D B2 R U' F U
F' D B2 D2 F L2 R
F' D B2 D2 F R L2
F' D B2 F D2 L2 R
F' D B2 F D2 R L2
B D B2 R U' F U
R2 F' U' R' D' F L2
R2 F' U' D' R' F L2
R2 F' U' D' F L2 R'
R2 F' U' D' F R' L2
R2 F' U2 F2 U F' R'
D2 F' D' F L2 R B2
D2 F' D' F L2 B2 R
D2 F' D' F R L2 B2
D2 F' D' F R B2 L2
D2 F' D' F B2 L2 R
D2 F' D' F B2 R L2
D2 F' D' B2 F L2 R
D2 F' D' B2 F R L2
F' D' R F L2 R B'
F' D' R F L2 B' R
F' D' R F R L2 B'
L F' D F L' R B2
L F' D F L' B2 R
L F' D F R L' B2
L F' D F R B2 L'
L F' D F B2 L' R
L F' D F B2 R L'
R2 F' D' U' R' F L2
R2 F' D' U' F L2 R'
R2 F' D' U' F R' L2
L F' D B2 F L' R
L F' D B2 F R L'
F' D' R' F L2 R B'
F' D' R' F L2 B' R
F' D' R' F R L2 B'
F' D' R2 F L2 R B'
F' D' R2 F L2 B' R
F' D' R2 F R L2 B'
D' F2 L' U F' U F'
D F' B2 D' F L2 R
D F' B2 D' F R L2
F' D' U2 F L2 B' R'
F' D' F L2 R D B'
F' D' F L2 R D' B'
F' D' F L2 R D2 B'
F' D' F L2 R B' D
F' D' F L2 R B' D'
F' D' F L2 R B' D2
F' D' F L2 R' B' R2
F' D' F L2 D R B'
F' D' F L2 D B' R
F' D' F L2 D' R B'
F' D' F L2 D' B' R
F' D' F L2 D2 R B'
F' D' F L2 D2 B' R
F' D' F L2 B R B2
F' D' F L2 B' R D
F' D' F L2 B' R D'
F' D' F L2 B' R D2
F' D' F L2 B' D R
F' D' F L2 B' D' R
F' D' F L2 B' D2 R
F' D' F R L2 D B'
F' D' F R L2 D' B'
F' D' F R L2 D2 B'
F' D' F R L2 B' D
F' D' F R L2 B' D'
F' D' F R L2 B' D2
F' D' F R B L2 B'
F' D' F R B' L2 B'
F' D' F R B2 L2 B'
F' D' F R' L2 B' R2
U2 F2 L' U' R2 B U'
F' D' F B L2 R B'
F' D' F B L2 B' R
F' D' F B R L2 B'
F' D' F B' L2 R B'
F' D' F B' L2 B' R
F' D' F B' R L2 B'
F' D' F B2 L2 R B'
F' D' F B2 L2 B' R
F' D' F B2 R L2 B'
F' D' F2 U2 L2 F' R
F' D' F2 U2 F' L2 R
F' D' F2 U2 F' R L2
F' D' B F L2 R B'
F' D' B F L2 B' R
F' D' B F R L2 B'
F' D' B' F L2 R B'
F' D' B' F L2 B' R
F' D' B' F R L2 B'
L2 F2 R2 B' U' F2 R
D' F2 U F' U F' R
F' D' B2 F L2 R B'
F' D' B2 F L2 B' R
F' D' B2 F R L2 B'
U F2 R2 F2 B U' R
U F2 R2 B U L' U2
U F2 R2 B F2 U' R
R F2 U' L' F' U F'
R2 F2 U2 F' U F' R'
B' D2 R U' F L2 U
B2 D2 R U' F L2 U
F D2 L2 U D2 F' R
F D2 L2 D2 U F' R
B D2 R U' F L2 U
F D2 L2 B U F' R'
L2 F2 B' R2 U' F2 R
L2 B L D L2 R B2
L2 B L D L2 B2 R
L2 B L D R L2 B2
L2 B L D R B2 L2
L2 B L D B2 L2 R
L2 B L D B2 R L2
B' D2 F L2 U F' R
B2 D2 F L2 U F' R
L2 B L' D L2 R B2
L2 B L' D L2 B2 R
L2 B L' D R L2 B2
L2 B L' D R B2 L2
L2 B L' D B2 L2 R
L2 B L' D B2 R L2
B D2 F L2 U F' R
L2 B L2 D L2 R B2
L2 B L2 D L2 B2 R
L2 B L2 D R L2 B2
L2 B L2 D R B2 L2
D2 B R U' F L2 U
L2 B L2 D B2 L2 R
L2 B L2 D B2 R L2
L2 B R U R B2 U'
L2 B R U B2 R U'
D B L2 B R D L2
D B L2 B D L2 R
D B L2 B D R L2
R B L2 U R B' U'
R B L2 U B' R U'
F D2 B L2 U F' R'
U B R2 U2 F U R'
L2 B U B2 R2 U' R'
R B U R U2 F U
L2 B D L' R B2 L'
L2 B D L' B2 L' R
L2 B D L' B2 R L'
L2 B D L2 R B2 D
L2 B D L2 R B2 D'
L2 B D L2 R B2 D2
L2 B D L2 R' B2 R2
L2 B D L2 B' R B'
L2 B D L2 B2 R D
L2 B D L2 B2 R D'
L2 B D L2 B2 R D2
L2 B D L2 B2 D R
L2 B D L2 B2 D' R
L2 B D L2 B2 D2 R
L2 B D R L' B2 L'
L2 B D R L2 B2 D
L2 B D R L2 B2 D'
L2 B D R L2 B2 D2
L2 B D R B L2 B
L2 B D R B2 L2 D
L2 B D R B2 L2 D'
L2 B D R B2 L2 D2
L2 B D R' L2 B2 R2
L2 B D R' B2 L2 R2
L2 B D R' B2 R2 L2
R B U' F2 L' F' U
L2 B D B L2 B R
L2 B D B' R B' L2
L2 B D B2 L2 R D
L2 B D B2 L2 R D'
L2 B D B2 L2 R D2
L2 B D B2 L2 D R
L2 B D B2 L2 D' R
L2 B D B2 L2 D2 R
L2 B D B2 R L2 D
L2 B D B2 R L2 D'
L2 B D B2 R L2 D2
L2 B D2 R D' L2 B2
L2 B D2 R D' B2 L2
D2 B F L2 U F' R
F2 B R2 B U' F2 R
D B F U F' B R
D B F U B F' R
B' F U F' D R B2
B' F U F' D B2 R
B2 F U F' D R B2
B2 F U F' D B2 R
B F U F' D R B2
B F U F' D B2 R
F B U F' D R B2
F B U F' D B2 R
D2 B' R U' F L2 U
F' B D' F L2 R B'
F' B D' F L2 B' R
F' B D' F R L2 B'
D B' R U' F U B'
R B' L2 U R B' U'
R B' L2 U B' R U'
D B' R B' U' F U
L2 B' R2 F U' F' R'
L2 B' R2 F' U' R' F
L2 B' R2 F' U' F R'
L2 B' R2 F2 U' R' F2
L2 B' R2 F2 U' F2 R'
U B' R2 U2 F U R'
R B' U R U2 F U
L2 B' D R B2 D L2
R B' U' F2 L' F' U
L2 B' D B2 R D L2
L2 B' D B2 D L2 R
L2 B' D B2 D R L2
F2 B' R2 B U' F2 R
D2 B' F L2 U F' R
F B' U F' D R B2
F B' U F' D B2 R
D B' F U F' R B'
D B' F U F' B' R
D B' F U B' F' R
L2 B' F2 R2 U' F2 R
B' F' D' F L2 R B'
B' F' D' F L2 B' R
B' F' D' F R L2 B'
F' B' D' F L2 R B'
F' B' D' F L2 B' R
F' B' D' F R L2 B'
B2 F' D' F L2 R B'
B2 F' D' F L2 B' R
B2 F' D' F R L2 B'
B F' D' F L2 R B'
B F' D' F L2 B' R
B F' D' F R L2 B'
D2 B2 R U' F L2 U
D B2 L2 R U B' U'
D B2 L2 U B' U' R
D B2 R L2 U B' U'
D B2 R U' D F U
D B2 R U' D' F U
D B2 R U' D2 F U
D B2 R U' F U D
D B2 R U' F U D'
D B2 R U' F U D2
D B2 R U' F D U
D B2 R U' F D' U
D B2 R U' F D2 U
R B2 L2 U R B' U'
D B2 R D U' F U
R B2 L2 U B' R U'
D B2 R D' U' F U
D B2 R D2 U' F U
R' B2 R2 U' F L U
D B2 R F' D' F L2
D B2 R' U' F U R2
D B2 R2 U' F U R'
R' B2 U' F L U R2
L2 B2 U B R2 U' R'
U B2 R2 U2 F U R'
B' F2 R2 B U' F2 R
B2 F2 R2 B U' F2 R
F2 B2 R2 B U' F2 R
R B2 U R U2 F U
B F2 R2 B U' F2 R
R B2 U' F2 L' F' U
D B2 D R U' F U
F B2 U F' D R B2
F B2 U F' D B2 R
D B2 D' R U' F U
R' B2 F L U F' R2
D2 B2 F L2 U F' R
D B2 D2 R U' F U
F' B2 D' F L2 R B'
F' B2 D' F L2 B' R
F' B2 D' F R L2 B'
D B2 F' D' F L2 R
D B2 F' D' F R L2
