U' L2 F U' F' B
U' L2 F U' B F'
L2 U' F L2 U' B
U2 B R2 D' R2 F2
U2 B R2 D' F2 R2
U2 B D' R2 D' F2
U2 B' L U L' B2
U2 B' L U B2 L'
U2 B' L' U L B2
U2 B' L2 U L2 B2
U2 B' L2 U B2 L2
U2 B' U B2 D L2
U B' R2 U F' B2
U B' R2 U B2 F'
U2 B' D L2 U L2
U B' U' B U2 B
U2 B' D L2 D F2 U
U2 B' D L2 F U L2
U2 B' D L2 F' U L2
U2 B' D L2 F2 U L2
U B' U' B U2 D B
U B' U' B U2 D' B
U B' U' B U2 D2 B
U B' U' B U2 B D
U B' U' B U2 B D'
U B' U' B U2 B D2
U B' U' B D U2 B
U B' U' B D' U2 B
U B' U' B D2 U2 B
U B' U' B F U2 B
U B' U' B F' U2 B
U B' U' B F2 U2 B
U2 B' D F L2 U L2
U2 B' D F' L2 U L2
U2 B' D F2 L2 U L2
U B' U2 R2 U' F' B2
U B' U2 R2 U' B2 F'
U B' U2 D' R2 U' F'
U B' D L2 R2 U F'
U B' D L2 U' B U2
U B' D R2 L2 U F'
U B' D' U2 R2 U' F'
U2 B' F L U L' B2
U2 B' F L U B2 L'
U2 B' F L' U L B2
U2 B' F L2 U L2 B2
U2 B' F L2 U B2 L2
U2 B' F U B2 D L2
U2 B' F D L2 U L2
U2 B' F' L U L' B2
U2 B' F' L U B2 L'
U2 B' F' L' U L B2
U B' D2 U' F2 B U2
U B' D2 U' B F2 U2
U2 B' F' L2 U L2 B2
U2 B' F' L2 U B2 L2
U2 B' F' U B2 D L2
U2 B' F' D L2 U L2
U2 B' F2 L U L' B2
U2 B' F2 L U B2 L'
U2 B' F2 L' U L B2
U2 B' F2 L2 U L2 B2
U2 B' F2 L2 U B2 L2
U2 B' F2 U B2 D L2
U2 B' F2 D L2 U L2
U2 B2 L2 B U L2 B'
U' B2 D B' L2 D' R2
U' B2 D2 B' D' L2 R2
U' B2 D2 B' D' R2 L2
U B2 D' B R2 U B2
U B2 D2 B U F2 B2
U B2 D2 B U B2 F2
