F U L' U F'
F' U' R U' F
D' L' F L U2 F'
D R F' R' U2 F
R' D R F' U2 F
F2 U L' U F2 B'
F2 U L' U B' F2
F U L' U D F'
F U L' U D' F'
F U L' U D2 F'
F U L' U F' D
F U L' U F' D'
F U L' U F' D2
F U L' D U F'
F U L' D' U F'
F U L' D2 U F'
F U D L' U F'
F U D' L' U F'
F U D2 L' U F'
L D' L' F U2 F'
F' U' R U' D F
F' U' R U' D' F
F' U' R U' D2 F
F' U' R U' F D
F' U' R U' F D'
F' U' R U' F D2
F' U' R D U' F
F' U' R D' U' F
F' U' R D2 U' F
F2 U' R U' F2 B
F2 U' R U' B F2
F' U' D R U' F
F' U' D' R U' F
F' U' D2 R U' F
F' D U' R U' F
F D U L' U F'
F' D' U' R U' F
F D' U L' U F'
F' D2 U' R U' F
F D2 U L' U F'
B' F U L' U F'
B2 F U L' U F'
F' B U' R U' F
B F U L' U F'
F B U L' U F'
F' B' U' R U' F
B' F' U' R U' F
B2 F' U' R U' F
F B' U L' U F'
B F' U' R U' F
F' B2 U' R U' F
F B2 U L' U F'
F D F2 U' R U' F
F' D B' U' R U' F
R2 F' R2 U' R' U' F
R F' R' U' R2 U' F
R F' R' U2 D F B2
R F' R' U2 D B2 F
R F' R' U2 F D B2
R F' R' D U2 F B2
R F' R' D U2 B2 F
R F' R' D' F2 U2 F'
F D B U L' U F'
U2 F' U R U2 R' U
R' F' U' R B U' F
F' D B2 U' R U' F
D F' U R' U F B
D F' U R' U B F
F D B' U L' U F'
D' F' U2 L B' L' F
D' F' U2 F L B' L'
D F' U' R' U' F B
D F' U' R' U' B F
F D B2 U L' U F'
B' D' L' F L U2 F'
B2 D' L' F L U2 F'
D F' U2 R' B R F
D F' U2 F R' B R
B D' L' F L U2 F'
D2 F' B U' R' U' F
F' D' U' R U' D F
F' D' U' R U' D' F
F' D' U' R U' D2 F
F' D' U' R U' F D
F' D' U' R U' F D'
F' D' U' R U' F D2
F' D' U' R D U' F
F' D' U' R D' U' F
F' D' U' R D2 U' F
D' F2 L U2 F2 R B'
D' F2 L U2 F2 B' R
D' F2 L U2 B' F2 R
F2 D' U' L2 R U' B
F2 D' U' R L2 U' B
F D' U L' U D F'
F D' U L' U D' F'
F D' U L' U D2 F'
F D' U L' U F' D
F D' U L' U F' D'
F D' U L' U F' D2
F D' U L' D U F'
F D' U L' D' U F'
F D' U L' D2 U F'
F2 D' F U' L2 R U'
F2 D' F U' R L2 U'
F' D' F2 U L' U F'
F' D' B U' R U' F
D F2 R' U2 F2 L' B
D F2 R' U2 F2 B L'
D F2 R' U2 B F2 L'
F D' F2 U' R U' F
D' F2 U L U F2 B'
D' F2 U L U B' F2
F' D' B' U' R U' F
F D' B U L' U F'
D' F2 U' L U' F2 B'
D' F2 U' L U' B' F2
F' D' B2 U' R U' F
D F2 U R' U F2 B
D F2 U R' U B F2
F D' B' U L' U F'
D' F2 U2 L B' L' F2
D' F2 U2 F2 L B' L'
D F2 U' R' U' F2 B
D F2 U' R' U' B F2
F D' B2 U L' U F'
D F2 U2 R' B R F2
D F2 U2 F2 R' B R
D2 F2 B U' R' U' F2
D2 F2 B' U L U F2
F' D2 U' R U' D F
F' D2 U' R U' D' F
F' D2 U' R U' D2 F
F' D2 U' R U' F D
F' D2 U' R U' F D'
F' D2 U' R U' F D2
F' D2 U' R D U' F
F' D2 U' R D' U' F
F' D2 U' R D2 U' F
F D2 U L' U D F'
F D2 U L' U D' F'
F D2 U L' U D2 F'
F D2 U L' U F' D
F D2 U L' U F' D'
F D2 U L' U F' D2
F D2 U L' D U F'
F D2 U L' D' U F'
F D2 U L' D2 U F'
D' B L' F L U2 F'
F2 D2 F B2 U' R U'
F2 D2 F' B2 U L' U
F' D2 F2 U L' U F'
D B R F' R' U2 F
F' D2 B U' R U' F
F D2 F2 U' R U' F
F' D2 B' U' R U' F
F D2 B U L' U F'
F' D2 B2 U' R U' F
D2 B U' R' U2 R U
F2 D2 B2 U L' U B'
F2 D2 B2 U' R U' B
F D2 B' U L' U F'
F2 D2 B2 F U' R U'
F2 D2 B2 F' U L' U
F D2 B2 U L' U F'
R' B D R F' U2 F
L B D' L' F U2 F'
D2 B F' U' R' U' F
B' F U L' U D F'
B' F U L' U D' F'
B' F U L' U D2 F'
B' F U L' U F' D
B' F U L' U F' D'
B' F U L' U F' D2
B' F U L' D U F'
B' F U L' D' U F'
B' F U L' D2 U F'
B' F U D L' U F'
B' F U D' L' U F'
B' F U D2 L' U F'
B2 F U L' U D F'
B2 F U L' U D' F'
B2 F U L' U D2 F'
B2 F U L' U F' D
B2 F U L' U F' D'
B2 F U L' U F' D2
B2 F U L' D U F'
B2 F U L' D' U F'
B2 F U L' D2 U F'
D2 B F2 U' R' U' F2
F2 B U L' U F2 B'
F2 B U L' U B' F2
B2 F U D L' U F'
B2 F U D' L' U F'
B2 F U D2 L' U F'
F' B U' R U' D F
F' B U' R U' D' F
F' B U' R U' D2 F
F' B U' R U' F D
F' B U' R U' F D'
F' B U' R U' F D2
B F U L' U D F'
B F U L' U D' F'
B F U L' U D2 F'
B F U L' U F' D
B F U L' U F' D'
B F U L' U F' D2
F' B U' R D U' F
F' B U' R D' U' F
F' B U' R D2 U' F
B F U L' D U F'
B F U L' D' U F'
B F U L' D2 U F'
F' B U' D R U' F
F' B U' D' R U' F
F' B U' D2 R U' F
F2 B U' R U' F2 B
F2 B U' R U' B F2
B F U D L' U F'
B F U D' L' U F'
B F U D2 L' U F'
F B U L' U D F'
F B U L' U D' F'
F B U L' U D2 F'
F B U L' U F' D
F B U L' U F' D'
F B U L' U F' D2
F B U L' D U F'
F B U L' D' U F'
F B U L' D2 U F'
F B U D L' U F'
F B U D' L' U F'
F B U D2 L' U F'
D' B' L' F L U2 F'
B' F D U L' U F'
F' B D U' R U' F
B2 F D U L' U F'
B' F D' U L' U F'
F' B D' U' R U' F
B F D U L' U F'
B2 F D' U L' U F'
B' F D2 U L' U F'
F B D U L' U F'
F' B D2 U' R U' F
B F D' U L' U F'
B2 F D2 U L' U F'
D B' R F' R' U2 F
F B D' U L' U F'
B F D2 U L' U F'
D2 B' U L U2 L' U'
F B D2 U L' U F'
R' B' D R F' U2 F
F2 B' U L' U F2 B'
F2 B' U L' U B' F2
B' F' U' R U' D F
B' F' U' R U' D' F
B' F' U' R U' D2 F
B' F' U' R U' F D
B' F' U' R U' F D'
B' F' U' R U' F D2
B' F' U' R D U' F
B' F' U' R D' U' F
B' F' U' R D2 U' F
B' F' U' D R U' F
D2 B' F U L U F'
B' F' U' D' R U' F
L B' D' L' F U2 F'
B' F' U' D2 R U' F
F' B' U' R U' D F
F' B' U' R U' D' F
F' B' U' R U' D2 F
F' B' U' R U' F D
F' B' U' R U' F D'
F' B' U' R U' F D2
F' B' U' R D U' F
F' B' U' R D' U' F
F' B' U' R D2 U' F
F' B' U' D R U' F
B2 F' U' R U' D F
B2 F' U' R U' D' F
B2 F' U' R U' D2 F
B2 F' U' R U' F D
B2 F' U' R U' F D'
B2 F' U' R U' F D2
B2 F' U' R D U' F
B2 F' U' R D' U' F
B2 F' U' R D2 U' F
F' B' U' D' R U' F
F' B' U' D2 R U' F
F2 B' U' R U' F2 B
F2 B' U' R U' B F2
B2 F' U' D R U' F
B2 F' U' D' R U' F
B2 F' U' D2 R U' F
F B' U L' U D F'
F B' U L' U D' F'
F B' U L' U D2 F'
F B' U L' U F' D
F B' U L' U F' D'
F B' U L' U F' D2
F B' U L' D U F'
F B' U L' D' U F'
F B' U L' D2 U F'
F B' U D L' U F'
F B' U D' L' U F'
F B' U D2 L' U F'
B F' U' R U' D F
B F' U' R U' D' F
B F' U' R U' D2 F
B F' U' R U' F D
B F' U' R U' F D'
B F' U' R U' F D2
B F' U' R D U' F
B F' U' R D' U' F
B F' U' R D2 U' F
B F' U' D R U' F
B F' U' D' R U' F
D2 B' F2 U L U F2
B F' U' D2 R U' F
B' F' D U' R U' F
F' B' D U' R U' F
B2 F' D U' R U' F
B' F' D' U' R U' F
F' B' D' U' R U' F
B2 F' D' U' R U' F
B F' D U' R U' F
D' B2 L' F L U2 F'
B' F' D2 U' R U' F
F B' D U L' U F'
F' B' D2 U' R U' F
B2 F' D2 U' R U' F
B F' D' U' R U' F
F B' D' U L' U F'
B F' D2 U' R U' F
F B' D2 U L' U F'
D B2 R F' R' U2 F
B' F2 U L' U F2 B'
B' F2 U L' U B' F2
B2 F2 U L' U F2 B'
B2 F2 U L' U B' F2
R' B2 D R F' U2 F
F2 B2 U L' U F2 B'
F2 B2 U L' U B' F2
B' F2 U' R U' F2 B
B' F2 U' R U' B F2
F' B2 U' R U' D F
F' B2 U' R U' D' F
F' B2 U' R U' D2 F
F' B2 U' R U' F D
F' B2 U' R U' F D'
F' B2 U' R U' F D2
F' B2 U' R D U' F
F' B2 U' R D' U' F
F' B2 U' R D2 U' F
B F2 U L' U F2 B'
B F2 U L' U B' F2
F' B2 U' D R U' F
B2 F2 U' R U' F2 B
B2 F2 U' R U' B F2
F' B2 U' D' R U' F
F' B2 U' D2 R U' F
F2 B2 U' R U' F2 B
F2 B2 U' R U' B F2
F B2 U L' U D F'
F B2 U L' U D' F'
F B2 U L' U D2 F'
F B2 U L' U F' D
F B2 U L' U F' D'
F B2 U L' U F' D2
F B2 U L' D U F'
F B2 U L' D' U F'
F B2 U L' D2 U F'
F B2 U D L' U F'
F B2 U D' L' U F'
F B2 U D2 L' U F'
B F2 U' R U' F2 B
B F2 U' R U' B F2
F' B2 D U' R U' F
L B2 D' L' F U2 F'
F' B2 D' U' R U' F
F B2 D U L' U F'
F' B2 D2 U' R U' F
F B2 D' U L' U F'
F B2 D2 U L' U F'
