U L D F2 B U2
U L D B F2 U2
U L D' B U2 B
U L B U L2 U
U L B U2 D' B2
U L B D F2 U2
U L B D' U2 B2
U2 L' U D2 R2 F'
U2 L' U' L2 B U2
U2 L' U' B L2 U2
U2 L' D2 U R2 F'
L' U L2 B U2 B'
L' U B L2 F U2
L' U' L2 B U2 L2
L' U' B L2 U2 L2
F U L F B U2
F U L B F U2
L B U L2 F U
U2 L' U' B2 L2 U2 F
U2 L' D' R2 B2 U F'
U2 L' D' B2 U' B' U2
F2 L' D2 R U' R F'
U2 L' D2 R U R F'
U' L' D2 U L R2 F'
U' L' D2 U R2 L F'
U' L' D2 U R2 F' L
U2 L' D2 U R2 D F'
U2 L' D2 U R2 D' F'
U2 L' D2 U R2 D2 F'
U2 L' D2 U R2 F' D
U2 L' D2 U R2 F' D'
U2 L' D2 U R2 F' D2
U2 L' D2 U F R2 F'
U2 L' D2 U F' R2 F'
U2 L' D2 U F2 R2 F'
U2 L' D2 U' B U2 R2
L' R2 U' L2 U2 L2 F'
L' R2 U' L2 U2 F' L2
U L' B L2 U L2 U
U L' B L2 U2 D' B2
U L' B L2 D F2 U2
U L' B L2 D' U2 B2
U2 L' B' U D2 R2 F2
U2 L' B' U D2 F2 R2
U2 L' B' U' L2 B2 U2
U2 L' B' U' B2 L2 U2
U2 L' B' D' R2 B2 U
U2 L' B' D' B2 R2 U
U2 L' B' D2 U R2 F2
U2 L' B' D2 U F2 R2
U2 L' B2 U' L2 U2 F
U2 L' B2 U' B' L2 U2
F2 L2 R U' F2 R F'
F2 L2 R F2 U' R F'
F L2 U L' B U2 B2
F L2 U B L' U2 B'
R2 U L U L2 U F'
R2 U L U2 D' F' B2
R2 U L U2 D' B2 F'
R2 U L U2 F' D' B2
R2 U L D F2 U2 F
R2 U L D' U2 F' B2
R2 U L D' U2 B2 F'
L2 U L' D F2 B U2
L2 U L' D B F2 U2
L2 U L' D' B U2 B
L2 U L' B U L2 U
L2 U L' B U2 D' B2
L2 U L' B D F2 U2
L2 U L' B D' U2 B2
L' U L2 D B U2 B'
L' U L2 D' B U2 B'
L' U L2 D2 B U2 B'
L' U L2 F B U2 B'
L' U L2 F' B U2 B'
L' U L2 F2 B U2 B'
L' U L2 B U2 D B'
L' U L2 B U2 D' B'
L' U L2 B U2 D2 B'
L' U L2 B U2 B' D
L' U L2 B U2 B' D'
L' U L2 B U2 B' D2
L' U L2 B D U2 B'
L' U L2 B D' U2 B'
L' U L2 B D2 U2 B'
L' U L2 B F U2 B'
L' U L2 B F' U2 B'
L' U L2 B F2 U2 B'
L' U R2 D2 L2 F' R2
L' U R2 D2 F' L2 R2
L' U R2 D2 F' R2 L2
L' U R2 F' D2 L2 R2
L' U R2 F' D2 R2 L2
U L2 B D L' F U2
L' U D2 R2 D2 L2 F'
L' U D2 R2 D2 F' L2
L' U D2 R2 F' D2 L2
L' U D2 B U2 R2 B'
L' U D2 B U2 B' R2
L' U F L2 B U2 B'
L' U F B L2 F U2
F2 R L2 U' F2 R F'
L' U F' L2 B U2 B'
F2 R L2 F2 U' R F'
L' U F' B L2 F U2
L' U F2 L2 B U2 B'
F2 R U D2 L B' U2
L' U F2 B L2 F U2
L' U B L2 D F U2
L' U B L2 D' F U2
L' U B L2 D2 F U2
L' U B L2 F U2 D
L' U B L2 F U2 D'
L' U B L2 F U2 D2
L' U B L2 F D U2
L' U B L2 F D' U2
L' U B L2 F D2 U2
L' U B U2 D2 R2 B'
L' U B U2 D2 B' R2
L' U B U2 B' D2 R2
L' U B D2 U2 R2 B'
L' U B D2 U2 B' R2
L' U B F L2 F U2
L' U B F' L2 F U2
L' U B F2 L2 F U2
L2 U B D L' F U2
L U B U B' L2 U
L' U B' L2 B2 U2 B'
L' U B2 L2 U2 F B2
L' U B2 L2 U2 B2 F
F2 R D2 U L B' U2
L' U' L2 R2 U2 L2 F'
L' U' L2 R2 U2 F' L2
L' U' L2 D2 R2 U2 F'
L' U' L2 D2 B R2 U2
L' U' L2 B R U2 L2
L' U' L2 B R' U2 L2
L' U' L2 B R2 U2 L2
L' U' L2 B U2 L2 D
L' U' L2 B U2 L2 D'
L' U' L2 B U2 L2 D2
L' U' L2 B D2 R2 U2
L' U' L2 B2 U2 L2 F
L' U' R2 L2 U2 L2 F'
L' U' R2 L2 U2 F' L2
L' U' D2 F R2 F' B
L' U' D2 F R2 B F'
L' U' F D2 R2 F' B
L' U' F D2 R2 B F'
R2 U' F' D B2 R' B
R2 U' F' B2 D R' B
L' U' F2 D2 R2 F' B2
L' U' F2 D2 R2 B2 F'
L' U' B L2 R U2 L2
L' U' B L2 R' U2 L2
L' U' B L2 R2 U2 L2
L' U' B L2 U2 L2 D
L' U' B L2 U2 L2 D'
L' U' B L2 U2 L2 D2
L' U' B L2 D2 R2 U2
L' U' B R L2 U2 L2
L' U' B R' L2 U2 L2
L' U' B R2 L2 U2 L2
L' U' B' L2 B2 U2 L2
L' U' B2 L2 U2 F L2
R2 U' B2 F' D R' B
L2 U2 L U D2 R2 F'
L2 U2 L U' L2 B U2
L2 U2 L U' B L2 U2
L2 U2 L D2 U R2 F'
R' U2 L' U' L2 U2 F
R' U2 L' U' B' L2 U2
R2 U2 L' U D2 F' R2
R2 U2 L' U F' D2 R2
R2 U2 L' U' L2 U2 F'
R2 U2 L' D' B2 U F'
R2 U2 L' D2 U F' R2
L U2 L2 R2 U F' R2
L U2 R2 L2 U F' R2
U2 R2 L' U D2 F' R2
U2 R2 L' U F' D2 R2
U2 R2 L' U' L2 U2 F'
U2 R2 L' D' B2 U F'
U2 R2 L' D2 U F' R2
F R2 U L F U2 F2
L U2 F2 D' B2 L2 F
R2 U2 B2 L' U F' R'
U' R2 F' D B2 R' B
U' R2 F' B2 D R' B
U2 R2 B2 L' U F' R'
U' R2 B2 F' D R' B
D' U L D F2 B U2
D' U L D B F2 U2
D2 U L D F2 B U2
D2 U L D B F2 U2
D' U L D' B U2 B
D2 U L D' B U2 B
D' U L B U L2 U
D' U L B U2 D' B2
D' U L B D F2 U2
D' U L B D' U2 B2
D2 U L B U L2 U
D2 U L B U2 D' B2
D2 U L B D F2 U2
D2 U L B D' U2 B2
F2 U L B U' R U'
D U L D F2 B U2
D U L D B F2 U2
D U L D' B U2 B
F U L D F B U2
F U L D B F U2
F U L D' F B U2
F U L D' B F U2
D U L B U L2 U
U2 D L' U D2 R2 F'
D U L B U2 D' B2
D U L B D F2 U2
F U L D2 F B U2
D U L B D' U2 B2
U D L D F2 B U2
U D L D B F2 U2
F U L D2 B F U2
U2 D L' U' L2 B U2
U2 D L' U' B L2 U2
F U L F D B U2
F U L F D' B U2
U D L D' B U2 B
F U L F D2 B U2
F U L F B U2 D
F U L F B U2 D'
F U L F B U2 D2
F U L F B D U2
F U L F B D' U2
F U L F B D2 U2
F U L B D F U2
F U L B D' F U2
F U L B D2 F U2
F U L B F U2 D
F U L B F U2 D'
F U L B F U2 D2
F U L B F D U2
F U L B F D' U2
F U L B F D2 U2
U2 D L' D2 U R2 F'
U D L B U L2 U
U D L B U2 D' B2
U D L B D F2 U2
U D L B D' U2 B2
F U L' B L2 U2 B2
L' D F2 U B U2 B'
F U L2 B L' F U2
L D F2 B U' B' U'
L D B F2 U' B' U'
F' U D' L B U2 B2
F U D L F B U2
F U D L B F U2
F U D' L F B U2
F U D' L B F U2
F U D2 L F B U2
F U D2 L B F U2
F U F L F B U2
F U F L B F U2
F U F' L F B U2
F U F' L B F U2
F U F2 L F B U2
F U F2 L B F U2
F U B U2 R B R'
U2 D' L' U D2 R2 F'
U D' L D F2 B U2
U D' L D B F2 U2
U2 D' L' U' L2 B U2
U2 D' L' U' B L2 U2
U D' L D' B U2 B
U2 D' L' D2 U R2 F'
U D' L B U L2 U
U D' L B U2 D' B2
U D' L B D F2 U2
U D' L B D' U2 B2
F U' L B U2 L' B'
F2 U' R' D B2 R' F'
L D' B U' B' U' B2
L D' B U2 B D L2
L' D' B2 U D L2 F
L' D' B2 D U L2 F
F U' R2 F' B2 R' B
F U' R2 B2 F' R' B
D' U2 L' U D2 R2 F'
D' U2 L' U' L2 B U2
D' U2 L' U' B L2 U2
D2 U2 L' U D2 R2 F'
D2 U2 L' U' L2 B U2
D2 U2 L' U' B L2 U2
D' U2 L' D2 U R2 F'
D2 U2 L' D2 U R2 F'
U2 D2 L' U D2 R2 F'
U2 D2 L' U' L2 B U2
U2 D2 L' U' B L2 U2
U D2 L D F2 B U2
U D2 L D B F2 U2
U D2 L D' B U2 B
U2 D2 L' D2 U R2 F'
U D2 L B U L2 U
U D2 L B U2 D' B2
D U2 L' U D2 R2 F'
U D2 L B D F2 U2
U D2 L B D' U2 B2
D U2 L' U' L2 B U2
D U2 L' U' B L2 U2
D U2 L' D2 U R2 F'
L' D2 U R2 D2 L2 F'
L' D2 U R2 D2 F' L2
L' D2 U R2 F' D2 L2
L' D2 U B U2 R2 B'
L' D2 U B U2 B' R2
L' D2 U' F R2 F' B
L' D2 U' F R2 B F'
L D2 B U' R2 B' U'
L D2 B U' B' R2 U'
R2 F L2 U' F2 R B
D' F U L F B U2
D' F U L B F U2
D2 F U L F B U2
D2 F U L B F U2
L' F U L2 B U2 B'
L' F U B L2 F U2
R2 F U L F U2 F
D F U L F B U2
D F U L B F U2
L' F U' L2 B U2 L2
L' F U' B L2 U2 L2
B2 D L' U L' R' F
B2 D L' U L' F R'
B2 D L' U R' L' F
L F B U L2 F U
F D U L F B U2
F D U L B F U2
L' F' U L2 B U2 B'
L' F' U B L2 F U2
L' F' U' L2 B U2 L2
L' F' U' B L2 U2 L2
U F' D' L B U2 B2
F' D' U L B U2 B2
L F' B U L2 F U
F D' U L F B U2
F D' U L B F U2
R2 F' B2 D L2 R' B
R2 F' B2 D R' L2 B
R2 F' B2 D R' B L2
U F2 L B U' R U'
R' F2 R U L B U2
U' F2 R' D B2 R' F'
R F2 R U L U2 F'
L' F2 U L2 B U2 B'
L' F2 U B L2 F U2
L' F2 U' L2 B U2 L2
L' F2 U' B L2 U2 L2
L F2 B U L2 F U
F D2 U L F B U2
F D2 U L B F U2
L' B L2 U F L2 U
L B R U L2 F U
L B R' U L2 F U
L B R2 U L2 F U
U B U L' B U R'
L B U L2 D F U
L B U L2 D' F U
L B U L2 D2 F U
L B U L2 F U D
L B U L2 F U D'
L B U L2 F U D2
L B U L2 F D U
L B U L2 F D' U
L B U L2 F D2 U
L B U F L2 F U
L B U F' L2 F U
L B U F2 L2 F U
U B U B L' U R'
L B U' D' B' U' B'
L B U' D2 R2 B' U'
L B U' D2 B' R2 U'
L B U' B' U' D' B2
L B U' B' U2 L2 U
L B U' B' D' U' B2
L B U' B' D2 R2 U'
L B D F2 U' B' U'
L B D' U' B' U' B'
L B D2 U' R2 B' U'
L B D2 U' B' R2 U'
L B F U L2 F U
L B F' U L2 F U
L B F2 U L2 F U
L' B' D' R2 F' B2 U
L' B' D' R2 B2 F' U
B2 F' D L2 R' F B
B2 F' D L2 R' B F
B2 F' D L2 F R' B
B2 F' D R' L2 F B
B2 F' D R' L2 B F
B2 F2 R B2 U' R2 F'
F2 B2 R B2 U' R2 F'
B2 F2 R' D L2 F B2
B2 F2 R' D L2 B2 F
F2 B2 R' D L2 F B2
F2 B2 R' D L2 B2 F
F' B2 D L2 R' F B
F' B2 D L2 R' B F
F' B2 D L2 F R' B
F' B2 D R' L2 F B
F' B2 D R' L2 B F
L B2 D F2 U2 L2 F
L B2 D F2 B' U2 L2
L B2 D B' F2 U2 L2
L B2 D' R2 B' U2 B'
L B2 D' B' R2 U2 B'
R2 B2 F' D L2 R' B
R2 B2 F' D R' L2 B
R2 B2 F' D R' B L2
