F2 L' U' B2 R' U'
U2 R U R' B2 U'
U R U B2 L U'
U R U B2 L U'
L' U' B2 R' U' R2
R' U2 R2 D L2 B2
R' U2 R2 D B2 L2
U2 R2 D L2 R' B2
U2 R2 D R' L2 B2
U2 R2 D R' B2 L2
L2 D F2 L' U2 L'
L2 D' R2 U2 R' B2
B2 U B2 U2 R B2
B2 U B2 U2 B2 R
U2 F B2 U' F' R
U2 F2 B2 U' F2 R
D B U L2 R F
D B U R L2 F
U B2 U R B2 L
U2 B2 F U' F' R
U2 B2 F2 U' F2 R
D2 U R2 D' L2 R' F2
D2 U R2 D' L2 F2 R'
D2 U R2 D' R' L2 F2
D2 U R2 D' R' F2 L2
D2 U R2 D' F2 L2 R'
D2 U R2 D' F2 R' L2
U2 D R2 L2 D R' B2
R D B L2 D' F B2
R D B L2 D' B2 F
R D B L2 F D' B2
B2 U R2 D2 L2 R' F2
B2 U R2 D2 L2 F2 R'
B2 U R2 D2 R' L2 F2
B2 U R2 D2 R' F2 L2
B2 U R2 D2 F2 L2 R'
B2 U R2 D2 F2 R' L2
D U R2 L2 D' R' F2
D U R2 L2 D' F2 R'
R' D B2 U L2 D2 F2
R' D B2 U' B2 U2 L2
U D R2 L2 D' R' F2
U D R2 L2 D' F2 R'
U2 D F U' L2 F' R
U2 D F U' F' L2 R
U2 D F U' F' R L2
L2 D' L R2 U2 R' B2
B2 U D2 R' F2 L' R2
B2 U D2 R' F2 R2 L'
L2 D' L' R2 U2 R' B2
U2 D F2 U' F2 L2 R
U2 D F2 U' F2 R L2
L2 D' L2 R2 U2 R' B2
D U B U R B' L2
D U B U B' L2 R
D U B U B' R L2
U D B U R B' L2
U D B U B' L2 R
U D B U B' R L2
B2 U F2 L' B2 U2 B2
D U B' U L2 B R
D U B' U B L2 R
D U B' U B R L2
L2 D' R B2 D2 F2 L'
B2 U F2 B2 L' U2 B2
U D B' U L2 B R
U D B' U B L2 R
U D B' U B R L2
L2 D' R' U2 B2 L R2
L2 D' R' U2 B2 R2 L
L' D' R2 U L U R'
D U B2 U L2 R B2
D U B2 U L2 B2 R
D U B2 U R L2 B2
D U B2 U R B2 L2
D U B2 U B2 L2 R
D U B2 U B2 R L2
L2 D' R2 L U2 R' B2
L2 D' R2 L' U2 R' B2
L2 D' R2 L2 U2 R' B2
U D B2 U L2 R B2
U D B2 U L2 B2 R
U D B2 U R L2 B2
U D B2 U R B2 L2
U D B2 U B2 L2 R
U D B2 U B2 R L2
L2 D' R2 U2 R B2 R2
L2 D' R2 U2 R' B2 D
L2 D' R2 U2 R' B2 D'
L2 D' R2 U2 R' B2 D2
L2 D' R2 U2 R2 B2 R
L2 D' R2 D2 F2 U2 R'
L2 D' R2 F U2 R' B2
L2 D' R2 F' U2 R' B2
L2 D' R2 F2 U2 R' B2
L D' R2 U L' U R'
B2 U B2 L U2 R B2
B2 U B2 L U2 B2 R
B2 U B2 L' U2 R B2
R D' R2 U2 R2 D B2
B2 U B2 L' U2 B2 R
B2 U B2 L2 U2 R B2
B2 U B2 L2 U2 B2 R
B2 U B2 U2 R B2 D
B2 U B2 U2 R B2 D'
B2 U B2 U2 R B2 D2
B2 U B2 U2 R' B2 R2
B2 U B2 U2 B' R B'
B2 U B2 U2 B2 R D
B2 U B2 U2 B2 R D'
B2 U B2 U2 B2 R D2
B2 U B2 U2 B2 D R
B2 U B2 U2 B2 D' R
B2 U B2 U2 B2 D2 R
B2 U B2 D2 F2 L' U2
B2 U B2 F2 L' U2 B2
L2 D' U2 R' B2 L R2
L2 D' U2 R' B2 R2 L
B2 U' L B2 U2 L' R
B2 U' L B2 U2 R L'
L2 D' U2 B2 D2 L2 R
L2 D' U2 B2 D2 R L2
F2 U' L' U' L B2 U'
B2 U' L' B2 R' U2 R2
B2 U' L2 B2 U2 L2 R
B2 U' L2 B2 U2 R L2
L2 D' F2 L' R2 U2 B2
B2 U' R U2 B2 U2 B2
B2 U' R D2 F2 D2 B2
L2 D' F2 R2 L' U2 B2
B2 U' R F2 D2 F2 B2
B2 U' R F2 D2 B2 F2
U D' R2 D' R' F2 L'
B2 U' R2 B2 L U2 L'
L2 D' B2 R D2 F2 L'
L2 D' B2 D2 L2 R F2
L2 D' B2 D2 R L2 F2
L2 D' B2 D2 R F2 L2
B2 U' D2 R F2 D2 B2
R' D2 L2 U L2 F2 U
R' D2 L2 U F2 L2 U
R' D2 L2 U2 D' L2 B2
R' D2 L2 U2 D' B2 L2
R' D2 L2 D R2 F2 U2
R' D2 L2 D F2 R2 U2
R' D2 L2 D' U2 L2 B2
R' D2 L2 D' U2 B2 L2
B2 U' F2 D2 F2 R B2
B2 U' F2 D2 F2 B2 R
B2 U' F2 D2 B2 F2 R
B' U' B U' B2 U' R
B' U' B U2 R D L2
B' U' B U2 D L2 R
B' U' B U2 D R L2
B' U' B D U2 L2 R
B' U' B D U2 R L2
B' U' B D' R2 U2 R'
D U2 L2 R U R' U'
D U2 L2 R2 D R' B2
D U2 R L2 U R' U'
B2 U' B2 L U2 L' R
B2 U' B2 L U2 R L'
D U2 R U R' U' L2
B2 U' B2 L' U2 L R
B2 U' B2 L' U2 R L
B2 U' B2 L2 U2 L2 R
B2 U' B2 L2 U2 R L2
B U' B' U' B2 U' R
B U' B' U2 R D L2
B U' B' U2 D L2 R
B U' B' U2 D R L2
U D2 R U' R' F2 U
U D2 R U' F2 R' U
B U' B' D U2 L2 R
B U' B' D U2 R L2
B U' B' D' R2 U2 R'
D2 U2 R2 D R' B2 L
U2 D2 R2 D R' B2 L
D U2 R2 L2 D R' B2
U D2 R2 D' L2 R' F2
U D2 R2 D' L2 F2 R'
U D2 R2 D' R' L2 F2
U D2 R2 D' R' F2 L2
U D2 R2 D' F2 L2 R'
U D2 R2 D' F2 R' L2
D U2 F U' L2 F' R
D U2 F U' F' L2 R
D U2 F U' F' R L2
B U2 L2 B U' R F
D U2 F2 U' F2 L2 R
D U2 F2 U' F2 R L2
F2 U2 R2 D L2 B2 R'
U2 F L B2 U' F' R
U2 F L' B2 U' F' R
U2 F L2 B2 U' F' R
F2 U2 F2 B2 U' R F2
F U2 F' B2 U' R F
B' U2 B' U B2 U2 R
B' U2 B' U' R D2 F2
B' U2 B' U' D2 R F2
B' U2 B' D L2 U' R
B U2 B U B2 U2 R
B U2 B U' R D2 F2
B' U2 B' D2 U' R F2
B U2 B U' D2 R F2
B U2 B D L2 U' R
B U2 B D2 U' R F2
F2 U2 B2 F2 U' R F2
R' F U2 R2 D L2 B2
R' F U2 R2 D B2 L2
U2 F U' F' R D L2
U2 F U' F' D L2 R
U2 F U' F' D R L2
F U2 B2 F' U' R F
F2 D L' U L U L2
F2 D L' U2 L' D' B2
B2 D L2 U' R D' B2
B2 D L2 U' D' R B2
B2 D L2 U' D' B2 R
B2 D L2 U2 L2 U R
B2 D L2 D' U' R B2
B2 D L2 D' U' B2 R
B2 D L2 D2 R2 U' R'
U' F B2 U F' U2 R
F D R' B U L2 F
U2 F B2 L U' F' R
U2 F B2 L' U' F' R
U2 F B2 L2 U' F' R
U2 F B2 U' F' R D
U2 F B2 U' F' R D'
U2 F B2 U' F' R D2
U2 F B2 U' F' D R
U2 F B2 U' F' D' R
U2 F B2 U' F' D2 R
L' F' U' B2 R' F' U'
R' F' U2 R2 D L2 B2
R' F' U2 R2 D B2 L2
F2 D' L' R2 U L U
F2 D' R2 L' U L U
D' F2 L' R2 U L U
D2 F2 L' U L U L'
L' F2 L' D F2 U2 L2
L' F2 L' D' R2 U2 B2
D F2 L' U L U L2
D F2 L' U2 L' D' B2
L F2 L' U' R B2 U'
L F2 L' U' B2 R U'
U2 F2 L2 B2 U' R' F2
U2 F2 L2 B2 U' F2 R'
D' F2 R2 L' U L U
B2 D' B' R2 F' U R'
D2 F2 U R2 D' F2 R
D2 F2 U' L' U' L U'
R' F2 U2 R2 D L2 B2
R' F2 U2 R2 D B2 L2
U2 F2 U' F2 R D L2
U2 F2 U' F2 D L2 R
U2 F2 U' F2 D R L2
D2 F2 U2 F2 U' R F2
F2 D2 L' U L F2 U
F2 D2 L' U F2 L U
L2 F2 D L' F2 R U2
L2 F2 D F2 U2 L2 R
L2 F2 D F2 U2 R L2
L2 F2 D' L' R2 U2 B2
L2 F2 D' R2 L' U2 B2
D2 F2 B U' B' L' U2
B2 D2 R2 U R' F2 L'
D2 F2 B' U' L' B U2
D2 F2 B' U' B L' U2
U' F2 B2 U L' F2 U2
U' F2 B2 U F2 U2 R
D2 F2 B2 U D2 F2 R
D2 F2 B2 U' L' B2 U2
D2 F2 B2 U' B2 L' U2
B2 D2 U R' F2 L' R2
B2 D2 U R' F2 R2 L'
D2 F2 B2 D2 U F2 R
U2 F2 B2 U L' U2 F2
U2 F2 B2 U' R F2 R
U2 F2 B2 U' R' F2 R
U2 F2 B2 U' R2 F2 R
U2 F2 B2 U' F2 R D
U2 F2 B2 U' F2 R D'
U2 F2 B2 U' F2 R D2
U2 F2 B2 U' F2 D R
U2 F2 B2 U' F2 D' R
U2 F2 B2 U' F2 D2 R
B2 D2 U' R F2 D2 B2
D B L2 R D' F B2
D B L2 R D' B2 F
D B L2 R F D' B2
D B L2 D' R F B2
D B L2 D' R B2 F
D B L2 D' B2 R F
U2 B R U R' B U'
D B R L2 D' F B2
D B R L2 D' B2 F
D B R L2 F D' B2
D B R' U L2 R2 F
D B R' U L2 F R2
D B R' U R2 L2 F
D2 B U R D' L2 F
D2 B U D' L2 R F
D2 B U D' R L2 F
D' B U D2 L2 R F
D' B U D2 R L2 F
D B R2 U L2 R' F
D B R2 U L2 F R'
D B R2 U R' L2 F
D B U L2 R D F
D B U L2 R D' F
D B U L2 R D2 F
D B U L2 R F D
D B U L2 R F D'
D B U L2 R F D2
D B U L2 R' F R2
D B U L2 R2 F R'
D B U L2 D R F
D B U L2 D' R F
D B U L2 D2 R F
D B U R L2 D F
D B U R L2 D' F
D B U R L2 D2 F
D B U R L2 F D
D B U R L2 F D'
D B U R L2 F D2
D B U R F L2 F
D B U R F' L2 F
D B U R F2 L2 F
D B U R' L2 F R2
D B U R2 L2 F R'
D' B U' B' R2 U2 R'
D B U F' L2 F R
U B U R D B' L
U B U B' R D L2
U B U B' D L2 R
U B U B' D R L2
D B U' B' U2 L2 R
D B U' B' U2 R L2
D2 B D' U L2 R F
D2 B D' U R L2 F
U B U2 B U' R B2
U B U2 B U' B2 R
D' B D2 U L2 R F
D' B D2 U R L2 F
D2 B F2 U' B' L' U2
U B' L U B L R
U B' L U B R L
U2 B' R U R' B' U'
D2 B' R2 F2 U R' F
D2 B' R2 F2 U F R'
D B' R2 U L2 F' R'
D B' R2 U F' L2 R'
D B' R2 U F' R' L2
D' B' U' R2 U2 F' R'
D B' U L2 R2 F' R'
D' B' U' B R2 U2 R'
D B' U R2 L2 F' R'
D B' U R2 F' L2 R'
D B' U R2 F' R' L2
U B' U B R D L2
U B' U B D L2 R
U B' U B D R L2
D B' U' B U2 L2 R
D B' U' B U2 R L2
U B' U2 B' U' R B2
U B' U2 B' U' B2 R
D2 B' F2 U' L' B U2
D2 B' F2 U' B L' U2
U2 B2 L F U' F' R
U2 B2 L F2 U' F2 R
U B2 L U R B2 L
U2 B2 L' F U' F' R
U2 B2 L' F2 U' F2 R
U B2 L' U R B2 L
U2 B2 L2 F U' F' R
U2 B2 L2 F2 U' F2 R
U' B2 R' U' R2 D B2
U' B2 R' F U' R2 B
L' B2 R' U B2 U2 R2
L' B2 R' U' R2 D2 F2
U B2 L2 U R B2 L
R' B2 U R2 D2 L2 F2
R' B2 U R2 D2 F2 L2
D' B2 U R D2 F2 L'
D' B2 U D2 L2 R F2
D' B2 U D2 R L2 F2
D' B2 U D2 R F2 L2
U' B2 U' R U R' U'
R' B2 U B2 U2 R2 B2
R' B2 U B2 U2 B2 R2
U' B2 U' R2 D R' B2
R2 B2 U L B2 U2 B2
D' B2 U' R2 B2 L U2
D B2 U L2 R D2 F2
D B2 U L2 D2 R F2
D B2 U R L2 D2 F2
D' B2 U' B2 R2 U2 R'
U2 B2 U' R U' R' U
D B2 U D2 R F2 L'
U2 B2 U' R2 D' R' F2
U2 B2 U' R2 D' F2 R'
U B2 U L R B2 L
R2 B2 U B2 U2 R' B2
U B2 U L' R B2 L
U' B2 U2 B U R B'
U' B2 U2 B U B' R
U B2 U L2 R B2 L
U' B2 U2 B' U B R
R2 B2 U' L B2 U2 L'
U B2 U R L B2 L
U' B2 U2 B2 U R B2
U B2 U R L' B2 L
U' B2 U2 B2 U B2 R
U B2 U R L2 B2 L
U B2 U R B2 L D
U B2 U R B2 L D'
U B2 U R B2 L D2
U B2 U R B2 D L
U B2 U R B2 D' L
