U L R2 F L U2
U L F L R2 U2
U L F R2 L U2
F R U L2 R U2
F R U R L2 U2
D2 R U' L2 R B
D2 R U' R L2 B
D2 R U' R B L2
F R D F2 U' L'
U R2 L F L U2
D2 U' L2 R B R
D2 U' R L2 B R
D2 U' R B L2 R
D2 U' R B R L2
U' D2 L2 R B R
U' D2 R L2 B R
U' D2 R B L2 R
U' D2 R B R L2
D2 F R U' L2 R
D2 F R U' R L2
D F R F B2 U'
D F R B2 F U'
F D R F2 B2 U'
F D R B2 F2 U'
D F B2 R F U'
F' D F2 R B2 U'
F' D F2 B2 R U'
F' D B2 F2 R U'
F D B2 R F2 U'
F D2 R U' L2 R
F D2 R U' R L2
D B2 F R F U'
F R U L2 R U2 D
F R U L2 R U2 D'
F R U L2 R U2 D2
F R U L2 R D U2
F R U L2 R D' U2
F R U L2 R D2 U2
F R U L2 D R U2
F R U L2 D' R U2
F R U L2 D2 R U2
F R U R L2 U2 D
F R U R L2 U2 D'
F R U R L2 U2 D2
F R U R L2 D U2
F R U R L2 D' U2
F R U R L2 D2 U2
F R U R U2 D2 R2
F R U R D2 U2 R2
D2 R U' L' R B L'
D2 R U' L2 R D B
D2 R U' L2 R D' B
D2 R U' L2 R D2 B
D2 R U' L2 R B D
D2 R U' L2 R B D'
D2 R U' L2 R B D2
D2 R U' L2 D R B
D2 R U' L2 D' R B
D2 R U' L2 D2 R B
D2 R U' L2 B R B
D2 R U' L2 B' R B
D2 R U' L2 B2 R B
D2 R U' R L' B L'
D2 R U' R L2 D B
D2 R U' R L2 D' B
D2 R U' R L2 D2 B
D2 R U' R L2 B D
D2 R U' R L2 B D'
D2 R U' R L2 B D2
D2 R U' R B L2 D
D2 R U' R B L2 D'
D2 R U' R B L2 D2
D2 R U' R B' L2 B2
F R U D2 R U2 R
R U F2 L2 U2 L B'
D2 R U' B L2 R B
D2 R U' B R L2 B
D2 R U' B R B L2
D2 R U' B' L2 R B
D2 R U' B' R L2 B
D2 R U' B' R B L2
D2 R U' B2 L2 R B
D2 R U' B2 R L2 B
D2 R U' B2 R B L2
F R U' R' D2 L2 R2
F R U' R' D2 R2 L2
F R U' F2 L' F2 R
F' R D F2 R U' L'
F R D F2 U' L' D
F R D F2 U' L' D'
F R D F2 U' L' D2
F R D F2 U' D L'
F R D F2 U' D' L'
F R D F2 U' D2 L'
F R D F2 D U' L'
F R D F2 D' U' L'
F R D F2 D2 U' L'
F R D F2 B U' L'
F R D F2 B' U' L'
F R D F2 B2 U' L'
F R D B F2 U' L'
F R D B' F2 U' L'
F R D B2 F2 U' L'
D2 R D' B2 U' R B
U' R D2 B' R2 B2 L
U R D2 R U2 R B
F R D2 U R U2 R
F R D2 F2 U' L' R2
F R D2 F2 U' R2 L'
R' U' L2 R' F' U2 F
D R F R F B2 U'
D R F R B2 F U'
D R F B2 R F U'
R' U' R D2 L2 B R2
R' U' R D2 B L2 R2
R' U' R D2 B R2 L2
U' R F2 L' F2 B R
U' R F2 L' B F2 R
R' U' R B D2 L2 R2
R' U' R B D2 R2 L2
R' U' R' L2 F' U2 F
U' R F2 B L' F2 R
U R F2 L2 U2 L B'
R' U' R' F' L2 B' U2
F R F2 U L2 U2 L
F R F2 U' D2 L' R2
F R F2 U' D2 R2 L'
U' R B R' D2 L2 R2
U' R B R' D2 R2 L2
D2 R B U' L2 R B
D2 R B U' R L2 B
D2 R B U' R B L2
F R F2 D2 U' L' R2
F R F2 D2 U' R2 L'
U' R B U2 L2 R U2
U' R B U2 R L2 U2
R U' R' D2 L2 R2 B
R U' R' D2 R2 L2 B
R U' R' D2 R2 B L2
U' R B F2 L' F2 R
F R B U L2 R U2
F R B U R L2 U2
D2 R B' U' L2 R B
D2 R B' U' R L2 B
F R B D F2 U' L'
D2 R B' U' R B L2
F R B' U L2 R U2
F R B' U R L2 U2
D2 R B2 U' L2 R B
D2 R B2 U' R L2 B
D2 R B2 U' R B L2
F R B' D F2 U' L'
F R B2 U L2 R U2
F R B2 U R L2 U2
D R B2 F R F U'
F R B2 D F2 U' L'
U R' L F L R' U2
U R' L F R' L U2
U' R' L2 F' R' U2 F
U R' L2 U2 B2 L B'
U R' L2 D2 R' U2 B
D2 R' U' L2 R B R2
D2 R' U' R L2 B R2
D2 R' U' R B L2 R2
D2 R' U' R B R2 L2
R U' F2 L' F2 R B
U' R' U2 L2 F' R' U2
U' R' U2 F' L2 R' U2
U' R' U2 F' R' L2 U2
F R' D F2 U' B2 L
U' R' D2 B R2 B L
U' R' D2 B2 L R2 B
U' R' D2 B2 R2 L B
D2 R' F R U' L2 R2
D2 R' F R U' R2 L2
D R' F R F B2 U'
D R' F R B2 F U'
U' R' F' L2 R' B' U2
U' R' F' R' L2 B' U2
D R' F B2 R F U'
U' R' B D2 R2 B L
U' R' B2 D2 L R2 B
U' R' B2 D2 R2 L B
D R' B2 F R F U'
U R2 L D F L U2
U R2 L D' F L U2
U R2 L D2 F L U2
U R2 L F L U2 D
U R2 L F L U2 D'
U R2 L F L U2 D2
U R2 L F L D U2
U R2 L F L D' U2
U R2 L F L D2 U2
U R2 L F D L U2
U R2 L F D' L U2
U R2 L F D2 L U2
U R2 L F' L F2 U2
U R2 L F2 L F' U2
U R2 L' F U2 B' R'
U R2 L' F2 U2 R B'
U R2 L' F2 U2 B' R
F R2 L2 U' L2 R' U'
F R2 L2 U' R' L2 U'
U R2 L2 U L U B'
U R2 L2 U2 L B' L'
U R2 U2 R D2 B R2
U R2 U2 R B D2 R2
U R2 U2 R' D2 R2 B
U R2 U2 D2 R B R
F R2 D R' F2 U' L'
D2 R2 F R U' L2 R'
D2 R2 F R U' R' L2
U R2 D2 L F U2 R2
U R2 D2 L' U2 R2 B'
U R2 D2 L' U2 B' R2
U R2 D2 U2 R B R
D R2 F R F B2 U'
D R2 F R B2 F U'
U R2 F L F L U2
D R2 F B2 R F U'
U R2 F' L F L U2
U R2 F2 L F L U2
B' U L R2 F L U2
B2 U L R2 F L U2
D2 U L F U2 L R2
D2 U L F U2 R2 L
B' U L F L R2 U2
B' U L F R2 L U2
D R2 B2 F R F U'
B2 U L F L R2 U2
B2 U L F R2 L U2
B U L R2 F L U2
D2 U L' U2 R2 B' L'
D2 U L' U2 B' L' R2
D2 U L' U2 B' R2 L'
B U L F L R2 U2
B U L F R2 L U2
D2 U L' B' L' R2 F'
D2 U L' B' R2 L' F'
F' U L2 R2 U L U
R D F R F U' L'
D2 U R U2 L2 R B
D2 U R U2 R L2 B
F U L2 R2 U' R' U'
D2 U R U2 R B L2
U' D R D L2 B R2
U' D R D B L2 R2
U' D R D B R2 L2
U' D R' D L2 R2 B
U' D R' D R2 L2 B
U' D R' D R2 B L2
B' U R2 L F L U2
F' U R2 L2 U L U
B2 U R2 L F L U2
B U R2 L F L U2
F U R2 L2 U' R' U'
D2 U' L R2 D2 L B'
D2 U' L' R B L' R
D2 U' L' R B R L'
D2 U' L2 R D B R
D2 U' L2 R D' B R
D2 U' L2 R D2 B R
D2 U' L2 R B R D
D2 U' L2 R B R D'
D2 U' L2 R B R D2
D2 U' L2 R B D R
D2 U' L2 R B D' R
D2 U' L2 R B D2 R
D2 U' L2 R B' R B2
D2 U' L2 R B2 R B'
D2 U' L2 B R B R
D2 U' L2 B' R B R
D2 U' L2 B2 R B R
D2 U' R L' B L' R
D2 U' R L' B R L'
D2 U' R L2 D B R
D2 U' R L2 D' B R
D2 U' R L2 D2 B R
D2 U' R L2 B R D
D2 U' R L2 B R D'
D2 U' R L2 B R D2
D2 U' R L2 B D R
D2 U' R L2 B D' R
D2 U' R L2 B D2 R
D2 U' R L2 B' R B2
D2 U' R L2 B2 R B'
D' U' R D' L2 B R2
U' D' R D' L2 B R2
D' U' R D' B L2 R2
D' U' R D' B R2 L2
U' D' R D' B L2 R2
U' D' R D' B R2 L2
D2 U' R B L2 R D
D2 U' R B L2 R D'
D2 U' R B L2 R D2
D2 U' R B L2 D R
D2 U' R B L2 D' R
D2 U' R B L2 D2 R
D2 U' R B R L2 D
D2 U' R B R L2 D'
D2 U' R B R L2 D2
D2 U' R B' L2 R B2
D2 U' R B' L2 B2 R
D2 U' R B' R L2 B2
D2 U' R B' R B2 L2
D2 U' R B2 R B' L2
U' D' R' D' L2 R2 B
U' D' R' D' R2 L2 B
D' U' R' D' L2 R2 B
U' D' R' D' R2 B L2
D' U' R' D' R2 L2 B
D' U' R' D' R2 B L2
D U' R D L2 B R2
D U' R D B L2 R2
D U' R D B R2 L2
D2 U' R2 L D2 L B'
D U' R' D L2 R2 B
D U' R' D R2 L2 B
D U' R' D R2 B L2
D2 U' B L2 R B R
D2 U' B R L2 B R
D2 U' B R B L2 R
D2 U' B R B R L2
U2 D' F2 B L B U
U2 D' B L F2 B U
U2 D' B L B F2 U
D2 U' B' L2 R B R
D2 U' B' R L2 B R
D2 U' B' R B L2 R
D2 U' B' R B R L2
B' U' D2 L2 R B R
B' U' D2 R L2 B R
B' U' D2 R B L2 R
B' U' D2 R B R L2
U2 D' B F2 L B U
B2 U' D2 L2 R B R
B2 U' D2 R L2 B R
B2 U' D2 R B L2 R
B2 U' D2 R B R L2
D2 U' B2 L2 R B R
D2 U' B2 R L2 B R
D2 U' B2 R B L2 R
D2 U' B2 R B R L2
B U' D2 L2 R B R
B U' D2 R L2 B R
B U' D2 R B L2 R
B U' D2 R B R L2
U' D2 L R2 D2 L B'
U' D2 L' R B L' R
U' D2 L' R B R L'
U' D2 L2 R D B R
U' D2 L2 R D' B R
U' D2 L2 R D2 B R
U' D2 L2 R B R D
U' D2 L2 R B R D'
U' D2 L2 R B R D2
U' D2 L2 R B D R
U' D2 L2 R B D' R
U' D2 L2 R B D2 R
U' D2 L2 R B' R B2
U' D2 L2 R B2 R B'
U D2 L F U2 L R2
U D2 L F U2 R2 L
U' D2 L2 B R B R
U' D2 L2 B' R B R
U' D2 L2 B2 R B R
U D2 L' U2 R2 B' L'
U' D2 R L' B L' R
U' D2 R L' B R L'
U D2 L' U2 B' L' R2
U D2 L' U2 B' R2 L'
U' D2 R L2 D B R
U' D2 R L2 D' B R
U' D2 R L2 D2 B R
U' D2 R L2 B R D
U' D2 R L2 B R D'
U' D2 R L2 B R D2
U' D2 R L2 B D R
U' D2 R L2 B D' R
U' D2 R L2 B D2 R
U' D2 R L2 B' R B2
U' D2 R L2 B2 R B'
U D2 L' B' L' R2 F'
U D2 L' B' R2 L' F'
U' D2 R B L2 R D
U' D2 R B L2 R D'
U' D2 R B L2 R D2
U' D2 R B L2 D R
U' D2 R B L2 D' R
U' D2 R B L2 D2 R
U' D2 R B R L2 D
U' D2 R B R L2 D'
U' D2 R B R L2 D2
U' D2 R B' L2 R B2
U' D2 R B' L2 B2 R
U' D2 R B' R L2 B2
U' D2 R B' R B2 L2
U' D2 R B2 R B' L2
U' D2 R2 L D2 L B'
U D2 R U2 L2 R B
U D2 R U2 R L2 B
U D2 R U2 R B L2
R D2 U R U2 R B
F' U2 L' U' L' R2 U2
F' U2 L' U' R2 L' U2
F' U2 L' D' F2 U R
D' U2 F2 B L B U
D' U2 B L F2 B U
D' U2 B L B F2 U
U' D2 B L2 R B R
D2 U2 B L U L R2
D2 U2 B L U R2 L
U' D2 B R L2 B R
U' D2 B R B L2 R
U' D2 B R B R L2
U2 D2 B L U L R2
U2 D2 B L U R2 L
D' U2 B F2 L B U
U' D2 B' L2 R B R
U' D2 B' R L2 B R
U' D2 B' R B L2 R
U' D2 B' R B R L2
U' D2 B2 L2 R B R
U' D2 B2 R L2 B R
U' D2 B2 R B L2 R
U' D2 B2 R B R L2
F' U2 D' L' F2 B2 U
F' U2 D' L' B2 F2 U
F' U2 D' B2 L' F2 U
F' U2 D2 L' U L' R2
F' U2 D2 L' U R2 L'
U F L R2 F L U2
F U2 D' F2 L' B2 U
F U2 D' F2 B2 L' U
U F L F L R2 U2
U F L F R2 L U2
F U2 D' B2 F2 L' U
R' F R U L2 R2 U2
R' F R U R2 L2 U2
R' F R U' D2 L2 R2
R' F R U' D2 R2 L2
D2 F R U' L2 R D
D2 F R U' L2 R D'
D2 F R U' L2 R D2
D2 F R U' L2 D R
D2 F R U' L2 D' R
D2 F R U' L2 D2 R
D2 F R U' R L2 D
D2 F R U' R L2 D'
D2 F R U' R L2 D2
R2 F L2 U' L2 R U'
R2 F L2 U' R L2 U'
D' F R U2 F B2 U
D' F R U2 B2 F U
R' F R D F2 B2 U'
R' F R D B2 F2 U'
R' F R D2 U' L2 R2
R' F R D2 U' R2 L2
D2 F R D' B2 U' R
D2 F R B U' L2 R
D2 F R B U' R L2
D2 F R B' U' L2 R
D2 F R B' U' R L2
D2 F R B2 U' L2 R
D2 F R B2 U' R L2
R2 F R U L2 R' U2
R2 F R U R' L2 U2
D F R D F U' L2
D F R F U' D L2
D F R F D U' L2
D F R F B2 U' D
D F R F B2 U' D'
D F R F B2 U' D2
D F R F B2 D U'
D F R F B2 D' U'
D F R F B2 D2 U'
D F R B2 D F U'
D F R B2 D' F U'
D F R B2 D2 F U'
D F R B2 F U' D
D F R B2 F U' D'
D F R B2 F U' D2
D F R B2 F D U'
D F R B2 F D' U'
D F R B2 F D2 U'
D F R' F R2 B2 U'
D F R' F B2 R2 U'
L2 F R2 U' L2 R' U'
L2 F R2 U' R' L2 U'
D F R' B2 R2 F U'
D F R' B2 F R2 U'
U F R2 L F L U2
D F R2 F R' B2 U'
D2 F D' R F2 B2 U'
D2 F D' R B2 F2 U'
D F D R F U' L2
D2 F D' B2 R F2 U'
F' D R F2 R B2 U'
F' D R F2 B2 R U'
F' D R B2 F2 R U'
D2 F B R U' L2 R
D2 F B R U' R L2
F' D R' F2 R B2 U'
F D R U' D L2 R2
F D R U' D R2 L2
F' D R' F2 B2 R U'
F D R D U' L2 R2
F D R D U' R2 L2
F' D R' B2 F2 R U'
F2 D R' F2 B2 U' B'
F D R F2 U' D L2
F D R F2 D U' L2
F2 D R' B2 F2 U' B'
F D R F2 B2 U' D
F D R F2 B2 U' D'
F D R F2 B2 U' D2
F D R F2 B2 D U'
F D R F2 B2 D' U'
F D R F2 B2 D2 U'
D2 F B' R U' L2 R
D2 F B' R U' R L2
F D R B2 U' D R2
F D R B2 D U' R2
F D R B2 F2 U' D
F D R B2 F2 U' D'
F D R B2 F2 U' D2
F D R B2 F2 D U'
F D R B2 F2 D' U'
F D R B2 F2 D2 U'
F' D R2 F2 R B2 U'
F' D R2 F2 B2 R U'
F' D R2 B2 F2 R U'
D2 F B2 R U' L2 R
D2 F B2 R U' R L2
F D R' F2 R2 B2 U'
F D R' F2 B2 R2 U'
F D R' B2 R2 F2 U'
F D R' B2 F2 R2 U'
D F B' R F B' U'
D F B' R B' F U'
F D R2 F2 R' B2 U'
D F B2 R D F U'
D F B2 R D' F U'
D F B2 R D2 F U'
D F B2 R F U' D
D F B2 R F U' D'
D F B2 R F U' D2
D F B2 R F D U'
D F B2 R F D' U'
D F B2 R F D2 U'
D F B2 R' F R2 U'
D F B2 R2 F R' U'
D F B2 D R F U'
D F B2 D' R F U'
D F B2 D2 R F U'
B' D F R F B2 U'
D' F' L' F' B2 R' U
B' D F R B2 F U'
U F' L R2 F L U2
D' F' L' B2 F' R' U
B2 D F R F B2 U'
B2 D F R B2 F U'
B' D F B2 R F U'
U F' L F L R2 U2
U F' L F R2 L U2
B2 D F B2 R F U'
B D F R F B2 U'
B D F R B2 F U'
B D F B2 R F U'
F' D F2 R U' D L2
F' D F2 R D U' L2
F' D F2 R B2 U' D
F' D F2 R B2 U' D'
F' D F2 R B2 U' D2
F' D F2 R B2 D U'
F' D F2 R B2 D' U'
F' D F2 R B2 D2 U'
F' D F2 R' B2 R2 U'
F2 D F2 R' B2 U' B'
F' D F2 D R U' L2
F' D F2 B' R B' U'
F' D F2 B2 R U' D
F' D F2 B2 R U' D'
F' D F2 B2 R U' D2
F' D F2 B2 R D U'
F' D F2 B2 R D' U'
F' D F2 B2 R D2 U'
F' D F2 B2 D R U'
F' D F2 B2 D' R U'
F' D F2 B2 D2 R U'
F2 D F2 B2 R' U' B
F D F2 B2 U2 L' U
F' D B' F2 R B' U'
U F' R2 L F L U2
F' D B2 R F2 R U'
F' D B2 R' F2 R U'
F' D B2 R2 F2 R U'
B' D B2 F R F U'
F2 D B2 R' F2 U' B
F D B' R F2 B' U'
F D B' R B' F2 U'
F' D B2 F2 R U' D
F' D B2 F2 R U' D'
F' D B2 F2 R U' D2
F' D B2 F2 R D U'
F' D B2 F2 R D' U'
F' D B2 F2 R D2 U'
F' D B2 F2 D R U'
F' D B2 F2 D' R U'
F' D B2 F2 D2 R U'
B2 D B2 F R F U'
F2 D B2 F2 R' U' B
D2 F' U2 L' U L' R2
D2 F' U2 L' U R2 L'
D' F' U2 L' F' B2 U
D' F' U2 L' B2 F' U
F D B2 R U' D R2
F D B2 R D U' R2
F D B2 R F2 U' D
F D B2 R F2 U' D'
F D B2 R F2 U' D2
F D B2 R F2 D U'
F D B2 R F2 D' U'
F D B2 R F2 D2 U'
F D B2 R' F2 R2 U'
F D B2 R2 F2 R' U'
B D B2 F R F U'
D' F' U2 B2 L' F' U
F D B2 D R U' R
F D B2 F2 U2 L' U
F' D' L' F2 B2 R' U
F' D' L' B2 R' F2 U
F' D' L' B2 F2 R' U
D2 F' D' F2 R B2 U'
D2 F' D' F2 B2 R U'
D2 F' D' B2 F2 R U'
F D' R U' D' L2 R2
F D' R U' D' R2 L2
F D' R U2 F2 B2 U
F D' R U2 B2 F2 U
F D' R D' U' L2 R2
F D' R D' U' R2 L2
F D' R D2 F2 B2 U'
F D' R D2 B2 F2 U'
F' D' U2 L' F2 B2 U
F' D' U2 L' B2 F2 U
F' D' U2 B2 L' F2 U
U F2 L R2 F L U2
U F2 L F L R2 U2
U F2 L F R2 L U2
F D' U2 F2 L' B2 U
F D' U2 F2 B2 L' U
F D' U2 B2 F2 L' U
F D' F2 L' B2 R' U
U F2 R2 L F L U2
B' D2 R U' L2 R B
B' D2 R U' R L2 B
B' D2 R U' R B L2
D F2 D R' U' L2 B
D F2 D R' U' B L2
B2 D2 R U' L2 R B
B2 D2 R U' R L2 B
B2 D2 R U' R B L2
B D2 R U' L2 R B
B D2 R U' R L2 B
B D2 R U' R B L2
F D2 R U' L2 R D
F D2 R U' L2 R D'
F D2 R U' L2 R D2
F D2 R U' L2 D R
F D2 R U' L2 D' R
F D2 R U' L2 D2 R
F D2 R U' R L2 D
F D2 R U' R L2 D'
F D2 R U' R L2 D2
F D2 R D' B2 U' R
F D2 R B U' L2 R
F D2 R B U' R L2
F D2 R B' U' L2 R
F D2 R B' U' R L2
F D2 R B2 U' L2 R
F D2 R B2 U' R L2
D F2 B D2 B R' U'
B' D2 U' L2 R B R
B' D2 U' R L2 B R
B' D2 U' R B L2 R
B' D2 U' R B R L2
B2 D2 U' L2 R B R
B2 D2 U' R L2 B R
B2 D2 U' R B L2 R
B2 D2 U' R B R L2
F' D2 U2 L' U L' R2
F' D2 U2 L' U R2 L'
U2 B L U' L R2 U2
U2 B L U' R2 L U2
D F2 B2 D R' U' B
B D2 U' L2 R B R
B D2 U' R L2 B R
B D2 U' R B L2 R
B D2 U' R B R L2
B' D2 F R U' L2 R
B' D2 F R U' R L2
B2 D2 F R U' L2 R
B2 D2 F R U' R L2
B D2 F R U' L2 R
B D2 F R U' R L2
D2 B R U' L2 R B
D2 B R U' R L2 B
D2 B R U' R B L2
F' D2 F2 R U' L2 R
F' D2 F2 R U' R L2
F2 D2 B R' U' L2 R'
F2 D2 B R' U' R' L2
F D2 B R U' L2 R
F D2 B R U' R L2
D2 B U' L2 R B R
D2 B U' R L2 B R
D2 B U' R B L2 R
D2 B U' R B R L2
F D2 B' R U' L2 R
F D2 B' R U' R L2
F D2 B2 R U' L2 R
F D2 B2 R U' R L2
D' B U2 F2 B L U
D' B U2 B L F2 U
D' B U2 B F2 L U
B' F R U L2 R U2
B' F R U R L2 U2
B' F R D F2 U' L'
U' B D2 L2 R B R
U2 B D' L F2 B2 U
U2 B D' L B2 F2 U
U' B D2 R L2 B R
U' B D2 R B L2 R
U' B D2 R B R L2
B2 F R U L2 R U2
B2 F R U R L2 U2
B2 F R D F2 U' L'
U2 B D' F2 L B2 U
U2 B D2 L U L R2
U2 B D2 L U R2 L
B F R U L2 R U2
B F R U R L2 U2
D2 B F R U' L2 R
D2 B F R U' R L2
B F R D F2 U' L'
F B R U L2 R U2
F B R U R L2 U2
F B R D F2 U' L'
D B F2 D2 B R' U'
B' F D R F2 B2 U'
B' F D R B2 F2 U'
B2 F D R F2 B2 U'
B2 F D R B2 F2 U'
B' F D B2 R F2 U'
F' B D F2 R B2 U'
F' B D F2 B2 R U'
D2 B' R U' L2 R B
D2 B' R U' R L2 B
D2 B' R U' R B L2
F' B D B2 F2 R U'
B2 F D B2 R F2 U'
B F D R F2 B2 U'
B F D R B2 F2 U'
B' F D2 R U' L2 R
B' F D2 R U' R L2
F B D R F2 B2 U'
F B D R B2 F2 U'
B F D B2 R F2 U'
B2 F D2 R U' L2 R
B2 F D2 R U' R L2
F B D B2 R F2 U'
B F D2 R U' L2 R
B F D2 R U' R L2
F B D2 R U' L2 R
F B D2 R U' R L2
D2 B' U' L2 R B R
D2 B' U' R L2 B R
D2 B' U' R B L2 R
D2 B' U' R B R L2
F B' R U L2 R U2
F B' R U R L2 U2
F B' R D F2 U' L'
U' B' D2 L2 R B R
U' B' D2 R L2 B R
U' B' D2 R B L2 R
U' B' D2 R B R L2
U2 B' D' F2 B2 L U
U2 B' D' B2 L F2 U
U2 B' D' B2 F2 L U
D2 B' F R U' L2 R
D2 B' F R U' R L2
D B' F R F B' U'
D B' F R B' F U'
B' F' D F2 R B2 U'
B' F' D F2 B2 R U'
B' F' D B2 F2 R U'
F' B' D F2 R B2 U'
F' B' D F2 B2 R U'
B2 F' D F2 R B2 U'
F' B' D B2 F2 R U'
B2 F' D F2 B2 R U'
B2 F' D B2 F2 R U'
B F' D F2 R B2 U'
B F' D F2 B2 R U'
F B' D R F2 B2 U'
F B' D R B2 F2 U'
B F' D B2 F2 R U'
F B' D B2 R F2 U'
D2 B2 R U' L2 R B
D2 B2 R U' R L2 B
D2 B2 R U' R B L2
F B' D2 R U' L2 R
F B' D2 R U' R L2
D B2 R F R F U'
D B2 R' F R F U'
D2 B2 U' L2 R B R
D2 B2 U' R L2 B R
D2 B2 U' R B L2 R
D2 B2 U' R B R L2
D B2 R2 F R F U'
F B2 R U L2 R U2
F B2 R U R L2 U2
F B2 R D F2 U' L'
D B2 U' R D B R2
D B2 U' R B D R2
D B2 U' R' D R2 B
D B2 U' D R B R
U' B2 D2 L2 R B R
U' B2 D2 R L2 B R
D B2 D R U' R B
U' B2 D2 R B L2 R
U' B2 D2 R B R L2
D B2 D U' R B R
D B2 D F R U' R
D2 B2 F R U' L2 R
D2 B2 F R U' R L2
F' B2 D F2 R B2 U'
F' B2 D F2 B2 R U'
F' B2 D B2 F2 R U'
D B2 F R D F U'
D B2 F R D' F U'
D B2 F R D2 F U'
D B2 F R F U' D
D B2 F R F U' D'
D B2 F R F U' D2
D B2 F R F D U'
D B2 F R F D' U'
D B2 F R F D2 U'
F B2 D R F2 B2 U'
F B2 D R B2 F2 U'
D B2 F R' F R2 U'
D B2 F R2 F R' U'
D B2 F D R F U'
D B2 F D' R F U'
D B2 F D2 R F U'
F B2 D B2 R F2 U'
F B2 D2 R U' L2 R
F B2 D2 R U' R L2
D B2 F2 D R' U' B
