L2 U' B L R2
L2 U' B R2 L
F' L2 U' B L R2
F' L2 U' B R2 L
F2 L2 U' B L R2
F2 L2 U' B R2 L
F L2 U' B L R2
F L2 U' B R2 L
L2 U' L B L R2
L2 U' L B R2 L
L2 U' L' B L R2
L2 U' L' B R2 L
L2 U' L2 B L R2
L2 U' L2 B R2 L
L2 U' B L R2 D
L2 U' B L R2 D'
L2 U' B L R2 D2
L2 U' B R2 L D
L2 U' B R2 L D'
L2 U' B R2 L D2
L2 U' B R2 D L
L2 U' B R2 D' L
L2 U' B R2 D2 L
L2 U' B2 R2 B' L
B2 R2 D F2 B' L
B2 R2 D B' L F2
B2 R2 D B' F2 L
B2 R2 D B' F2 L
R2 D F2 L2 B' L
L2 D' F2 U' B L
L2 F U' B L R2
L2 F U' B R2 L
L2 F' U' B L R2
L2 F' U' B R2 L
L2 F2 U' B L R2
L2 F2 U' B R2 L
U' B R2 D L F2
U' B R2 D F2 L
L2 F U' B R2 D L
L2 F U' B R2 D' L
L2 F U' B R2 D2 L
L2 F U' B2 R2 B' L
L2 F D' F2 U' B L
U' F B R2 D L F2
U' F B R2 D F2 L
L F' L U' B L R2
L F' L U' B R2 L
U F' L2 U' L B R2
L2 F' U' L B L R2
L2 F' U' L B R2 L
L2 F' U' L' B L R2
L2 F' U' L' B R2 L
L2 F' U' L2 B L R2
L2 F' U' L2 B R2 L
L2 F' U' B L R2 D
L2 F' U' B L R2 D'
L2 F' U' B L R2 D2
L2 F' U' B R2 L D
L2 F' U' B R2 L D'
L2 F' U' B R2 L D2
L2 F' U' B R2 D L
L2 F' U' B R2 D' L
L2 F' U' B R2 D2 L
L2 F' U' B2 R2 B' L
L2 F' D' F2 U' B L
U' F' B R2 D L F2
U' F' B R2 D F2 L
U F' B R2 D L' F2
D F' B2 U F' B' L'
D F' B2 U B' F' L'
L F2 L U' B L R2
L F2 L U' B R2 L
D' F2 U' D2 F2 B L
D' F2 U' D2 B L F2
D' F2 U' D2 B F2 L
L2 F2 U' L B L R2
L2 F2 U' L B R2 L
L2 F2 U' L' B L R2
L2 F2 U' L' B R2 L
L2 F2 U' L2 B L R2
L2 F2 U' L2 B R2 L
L2 F2 U' B L R2 D
L2 F2 U' B L R2 D'
L2 F2 U' B L R2 D2
L2 F2 U' B R2 L D
L2 F2 U' B R2 L D'
L2 F2 U' B R2 L D2
L2 F2 U' B R2 D L
L2 F2 U' B R2 D' L
L2 F2 U' B R2 D2 L
L2 F2 U' B2 R2 B' L
D' F2 D L2 U' B L
D F2 U' B2 U B' L
R2 F2 D L2 F2 B' L
R2 F2 D L2 B' L F2
R2 F2 D L2 B' F2 L
D' F2 D2 U' F2 B L
D' F2 D2 U' B L F2
D' F2 D2 U' B F2 L
L2 F2 D' F2 U' B L
U' F2 B R2 D L F2
U' F2 B R2 D F2 L
D F2 B U' B U L
U' B L R2 U L U'
U' B L U L U' R2
U' B R D L R F2
U' B R D R L F2
U' B R D R F2 L
U' B R' D L R' F2
U' B R' D L F2 R'
U' B R' D R' L F2
U' B R' D R' F2 L
U' B R' D F2 L R'
U' B R' D F2 R' L
R B L2 R' U' B R2
L2 B R B U' R B'
L2 B R B U' B' R
U' B R2 L U L U'
R B L2 U' R' B R2
U' B R2 U L2 U' L'
U' B R2 D L F2 D
U' B R2 D L F2 D'
U' B R2 D L F2 D2
U' B R2 D L' F2 L2
U' B R2 D F' L F'
U' B R2 D F2 L D
U' B R2 D F2 L D'
U' B R2 D F2 L D2
U' B R2 D F2 D L
U' B R2 D F2 D' L
U' B R2 D F2 D2 L
U' B R2 D' L D2 F2
U' B R2 D2 L D' F2
U' B R2 F D L F2
U' B R2 F D F2 L
U' B R2 F' D L F2
U' B R2 F' D F2 L
U' B R2 F2 D L F2
U' B R2 F2 D F2 L
U' B U L2 U' L' R2
U' B U L2 U' R2 L'
R B R' L2 U' B R2
U B R2 D F' L' F'
U B R2 F D F2 L'
U B R2 F' D L' F2
U' B D L F2 D' R2
D B U' B U L F2
D B U' B U F2 L
U' B D F2 L D' R2
U' B D F2 D' L R2
U' B D F2 D' R2 L
R2 B D F2 L2 B' L
U' B F R2 D L F2
U' B F R2 D F2 L
U' B F' R2 D L F2
U' B F' R2 D F2 L
B2 F R2 D F2 B' L
B2 F R2 D B' L F2
B2 F R2 D B' F2 L
U' B F2 R2 D L F2
U' B F2 R2 D F2 L
U B F' R2 D L' F2
D B F2 U' B U L
U' B' L2 U' B2 L R2
U' B' L2 U' B2 R2 L
L2 B' R B U' B R
U' B' R2 B2 D F2 L'
R B' R D F2 L2 B'
L2 B' U' R2 B L B
L2 B' U' B L B R2
B2 F' R2 D F2 B' L
B2 F' R2 D B' L F2
B2 F' R2 D B' F2 L
R2 B' D F2 L2 B' L
L2 B2 R B U' R B2
L2 B2 R B U' B2 R
U' B2 R2 B' D L F2
U' B2 R2 B' D F2 L
D B2 R' F' U F' B'
D B2 R' F' U B' F'
L B2 R' F' U R' B'
L2 B2 U B' R2 F' L'
F' B2 R2 D F2 B' L
F' B2 R2 D B' L F2
F' B2 R2 D B' F2 L
L2 B2 U' R2 B L B2
D B2 U F' B' L' F'
D B2 U F2 D2 B' L
B2 F2 R2 D F2 B' L
B2 F2 R2 D B' L F2
B2 F2 R2 D B' F2 L
D B2 U B' F' L' F'
F2 B2 R2 D F2 B' L
F2 B2 R2 D B' L F2
F2 B2 R2 D B' F2 L
L2 B2 U' B L R2 B2
L2 B2 U' B L B2 R2
L2 B2 U' B R2 L B2
F B2 R2 D F2 B' L
F B2 R2 D B' L F2
F B2 R2 D B' F2 L
R2 B2 D F2 L2 B' L
D B2 F' U F' B' L'
D B2 F' U B' F' L'
