U L F B2 U2 R2
U L B2 F U2 R2
D2 L' U' F2 R B
U L' B2 U2 B R2
F R U B2 U2 R
F R U' R D2 F2
F R U' D2 R F2
R' U B2 L F U2
F R D L2 U' R
R U B2 U2 R B
U' R D2 B R F2
F R D2 U' R F2
R' U' R B R2 F'
R U' R D2 F2 B
R U' R D2 B F2
U' R B R2 F' R'
R U' D2 R F2 B
R U' D2 R B F2
R D L2 U' R B
R D2 U' R F2 B
R D2 U' R B F2
F D' R F2 L' U'
U2 B L U R2 F'
U' B R B R F'
U B2 L F U2 R2
U B2 L' U2 R2 B'
U B2 L' U2 B' R2
U B2 U2 R B R
U' R2 L' D2 L F2 B'
U' R2 L' D2 L B' F2
U' R2 L' D2 F2 L B'
U R2 L D2 L2 F2 B'
U R2 L D2 L2 B' F2
U R2 L' D2 F2 B' L2
U R2 L' D2 B' L2 F2
U R2 L' D2 B' F2 L2
U R2 L' B' D2 L2 F
L' U2 B L U R2 F'
L2 U2 B L U R2 F'
L U2 B L U R2 F'
F R2 D L2 R' U' R
F R2 D R' L2 U' R
U' R2 D2 L B' L' F2
U' R2 D2 F2 L B' L'
U R2 D2 L' B' L' F2
F R2 D2 R' U' R F2
R' D L2 R2 U' R B
R' D L2 U' R B R2
R' D L2 F R U' R2
U R2 D2 F2 L' B' L'
R2 D L2 R' U' R B
R2 D L2 F R U' R'
R D L2 U' R D B
R D L2 U' R D' B
R D L2 U' R D2 B
R D L2 U' R B D
R D L2 U' R B D'
R D L2 U' R B D2
R D L2 U' D R B
R D L2 U' D' R B
R D L2 U' D2 R B
R D L2 U' B R B
R D L2 U' B' R B
R D L2 U' B2 R B
R D L2 D U' R B
R D L2 D' U' R B
R D L2 D2 U' R B
R2 D R' L2 U' R B
R' D R2 L2 U' R B
R' D F L2 R U' R2
R D U' R D F2 B
R D U' R D B F2
R D U' R B D F2
R' D F R L2 U' R2
D2 U L' U2 F2 R B'
D2 U L' U2 F2 B' R
D2 U L' U2 B' F2 R
R2 D F L2 R U' R'
R2 D F R L2 U' R'
U' D R D' B R2 F'
D2 U' L' F2 L R B
D2 U' L' F2 R L B
F' U B2 U L' U R2
R' D' U2 R2 U R B
F U B2 U' R U' R
D2 U' R D2 B R2 F'
D2 U' R F2 D2 B R2
D2 U' R F2 B D2 R2
D2 U' R B F2 D2 R2
D U' R D' B R2 F'
B2 U' R B2 U' R B'
B2 U' R B2 U' B' R
D2 U' F2 R D2 B R2
D2 U' F2 R B D2 R2
D2 U' F2 R' D2 R2 B
D2 U' F2 D2 R B R
L' D2 L' U' F2 R B
L2 D2 L' U' F2 R B
R D2 L U' R F2 B
R D2 L U' R B F2
L D2 L' U' F2 R B
R D2 L' U' R F2 B
R D2 L' U' R B F2
D2 U2 L' U F2 R B
U' D2 L' F2 L R B
U' D2 L' F2 R L B
R D2 L2 U' R F2 B
R D2 L2 U' R B F2
U2 D2 L' U F2 R B
R' D2 R2 U' R F2 B
R' D2 R2 U' R B F2
R2 D2 R' U' R F2 B
R2 D2 R' U' R B F2
U D2 L' U2 F2 R B'
U D2 L' U2 F2 B' R
U D2 L' U2 B' F2 R
U' D2 R D2 B R2 F'
U' D2 R F2 D2 B R2
U' D2 R F2 B D2 R2
U' D2 R B F2 D2 R2
R' D2 U R' F2 L' B'
R' D2 U' R F2 B R2
R' D2 U' R B R2 F2
R' D2 U' R B F2 R2
B2 U' B2 R U' B R
R' D2 U' F2 R B R2
R' D2 F R U' R2 F
R' D2 F R U' F R2
F' U2 L' U R2 D2 F2
R D2 U' R F2 D B
R D2 U' R F2 D' B
R D2 U' R F2 D2 B
R D2 U' R F2 B D
R D2 U' R F2 B D'
R D2 U' R F2 B D2
R D2 U' R B F2 D
R D2 U' R B F2 D'
R D2 U' R B F2 D2
F' U2 L' U' B2 U2 R2
R D2 U' R2 F2 R' B
R D2 U' B R F2 B
R D2 U' B R B F2
R D2 U' B' R F2 B
R D2 U' B' R B F2
R D2 U' B2 R F2 B
R D2 U' B2 R B F2
F' U2 L' B U R2 F'
R2 D2 F R U' R' F
R2 D2 F R U' F R'
U' D2 F2 R D2 B R2
U' D2 F2 R B D2 R2
U' D2 F2 R' D2 R2 B
U' D2 F2 D2 R B R
F' U2 D2 L' U F2 R
U F L F B2 U2 R2
U F L B2 F U2 R2
R' F R U B2 U2 R2
R' F R U' R2 D2 F2
D2 F R U L2 B' U2
D F L2 R U' D' R2
D F L2 R U2 B2 U
D F L2 R D' U' R2
D2 F R U' D2 R2 F
D2 F R U' D2 F R2
D F L2 R D2 F2 U'
D2 F R U' F D2 R2
U' F R D2 B R F2
L' F R U B2 U2 R
D2 F R D F2 U' F'
L' F R U' R D2 F2
L' F R U' D2 R F2
D2 F R D2 U' R2 F
D2 F R D2 U' F R2
L' F R D L2 U' R
U F L' B2 U2 B R2
U' F R B R2 F' R'
D' F R F2 L' F' U'
D F L2 D' R U' R
L' F R D2 U' R F2
D F L2 D2 R F2 U'
L2 F R U B2 U2 R
L2 F R U' R D2 F2
L2 F R U' D2 R F2
L2 F R D L2 U' R
L2 F R D2 U' R F2
R2 F R U B2 L U2
R2 F R U' R' D2 F2
R2 F R U' D2 R' F2
R2 F R U' D2 F2 R'
D F R L2 U' D' R2
D F R L2 U2 B2 U
D F R L2 D' U' R2
D F R L2 D2 F2 U'
R2 F R D L2 U' R'
R2 F R D2 U' R' F2
R2 F R D2 U' F2 R'
F' U2 B L' U R2 F'
L F R U B2 U2 R
L F R U' R D2 F2
L F R U' D2 R F2
L F R D L2 U' R
L F R D2 U' R F2
R' F D L2 R U' R2
R' F D R L2 U' R2
D2 F D R F2 U' F'
F' D L2 U2 L B2 U
D' F D' R F U' F
R2 F D L2 R U' R'
R2 F D R L2 U' R'
L' F D' R F2 L' U'
L2 F D' R F2 L' U'
R' F D2 R U' R2 F2
R' F D2 R U' F2 R2
F D L2 R U' D' R2
R F D L2 R F' U'
F D L2 R U2 B2 U
F D L2 R D' U' R2
F D L2 R D2 F2 U'
D' F D2 R F L2 U'
D2 F D2 R U' R F
R F D R L2 F' U'
R F D R F' L2 U'
F D L2 D' R U' R
F D L2 D2 R F2 U'
U' F B R B R F'
L F D' R F2 L' U'
R2 F D2 R U' R' F2
R2 F D2 R U' F2 R'
F D R L2 U' D' R2
F D R L2 U2 B2 U
F D R L2 D' U' R2
F D R L2 D2 F2 U'
D F D2 R F2 L' U'
U F B2 L F U2 R2
U F B2 L' U2 R2 B'
U F B2 L' U2 B' R2
U F B2 U2 R B R
U F' L F B2 U2 R2
U F' L B2 F U2 R2
U' F' R D2 B R F2
U' F' R B R2 F' R'
D F' L2 U2 L B2 U
U F' L' B2 U2 B R2
D' F' U2 L' R2 B U
D' F' U2 R2 L' B U
D' F' U2 R2 B L' U
F D' L R F2 L' U'
D2 F' D F2 R U' F
F D' L' R F2 L' U'
F D' L2 R F2 L' U'
F' D' R F2 L' R U'
F' D' R F2 R L' U'
U' F' B R B R F'
F D' R L F2 L' U'
F D' R L' F2 L' U'
F D' R L2 F2 L' U'
F D' R F2 L' U' D
F D' R F2 L' U' D'
F D' R F2 L' U' D2
F D' R F2 L' D U'
F D' R F2 L' D' U'
F D' R F2 L' D2 U'
F D' R F2 D L' U'
F D' R F2 D' L' U'
F D' R F2 D2 L' U'
U F' B2 L F U2 R2
U F' B2 L' U2 R2 B'
U F' B2 L' U2 B' R2
U F' B2 U2 R B R
U F2 L F B2 U2 R2
U F2 L B2 F U2 R2
U' F2 R D2 B R F2
U' F2 R B R2 F' R'
U F2 L' B2 U2 B R2
F' D' F2 R U2 R U
F' D' F2 D' R U' F2
F' D' F2 D2 L2 R U'
F' D' F2 D2 R L2 U'
F D' F2 U2 L' R2 U
F D' F2 U2 R2 L' U
R' F2 D L2 U' R' B
D' F2 D' L U' F2 B'
D' F2 D' L U' B' F2
F D2 L' R U' F2 R
U' F2 B R B R F'
F D2 R L' U' F2 R
F D2 R U L2 U2 F2
F D2 R U' F2 D2 R2
U2 B L R U R F'
F' D2 U2 L' U F2 R
U2 B L U R2 D F'
U2 B L U R2 D' F'
U2 B L U R2 D2 F'
U2 B L U R2 F' D
U2 B L U R2 F' D'
U2 B L U R2 F' D2
U2 B L U F R2 F'
U2 B L U F' R2 F'
U2 B L U F2 R2 F'
U2 B L U' B U2 R2
U F2 B2 L F U2 R2
U F2 B2 L' U2 R2 B'
U F2 B2 L' U2 B' R2
U F2 B2 U2 R B R
U B L F U2 R2 F'
U B L F B U2 R2
U B L B F U2 R2
U B L' U2 R2 F' B'
U B L' U2 R2 B' F'
U' B R B R D F'
U' B R B R D' F'
U' B R B R D2 F'
U' B R B R F' D
U' B R B R F' D'
U' B R B R F' D2
U' B R B' R F' B2
U' B R B' R B2 F'
U' B R B2 R F' B'
U' B R B2 R B' F'
U2 B R L U R F'
U B L' B U2 R2 B2
U B L' B U2 B2 R2
U' B R2 F' R' B R
U B U2 R B R F'
U' B F R B R F'
U' B F' R B R F'
B F R B' U' R F'
F B R B' U' R F'
U' B F2 R B R F'
B2 F U' R B2 U' R
B2 F U' B2 R U' R
U' B' R B R D2 F2
U' B' R B D2 R F2
D B' L2 F B R U'
D B' L2 B F R U'
U' B2 L U2 L' R2 B'
U' B2 L U2 L' B' R2
U' B2 L U2 R2 L' B'
U B2 L D2 L2 U2 B'
U B2 L D2 F L2 U2
U B2 L F L U2 R2
U B2 L F L' U2 R2
U B2 L F L2 U2 R2
U B2 L F U2 R2 D
U B2 L F U2 R2 D'
U B2 L F U2 R2 D2
U B2 L F D2 L2 U2
U B2 L F2 U2 R2 B
U B2 L' U2 R B' R
U B2 L' U2 R2 D B'
U B2 L' U2 R2 D' B'
U B2 L' U2 R2 D2 B'
U B2 L' U2 R2 B' D
U B2 L' U2 R2 B' D'
U B2 L' U2 R2 B' D2
U B2 L' U2 B R2 B2
U B2 L' U2 B' R2 D
U B2 L' U2 B' R2 D'
U B2 L' U2 B' R2 D2
U B2 L' D2 L2 F U2
U B2 L' F U2 R2 B'
U B2 L' F U2 B' R2
U B2 L' F' U2 R2 B'
U B2 L' F' U2 B' R2
U B2 L' F2 U2 R2 B'
U B2 L' F2 U2 B' R2
U B2 U B L U R2
U B2 U' R U' R B
U B2 U' F R U' R
U B2 U2 R D B R
U B2 U2 R D' B R
U B2 U2 R D2 B R
U B2 U2 R B R D
U B2 U2 R B R D'
U B2 U2 R B R D2
U B2 U2 R B D R
U B2 U2 R B D' R
U B2 U2 R B D2 R
U B2 U2 R B' R B2
U B2 U2 R B2 R B'
U B2 U2 B R B R
U B2 U2 B' R B R
U B2 U2 B2 R B R
F B2 U' R B2 U' R
F B2 U' B2 R U' R
U B2 D2 L F L U2
U B2 F L F U2 R2
U B2 F L' U2 R2 B'
U B2 F L' U2 B' R2
U B2 F U2 R B R
U B2 F' L F U2 R2
U B2 F' L' U2 R2 B'
U B2 F' L' U2 B' R2
U B2 F' U2 R B R
U B2 F2 L F U2 R2
U B2 F2 L' U2 R2 B'
U B2 F2 L' U2 B' R2
U B2 F2 U2 R B R
