F' L' U F' R2
F' L' U F R2 F2
F' L' U F' R2 D
F' L' U F' R2 D'
F' L' U F' R2 D2
F' L' U F2 R2 F
F' L' D B2 U F'
F' L' B U F' R2
F' L' B' U F' R2
F' L' B2 U F' R2
R U' R F2 B L
R U' R B L F2
R U' R B F2 L
F2 R2 U' F L' U
F2 U' F L' U R2
F' D L' B2 U F'
L' F' L' U F' R2
L2 F' L' U F' R2
L F' L' U F' R2
D F' L' R2 B2 U
D F' L' B2 R2 U
F' D B2 L' U F'
D F' R2 L' B2 U
D F' R2 B2 L' U
D F' B2 L' R2 U
D F' B2 R2 L' U
F' B L' U F' R2
F' B' L' U F' R2
B' F' L' U F' R2
B2 F' L' U F' R2
B F' L' U F' R2
F' B2 L' U F' R2
D B2 F' L' R2 U
D B2 F' R2 L' U
F' B D B2 L' U F'
B' F' L' U F R2 F2
B' F' L' U F' R2 D
B' F' L' U F' R2 D'
B' F' L' U F' R2 D2
B' F' L' U F2 R2 F
B' F' L' D B2 U F'
F' B' L' U F R2 F2
F' B' L' U F' R2 D
F' B' L' U F' R2 D'
F' B' L' U F' R2 D2
F' B' L' U F2 R2 F
B' F' L' B U F' R2
B2 F' L' U F R2 F2
B2 F' L' U F' R2 D
B2 F' L' U F' R2 D'
B2 F' L' U F' R2 D2
B2 F' L' U F2 R2 F
F' B' L' D B2 U F'
B' F' L' B' U F' R2
B' F' L' B2 U F' R2
B2 F' L' D B2 U F'
F' B' L' B U F' R2
F' B' L' B' U F' R2
F' B' L' B2 U F' R2
B2 F' L' B U F' R2
B2 F' L' B' U F' R2
B2 F' L' B2 U F' R2
B F' L' U F R2 F2
B F' L' U F' R2 D
B F' L' U F' R2 D'
B F' L' U F' R2 D2
B F' L' U F2 R2 F
B F' L' D B2 U F'
B F' L' B U F' R2
B F' L' B' U F' R2
B F' L' B2 U F' R2
R B' U' R F2 B L
R B' U' R B L F2
R B' U' R B F2 L
F2 B' R2 U' F L' U
L' B' F' L' U F' R2
F2 B' U' F L' U R2
L2 B' F' L' U F' R2
B' F' D L' B2 U F'
F' B' D L' B2 U F'
B2 F' D L' B2 U F'
B' F' D B2 L' U F'
D B' F' R2 B' L' U
L B' F' L' U F' R2
F' B' D B2 L' U F'
B2 F' D B2 L' U F'
B F' D L' B2 U F'
B F' D B2 L' U F'
D B2 L F' L' R2 U
D B2 L F' R2 L' U
D B2 L' F' L' R2 U
D B2 L' F' R2 L' U
F' B2 L' U F R2 F2
F' B2 L' U F' R2 D
F' B2 L' U F' R2 D'
F' B2 L' U F' R2 D2
F' B2 L' U F2 R2 F
F' B2 L' D B2 U F'
D B2 L2 F' L' R2 U
D B2 L2 F' R2 L' U
F' B2 L' B U F' R2
F' B2 L' B' U F' R2
F' B2 L' B2 U F' R2
B' F2 R2 U' F L' U
B2 F2 R2 U' F L' U
F2 B2 R2 U' F L' U
B F2 R2 U' F L' U
B' F2 U' F L' U R2
R B2 U' R F2 B L
R B2 U' R B L F2
R B2 U' R B F2 L
B2 F2 U' F L' U R2
F2 B2 U' F L' U R2
B F2 U' F L' U R2
F' B2 D L' B2 U F'
D B2 D' F' L' U F'
F' B2 D B2 L' U F'
L' B2 F' L' U F' R2
L2 B2 F' L' U F' R2
D B2 F' L' R2 U D
D B2 F' L' R2 U D'
D B2 F' L' R2 U D2
D B2 F' L' R2 D U
D B2 F' L' R2 D' U
D B2 F' L' R2 D2 U
D B2 F' L' U D' F2
D B2 F' L' D' U F2
D B2 F' R2 L' U D
D B2 F' R2 L' U D'
D B2 F' R2 L' U D2
D B2 F' R2 L' D U
D B2 F' R2 L' D' U
D B2 F' R2 L' D2 U
D B2 F' R2 D L' U
D B2 F' R2 D' L' U
D B2 F' R2 D2 L' U
D B2 F' D' L' U F2
L B2 F' L' U F' R2
D B2 F2 R2 F L' U
