U L B U' F B'
U L B U' B' F
F2 R2 F' R U R
F R2 F' R' U R'
F' U L' B U' B'
R F R F' U R2
R2 F' U2 L' U' R2
U2 B L U L' U2
U2 B L F2 U' R
F' U L' B U' D B'
F' U L' B U' D' B'
F' U L' B U' D2 B'
F' U L' B U' B' D
F' U L' B U' B' D'
F' U L' B U' B' D2
F' U L' B D U' B'
F' U L' B D' U' B'
F' U L' B D2 U' B'
R2 D F R F2 B2 U
R2 D F R B2 F2 U
U D L B U' F B'
U D L B U' B' F
R2 D F B2 R F2 U
R2 D F' B2 U2 L' U'
F' U D L' B U' B'
F' U D' L' B U' B'
R2 D B2 F R F2 U
R2 D B2 F' U2 L' U'
F' U D2 L' B U' B'
U2 D B L U L' U2
U2 D B L F2 U' R
F' U B' L' B2 U' B'
B2 U B' L U' F B
B2 U B' L U' B F
F U B U2 R U B'
B' U B2 L U' F B2
B' U B2 L U' B2 F
U D' L B U' F B'
U D' L B U' B' F
R D' U L R' F L'
R D' U L F L' R'
R D' U L F R' L'
R D' U R' L F L'
R D' F R U L' R2
R D' F R U R2 L'
R2 D' F' U2 L' F' U'
U2 D' B L U L' U2
U2 D' B L F2 U' R
U D2 L B U' F B'
U D2 L B U' B' F
D' U2 B L U L' U2
D' U2 B L F2 U' R
D2 U2 B L U L' U2
D2 U2 B L F2 U' R
U2 D2 B L U L' U2
U2 D2 B L F2 U' R
D U2 B L U L' U2
D U2 B L F2 U' R
R2 F R U R D' L2
R2 F R U D' L2 R
R2 F R U D' R L2
R2 F R D' U L2 R
R2 F R D' U R L2
R' F R' F' R2 U R'
R2 F R F2 U' L' U2
F' U2 B L' U L U2
R F R D F' B2 U
R F R D B2 F' U
D' F R2 F' R' U R'
R F R F' U R2 D
R F R F' U R2 D'
R F R F' U R2 D2
D2 F R2 F' R' U R'
R F R F' D B2 U
R F R F' B U R2
R F R F' B' U R2
R F R F' B2 U R2
R2 F R' F2 R2 U R
R F R B F' U R2
F' U2 B' L' B2 U' R'
R F R B' F' U R2
R F R B2 F' U R2
B2 U2 B' U2 R' U R
F U2 B U2 R U R'
R2 F R2 F2 R' U R
D F R2 F' R' U R'
U F U F' B L U'
U F U B L F' U'
U F U B F' L U'
U2 F B L U L' U2
U2 F B L F2 U' R
F' D U L' B U' B'
F D R2 F' R' U R'
B' D F R U L2 R'
B' D F R U R' L2
R2 F' R U2 L' U' R
R2 F' R' U2 L' U' R'
D2 F' U L' B U' B'
D' F' U L' B U' B'
R2 F' U R2 U L' U'
D F' U L' B U' B'
R' F' U2 L' B' U' R'
U F' U F B L U'
U F' U B F L U'
R2 F' U2 L' U' R2 D
R2 F' U2 L' U' R2 D'
R2 F' U2 L' U' R2 D2
R2 F' U2 L' D' F2 U'
R2 F' U2 L' F U' R2
R2 F' U2 L' F' U' R2
R2 F' U2 L' F2 U' R2
R2 F' U2 D' L' F2 U'
R2 F' D B2 U2 L' U'
R2 F' D' U2 L' F2 U'
U2 F' B L U L' U2
U2 F' B L F2 U' R
R2 F' B U2 L' U' R2
F' D' U L' B U' B'
R2 F' B' U2 L' U' R2
F D' R2 F' R' U R'
R2 F' B2 U2 L' U' R2
D2 F2 R2 F' R U R
D' F2 R2 F' R U R
R F2 R F' R U R
D F2 R2 F' R U R
U F2 U F2 B L U'
U F2 U B L F2 U'
U F2 U B F2 L U'
U2 F2 B L U L' U2
U2 F2 B L F2 U' R
F' D2 U L' B U' B'
F D2 R2 F' R' U R'
U2 B L U L' U2 D
U2 B L U L' U2 D'
U2 B L U L' U2 D2
U2 B L U L' D U2
U2 B L U L' D' U2
U2 B L U L' D2 U2
U2 B L U D L' U2
U2 B L U D' L' U2
U2 B L U D2 L' U2
U2 B L U' F2 R F2
U2 B L D U L' U2
U2 B L D F2 U' R
U2 B L D' U L' U2
U2 B L D' F2 U' R
U2 B L D2 U L' U2
U2 B L D2 F2 U' R
U2 B L F2 U' R D
U2 B L F2 U' R D'
U2 B L F2 U' R D2
U2 B L F2 U' D R
U2 B L F2 U' D' R
U2 B L F2 U' D2 R
U2 B L F2 D U' R
U2 B L F2 D' U' R
U2 B L F2 D2 U' R
B' D2 F R F U R'
U2 B L2 D L' F2 U'
U2 B L2 D2 L' U' R2
U2 B U2 B2 R' U R
U2 B D L U L' U2
U2 B D L F2 U' R
U B U2 R' U F' B'
U B U2 R' U B' F'
B' F R U R' D L2
B' F R U D L2 R'
B' F R U D R' L2
B' F R D U L2 R'
B' F R D U R' L2
U2 B D' L U L' U2
U2 B D' L F2 U' R
B' F R D2 F2 U R'
U2 B D2 L U L' U2
U2 B D2 L F2 U' R
U2 B F L U L' U2
U2 B F L F2 U' R
U2 B F' L U L' U2
U2 B F' L F2 U' R
U2 B F2 L U L' U2
U2 B F2 L F2 U' R
R2 B F' U2 L' U' R2
B' F D R U L2 R'
B' F D R U R' L2
U2 B' L' B2 L U' R'
U B' L B2 U' F B'
U B' L B2 U' B' F
B' F D2 R F2 U R'
B' F' L' B2 R' U' R
F' B' L' B2 R' U' R
U2 B' U' B2 L U' B2
F B' R U R' D L2
F B' R U D L2 R'
F B' R U D R' L2
F B' R D U L2 R'
F B' R D U R' L2
F B' R D2 F2 U R'
B' F' U L' B2 U' B2
F' B' U L' B2 U' B2
B' F' U B2 L' U' B2
F' B' U B2 L' U' B2
B2 F' U B' L' U' B
B' F' U2 L' B2 U' R'
F' B' U2 L' B2 U' R'
R2 B' F' U2 L' U' R2
F B' D R U L2 R'
F B' D R U R' L2
B' F' D2 F2 R U R'
F' B' D2 F2 R U R'
L2 B2 L2 F R U R'
F B' D2 R F2 U R'
U2 B2 U' B' L U' B
F' B2 U B' L' U' B
R2 B2 F' U2 L' U' R2
