B L R' F' U L'
B L F' R' U L'
B R' L F' U L'
B R' F' L U L2
F' B L R' U L2
F' B R' L U L2
B F' L R' U L2
B F' R' L U L2
B R' F' L F U L2
B R' F' L F' U L2
B R' F' L F2 U L2
B R' F' U L' D' B2
B R' F' D L U L2
B R' F' D' L U L2
B R' F' D2 L U L2
B R' F2 L F U L'
D R2 F' U' L' F B'
D R2 F' U' L' B' F
B U L F R' U R
R2 D F' U' L' F B'
R2 D F' U' L' B' F
B' U B2 L R' F U
B' U B2 L F R' U
B' U B2 R' L F U
B' U' B2 L R' F' U
B' U' B2 R' L F' U
B' U' B2 R' F' L U
F' U2 B R' U L' B'
B D L R' F' U L'
B D L F' R' U L'
B D R' L F' U L'
B D R' F' L U L2
U2 F' L' B R' U L
B D F' L R' U L2
B D F' R' L U L2
F' D B L U L2 F
R2 F' U' D L' F B'
R2 F' U' D L' B' F
B D' L R' F' U L'
B D' L F' R' U L'
R2 F' D U' L' F B'
R2 F' D U' L' B' F
D2 F' B L R U L2
D2 F' B R L U L2
L' F' B L R' U L2
L' F' B R' L U L2
L2 F' B L R' U L2
U2 F' B L' R' U L2
B D' R' L F' U L'
U2 F' B R' L' U L2
L2 F' B R' L U L2
D F' B L U L2 F
B D' R' F' L U L2
L F' B L R' U L2
R2 F' B' L R' U' L2
L F' B R' L U L2
R2 F' B' R' L U' L2
B D' F' L R' U L2
B D' F' R' L U L2
B D2 L R' F' U L'
B D2 L F' R' U L'
B D2 R' L F' U L'
B D2 R' F' L U L2
L' B L R' F' U L'
D2 B L F' R U L'
U' B L' R' F' U B'
L' B L F' R' U L'
L2 B L R' F' U L'
L2 B L F' R' U L'
L B L R' F' U L'
L B L F' R' U L'
U2 B L2 R' U L' B'
U' B R' L' F' U B'
B D2 F' L R' U L2
B D2 F' R' L U L2
L' B R' L F' U L'
U' B R' F' L' U B'
L' B R' F' L U L2
L2 B R' L F' U L'
U2 B R' L2 U L' B'
U2 B R' U L' B' L2
U2 B R' F' L' U L2
L2 B R' F' L U L2
L B R' L F' U L'
U B R' U' F' U2 L'
L B R' F' L U L2
F' B L R' U L2 D
F' B L R' U L2 D'
F' B L R' U L2 D2
F' B L R' D F2 U
F' B L R' F U L2
F' B L R' F' U L2
F' B L R' F2 U L2
F' B L D R' F2 U
F' B L D F2 R' U
F2 B L R' F U L'
F' B L F R' U L2
F' B L F' R' U L2
F' B L F2 R' U L2
F2 B L F R' U L'
B F L R' U D2 L2
B F L R' U' R2 U2
B F L R' D' F2 U
B F L R' D2 U L2
F B L R' U D2 L2
F B L R' U' R2 U2
F B L R' D' F2 U
F B L R' D2 U L2
B F L F2 R' U L'
F B L F2 R' U L'
F' B R' L U L2 D
F' B R' L U L2 D'
F' B R' L U L2 D2
F' B R' L D F2 U
F' B R' L F U L2
F' B R' L F' U L2
F' B R' L F2 U L2
F' B R' U L' D' B2
F2 B R' L F U L'
F' B R' D L U L2
F' B R' D' L U L2
F' B R' D2 L U L2
F2 B R' F L U L2
D2 B F' L R U L2
B F R' L U D2 L2
B F R' L U' R2 U2
B F R' L D' F2 U
B F R' L D2 U L2
D2 B F' R L U L2
L' B F' L R' U L2
L' B F' R' L U L2
B F R' D' L F2 U
B F R' D' F2 L U
F B R' L U D2 L2
F B R' L U' R2 U2
B F R' D2 L U L
F B R' L D' F2 U
F B R' L D2 U L2
L2 B F' L R' U L2
U2 B F' L' R' U L2
F B R' D' L F2 U
F B R' D' F2 L U
F B R' D2 L U L
L2 B F' R' L U L2
U2 B F' R' L' U L2
D B F' L U L2 F
R' B' L R' F' U' L'
L B F' L R' U L2
L B F' R' L U L2
R2 B' L F' R' U' L'
F' B D L R' U L2
F' B D R' L U L2
F' B D' L R' U L2
F' B D' R' L U L2
R' B' R' L F' U' L'
F' B D2 L R' U L2
F' B D2 R' L U L2
R' B' R' F' L U' L2
B F' L R' U L2 D
B F' L R' U L2 D'
B F' L R' U L2 D2
B F' L R' D F2 U
B F' L R' F U L2
B F' L R' F' U L2
B F' L R' F2 U L2
B F' L D R' F2 U
B F' L D F2 R' U
B F' L F R' U L2
B F' L F' R' U L2
B F' L F2 R' U L2
B F' R' L U L2 D
B F' R' L U L2 D'
B F' R' L U L2 D2
B F' R' L D F2 U
B F' R' L F U L2
B F' R' L F' U L2
B F' R' L F2 U L2
B F' R' U L' D' B2
B F' R' D L U L2
B F' R' D' L U L2
B F' R' D2 L U L2
R2 B' F' L R' U' L2
R2 B' F' R' L U' L2
B F' D L R' U L2
B F' D R' L U L2
B F' D' L R' U L2
B F' D' R' L U L2
B F' D2 L R' U L2
B F' D2 R' L U L2
B F2 L R' F U L'
B F2 L F R' U L'
B F2 R' L F U L'
B F2 R' F L U L2
