R' L U D2 F' R2
R' L U F' D2 R2
L R U D2 R2 F'
R' L U' L2 U2 F'
R L U D2 R2 F'
L R U' L2 B U2
R L U' L2 B U2
L R U' B L2 U2
R L U' B L2 U2
R' L D' B2 U F'
R' L D2 U F' R2
L R D2 U R2 F'
R L D2 U R2 F'
L R' U D2 F' R2
L R' U F' D2 R2
L R' U' L2 U2 F'
L R' D' B2 U F'
L R' D2 U F' R2
L D' R' B2 U F'
L D' B2 R' U F'
L D2 R' U F' R'
L D R' U D F' R2
L D R' U2 F2 U' F
L D R' D U F' R2
L D R' D2 B2 U F'
L D U2 L F2 U' F'
L D U2 F2 L U' F
R' D' L U D2 F' R2
R' D' L U F' D2 R2
R' D' L U' L2 U2 F'
R' D' L D' B2 U F'
R' D' L D2 U F' R2
R D' L U D2 R2 F'
R D' L U' L2 B U2
R D' L U' B L2 U2
R D' L D2 U R2 F'
B' U F2 D R F' B
B' U F2 D R B F'
L D' R U D' R2 F'
L D' R D' U R2 F'
L D' R B2 U' B' U2
L D' R' U D' F' R2
L D' R' U F' D' R2
L D' R' D' U F' R2
L D' R' B2 U D F'
L D' R' B2 U D' F'
L D' R' B2 U D2 F'
L D' R' B2 U F' D
L D' R' B2 U F' D'
L D' R' B2 U F' D2
L D' R' B2 D U F'
L D' R' B2 D' U F'
L D' R' B2 D2 U F'
L D' R2 B2 R U F'
L D' B' R' B' U F'
R' D2 L U D2 F' R2
R' D2 L U F' D2 R2
R' D2 L U' L2 U2 F'
R' D2 L D' B2 U F'
R' D2 L D2 U F' R2
L D' B2 R U' B U2
L D' B2 R' U D F'
L D' B2 R' U D' F'
L D' B2 R' U D2 F'
L D' B2 R' U F' D
L D' B2 R' U F' D'
L D' B2 R' U F' D2
L D' B2 R' D U F'
L D' B2 R' D' U F'
L D' B2 R' D2 U F'
R2 D2 L U' L2 U2 F
L D' B2 U2 L U' F
R2 D2 L U' B' L2 U2
L D' B2 D R' U F'
L D' B2 D' R' U F'
L D' B2 D2 R' U F'
R D2 L U D2 R2 F'
R D2 L U' L2 B U2
R D2 L U' B L2 U2
R D2 L D2 U R2 F'
L D2 R U R2 F' R'
L D2 R U' B U2 R
L D2 R' U D F' R'
L D2 R' U D' F' R'
L D2 R' U D2 F' R'
L D2 R' U F R' F2
L D2 R' U F' R' D
L D2 R' U F' R' D'
L D2 R' U F' R' D2
L D2 R' U F' D R'
L D2 R' U F' D' R'
L D2 R' U F' D2 R'
L D2 R' U F2 R' F
L D2 R' D U F' R'
L D2 R' D' U F' R'
L D2 R' D2 U F' R'
L D2 U2 L U' R2 F
L D2 U2 L U' F R2
L D2 B R' U F' R'
L D2 B' R' U F' R'
L D2 B2 R' U F' R'
U F U' L R B U
U F U' R L B U
L' F' U F L2 R U
L' F' U F R L2 U
L B R U D2 R2 F'
L B R U' L2 B U2
L B R U' B L2 U2
L B R D2 U R2 F'
L B R' U D2 F' R2
L B R' U F' D2 R2
L B R' U' L2 U2 F'
L B R' D' B2 U F'
L B R' D2 U F' R2
F2 D2 B2 R' U' F' R2
L B D' R' B2 U F'
L B D' B2 R' U F'
L B D2 R' U F' R'
L B' R U D2 R2 F'
L B' R U' L2 B U2
L B' R U' B L2 U2
L B' R D2 U R2 F'
L B' R' U D2 F' R2
L B' R' U F' D2 R2
L B' R' U' L2 U2 F'
R' B' U F2 R F B
R' B' U F2 R B F
L B' R' D' B2 U F'
L B' R' D2 U F' R2
R' B' U' L' U2 F' B'
R' B' U' L' U2 B' F'
R2 B' U F2 R F' B
R2 B' U F2 R B F'
R B' U D2 F2 R B
R B' U' L' B2 U2 B
R B' U' B2 L' U2 B'
L B' D' R' B2 U F'
L B' D' B2 R' U F'
L B' D2 R' U F' R'
R B' D2 U F2 R B
L2 B2 L' R U R2 F'
L2 B2 L' R2 U R F'
L2 B2 R L' U R2 F'
L B2 R U D2 R2 F'
L B2 R U' L2 B U2
L B2 R U' B L2 U2
L B2 R D2 U R2 F'
L2 B2 R2 L' U R F'
L B2 R' U D2 F' R2
L B2 R' U F' D2 R2
L B2 R' U' L2 U2 F'
L B2 R' D' B2 U F'
L B2 R' D2 U F' R2
L B2 D' R' B2 U F'
L B2 D' B2 R' U F'
L B2 D2 R' U F' R'
