L2 B' R' U' F'
R' L' U' F' L' B'
L' R' U' F' L' B'
B' L' R' U' F' L'
B' L2 R' B' U' F'
D' L2 B' R' U' F'
D2 L2 B' R' U' F'
D L2 B' R' U' F'
B' R' L' U' F' L'
B' R' L2 B' U' F'
B' R' U' F' D' L2
B' R' U2 F U F2
L2 D B' R' U' F'
L2 D' B' R' U' F'
L2 D2 B' R' U' F'
B U2 F L U F
L2 B' L R' U' F'
L2 B' L' R' U' F'
L' B' R' U' F' L'
L2 B' L2 R' U' F'
L2 B' R' L U' F'
L2 B' R' L' U' F'
L2 B' R' L2 U' F'
L2 B' R' U' D F'
L2 B' R' U' D' F'
L2 B' R' U' D2 F'
L2 B' R' U' F' D
L2 B' R' U' F' D'
L2 B' R' U' F' D'
L2 B' R' U' F' D2
L2 B' R' D U' F'
L2 B' R' D' U' F'
L2 B' R' D2 U' F'
L2 B' D R' U' F'
L2 B' D' R' U' F'
L2 B' D2 R' U' F'
D2 L2 B' R' L U' F'
D2 L2 B' R' L' U' F'
D2 L2 B' R' L2 U' F'
D2 L2 B' R' U' D F'
D2 L2 B' R' U' D' F'
D2 L2 B' R' U' D2 F'
D2 L2 B' R' U' F' D
D2 L2 B' R' U' F' D'
D2 L2 B' R' U' F' D2
D2 L2 B' R' D U' F'
D2 L2 B' R' D' U' F'
D2 L2 B' R' D2 U' F'
D' L2 B' R' L U' F'
D' L2 B' R' L' U' F'
D' L2 B' R' L2 U' F'
D' L2 B' R' U' D F'
D' L2 B' R' U' D' F'
D' L2 B' R' U' D2 F'
D' L2 B' R' U' F' D
D' L2 B' R' U' F' D'
D' L2 B' R' U' F' D2
D' L2 B' R' D U' F'
D' L2 B' R' D' U' F'
D' L2 B' R' D2 U' F'
D L2 B' L R' U' F'
D L2 B' L' R' U' F'
D L2 B' L2 R' U' F'
D2 L2 B' D R' U' F'
D2 L2 B' D' R' U' F'
D' L2 B' D R' U' F'
D L2 B' R' L U' F'
D L2 B' R' L' U' F'
D L2 B' R' L2 U' F'
D2 L2 B' D2 R' U' F'
D L2 B' R' U' D F'
D L2 B' R' U' D' F'
D L2 B' R' U' D2 F'
D L2 B' R' U' F' D
D L2 B' R' U' F' D'
D L2 B' R' U' F' D2
D L2 B' R' D U' F'
D L2 B' R' D' U' F'
D' L2 B' D' R' U' F'
D L2 B' R' D2 U' F'
B2 L2 B' U2 L U F
D' L2 B' D2 R' U' F'
D L2 B' D R' U' F'
D L2 B' D' R' U' F'
D L2 B' D2 R' U' F'
F R U' B L F U2
D2 R' L' U' F' L' B'
D' R' L' U' F' L' B'
B' R' L' U' L F' L'
B' R' L' U' L' F' L'
B' R' L' U' L2 F' L'
B' R' L' U' D F' L'
B' R' L' U' D' F' L'
B' R' L' U' D2 F' L'
B' R' L' U' F' L' D
B' R' L' U' F' L' D'
B' R' L' U' F' L' D2
B' R' L' U' F' D L'
B' R' L' U' F' D' L'
B' R' L' U' F' D2 L'
B' R' L' D U' F' L'
B' R' L' D' U' F' L'
B' R' L' D2 U' F' L'
D R' L' U' F' L' B'
B' R' L' B U' F' L'
B' R' L' B' U' F' L'
B' R' L' B2 U' F' L'
R' U' F' L D' L2 B'
R' U' F' L' D' B' L2
R' U' F' L' B' D' L2
B' R' L2 D B' U' F'
B' R' L2 D' B' U' F'
B' R' L2 D2 B' U' F'
B' R' L2 B' L U' F'
B' R' L2 B' L' U' F'
B' R' L2 B' L2 U' F'
B' R' L2 B' U' D F'
B' R' L2 B' U' D' F'
B' R' L2 B' U' D2 F'
B' R' L2 B' U' F' D
B' R' L2 B' U' F' D'
B' R' L2 B' U' F' D2
B' R' L2 B' D U' F'
B' R' L2 B' D' U' F'
B' R' L2 B' D2 U' F'
R' U' F' D' L' B' L'
F R' U D' F' R B
B' R' U' D F' D' L2
B' R' U' D' F' D' L2
B' R' U' D2 F' D' L2
B' R' U' F' L D' L2
B' R' U' F' L' D' L2
B' R' U' F' L2 D' L2
B' R' U' F' U' F2 U
B' R' U' F' D' L2 D
B' R' U' F' D' L2 D'
B' R' U' F' D' L2 D2
B' R' U2 D F U F2
B' R' U2 D' F U F2
B' R' U2 D2 F U F2
B' R' U2 F R U F2
B' R' U2 F R' U F2
B' R' U2 F R2 U F2
B' R' U2 F U F2 D
B' R' U2 F U F2 D'
B' R' U2 F U F2 D2
B' R' U2 F D R2 U
B' R' D L' U' F' L'
B R' U2 F L U F2
B' R' D L2 B' U' F'
B' R' D U' F' D' L2
B' R' D U2 F U F2
B' R' D' L' U' F' L'
B' R' D' L2 B' U' F'
B' R' D' U' F' D' L2
B' R' D' U2 F U F2
B' R' D2 L' U' F' L'
B' R' D2 L2 B' U' F'
F R' D' U F' R B
B' R' D2 U' F' D' L2
B' R' D2 U2 F U F2
U R' F' U F2 R U
B' R' B L' U' F' L'
B' R' B L2 B' U' F'
B' R' B U' F' D' L2
B' R' B U2 F U F2
B' R' B' L' U' F' L'
B' R' B' L2 B' U' F'
B' R' B' U' F' D' L2
B' R' B' U2 F U F2
B' R' B2 L' U' F' L'
B' R' B2 L2 B' U' F'
B' R' B2 U' F' D' L2
B' R' B2 U2 F U F2
R' U2 F U2 R U' F2
R' U2 F' L' F2 U F2
R2 U2 F U2 R U' F'
B' R2 L2 B' R U' F'
F R2 D B L R' U
F R2 D B R' L U
R' D L' U' F' L' B'
L' D L' B' R' U' F'
R2 D L2 B' L R' U'
R2 D L2 B' R' L U'
L' D R' U' F' L' B'
F R2 B L R U F'
F R2 B R L U F'
L' D B' R' U' F' L'
L2 D B' L R' U' F'
L2 D B' L' R' U' F'
L2 D B' L2 R' U' F'
L2 D B' R' L U' F'
L2 D B' R' L' U' F'
L2 D B' R' L2 U' F'
L2 D B' R' U' D F'
L2 D B' R' U' D' F'
L2 D B' R' U' D2 F'
L2 D B' R' U' F' D
L2 D B' R' U' F' D'
L2 D B' R' U' F' D2
L2 D B' R' D U' F'
L2 D B' R' D' U' F'
L2 D B' R' D2 U' F'
L2 D B' D R' U' F'
L2 D B' D' R' U' F'
L2 D B' D2 R' U' F'
R' D' L' U' F' L' B'
L' D' L' B' R' U' F'
L' D' R' U' F' L' B'
L' D' B' R' U' F' L'
L2 D' B' L R' U' F'
L2 D' B' L' R' U' F'
L2 D' B' L2 R' U' F'
L2 D' B' R' L U' F'
L2 D' B' R' L' U' F'
L2 D' B' R' L2 U' F'
L2 D' B' R' U' D F'
L2 D' B' R' U' D' F'
L2 D' B' R' U' D2 F'
L2 D' B' R' U' F' D
L2 D' B' R' U' F' D'
L2 D' B' R' U' F' D2
L2 D' B' R' D U' F'
L2 D' B' R' D' U' F'
L2 D' B' R' D2 U' F'
L2 D' B' D R' U' F'
L2 D' B' D' R' U' F'
L2 D' B' D2 R' U' F'
L D' B' R' U' L F'
L D' B' R' U' F' L
R' D2 L' U' F' L' B'
L' D2 L' B' R' U' F'
L' D2 R' U' F' L' B'
B U2 L U D F L'
B U2 L D U F L'
B U2 R F L U F
L' D2 B' R' U' F' L'
L2 D2 B' L R' U' F'
L2 D2 B' L' R' U' F'
L2 D2 B' L2 R' U' F'
B U2 R' F L U F
L2 D2 B' R' L U' F'
L2 D2 B' R' L' U' F'
L2 D2 B' R' L2 U' F'
L2 D2 B' R' U' D F'
L2 D2 B' R' U' D' F'
L2 D2 B' R' U' D2 F'
L2 D2 B' R' U' F' D
L2 D2 B' R' U' F' D'
L2 D2 B' R' U' F' D2
L2 D2 B' R' D U' F'
L2 D2 B' R' D' U' F'
L2 D2 B' R' D2 U' F'
L2 D2 B' D R' U' F'
L2 D2 B' D' R' U' F'
L2 D2 B' D2 R' U' F'
B U2 R2 F L U F
L D2 B' R' B U' F'
B U2 D F L U F
U2 F L U2 R U' F
B U2 D' F L U F
B' U2 F U2 R' U' F'
B U2 D2 F L U F
B U2 F L R U F
B U2 F L R' U F
B U2 F L R2 U F
B U2 F L U D F
B U2 F L U D' F
B U2 F L U D2 F
B U2 F L U F D
B U2 F L U F D'
B U2 F L U F D2
B U2 F L D U F
B U2 F L D' U F
B U2 F L D2 U F
B U2 F R L U F
B U2 F R' L U F
B U2 F R2 L U F
B U2 F D L U F
B U2 F D' L U F
B U2 F D2 L U F
B U2 F' L F2 U F'
B U2 F2 L F' U F2
R' F R2 B L U F2
U2 F R2 U2 R' U' F'
R F R2 B L U F'
B' D L' R' U' F' L'
U2 F U2 R U B U2
R' F D R2 B L U
B' D L2 R' B' U' F'
B' D R' L' U' F' L'
B' D R' L2 B' U' F'
B' D R' U' F' D' L2
B' D R' U2 F U F2
U2 F' L F2 L2 U F'
U2 F' L' U D' L2 F
U2 F' L' D' U L2 F
B D U2 F L U F
U2 F' L' F2 U' B' U2
B' D' L' R' U' F' L'
B' D' L2 R' B' U' F'
B' D' R' L' U' F' L'
B' D' R' L2 B' U' F'
B' D' R' U' F' D' L2
B' D' R' U2 F U F2
L2 F' B' R' F U' F2
B D' U2 F L U F
B' D2 L' R' U' F' L'
U F2 U F' L' R U
U F2 U F' R L' U
B' D2 L2 R' B' U' F'
B' D2 R' L' U' F' L'
B' D2 R' L2 B' U' F'
B' D2 R' U' F' D' L2
B' D2 R' U2 F U F2
L2 F2 B' R' F2 U' F
B D2 U2 F L U F
R' B U2 F L U F2
D2 B U2 F L U F
D' B U2 F L U F
D B U2 F L U F
R B U2 F L U F'
L2 B' L R' U' D F'
L2 B' L R' U' D' F'
L2 B' L R' U' D2 F'
L2 B' L R' U' F' D
L2 B' L R' U' F' D'
L2 B' L R' U' F' D2
L2 B' L R' D U' F'
L2 B' L R' D' U' F'
L2 B' L R' D2 U' F'
D2 B' L' R' U' F' L'
D' B' L' R' U' F' L'
L2 B' L D R' U' F'
L' B' L' R' B' U' F'
L2 B' L D' R' U' F'
L2 B' L D2 R' U' F'
L2 B' L' R' U' D F'
L2 B' L' R' U' D' F'
L2 B' L' R' U' D2 F'
L2 B' L' R' U' F' D
L2 B' L' R' U' F' D'
L2 B' L' R' U' F' D2
L2 B' L' R' D U' F'
L2 B' L' R' D' U' F'
L2 B' L' R' D2 U' F'
D2 B' L2 R' B' U' F'
D' B' L2 R' B' U' F'
L2 B' L' D R' U' F'
L B' L R' B' U' F'
L2 B' L' D' R' U' F'
L2 B' L' D2 R' U' F'
D B' L' R' U' F' L'
L2 B' L2 R' U' D F'
L2 B' L2 R' U' D' F'
L2 B' L2 R' U' D2 F'
L2 B' L2 R' U' F' D
L2 B' L2 R' U' F' D'
L2 B' L2 R' U' F' D2
L2 B' L2 R' D U' F'
L2 B' L2 R' D' U' F'
L2 B' L2 R' D2 U' F'
L2 B' L2 D R' U' F'
L2 B' L2 D' R' U' F'
L2 B' L2 D2 R' U' F'
D B' L2 R' B' U' F'
D2 B' R' L' U' F' L'
D2 B' R' L2 B' U' F'
D' B' R' L' U' F' L'
D2 B' R' U' F' D' L2
D' B' R' L2 B' U' F'
L B' L2 R' U' F' L'
D2 B' R' U2 F U F2
L' B' R' L' B' U' F'
D' B' R' U' F' D' L2
D' B' R' U2 F U F2
L' B' R' U' L F' L'
L' B' R' U' L' F' L'
L' B' R' U' L2 F' L'
L' B' R' U' D F' L'
L' B' R' U' D' F' L'
L' B' R' U' D2 F' L'
L' B' R' U' F' L' D
L' B' R' U' F' L' D'
L' B' R' U' F' L' D2
L' B' R' U' F' D L'
L' B' R' U' F' D' L'
L' B' R' U' F' D2 L'
L' B' R' D U' F' L'
L' B' R' D' U' F' L'
L' B' R' D2 U' F' L'
L2 B' R' L U' D F'
L2 B' R' L U' D' F'
L2 B' R' L U' D2 F'
L2 B' R' L U' F' D
L2 B' R' L U' F' D'
L2 B' R' L U' F' D2
L2 B' R' L D U' F'
L2 B' R' L D' U' F'
L2 B' R' L D2 U' F'
L2 B' R' L' U' D F'
L2 B' R' L' U' D' F'
L2 B' R' L' U' D2 F'
L2 B' R' L' U' F' D
L2 B' R' L' U' F' D'
L2 B' R' L' U' F' D2
L2 B' R' L' D U' F'
L2 B' R' L' D' U' F'
L2 B' R' L' D2 U' F'
L2 B' R' L2 U' D F'
L2 B' R' L2 U' D' F'
L2 B' R' L2 U' D2 F'
L2 B' R' L2 U' F' D
L2 B' R' L2 U' F' D'
L2 B' R' L2 U' F' D2
L2 B' R' L2 D U' F'
L2 B' R' L2 D' U' F'
L2 B' R' L2 D2 U' F'
L' B' R' B U' F' L'
L2 B' R' U B U2 F'
L2 B' R' U B' U2 F'
L2 B' R' U B2 U2 F'
L2 B' R' U' L' F' L
L' B' R' B' U' F' L'
L2 B' R' U' L2 F' L2
L2 B' R' U' D F' D
L2 B' R' U' D F' D'
L2 B' R' U' D F' D2
L2 B' R' U' D' F' D
L2 B' R' U' D' F' D'
L2 B' R' U' D' F' D2
L2 B' R' U' D2 F' D
L2 B' R' U' D2 F' D'
L2 B' R' U' D2 F' D2
L2 B' R' U' F2 D F
L2 B' R' U' F2 D' F
L2 B' R' U' F2 D2 F
L' B' R' B2 U' F' L'
L2 B' R' D L U' F'
L2 B' R' D L' U' F'
L2 B' R' D L2 U' F'
L2 B' R' D U' F' D
L2 B' R' D U' F' D'
L2 B' R' D U' F' D2
L2 B' R' D' L U' F'
L2 B' R' D' L' U' F'
L2 B' R' D' L2 U' F'
L2 B' R' D' U' F' D
L2 B' R' D' U' F' D'
L2 B' R' D' U' F' D2
L2 B' R' D2 L U' F'
L2 B' R' D2 L' U' F'
L2 B' R' D2 L2 U' F'
L2 B' R' D2 U' F' D
L2 B' R' D2 U' F' D'
L2 B' R' D2 U' F' D2
D B' R' L' U' F' L'
D B' R' L2 B' U' F'
D B' R' U' F' D' L2
D B' R' U2 F U F2
L B' R' L B' U' F'
L B' R' L2 U' F' L'
R B' R' D L2 B' U'
L' B' D R' U' F' L'
L2 B' D L R' U' F'
L2 B' D L' R' U' F'
L2 B' D L2 R' U' F'
L2 B' D R' L U' F'
L2 B' D R' L' U' F'
L2 B' D R' L2 U' F'
L2 B' D R' U' D F'
L2 B' D R' U' D' F'
L2 B' D R' U' D2 F'
L2 B' D R' U' F' D
L2 B' D R' U' F' D'
L2 B' D R' U' F' D2
L2 B' D R' D U' F'
L2 B' D R' D' U' F'
L2 B' D R' D2 U' F'
L' B' D' R' U' F' L'
L2 B' D' L R' U' F'
L2 B' D' L' R' U' F'
L2 B' D' L2 R' U' F'
L2 B' D' R' L U' F'
L2 B' D' R' L' U' F'
L2 B' D' R' L2 U' F'
L2 B' D' R' U' D F'
L2 B' D' R' U' D' F'
L2 B' D' R' U' D2 F'
L2 B' D' R' U' F' D
L2 B' D' R' U' F' D'
L2 B' D' R' U' F' D2
L2 B' D' R' D U' F'
L2 B' D' R' D' U' F'
L2 B' D' R' D2 U' F'
L' B' D2 R' U' F' L'
L2 B' D2 L R' U' F'
R B' D L2 R' B' U'
L2 B' D2 L' R' U' F'
L2 B' D2 L2 R' U' F'
R B' D R' L2 B' U'
L2 B' D2 R' L U' F'
L2 B' D2 R' L' U' F'
L2 B' D2 R' L2 U' F'
L2 B' D2 R' U' D F'
L2 B' D2 R' U' D' F'
L2 B' D2 R' U' D2 F'
L2 B' D2 R' U' F' D
L2 B' D2 R' U' F' D'
L2 B' D2 R' U' F' D2
L2 B' D2 R' D U' F'
L2 B' D2 R' D' U' F'
L2 B' D2 R' D2 U' F'
L B' D2 R' B U' F'
L2 B' F' R' F U' F2
L2 B' F2 R' F2 U' F
L2 B2 L B R' U' F'
L2 B2 L' B R' U' F'
L2 B2 L2 B R' U' F'
