B2 L F' R U L
B2 L F2 U L F
B2 F' L R U L
B2 F' R L U L
F' B2 L R U L
B2 F2 L U L F
F2 B2 L U L F
F' B2 R L U L
B2 F2 L U L F D2
F' B2 L D R U L
B2 F2 L U D L F
B2 F2 L U D' L F
B2 F2 L U D2 L F
F2 B2 L R' U L F
B2 F2 L U F L F
B2 F2 L U F' L F
B2 F2 L U F2 L F
F' B2 L D' R U L
F2 B2 L R2 U L F
F' B2 L D2 R U L
F2 B2 L U L D F
F2 B2 L U L D' F
F2 B2 L U L D2 F
F2 B2 L U L F D
F2 B2 L U L F D'
F2 B2 L U L F D2
F2 B2 L U D L F
F2 B2 L U D' L F
F2 B2 L U D2 L F
F2 B2 L U F L F
F2 B2 L U F' L F
F2 B2 L U F2 L F
B2 F2 L D U L F
F' B2 L F' U L F
B2 F2 L D' U L F
B2 F2 L D2 U L F
F2 B2 L D U L F
B2 F2 L F R U L
F2 B2 L D' U L F
F2 B2 L D2 U L F
F2 B2 L F R U L
F B2 L U D L F2
F B2 L U D F2 L
F B2 L U2 L2 U' L'
F B2 L D U L F2
F B2 L D U F2 L
F B2 L D2 R2 U L
F' B2 R L U L D
F' B2 R L U L D'
F' B2 R L U L D2
F' B2 R L U D L
F' B2 R L U D' L
F' B2 R L U D2 L
F' B2 R L D U L
F' B2 R L D' U L
F' B2 R L D2 U L
F' B2 R L F U L
F' B2 R L F' U L
F' B2 R L F2 U L
B2 F2 R L U L F
F2 B2 R L U L F
F' B2 R D L F2 U
F' B2 R D F2 L U
F' B2 R F L U L
F' B2 R F' L U L
F' B2 R F2 L U L
B2 F2 R' L U L F
F2 B2 R' L U L F
B2 F2 R2 L U L F
F2 B2 R2 L U L F
L' B2 D' L U L2 F
F' B2 D L R F2 U
F' B2 D R L F2 U
F' B2 D R F2 L U
U' B2 F' L R U L
U' B2 F' R L U L
U' B2 F2 L U L F
L2 B2 F' L R U L'
U2 B2 F' L R U L
L2 B2 F' R L U L'
U2 B2 F' R L U L
F B2 D F2 L R U
F B2 D F2 R L U
U2 B2 F2 L U L F
U B2 F' L R U L
U B2 F' R L U L
U B2 F2 L U L F
