D L' D2 L' F B2
D L' D2 L' B2 F
D' L' D2 F L2 B'
D L' D2 B2 L' F
D' L' F B2 D2 L2
D' L' B2 D2 F L2
D' L' B2 F D2 L2
D' B2 L D2 L2 F
D' B2 L' D2 F L2
D' B2 L' F D2 L2
D F L' D2 L' B' F
D F L2 R F' R' B'
D F L2 B' R F' R'
D F R L2 F' R' B'
L' F U L' B2 U' B
L2 F U L' B2 U' B2
L' F U B2 L' U' B'
L2 F U B2 L' U' B2
L F U B2 L' R' U'
L F U B2 R' L' U'
L2 F U2 L' B2 U' R'
L2 F D2 F2 R U R'
D' F B2 L D2 L2 F
D' F B2 L' D2 F L2
D' F B2 L' F D2 L2
L F B2 L' R' U' R
L F B2 R' L' U' R
D' F' L' D2 F L2 B'
D' F' L' F B2 D2 L2
U' F' L2 R U D L2
U' F' L2 R U2 B2 U'
U' F' L2 R D U L2
U' F' L2 R D2 F2 U
D' F' L' B2 D2 F L2
D' F' L' B2 F D2 L2
U' F' L2 D R U L2
U' F' L2 D2 R F2 U
U' F' R L2 U D L2
U' F' R L2 U2 B2 U'
U' F' R L2 D U L2
U' F' R L2 D2 F2 U
L2 F' R U R' D L2
L2 F' R U D L2 R'
L2 F' R U D R' L2
L2 F' R D U L2 R'
L2 F' R D U R' L2
L2 F' R D2 F2 U R'
B' D' L' B2 D F L'
B2 D' L' F B2 D L2
B2 D' L' B2 D F L2
B2 D' L' B2 F D L2
L2 F' D R U L2 R'
L2 F' D R U R' L2
U' F' D2 R F2 L' U
L2 F' D2 R F2 U R'
D' F' B2 L D2 L2 F
D' F' B2 L' D2 F L2
D' F' B2 L' D2 F L2
D' F' B2 L' F D2 L2
D' F2 L' D2 F L2 B'
D' F2 L' F B2 D2 L2
D' F2 L' B2 D2 F L2
D' F2 L' B2 F D2 L2
D F2 R U2 L2 F' R'
D F2 R U2 F' L2 R'
D F2 R U2 F' R' L2
D F2 R F' L2 R' B'
D F2 R F' R' L2 B'
D F2 R' B U2 L2 R
D F2 R' B U2 R L2
B2 D' B2 L D L2 F
B2 D' B2 L' D F L2
B2 D' B2 L' F D L2
B D' B2 L' D F L'
F' D2 R F2 L' U R'
B' D2 R2 B' L U' R2
D' F2 B2 L D2 L2 F
D' F2 B2 L' D2 F L2
D' F2 B2 L' F D2 L2
B' D2 U R2 B' L U'
L' F2 B2 R U' R' F'
B' D2 U B' L R2 U'
B' D2 U B' R2 L U'
F' D2 U' R F2 L' U
D' B L D2 L2 F B
D' B L D2 L2 B F
D' B L B D2 L2 F2
D' B L B D2 F2 L2
D' B L' D2 F L2 B
D' B L' D2 F B L2
D' B L' D2 B F L2
D' B L' F D2 L2 B
D' B L' F D2 B L2
D' B L' F B D2 L2
D' B L' B D2 F L2
D' B L' B F D2 L2
D B L' D2 L' F B2
D B L' D2 L' B2 F
D B L' D2 B2 L' F
B' D2 B' L R2 U' R2
B' D2 B' R2 L U' R2
L2 B R2 F' R U R
B2 F L' F2 R U' R'
D B' L' D2 L' F B2
D B' L' D2 L' B2 F
D B' L' D2 B2 L' F
B2 F D2 L' R2 U' R2
B2 F D2 R2 L' U' R2
B' F' L2 R F U R'
F' B' L2 R F U R'
B' F' R L2 F U R'
F2 B' L2 F R U R'
F' B' R L2 F U R'
B' F' U' L2 R F U
B' F' U' R L2 F U
F' B' U' L2 R F U
F' B' U' R L2 F U
B2 F' U' L2 R U L2
B2 F' U' R L2 U L2
U B' D2 R2 B' L U'
U B' D2 B' L R2 U'
U B' D2 B' R2 L U'
D' B2 L U2 R2 B' U2
D' B2 L U2 B' R2 U2
D' B2 L D2 L2 D F
D' B2 L D2 L2 D' F
D' B2 L D2 L2 D2 F
D' B2 L D2 L2 F D
D' B2 L D2 L2 F D'
D' B2 L D2 L2 F D2
D' B2 L D2 F L2 F
D' B2 L D2 F' L2 F
D' B2 L D2 F2 L2 F
D' B2 L F D2 L2 F
D' B2 L F' D2 L2 F
D' B2 L F2 D2 L2 F
D' B2 L' U2 R2 U2 F
D' B2 L' D F D L2
D' B2 L' D2 F L2 D
D' B2 L' D2 F L2 D'
D' B2 L' D2 F L2 D2
D' B2 L' D2 F' L2 F2
D' B2 L' D2 F2 L2 F'
D' B2 L' F L D2 L2
D' B2 L' F L' D2 L2
D' B2 L' F L2 D2 L2
D' B2 L' F U2 R2 U2
D' B2 L' F D2 L2 D
D' B2 L' F D2 L2 D'
D' B2 L' F D2 L2 D2
D' B2 L' F2 D2 L2 F'
D' B2 L' F2 D2 F' L2
D' B2 L2 D2 L F L
D B2 L' D2 L' F B2
D B2 L' D2 L' B2 F
D B2 L' D2 B2 L' F
D' B2 R F2 L' R' F
D' B2 R F2 L' F R'
D' B2 R F2 R' L' F
B' F2 L2 F R U R'
F B2 L' F2 R U' R'
L B2 R' U' D R F'
L B2 R' D U' R F'
F' B2 U' L2 R U L2
F' B2 U' R L2 U L2
D' B2 D2 L' D2 L' F
D' B2 D2 L2 R F' R'
D' B2 D2 R L2 F' R'
D' B2 D2 R F' L2 R'
D' B2 D2 R F' R' L2
D' B2 F L D2 L2 F
D' B2 F L' D2 F L2
D' B2 F L' F D2 L2
U B2 D' L' U' F B2
U B2 D' L' U' B2 F
D' B2 F' L D2 L2 F
D' B2 F' L' D2 F L2
D' B2 F' L' F D2 L2
D' B2 F2 L D2 L2 F
D' B2 F2 L' D2 F L2
D' B2 F2 L' F D2 L2
L' B2 F2 R U' R' F'
L B2 F L' R' U' R
L B2 F R' L' U' R
F B2 D2 L' R2 U' R2
F B2 D2 R2 L' U' R2
