B L2 D F2 L' R
B L2 D F2 R L'
B' R2 U' B2 L R
B' R2 U' B2 R L
B' U R U2 R2 B2
B' U R U2 B2 R2
F2 U' L' B D' R2
B' U' R' B2 D2 L2
B' U' R2 B2 L R
B' U' R2 B2 R L
F2 B' U' L' R' B2
F2 B' U' R' L' B2
F2 B' U' R' B2 L'
B' F2 U' L' R' B2
B' F2 U' R' L' B2
B' F2 U' R' B2 L'
D' B' U' R2 B2 L R
D' B' U' R2 B2 R L
D B' U R U2 R2 B2
D B' U R U2 B2 R2
F2 B' R U' L' R2 B2
F2 B' R U' L' B2 R2
F2 B' R U' R2 L' B2
F2 B' R U' R2 B2 L'
D B' U' R' B2 D2 L2
F2 B' R U' B2 L' R2
F2 B' R U' B2 R2 L'
D B' U' R2 B2 L R
D B' U' R2 B2 R L
F2 B' R2 U' L' R B2
F2 B' R2 U' L' B2 R
F2 B' R2 U' R L' B2
F2 B' R2 U' R B2 L'
F2 B' R2 U' B2 L' R
F2 B' R2 U' B2 R L'
F2 B' U' L R' B2 L2
F2 B' U' L' R B2 R2
F2 B' U' L' R' B2 D
F2 B' U' L' R' B2 D'
F2 B' U' L' R' B2 D2
F2 B' U' L' R2 B2 R
F2 B' U' R L' B2 R2
F2 B' U' R B2 L' R2
F2 B' U' R B2 R2 L'
F2 B' U' R' L B2 L2
F2 B' U' R' L' B2 D
F2 B' U' R' L' B2 D'
F2 B' U' R' L' B2 D2
F2 B' U' R' B L' B
F2 B' U' R' B2 L' D
F2 B' U' R' B2 L' D'
F2 B' U' R' B2 L' D2
F2 B' U' R' B2 D L'
F2 B' U' R' B2 D' L'
F2 B' U' R' B2 D2 L'
F2 B' U' R2 L' B2 R
F2 B' U' R2 B2 L' R
F2 B' U' R2 B2 R L'
F2 B' U' B2 L' D2 R2
D2 B' F2 U' L' R' B2
D2 B' F2 U' R' L' B2
D2 B' F2 U' R' B2 L'
D' B' F2 U' L' R' B2
D' B' F2 U' R' L' B2
D' B' F2 U' R' B2 L'
D B' F2 U' L' R' B2
D B' F2 U' R' L' B2
D B' F2 U' R' B2 L'
F2 B' D' R2 U' L' R
F2 B' D' R2 U' R L'
B' F2 R U' L' R2 B2
B' F2 R U' L' B2 R2
B' F2 R U' R2 L' B2
B' F2 R U' R2 B2 L'
B' F2 R U' B2 L' R2
B' F2 R U' B2 R2 L'
B F2 L2 D F2 L R
B F2 L2 D F2 R L
R2 B2 R2 U' L B R'
B' F2 R2 U' L' R B2
B' F2 R2 U' L' B2 R
B' F2 R2 U' R L' B2
B' F2 R2 U' R B2 L'
B' F2 R2 U' B2 L' R
B' F2 R2 U' B2 R L'
R2 B2 U' L R2 B R'
R2 B2 U' R2 L B R'
B' F2 U' L R' B2 L2
B' F2 U' L' R B2 R2
B' F2 U' L' R' B2 D
B' F2 U' L' R' B2 D'
B' F2 U' L' R' B2 D2
B' F2 U' L' R2 B2 R
B' F2 U' R L' B2 R2
B' F2 U' R B2 L' R2
B' F2 U' R B2 R2 L'
B' F2 U' R' L B2 L2
B' F2 U' R' L' B2 D
B' F2 U' R' L' B2 D'
B' F2 U' R' L' B2 D2
B' F2 U' R' B L' B
B' F2 U' R' B2 L' D
B' F2 U' R' B2 L' D'
B' F2 U' R' B2 L' D2
B' F2 U' R' B2 D L'
B' F2 U' R' B2 D' L'
B' F2 U' R' B2 D2 L'
B' F2 U' R2 L' B2 R
B' F2 U' R2 B2 L' R
B' F2 U' R2 B2 R L'
B' F2 U' B2 L' D2 R2
B2 F2 U' B L' R' B2
B2 F2 U' B R' L' B2
B2 F2 U' B R' B2 L'
B2 F2 U' B' L' D2 R2
F2 B2 U' B L' R' B2
F2 B2 U' B R' L' B2
F2 B2 U' B R' B2 L'
F2 B2 U' B' L' D2 R2
B' F2 D' R2 U' L' R
B' F2 D' R2 U' R L'
