R' L' U' F B L
L' R' U' F B L
R' L' U' B F L
L' R' U' B F L
B L' R' U' F B
B L' R' U' B F
R' U' L' F B L
R' U' L' B F L
R' U' L2 B L F
B R' L' U' F B
B R' L' U' B F
R' U' B L' F L2
L' D B R' U' F
L' B R' U' F B
L' B R' U' B F
R' U' L' D' F B L
R' U' L' D' B F L
R' U' L' D2 F B L
R' U' L' D2 B F L
R' U' L' F L B L
R' U' L' F L' B L
R' U' L' F L2 B L
R' U' L' F D B L
R' U' L' F D' B L
R' U' L' F D2 B L
R' U' L' F B L D
R' U' L' F B L D'
R' U' L' F B L D2
R' U' L' F B D L
R' U' L' F B D' L
R' U' L' F B D2 L
R' U' L' F' B L F2
R' U' L' F2 B L F'
R' U' L' B D F L
R' U' L' B D' F L
R' U' L' B D2 F L
R' U' L' B F L D
R' U' L' B F L D'
R' U' L' B F L D2
R' U' L' B F D L
R' U' L' B F D' L
R' U' L' B F D2 L
R' U' L' B F' L F2
R' U' L' B F2 L F'
R' U' L2 D B L F
R' U' L2 D' B L F
R' U' L2 D2 B L F
R' U' L2 F B L F
R' U' L2 F' B L F
R' U' L2 F2 B L F
R' U' L2 B L D F
R' U' L2 B L D' F
R' U' L2 B L D2 F
R' U' L2 B L F D
R' U' L2 B L F D'
R' U' L2 B L F D2
R' U' L2 B D L F
R' U' L2 B D' L F
R' U' L2 B D2 L F
R' U' L2 B F L F
R' U' L2 B F' L F
R' U' L2 B F2 L F
B R' L U B' U2 B2
B R' L U' B D2 F2
R' U' F L' F B L
R' U' F L' B F L
R' U' F L2 B L F
B R' L' U' D F B
B R' L' U' D B F
B R' L' U' D' F B
B R' L' U' D' B F
B R' L' U' D2 F B
B R' L' U' D2 B F
B R' L' U' F D B
B R' L' U' F D' B
B R' L' U' F D2 B
B R' L' U' F B D
B R' L' U' F B D'
B R' L' U' F B D2
B R' L' U' B D F
B R' L' U' B D' F
B R' L' U' B D2 F
B R' L' U' B F D
B R' L' U' B F D'
B R' L' U' B F D2
R' U' F B L' F L2
B R' L' D U' F B
B R' L' D U' B F
B' R' L' B2 U' F B'
B' R' L' B2 U' B' F
B R' L' D' U' F B
B R' L' D' U' B F
B R' L' D2 U' F B
B R' L' D2 U' B F
R' U' F' L' F B L
R' U' F' L' B F L
R' U' F' L2 B L F
R' U' F' B L' F L2
R' U' F2 L' F B L
R' U' F2 L' B F L
R' U' F2 L2 B L F
U2 R' U F' L' F B
U2 R' U F' L' B F
U2 R' U F' B L' F
R' U' F2 B L' F L2
U2 R' U B F' L' F
R' U' B L U2 B' U2
R' U' B L' F L2 D
R' U' B L' F L2 D'
R' U' B L' F L2 D2
R' U' B L' F' L2 F2
R' U' B L' F2 L2 F'
B R' U' L' F L B
R' U' B F L' F L2
R' U' B F' L' F L2
R' U' B F2 L' F L2
B R' U' B L' F L
R' U' B' L' F B2 L
R' U' B' L' B2 F L
R' U' B' L2 B2 L F
B R' U2 L' U F B
B R' U2 L' U B F
B2 R' D' B' L U' B2
R2 U2 L' F' U F2 B'
R2 U2 L' F' U B' F2
L2 U2 R' U F' L' B
L2 U2 R' U F' B L'
L2 U2 R' U B F' L'
B2 R' B' L' U' F B2
B2 R' B' L' U' B2 F
R2 U2 F' L' U F B'
R2 U2 F' L' U B' F
U R2 U F' L' U F
B R2 U2 L' U F B'
B R2 U2 L' U B' F
U2 R2 D F' R U B
L2 D L B R' U' F
B R2 D2 R U' F' B
B R2 D2 R U' B F'
L D L2 B R' U' F
L' D B R' U' D F
L' D B R' U' D' F
L' D B R' U' D2 F
L' D B R' U' F D
L' D B R' U' F D'
L' D B R' U' F D2
L' D B R' D U' F
L' D B R' D' U' F
L' D B R' D2 U' F
L2 D B L R' U' F
L' D B D R' U' F
L' D B D' R' U' F
L' D B D2 R' U' F
L2 D B R' L U' F
L D B R' U B2 U2
L D B R' U' D2 F2
L D B R' D L2 U'
L D B R' D2 U' F2
L D B D L2 R' U'
L D B D R' L2 U'
L D B D2 R' U' F2
B U' L' D2 F L B'
B U' L' F D2 L B'
B U' R' D2 B R F'
B U' R' B D2 R F'
L2 D2 L B U' F B2
L2 D2 L B U' B2 F
R2 D2 R U' F' B L
R2 D2 R U' B L F'
R2 D2 R U' B F' L
B U2 L' R' U F B
B U2 L' R' U B F
L2 D2 B L U' F B'
L2 D2 B L U' B' F
B U2 R' L' U F B
B U2 R' L' U B F
D F L' F' B R' U'
D F L' B F' R' U'
D F B L' F' R' U'
F' D F L' B R' U'
F' D F B L' R' U'
F' D F B R' L' U'
F' D B R' F L' U'
F' D B F L' R' U'
F' D B F R' L' U'
B2 D' B' D' L U' B'
B D2 L R U' F' B'
B D2 L R U' B' F'
B D2 R L U' F' B'
B D2 R L U' B' F'
D2 B L R U' F' B'
D2 B L R U' B' F'
L2 B L R' U' F B
L2 B L R' U' B F
D2 B R L U' F' B'
D2 B R L U' B' F'
L' B R U F' U2 F2
L' B R U' F D2 B2
L' B R' U' D F B
L' B R' U' D B F
L' B R' U' D' F B
L' B R' U' D' B F
L' B R' U' D2 F B
L' B R' U' D2 B F
L' B R' U' F D B
L' B R' U' F D' B
L' B R' U' F D2 B
L' B R' U' F B D
L' B R' U' F B D'
L' B R' U' F B D2
L' B R' U' B D F
L' B R' U' B D' F
L' B R' U' B D2 F
L' B R' U' B F D
L' B R' U' B F D'
L' B R' U' B F D2
L' B R' D U' F B
L' B R' D U' B F
L' B R' D' U' F B
L' B R' D' U' B F
L' B R' D2 U' F B
L' B R' D2 U' B F
L2 B R' L U' F B
L2 B R' L U' B F
L B R U F' B2 U2
L B R U B2 F' U2
D B R' D' L' U' F
D B R' F L' F' U'
L B R' U B2 U2 B'
L B R' U' D2 F2 B
L B R' U' D2 B F2
L B R' D L2 U' B
L B R' D2 U' F2 B
L B R' D2 U' B F2
D B R2 D R U' F'
L' B U' R' B R F
L' B U' F R' B R
L' B U2 R' U F B
L' B U2 R' U B F
D' B U2 D R' U B
L2 B U2 R' U F' B
L2 B U2 R' U B F'
D' B D U2 R' U B
D B D R' U B U2
D B D' L' R' U' F
D B D' R' L' U' F
L2 B D2 L U' F B'
L2 B D2 L U' B' F
L B D2 L U' F2 B'
L B D2 L U' B' F2
D B F L' F' R' U'
L' B' R' B2 U' F B'
L' B' R' B2 U' B' F
L' B2 R' B' U' F B2
L' B2 R' B' U' B2 F
D B2 D2 B' L R' U'
D B2 D2 B' R' L U'
