D B2 L R2 F B'
D B2 L R2 B' F
D B2 L F R2 B'
D B2 L F B' R2
D B2 L B' R2 F
D B2 L B' F R2
D B2 R2 L F B'
D B2 R2 L B' F
D F B2 L B' F R2
D F B2 R2 L F B'
D F B2 R2 L B' F
D F' B2 L R2 F B'
D F' B2 L R2 B' F
D F' B2 L F R2 B'
D F' B2 L F B' R2
D F' B2 L B' R2 F
D F' B2 L B' F R2
D F' B2 R2 L F B'
D F' B2 R2 L B' F
B' D2 L B2 U F L'
D F2 B2 L R2 F B'
D F2 B2 L R2 B' F
D F2 B2 L F R2 B'
D F2 B2 L F B' R2
D F2 B2 L B' R2 F
D F2 B2 L B' F R2
D F2 B2 R2 L F B'
D F2 B2 R2 L B' F
D B R2 B L F B'
D B R2 B L B' F
D B' L R2 F B' L
D B' L R2 B' F L
D B' L F R2 B' L
D B' L F B' L R2
D B' L F B' R2 L
D B' L B' R2 F L
D B' L B' F L R2
D B' L B' F R2 L
D B' R2 L F B' L
D B' R2 L B' F L
D B' R2 B' L F B'
D B' R2 B' L B' F
D' B2 L F B2 R' B
D' B2 L B2 R' F B
D' B2 L B2 R' B F
D' B2 L B2 F R' B
D B2 L R B' R F
D B2 L R' F R' B'
D B2 L R2 D F B'
D B2 L R2 D B' F
D B2 L R2 D' F B'
D B2 L R2 D' B' F
D B2 L R2 D2 F B'
D B2 L R2 D2 B' F
D B2 L R2 F D B'
D B2 L R2 F D' B'
D B2 L R2 F D2 B'
D B2 L R2 F B' D
D B2 L R2 F B' D'
D B2 L R2 F B' D2
D B2 L R2 B' D F
D B2 L R2 B' D' F
D B2 L R2 B' D2 F
D B2 L R2 B' F D
D B2 L R2 B' F D'
D B2 L R2 B' F D2
D B2 L F R B' R
D B2 L F R2 D B'
D B2 L F R2 D' B'
D B2 L F R2 D2 B'
D B2 L F R2 B' D
D B2 L F R2 B' D'
D B2 L F R2 B' D2
D B2 L F B R2 B2
D B2 L F B' R2 D
D B2 L F B' R2 D'
D B2 L F B' R2 D2
D B2 L F' R2 F2 B'
D B2 L F' R2 B' F2
D B2 L F' B' R2 F2
D B2 L B R2 F B2
D B2 L B R2 B2 F
D B2 L B F R2 B2
D B2 L B' R' F R'
D B2 L B' R2 D F
D B2 L B' R2 D' F
D B2 L B' R2 D2 F
D B2 L B' R2 F D
D B2 L B' R2 F D'
D B2 L B' R2 F D2
D B2 L B' F R2 D
D B2 L B' F R2 D'
D B2 L B' F R2 D2
D B2 L B' F' R2 F2
D B2 R L B' R F
B2 F2 L2 U' L' F B'
B2 F2 L2 U' L' B' F
F2 B2 L2 U' L' F B'
F2 B2 L2 U' L' B' F
D B2 R' L F R' B'
D B2 R2 L D F B'
D B2 R2 L D B' F
D B2 R2 L D' F B'
D B2 R2 L D' B' F
D B2 R2 L D2 F B'
D B2 R2 L D2 B' F
D B2 R2 L F D B'
D B2 R2 L F D' B'
D B2 R2 L F D2 B'
D B2 R2 L F B' D
D B2 R2 L F B' D'
D B2 R2 L F B' D2
D B2 R2 L B' D F
D B2 R2 L B' D' F
D B2 R2 L B' D2 F
D B2 R2 L B' F D
D B2 R2 L B' F D'
D B2 R2 L B' F D2
D B2 R2 F L F B'
D B2 R2 F L B' F
D B2 R2 F' L F B'
D B2 R2 F' L B' F
D B2 R2 F2 L F B'
D B2 R2 F2 L B' F
D' B2 D2 L R2 F B'
D' B2 D2 L R2 B' F
D' B2 D2 L F R2 B'
D' B2 D2 L F B' R2
D' B2 D2 L B' R2 F
D' B2 D2 L B' F R2
D' B2 D2 R2 L F B'
D' B2 D2 R2 L B' F
D2 B2 F L' U L2 F
D B2 F L R2 F B'
D B2 F L R2 B' F
D B2 F L F R2 B'
D B2 F L F B' R2
D B2 F L B' R2 F
D B2 F L B' F R2
D B2 F R2 L F B'
D B2 F R2 L B' F
D B2 F' L R2 F B'
D B2 F' L R2 B' F
D B2 F' L F R2 B'
D B2 F' L F B' R2
D B2 F' L B' R2 F
D B2 F' L B' F R2
D B2 F' R2 L F B'
D B2 F' R2 L B' F
D B2 F2 L R2 F B'
D B2 F2 L R2 B' F
D B2 F2 L F R2 B'
D B2 F2 L F B' R2
D B2 F2 L B' R2 F
D B2 F2 L B' F R2
D B2 F2 R2 L F B'
D B2 F2 R2 L B' F
