B' L' B' L2 R' U'
B' L' B' R' L2 U'
L F R2 B R' U
L' B' L U2 L U
L' B' D' L U' B2
L' B' D2 L R2 U'
L' B' D2 R2 L U'
U2 R' D2 F' L R U
U2 R' D2 F' R L U
B2 R' B L U2 F U
B2 R' B L' B' L2 U'
B2 R' B' U2 R' F' U
L2 U2 D L' U F L'
B2 R' B2 L' B' L U'
F R2 L F B R' U
B' R2 L' B' L2 R' U'
B' R2 L' B' R' L2 U'
F R2 L B R' F U
F R2 L B F R' U
D' R2 B2 R' U' F' L'
U2 D L U' B' R' U2
L2 D U2 L' U F L'
U' D F' L' D' F B2
U' D F' L' D' B2 F
U' D F' L' F D' B2
L' D' R B' U' F' B'
L' D' R B' U' B' F'
L' D' B' R U' F' B'
L' D' B' R U' B' F'
D U' F' L' D' F B2
D U' F' L' D' B2 F
D U' F' L' F D' B2
D2 U2 L R' F' R U
B' U' F' L' D F2 B'
B' U' F' L' D B' F2
B' U' F' L' B' D F2
U2 D2 L R' F' R U
D U2 L U' B' R' U2
L' D2 R2 D2 B' L U'
D2 U2 R' L F' R U
D2 U2 R' F' L R U
U2 D2 R' L F' R U
D2 U2 R' F' R L U
U2 D2 R' F' L R U
U2 D2 R' F' R L U
L D2 F U2 L' F' U'
B U2 D' R' F' U B
L F R' B R' B U
L F R2 B R' U D
L F R2 B R' U D'
L F R2 B R' U D2
L F R2 B R' D U
L F R2 B R' D' U
L F R2 B R' D2 U
L F R2 B D R' U
L F R2 B D' R' U
L F R2 B D2 R' U
B' D L' B' L2 R' U'
B' D L' B' R' L2 U'
L F B R2 B R U
L F B' U2 L F' U'
L F B' U2 F' L U'
L F B2 U2 F' L' U'
U' F' D L' D' F B2
U' F' D L' D' B2 F
U' F' D L' F D' B2
B' D' L' B' L2 R' U'
B' D' L' B' R' L2 U'
B D' U2 R' F' U B
B' D2 L' B' L2 R' U'
B' D2 L' B' R' L2 U'
L F2 D2 F' R B2 U
L F2 D2 F' B2 R U
L F2 D2 B2 F' R U
L' B L B2 L R' U'
L' B L B2 R' L U'
U2 B R' F' B' L U
U2 B R' B' L F' U
L B R F R2 B U
U2 B R' B' F' L U
L B R' F U2 F' U'
L2 B U2 L' R' F U
L2 B U2 L' F R' U
L2 B U2 R' L' F U
L B F R2 B R U
L' B' L R U2 L U
L' B' L R' U2 L U
L' B' L R2 U2 L U
L' B' L U2 L U D
L' B' L U2 L U D'
L' B' L U2 L U D2
L' B' L U2 L D U
L' B' L U2 L D' U
L' B' L U2 L D2 U
L' B' L U2 D L U
L' B' L U2 D' L U
L' B' L U2 D2 L U
L' B' L D U2 L U
L' B' L D' U2 L U
L' B' L D2 U2 L U
L' B' L B2 R' B2 U'
L2 B' L U2 L2 F U
L2 B' L D' B' U' B'
L2 B' L D2 R2 B' U'
L2 B' L D2 B' R2 U'
L2 B' L B' U' D' B2
L2 B' L B' U2 L2 U
L2 B' L B' D' U' B2
L2 B' L B' D2 R2 U'
R' B' L' B' L2 R' U'
R' B' L' B' R' L2 U'
L B' L U2 L' F U
L' B' R L U2 L U
R2 B' L' B' L2 R' U'
R2 B' L' B' R' L2 U'
D' B' R U' F' L' B'
D B' L' B' R' U' F
L' B' R D' L U' B2
L' B' R D2 L R2 U'
L' B' R D2 R2 L U'
L' B' R' L U2 L U
R B' L' B' L2 R' U'
R B' L' B' R' L2 U'
L' B' R' D' L U' B2
L' B' R' D2 L R2 U'
L' B' R' D2 R2 L U'
L' B' R2 L U2 L U
L' B' R2 D' L U' B2
L' B' R2 D2 L R2 U'
L' B' R2 D2 R2 L U'
L' B' U2 L2 U2 L' U'
L' B' D L U F2 U2
L' B' D L U' D2 B2
D B' U' F' L' F B'
D B' U' F' L' B' F
L' B' D L D R2 U'
L' B' D L D2 U' B2
L' B' D' L R U' B2
L' B' D' L R' U' B2
L' B' D' L R2 U' B2
L' B' D' L U' B2 D
L' B' D' L U' B2 D'
L' B' D' L U' B2 D2
L' B' D' L D' R2 U'
L' B' D' R L U' B2
L' B' D' R' L U' B2
L' B' D' R2 L U' B2
L' B' D2 L R2 U' D
L' B' D2 L R2 U' D'
L' B' D2 L R2 U' D2
L' B' D2 L R2 D U'
L' B' D2 L R2 D' U'
L' B' D2 L R2 D2 U'
L' B' D2 L U' D B2
L' B' D2 L D U' B2
L' B' D2 R2 L U' D
L' B' D2 R2 L U' D'
L' B' D2 R2 L U' D2
L' B' D2 R2 L D U'
L' B' D2 R2 L D' U'
L' B' D2 R2 L D2 U'
L' B' D2 R2 D L U'
L' B' D2 R2 D' L U'
L' B' D2 R2 D2 L U'
L B' F U2 L F' U'
L B' F U2 F' L U'
D B2 L' R' B' U' F
D' B2 R' U B U2 L
D B2 R' L' B' U' F
D B2 R' U' F' L' F
U' B2 U R' U' F' L'
L2 B2 U2 L' F R U
L' B2 D' B L U' B
L' B2 D2 B L R2 U'
L' B2 D2 B R2 L U'
L B2 F U2 F' L' U'
