B' R' D F B' L
B' R' D B' F L
B' R' D' F B' L'
B' R' D' B' F L'
B' R' F D B' L
B' R' B' D' F L'
U2 F R B2 D' L2
U2 F R B2 D' L2
D2 F D' L2 B' R'
U2 F B2 R D' L2
U2 F B2 D' L2 R
U2 F B2 D' R L2
U2 F' U F2 R B2
U2 F' U F2 B2 R
U2 F' U B2 F2 R
B' F R' D' B' L2
B' F R' B' D' L2
B' F D' R' B' L2
F' B' U R' F2 B'
F' B' U R' B' F2
B' F' U R' F2 B'
F' B' U F2 R' B'
B' F' U R' B' F2
B' F' U F2 R' B'
F B' R' D' B' L2
F B' R' B' D' L2
F B' D' R' B' L2
F B' D' R' B' L2
U2 B2 F R D' L2
U2 B2 F D' L2 R
U2 B2 F D' R L2
U2 F R L2 B2 D' L2
U2 F R U' F2 U B2
U2 F R D' L2 D B2
D2 F R' D' L2 B' R'
U2 F R B D' L2 B
U2 F R B D' B L2
U2 F R B' D' B' L2
U2 F R B2 L D' L2
U2 F R B2 L' D' L2
U2 F R B2 L2 D' L2
U2 F R B2 U' F2 U
U2 F R B2 D' L2 D
U2 F R B2 D' L2 D'
U2 F R B2 D' L2 D2
D2 F R2 D' L2 B' R'
U2 F R' B2 R2 D' L2
F' D L2 R2 B' U R'
D2 F D' L2 R B' R'
D2 F D' L2 R' B' R'
D2 F D' L2 R2 B' R'
D2 F D' L2 D B' R'
D2 F D' L2 D' B' R'
D2 F D' L2 D2 B' R'
D2 F D' L2 B' R' D
D2 F D' L2 B' R' D'
D2 F D' L2 B' R' D2
D2 F D' L2 B' D R'
D2 F D' L2 B' D' R'
D2 F D' L2 B' D2 R'
D2 F D' R L2 B' R'
D2 F D' R' L2 B' R'
D2 F D' R2 L2 B' R'
F' D L2 B' R2 U R
D2 F D' B' L2 R' B'
D2 F D' B' R' L2 B'
U2 F D' L2 D R B2
U2 F D' L2 D B2 R
D F D' L2 B' R' B'
B' D R' D F B' L
B' D R' D B' F L
B' D R' D' F B' L'
B' D R' D' B' F L'
B' D R' F D B' L
D F D' B' R' B' L2
B' D R' B' D' F L'
F' D R2 L2 B' U R'
R' F B' R' B' D L2
D2 F B' R' D' L2 B'
R' F B' D R' B' L
U2 F B D' L2 B R
D' F B' D R' B2 L
U2 F B D' B L2 R
U2 F B D' B R L2
D2 F B' D' L2 R' B'
D2 F B' D' R' L2 B'
F' D R2 B' L2 U R'
U2 F B' R D' B' L2
U2 F B' R B' D' L2
D F B D' B2 L2 R'
D F B D' B2 R' L2
R2 F B' R' D B' L2
U2 F B' D' R B' L2
U2 F B' D' B' L2 R
U2 F B' D' B' R L2
U2 F B2 L R D' L2
U2 F B2 L D' L2 R
U2 F B2 L D' R L2
U2 F B2 L' R D' L2
D F B' R' D' L2 B2
D F B' R' D' B2 L2
U2 F B2 L' D' L2 R
U2 F B2 L' D' R L2
U2 F B2 L2 R D' L2
R2 F B' D R' B' L2
U2 F B2 L2 D' L2 R
U2 F B2 L2 D' R L2
U2 F B2 R L D' L2
U2 F B2 R L' D' L2
U2 F B2 R L2 D' L2
U2 F B2 R U' F2 U
U2 F B2 R D' L2 D
U2 F B2 R D' L2 D'
U2 F B2 R D' L2 D2
U2 F B2 R2 D' L2 R'
U2 F B2 R2 D' R' L2
D F B' D' L2 R' B2
D F B' D' R' L2 B2
D F B' D' R' B2 L2
U2 F B2 D' L2 R D
U2 F B2 D' L2 R D'
U2 F B2 D' L2 R D2
U2 F B2 D' L2 D R
U2 F B2 D' L2 D' R
U2 F B2 D' L2 D2 R
U2 F B2 D' R L2 D
U2 F B2 D' R L2 D'
U2 F B2 D' R L2 D2
U2 F B2 D2 R D L2
U' F' L' B' U F2 B'
U' F' L' B' U B' F2
B' D F R' D' B' L2
B' D F R' B' D' L2
B' D F D' R' B' L2
B' D F' U R' F2 B'
B' D F' U R' B' F2
B' D F' U F2 R' B'
U2 F' L2 U F2 B2 R'
U2 F' L2 U B2 R' F2
U2 F' L2 U B2 F2 R'
U2 F' R U F2 R B2
U2 F' R U F2 B2 R
U2 F' R U B2 F2 R
D F' L2 B' U R' F2
D F' L2 B' U F2 R'
U2 F' R' U F2 R B2
U2 F' R' U F2 B2 R
U2 F' R' U B2 F2 R
U F' R B U F2 B
U F' R B U B F2
F' D B' L2 R2 U R
U2 F' R2 U F2 R B2
U2 F' R2 U F2 B2 R
U2 F' R2 U B2 F2 R
F' D B' R2 L2 U R
U' F' U F2 B' R' B'
U' F' U B' R' F2 B'
U' F' U B' R' B' F2
U' F' U B' F2 R' B'
U2 F' U R F2 R B2
U2 F' U R F2 B2 R
U2 F' U R B2 F2 R
U2 F' U R' F2 R B2
U2 F' U R' F2 B2 R
U2 F' U R' B2 F2 R
U2 F' U R2 F2 R B2
U2 F' U R2 F2 B2 R
U2 F' U R2 B2 F2 R
U2 F' U F2 R B2 D
U2 F' U F2 R B2 D'
U2 F' U F2 R B2 D2
U2 F' U F2 R' B2 R2
U2 F' U F2 B' R B'
U2 F' U F2 B2 R D
U2 F' U F2 B2 R D'
U2 F' U F2 B2 R D2
U2 F' U F2 B2 D R
U2 F' U F2 B2 D' R
U2 F' U F2 B2 D2 R
F D B' R' D' B2 L
U2 F' U B' F2 R B'
U2 F' U B2 R F2 R
U2 F' U B2 R' F2 R
U2 F' U B2 R2 F2 R
U2 F' U B2 F2 R D
U2 F' U B2 F2 R D'
U2 F' U B2 F2 R D2
U2 F' U B2 F2 D R
U2 F' U B2 F2 D' R
U2 F' U B2 F2 D2 R
U2 F' U' L' U2 F2 B2
U2 F' U' L' U2 B2 F2
U F' U F R F B2
U F' U F R B2 F
U2 F' U' F2 R B2 L
U F' U F B2 R F
U F' U B2 F R F
F D' L2 D B' R' B'
B' D' R' D F B' L
B' D' R' D B' F L
B' D' R' D' F B' L'
B' D' R' D' B' F L'
B' D' R' F D B' L
F D' L2 B D B2 R'
F D' L2 B' D R' B2
B' D' R' B' D' F L'
U' F' B' U F2 B' R'
U' F' B' U B' R' F2
U' F' B' U B' F2 R'
U2 F' B U F2 B R
U2 F' B U B F2 R
D F' B L2 U F2 R
U2 F' B' U F2 R B'
U2 F' B' U F2 B' R
U2 F' B' U B' F2 R
D F' B' L2 U R' F2
D F' B' L2 U F2 R'
B' D' F R' D' B' L2
B' D' F R' B' D' L2
B' D' F D' R' B' L2
B' D' F' U R' F2 B'
B' D' F' U R' B' F2
B' D' F' U F2 R' B'
F D' B' L2 D R' B2
B' D2 R' D F B' L
B' D2 R' D B' F L
B' D2 R' D' F B' L'
B' D2 R' D' B' F L'
B' D2 R' F D B' L
B' D2 R' B' D' F L'
B2 D2 U' F' U R F2
B' D2 F R' D' B' L2
B' D2 F R' B' D' L2
B' D2 F D' R' B' L2
B2 D2 F U' F2 U R
B' D2 F' U R' F2 B'
B' D2 F' U R' B' F2
B' D2 F' U F2 R' B'
B2 D2 F' R F2 D' L2
R2 B U' F B2 R' B'
R2 B U' B2 R' F B'
R2 B U' B2 R' B' F
R2 B U' B2 F R' B'
B' F L2 R' D' L2 B'
B' F L2 D' L2 R' B'
B' F L2 D' R' L2 B'
F' B L2 U F2 B R
F' B L2 U B F2 R
B' F R B' R2 D' L2
B' F R' L2 D' L2 B'
B' F R' U' F2 U B'
B' F R' D B' D2 L2
B' F R' D' B L2 B2
B' F R' D' B' L2 D
B' F R' D' B' L2 D'
B' F R' D' B' L2 D2
B' F R' D' B2 L2 B
B' F R' B' L D' L2
B' F R' B' L' D' L2
B' F R' B' L2 D' L2
B' F R' B' U' F2 U
B' F R' B' D' L2 D
B' F R' B' D' L2 D'
B' F R' B' D' L2 D2
B' F R' B2 D' L2 B
B' F R' B2 D' B L2
B' F R2 D' R B' L2
B' F R2 D' B' L2 R
B' F R2 D' B' R L2
B' F R2 B' R D' L2
B' F R2 B' D' L2 R
B' F R2 B' D' R L2
U2 B F D' L2 B R
U2 B F D' B L2 R
U2 B F D' B R L2
U2 B F' U F2 B R
U2 B F' U B F2 R
D B F D' B2 L2 R'
D B F D' B2 R' L2
D B F' L2 U F2 R
F' B U F2 B2 R' B'
F' B U B2 R' F2 B'
F' B U B2 R' B' F2
F' B U B2 F2 R' B'
F' B U' L U2 F2 B
F' B U' L U2 B F2
B' F U' F2 U R' B'
B2 F U' F2 B U R'
B2 F U' B F2 U R'
B' F D R' B2 L B
B' F D' R B' L2 R2
B' F D' R B' R2 L2
B' F D' R' B L2 B2
B' F D' R' B' L2 D
B' F D' R' B' L2 D'
B' F D' R' B' L2 D2
B' F D' R' B2 L2 B
B' F D' R2 B' L2 R
B' F D' R2 B' R L2
B' F D2 R' D B' L2
R' B' R' F B' D L2
L' B' R' D B' L F
R' B' R' B' D F L2
R' B' R' B' F D L2
B F D' B2 R' B' L2
R2 B' R' D F B' L2
R2 B' R' D B' F L2
D' B' R2 B U' R F
F B D' B2 R' B' L2
R2 B' R' F D B' L2
D B' R' D' F L' B2
D B' R' D' F B2 L'
D B' R' D' B2 F L'
R B' R' F D' B' L2
R B' R' F B' D' L2
L2 B' U F' U R' B'
R B' R' B' F D' L2
B' F' R U R2 F2 B'
B' F' R U R2 B' F2
B' F' R U F2 R2 B'
B' F' R U F2 B' R2
B' F' R U B' R2 F2
B' F' R U B' F2 R2
F' B' R U R2 F2 B'
F' B' R U R2 B' F2
F' B' R U F2 R2 B'
F' B' R U F2 B' R2
F' B' R U B' R2 F2
F' B' R U B' F2 R2
B F' L2 U F2 B R
B F' L2 U B F2 R
F B' L2 R' D' L2 B'
L2 B' U2 R' D B' L
R' B' D R' F B' L
R' B' D R' B' F L
F B' L2 D' L2 R' B'
F B' L2 D' R' L2 B'
R' B' D F R' B' L
B' F' R' F2 D' B' L2
B' F' R' F2 B' D' L2
B' F' R' B' F2 D' L2
B' F' R2 U R F2 B'
B' F' R2 U R B' F2
F' B' R' F2 D' B' L2
F' B' R' F2 B' D' L2
B' F' R2 U B' R F2
F' B' R' B' F2 D' L2
R' B' D' R' F B' L'
R' B' D' R' B' F L'
F' B' R2 U R F2 B'
F' B' R2 U R B' F2
R' B' D' F R' B' L'
F' B' R2 U B' R F2
R2 B' D R' F B' L2
R2 B' D R' B' F L2
F B' R B' R2 D' L2
R2 B' D F R' B' L2
B' F' U R F2 R2 B'
B' F' U R F2 B' R2
B' F' U R B' R2 F2
B' F' U R B' F2 R2
F B' R' L2 D' L2 B'
B' F' U R' F2 D B'
B' F' U R' F2 D' B'
B' F' U R' F2 D2 B'
B' F' U R' F2 B' D
B' F' U R' F2 B' D'
B' F' U R' F2 B' D2
B' F' U R' B' F2 D
B' F' U R' B' F2 D'
B' F' U R' B' F2 D2
B' F' U R2 B' R F2
F B' R' U' F2 U B'
B' F' U F R' F B'
B' F' U F R' B' F
F B' R' D B' D2 L2
F B' R' D' B L2 B2
F' B' U R F2 R2 B'
F' B' U R F2 B' R2
F B' R' D' B' L2 D
F B' R' D' B' L2 D'
F B' R' D' B' L2 D2
F B' R' D' B2 L2 B
F' B' U R B' R2 F2
F' B' U R B' F2 R2
B' F' U F2 R B' R2
B' F' U F2 R' D B'
B' F' U F2 R' D' B'
B' F' U F2 R' D2 B'
B' F' U F2 R' B' D
B' F' U F2 R' B' D'
B' F' U F2 R' B' D2
B' F' U F2 R2 B' R
F' B' U R' F2 D B'
F' B' U R' F2 D' B'
F' B' U R' F2 D2 B'
F' B' U R' F2 B' D
F' B' U R' F2 B' D'
F' B' U R' F2 B' D2
B' F' U F2 D R' B'
F' B' U R' B' F2 D
F' B' U R' B' F2 D'
F' B' U R' B' F2 D2
B' F' U F2 D' R' B'
B' F' U F2 D2 R' B'
F' B' U R2 B' R F2
F' B' U F R' F B'
F' B' U F R' B' F
F B' R' B' L D' L2
F B' R' B' L' D' L2
F B' R' B' L2 D' L2
F B' R' B' U' F2 U
F B' R' B' D' L2 D
F B' R' B' D' L2 D'
F B' R' B' D' L2 D2
F B' R' B2 D' L2 B
F B' R' B2 D' B L2
F' B' U F2 R B' R2
F' B' U F2 R' D B'
F' B' U F2 R' D' B'
F' B' U F2 R' D2 B'
F' B' U F2 R' B' D
F' B' U F2 R' B' D'
F' B' U F2 R' B' D2
F' B' U F2 R2 B' R
F' B' U F2 D R' B'
F' B' U F2 D' R' B'
F' B' U F2 D2 R' B'
B' F' U' R' F2 B' L'
B' F' U' R' B' F2 L'
D2 B' F R' D' L2 B'
R' B' F R' B' D L2
F B' R2 D' R B' L2
F B' R2 D' B' L2 R
F B' R2 D' B' R L2
R' B' F D R' B' L
D2 B' F D' L2 R' B'
F' B' U' R' F2 B' L'
D2 B' F D' R' L2 B'
F' B' U' R' B' F2 L'
D' B' F D R' B2 L
U' B' F' U F2 B' R'
U' B' F' U B' R' F2
U' B' F' U B' F2 R'
F B' R2 B' R D' L2
F B' R2 B' D' L2 R
F B' R2 B' D' R L2
U2 B' F R D' B' L2
U2 B' F R B' D' L2
B F' U F2 B2 R' B'
B F' U B2 R' F2 B'
B F' U B2 R' B' F2
B F' U B2 F2 R' B'
B F' U' L U2 F2 B
B F' U' L U2 B F2
U2 B' F D' R B' L2
U2 B' F D' B' L2 R
U2 B' F D' B' R L2
R2 B' F R' D B' L2
D B' F R' D' L2 B2
D B' F R' D' B2 L2
R2 B' F D R' B' L2
U2 B' F' U F2 R B'
U2 B' F' U F2 B' R
U2 B' F' U B' F2 R
B' F' D R2 U R B'
B' F' D R2 U B' R
D B' F D' L2 R' B2
D B' F D' R' L2 B2
D B' F D' R' B2 L2
D B' F' L2 U R' F2
D B' F' L2 U F2 R'
F' B' D R2 U R B'
F' B' D R2 U B' R
F B' U' F2 U R' B'
F B' D R' B2 L B
F B' D' R B' L2 R2
F B' D' R B' R2 L2
F B' D' R' B L2 B2
F B' D' R' B' L2 D
F B' D' R' B' L2 D'
F B' D' R' B' L2 D2
F B' D' R' B2 L2 B
F B' D' R2 B' L2 R
F B' D' R2 B' R L2
F B' D2 R' D B' L2
U2 B2 R' D' F L' R
U2 B2 R' D' F R L'
D' B2 R2 B U' R' F
D' B2 R2 B U' F R'
U' B2 U' F' U F2 R
U2 B2 D F R D' L2
U2 B2 D F D' L2 R
U2 B2 D F D' R L2
U2 B2 D' F R D' L2
U2 B2 D' F D' L2 R
U2 B2 D' F D' R L2
F B2 U' F2 B U R'
U2 B2 D2 F R D' L2
F B2 U' B F2 U R'
U2 B2 D2 F D' L2 R
U2 B2 D2 F D' R L2
U2 B2 F L R D' L2
U2 B2 F L D' L2 R
U2 B2 F L D' R L2
U2 B2 F L' R D' L2
U2 B2 F L' D' L2 R
U2 B2 F L' D' R L2
U2 B2 F L2 R D' L2
U2 B2 F L2 D' L2 R
U2 B2 F L2 D' R L2
U2 B2 F R L D' L2
U2 B2 F R L' D' L2
U2 B2 F R L2 D' L2
U2 B2 F R U' F2 U
U2 B2 F R D' L2 D
U2 B2 F R D' L2 D'
U2 B2 F R D' L2 D2
U2 B2 F R2 D' L2 R'
U2 B2 F R2 D' R' L2
U2 B2 F D' L2 R D
U2 B2 F D' L2 R D'
U2 B2 F D' L2 R D2
U2 B2 F D' L2 D R
U2 B2 F D' L2 D' R
U2 B2 F D' L2 D2 R
U2 B2 F D' R L2 D
U2 B2 F D' R L2 D'
U2 B2 F D' R L2 D2
U2 B2 F D2 R D L2
B2 F2 D2 F' R D' L2
B2 F2 D2 F' D' L2 R
B2 F2 D2 F' D' R L2
F2 B2 D2 F' R D' L2
F2 B2 D2 F' D' L2 R
F2 B2 D2 F' D' R L2
