B2 L' U F2 B' U'
B2 L' U B' F2 U'
B L' B D L2 R2
B L' B D R2 L2
F2 L' B' U' F2 B'
F2 L' B' U' B' F2
L' U F2 B' U' B'
L' U B' F2 U' B'
B2 U F2 B U' L
B2 U B F2 U' L
F2 U' F' L' F' B2
F2 U' F' L' B2 F'
F2 U' F' B2 L' F'
F2 U' B2 F' L' F'
L' F2 B' U' F2 B'
L' F2 B' U' B' F2
U F2 B U' L B
L' B D L2 B R2
L' B D B L2 R2
L' B D B R2 L2
U B F2 U' L B
L' B' F2 U' F2 B'
L' B' F2 U' B' F2
L' B2 U F2 B U'
L' B2 U B F2 U'
B2 L' U B' F2 U' D2
B2 L' U B' F2 D U'
B2 L' U B' F2 D' U'
B2 L' U B' F2 D2 U'
B L' U B' F2 U' B2
B2 L' D R2 U B' U'
B2 L' D U B' U' R2
R' L' F2 B' U' F2 B'
R' L' F2 B' U' B' F2
L' R' F2 B' U' F2 B'
L' R' F2 B' U' B' F2
R2 L' F2 B' U' F2 B'
R2 L' F2 B' U' B' F2
B L' D B R2 D L2
R L' F2 B' U' F2 B'
R L' F2 B' U' B' F2
R' L' B D L2 B R2
R' L' B D B L2 R2
R' L' B D B R2 L2
L' R' B D L2 B R2
F2 L' D' R2 B' L2 U'
L' R' B D B L2 R2
L' R' B D B R2 L2
R2 L' B D L2 B R2
R2 L' B D B L2 R2
R2 L' B D B R2 L2
R L' B D L2 B R2
F2 L' D' B' L2 R2 U'
R L' B D B L2 R2
R L' B D B R2 L2
F2 L' D' B' R2 L2 U'
R' L' B' F2 U' F2 B'
R' L' B' F2 U' B' F2
L' R' B' F2 U' F2 B'
L' R' B' F2 U' B' F2
R2 L' B' F2 U' F2 B'
R2 L' B' F2 U' B' F2
R' L' B2 U F2 B U'
R' L' B2 U B F2 U'
R L' B' F2 U' F2 B'
R L' B' F2 U' B' F2
L' R' B2 U F2 B U'
L' R' B2 U B F2 U'
R2 L' B2 U F2 B U'
R2 L' B2 U B F2 U'
R L' B2 U F2 B U'
R L' B2 U B F2 U'
L' R2 U F2 B' U' B'
L' R2 U B' F2 U' B'
B2 L' F2 B' U' F2 B
B2 L' F2 B' U' B F2
B L' F2 B' U' F2 B2
B L' F2 B' U' B2 F2
B L' B L D L2 R2
B L' B L D R2 L2
B L' B L' D L2 R2
B L' B L' D R2 L2
B L' B L2 D L2 R2
B L' B L2 D R2 L2
B L' B R D L2 R2
B L' B R D R2 L2
D' L' B D L2 B2 R'
B L' B R' D L2 R2
B L' B R' D R2 L2
B L' B R2 D L2 R2
B L' B R2 D R2 L2
B L' B U F2 B2 U'
B L' B U B2 F2 U'
B2 L' B D R2 B' L2
B2 L' B D B' L2 R2
B2 L' B D B' R2 L2
B L' B D L2 R2 D
B L' B D L2 R2 D'
B L' B D L2 R2 D2
B L' B D R2 L2 D
B L' B D R2 L2 D'
B L' B D R2 L2 D2
F2 L' B' R U' F2 B'
F2 L' B' R U' B' F2
F2 L' B' R' U' F2 B'
F2 L' B' R' U' B' F2
F2 L' B' R2 U' F2 B'
F2 L' B' R2 U' B' F2
F2 L' B' U' F2 D B'
F2 L' B' U' F2 D' B'
F2 L' B' U' F2 D2 B'
F2 L' B' U' F2 B' D
F2 L' B' U' F2 B' D'
F2 L' B' U' F2 B' D2
F2 L' B' U' B' F2 D
F2 L' B' U' B' F2 D'
F2 L' B' U' B' F2 D2
B2 L' B' F2 U' F2 B
B2 L' B' F2 U' B F2
B L' B' F2 U' F2 B2
B L' B' F2 U' B2 F2
L' R2 F2 B' U' F2 B'
L' R2 F2 B' U' B' F2
L' R2 B D L2 B R2
L' R2 B D B L2 R2
L' R2 B D B R2 L2
L' R2 B' F2 U' F2 B'
L' R2 B' F2 U' B' F2
B2 L2 D R2 F L' F'
B2 L2 D F L' F' R2
L' R2 B2 U F2 B U'
L' R2 B2 U B F2 U'
B L2 D' B' L B2 R'
L' U R F2 B' U' B'
L' U R B' F2 U' B'
L' U R' F2 B' U' B'
L' U R' B' F2 U' B'
L' U R2 F2 B' U' B'
L' U R2 B' F2 U' B'
B2 R L' U F2 B' U'
B2 R L' U B' F2 U'
F2 R L' B' U' F2 B'
F2 R L' B' U' B' F2
L' U F2 R B' U' B'
L' U F2 R' B' U' B'
L' U F2 R2 B' U' B'
B2 R U F2 B U' L
B2 R U B F2 U' L
L' U F2 D' R2 B' U'
L' U F2 D' B' R2 U'
R' U F2 B U' L B
L' U F2 B' R U' B'
L' U F2 B' R' U' B'
L' U F2 B' R2 U' B'
L' U F2 B' U' D B'
L' U F2 B' U' D' B'
L' U F2 B' U' D2 B'
L' U F2 B' U' B' D
L' U F2 B' U' B' D'
L' U F2 B' U' B' D2
L' U F2 B' D U' B'
L' U F2 B' D' U' B'
L' U F2 B' D2 U' B'
L U F2 R2 B U' B
L U F2 U2 F' U B2
R2 U F2 B U' L B
L U F2 D' R2 B U'
F2 R U' F' L' F' B2
F2 R U' F' L' B2 F'
F2 R U' F' B2 L' F'
U2 R U' F2 B U' B
R U F2 B U' L B
U2 R U' B F2 U' B
F2 R U' B2 F' L' F'
R' U B F2 U' L B
L' U B' R F2 U' B'
L' U B' R' F2 U' B'
L' U B' R2 F2 U' B'
R2 U B F2 U' L B
L' U B' U' D R2 B'
L' U B' U' D B' R2
L' U B' U' B' D R2
L' U B' D U' R2 B'
L' U B' D U' B' R2
R U B F2 U' L B
L' U B' F2 R U' B'
L' U B' F2 R' U' B'
L' U B' F2 R2 U' B'
L' U B' F2 U' D B'
L' U B' F2 U' D' B'
L' U B' F2 U' D2 B'
L' U B' F2 U' B' D
L' U B' F2 U' B' D'
L' U B' F2 U' B' D2
L' U B' F2 D U' B'
L' U B' F2 D' U' B'
L' U B' F2 D2 U' B'
U R F2 B U' L B
L' U' D L2 F U R2
U R B F2 U' L B
L U' D F L2 U R2
B2 R' L' U F2 B' U'
B2 R' L' U B' F2 U'
F2 R' L' B' U' F2 B'
F2 R' L' B' U' B' F2
L U' F L2 B' U B'
L U' F U2 F U' B2
L U' F D L2 B' U
B2 R' U F2 B U' L
B2 R' U B F2 U' L
F2 R' U' F' L' F' B2
F2 R' U' F' L' B2 F'
F2 R' U' F' B2 L' F'
F2 R' U' B2 F' L' F'
U R' F2 B U' L B
U R' B F2 U' L B
D R2 L U' F L U
B2 R2 L' U F2 B' U'
B2 R2 L' U B' F2 U'
F2 R2 L' B' U' F2 B'
F2 R2 L' B' U' B' F2
B2 R2 U F2 B U' L
B2 R2 U B F2 U' L
D R2 U' L2 F' U L'
F2 R2 U' F' L' F' B2
F2 R2 U' F' L' B2 F'
F2 R2 U' F' B2 L' F'
F2 R2 U' B2 F' L' F'
D R2 U' F' L2 U L
L' D L2 F U F' R2
F' R2 B U F B L
F' R2 B U B F L
L' D R2 U' L2 F U
U R2 F2 B U' L B
L D R2 U' F L2 U
U R2 B F2 U' L B
L' D U' L2 F U R2
L D U' F L2 U R2
L D F L2 U F' R2
U' D L2 F' U L' R2
U' D L2 F' U R2 L'
B2 U D B U' L R2
B2 U D B U' R2 L
U' D F' L2 U L R2
U' D F' L2 U R2 L
F2 U F' U2 F' L' B2
F2 U F' U2 F' B2 L'
F2 U F' U2 B2 F' L'
B' U F2 B U' L B2
B2 U F2 U2 F' U L'
B2 U F2 D B U' L
B2 U F2 D' B U' L
B2 U F2 D2 B U' L
B2 U F2 B U' L D
B2 U F2 B U' L D'
B2 U F2 B U' L D2
B2 U F2 B U' D L
B2 U F2 B U' D' L
B2 U F2 B U' D2 L
B2 U F2 B D U' L
B2 U F2 B D' U' L
B2 U F2 B D2 U' L
B2 U F2 B' U R' U2
F2 U B L F2 B R
F2 U B L B F2 R
B2 U B U' L D R2
B2 U B U' D L R2
B2 U B U' D R2 L
B U F2 B' U' B2 L
B2 U B D U' L R2
B2 U B D U' R2 L
F2 U B U2 L F2 B
F2 U B U2 L B F2
B U F2 B2 U' B' L
B' U B F2 U' L B2
F2 U B U2 F2 L B
B2 U B F2 U' L D
B2 U B F2 U' L D'
B2 U B F2 U' L D2
B2 U B F2 U' D L
B2 U B F2 U' D' L
B2 U B F2 U' D2 L
B2 U B F2 D U' L
B2 U B F2 D' U' L
B2 U B F2 D2 U' L
F2 U B' R' U2 F2 B'
F2 U B' R' U2 B' F2
B2 U B' F2 U R' U2
B U B' F2 U' B2 L
B U B2 F2 U' B' L
F2 U' L F' L' F' B2
F2 U' L F' L' B2 F'
F2 U' L F' B2 L' F'
D U' L2 F' U L' R2
D U' L2 F' U R2 L'
F2 U' L B2 F' L' F'
F2 U' L' F' L' F' B2
F2 U' L' F' L' B2 F'
F2 U' L' F' B2 L' F'
F2 U' L' B2 F' L' F'
F2 U' L2 F' L' F' B2
F2 U' L2 F' L' B2 F'
F2 U' L2 F' B2 L' F'
F2 U' L2 B2 F' L' F'
L2 D' B' L D B2 R'
D U' F' L2 U L R2
D U' F' L2 U R2 L
B2 U' D F' U L' R2
B2 U' D F' U R2 L'
B2 U' D2 F' B2 U L'
B2 U' D2 B2 F' U L'
F2 U' F' L F' L2 B2
F2 U' F' L F' B2 L2
F2 U' F' L B2 L2 F'
F2 U' F' L B2 F' L2
F2 U' F' L' F' B2 D
F2 U' F' L' F' B2 D'
F2 U' F' L' F' B2 D2
F2 U' F' L' B2 D F'
F2 U' F' L' B2 D' F'
F2 U' F' L' B2 D2 F'
F2 U' F' L' B2 F' D
F2 U' F' L' B2 F' D'
F2 U' F' L' B2 F' D2
F2 U' F' L2 F' L B2
F' U' F' U' L' F2 B2
F' U' F' U' L' B2 F2
F' U' F' U' B2 L' F2
F U' F U' F2 L' B2
F U' F U' F2 B2 L'
F U' F U' B2 F2 L'
F2 U' F' B L' F' B
F2 U' F' B L' B F'
F2 U' F' B2 L F' L2
F2 U' F' B2 L' D F'
F2 U' F' B2 L' D' F'
F2 U' F' B2 L' D2 F'
F2 U' F' B2 L' F' D
F2 U' F' B2 L' F' D'
F2 U' F' B2 L' F' D2
F2 U' F' B2 L2 F' L
F2 U' F' B2 D L' F'
F2 U' F' B2 D' L' F'
F2 U' F' B2 D2 L' F'
F U' F' L' B2 D R2
F2 U' F2 B' D2 B' L
F U' F' B2 L' D R2
F U' F' B2 D L' R2
F U' F' B2 D R2 L'
F2 U' B F' L' F' B
F2 U' B F' L' B F'
F2 U' B' F2 D2 B' L
F2 U' B2 L F' L' F'
F2 U' B2 L' F' L' F'
F2 U' B2 L2 F' L' F'
F2 U' B2 F' L F' L2
F2 U' B2 F' L' D F'
F2 U' B2 F' L' D' F'
F2 U' B2 F' L' D2 F'
F2 U' B2 F' L' F' D
F2 U' B2 F' L' F' D'
F2 U' B2 F' L' F' D2
F2 U' B2 F' L2 F' L
F2 U' B2 F' D L' F'
F2 U' B2 F' D' L' F'
F2 U' B2 F' D2 L' F'
F U' B2 F' L' D R2
F U' B2 F' D L' R2
F U' B2 F' D R2 L'
B2 U2 R U' F2 B U'
B2 U2 R U' B F2 U'
F2 U2 R' F' U F' B2
F2 U2 R' F' U B2 F'
F2 U2 F' U F' L' B2
F2 U2 F' U F' B2 L'
F2 U2 F' U B2 F' L'
L F L2 B' U F' B'
L F L2 B' U B' F'
B2 D L R2 U' F U
B2 D L U' F U R2
L F U F' B2 D R2
L F U B2 F' D R2
B2 D L' R2 U B' U'
B2 D L' U B' U' R2
L F U2 F U' F2 B2
L F U2 F U' B2 F2
B D L' B R2 D L2
L F D L2 B' U F'
B2 D R2 L U' F U
B2 D R2 L' U B' U'
B2 D R2 U B U' L
B2 D R2 U' F' U L'
B2 D U B U' L R2
B2 D U B U' R2 L
B2 D U' F' U L' R2
B2 D U' F' U R2 L'
F2 D' L' R2 B' L' U'
F2 D' L' B' L' R2 U'
F2 D' L' B' R2 L' U'
F2 D' R2 L' B' L' U'
L2 F2 L B' U' F2 B'
L2 F2 L B' U' B' F2
R' F2 L' B' U' F2 B'
R' F2 L' B' U' B' F2
R2 F2 L' B' U' F2 B'
R2 F2 L' B' U' B' F2
L' F2 R B' U' F2 B'
L' F2 R B' U' B' F2
R F2 L' B' U' F2 B'
R F2 L' B' U' B' F2
L' F2 R' B' U' F2 B'
L' F2 R' B' U' B' F2
U F2 R B U' L B
L' F2 R2 B' U' F2 B'
L' F2 R2 B' U' B' F2
U F2 R' B U' L B
R' F2 U' F' L' F' B2
R' F2 U' F' L' B2 F'
R' F2 U' F' B2 L' F'
U F2 R2 B U' L B
L F2 R2 B U' F2 B
L F2 R2 B U' B F2
R' F2 U' B2 F' L' F'
B2 D2 L U' F B2 U
B2 D2 L U' B2 F U
R2 F2 U' F' L' F' B2
R2 F2 U' F' L' B2 F'
R2 F2 U' F' B2 L' F'
R2 F2 U' B2 F' L' F'
R F2 U' F' L' F' B2
R F2 U' F' L' B2 F'
R F2 U' F' B2 L' F'
R F2 U' B2 F' L' F'
L' F2 D' R2 B' L2 U'
U F2 U2 F' U L' B2
U F2 U2 F' U B2 L'
L F2 U2 F' U F' B2
L F2 U2 F' U B2 F'
L' F2 D' B' L2 R2 U'
L' F2 D' B' R2 L2 U'
L F2 D' L2 R2 B U'
L F2 D' R2 L2 B U'
U F2 D' R2 B U' L
L F2 D' R2 B L2 U'
U F2 D' B R2 U' L
L' F2 B' R U' F2 B'
L' F2 B' R U' B' F2
L' F2 B' R' U' F2 B'
L' F2 B' R' U' B' F2
L' F2 B' R2 U' F2 B'
L' F2 B' R2 U' B' F2
L' F2 B' U' F2 D B'
L' F2 B' U' F2 D' B'
L' F2 B' U' F2 D2 B'
L' F2 B' U' F2 B' D
L' F2 B' U' F2 B' D'
L' F2 B' U' F2 B' D2
L' F2 B' U' B' F2 D
L' F2 B' U' B' F2 D'
L' F2 B' U' B' F2 D2
U F2 B U' L D B
U F2 B U' L D' B
U F2 B U' L D2 B
U F2 B U' L B D
U F2 B U' L B D'
U F2 B U' L B D2
U F2 B U' L' B L2
U F2 B U' L2 B L'
U F2 B U' D L B
U F2 B U' D' L B
U F2 B U' D2 L B
U F2 B D U' L B
U F2 B D' U' L B
U F2 B D2 U' L B
L' B L D L2 B R2
L' B L D B L2 R2
L' B L D B R2 L2
B2 D2 U' F' B2 U L'
U F2 B' U R' U2 B'
U F2 B' U' B2 L B
B2 D2 U' B2 F' U L'
L' B L' D L2 B R2
L' B L' D B L2 R2
L' B L' D B R2 L2
L2 B L B D L2 R2
L2 B L B D R2 L2
R' B L' B D L2 R2
R' B L' B D R2 L2
L' B L2 D L2 B R2
L' B L2 D B L2 R2
L' B L2 D B R2 L2
R2 B L' B D L2 R2
R2 B L' B D R2 L2
R B L' B D L2 R2
R B L' B D R2 L2
L B L2 B D L2 R2
L B L2 B D R2 L2
L' B R2 D L2 R2 B
L' B R2 D R2 L2 B
L' B R2 D R2 B L2
L' B U F2 B2 U' B'
L' B U B2 F2 U' B'
U B U' L D B R2
U B U' L B D R2
L' B D L' B L' R2
L' B D L' B R2 L'
L' B D L2 B R2 D
L' B D L2 B R2 D'
L' B D L2 B R2 D2
L' B D L2 B' R2 B2
L' B D L2 B2 R2 B'
U B U' D L B R2
F2 B L' B' U' F2 B2
F2 B L' B' U' B2 F2
L' B D B L2 R2 D
L' B D B L2 R2 D'
L' B D B L2 R2 D2
L' B D B R2 L2 D
L' B D B R2 L2 D'
L' B D B R2 L2 D2
L' B D B' L2 R2 B2
L' B D B' L2 B2 R2
L' B D B' R2 L2 B2
L' B D B' R2 B2 L2
L' B D B2 R2 B' L2
L' B D' B D2 L2 R2
L' B D' B D2 R2 L2
U B D U' L B R2
L2 B D' B' L B2 R'
F2 B U B L F2 R
F2 B U' F' L' F' B
F2 B U' F' L' B F'
F2 B U' F' B L' F'
F2 B U' B F' L' F'
U B F2 U' L D B
U B F2 U' L D' B
U B F2 U' L D2 B
U B F2 U' L B D
U B F2 U' L B D'
U B F2 U' L B D2
U B F2 U' L' B L2
U B F2 U' L2 B L'
U B F2 U' D L B
U B F2 U' D' L B
U B F2 U' D2 L B
U B F2 D U' L B
U B F2 D' U' L B
U B F2 D2 U' L B
L' B' R F2 U' F2 B'
L' B' R F2 U' B' F2
L' B' R' F2 U' F2 B'
L' B' R' F2 U' B' F2
L' B' R2 F2 U' F2 B'
L' B' R2 F2 U' B' F2
U B' R2 F2 U' B' L'
L2 B' D R2 D2 B' L
L2 B' D' B' D2 L R2
L2 B' D' B' D2 R2 L
F2 B' U' F' B' L' F'
F2 B' U' F2 D2 B' L
F2 B' U' B' F' L' F'
L' B' F2 R U' F2 B'
L' B' F2 R U' B' F2
L' B' F2 R' U' F2 B'
L' B' F2 R' U' B' F2
L' B' F2 R2 U' F2 B'
L' B' F2 R2 U' B' F2
L' B' F2 U' F2 D B'
L' B' F2 U' F2 D' B'
L' B' F2 U' F2 D2 B'
L' B' F2 U' F2 B' D
L' B' F2 U' F2 B' D'
L' B' F2 U' F2 B' D2
L' B' F2 U' B' F2 D
L' B' F2 U' B' F2 D'
L' B' F2 U' B' F2 D2
L' B2 L U F2 B U'
L' B2 L U B F2 U'
L2 B2 L U F2 B' U'
L2 B2 L U B' F2 U'
R' B2 L' U F2 B' U'
R' B2 L' U B' F2 U'
L' B2 L' U F2 B U'
L' B2 L' U B F2 U'
U B' F2 U R' U2 B'
U B' F2 U' B2 L B
L' B2 L2 U F2 B U'
L' B2 L2 U B F2 U'
R2 B2 L' U F2 B' U'
R2 B2 L' U B' F2 U'
R B2 L' U F2 B' U'
R B2 L' U B' F2 U'
L B2 L2 U F2 B' U'
L B2 L2 U B' F2 U'
B2 F2 L' B' U' F2 B
B2 F2 L' B' U' B F2
F2 B2 L' B' U' F2 B
F2 B2 L' B' U' B F2
B F2 L' B' U' F2 B2
B F2 L' B' U' B2 F2
L' B2 U D B U' R2
R' B2 U F2 B U' L
R' B2 U B F2 U' L
L' B2 U F2 D B U'
L' B2 U F2 D' B U'
L' B2 U F2 D2 B U'
L' B2 U F2 B U' D
L' B2 U F2 B U' D'
L' B2 U F2 B U' D2
L' B2 U F2 B D U'
L' B2 U F2 B D' U'
L' B2 U F2 B D2 U'
L' B2 U B U' D R2
L' B2 U B D U' R2
L' B2 U B F2 U' D
L' B2 U B F2 U' D'
L' B2 U B F2 U' D2
L' B2 U B F2 D U'
L' B2 U B F2 D' U'
L' B2 U B F2 D2 U'
R2 B2 U F2 B U' L
R2 B2 U B F2 U' L
L B2 U F2 U2 F' U
L' B2 D R2 U' F' U
L' B2 D U B U' R2
R B2 U F2 B U' L
R B2 U B F2 U' L
L B2 U' D F U R2
L B2 U' D2 F B2 U
L B2 U' D2 B2 F U
L B2 U' F U2 F U'
B' F2 U' F' B' L' F'
B' F2 U' F2 D2 B' L
B' F2 U' B' F' L' F'
L2 B2 D R2 F L' F'
L2 B2 D F L' F' R2
B F2 U B L F2 R
B F2 U' F' L' F' B
B F2 U' F' L' B F'
L B2 D R2 U' F U
B F2 U' F' B L' F'
L B2 D U' F U R2
B F2 U' B F' L' F'
L B2 D2 U' F B2 U
L B2 D2 U' B2 F U
