F L R' U L' R2
F L R' U R2 L'
U' L R B R2 U
U' L R' U2 F' U'
U' R L B R2 U
F R U' L R2 U
F R U' R2 L U
R2 U' L R B U
R2 U' R L B U
U' R' L U2 F' U'
F R' L U L' R2
F R' L U R2 L'
B2 U L R' F U'
B2 U L F R' U'
B2 U R' L F U'
F U' L R' U R2
F U' R' L U R2
R' F L U L' R
R' F L U R L'
U' R' L D' U2 F' U'
F' R' L D' B2 U L'
U' R' L D2 U2 F' U'
F' R' L D2 U L' R2
F' R' L D2 U R2 L'
R2 U' D2 L R B U
U' R' L B U2 F' U'
U' R' L B' U2 F' U'
F R' L U L' R2 D
F R' L U L' R2 D'
F R' L U L' R2 D2
F R' L U R2 L' D
F R' L U R2 L' D'
F R' L U R2 L' D2
F R' L U R2 D L'
F R' L U R2 D' L'
F R' L U R2 D2 L'
U' R' L B2 U2 F' U'
R2 U' D2 R L B U
F R' L D B2 U L'
F R' L B U L' R2
F R' L B U R2 L'
F R' L B' U L' R2
F R' L B' U R2 L'
F R' L B2 U L' R2
F R' L B2 U R2 L'
U' R' U2 F' U2 L U
U' R' D L U2 F' U'
R2 U' B' R B L U
F R' D L B2 U L'
U' R' D' L U2 F' U'
F2 R' D' L B' U L'
U' R' D2 L U2 F' U'
D2 R' F L U L' R
D2 R' F L U R L'
D' R' F L U L' R
D' R' F L U R L'
B2 R' F L U' L' R
B2 R' F L U' R L'
D R' F L U L' R
D R' F L U R L'
F R' F L U L' R2
F R' F L U R2 L'
F2 R' F' L U L' R
F2 R' F' L U R L'
F R' F' L U L' R2
F R' F' L U R2 L'
F' R' F2 L U L' R
F' R' F2 L U R L'
F R' F2 L U L' R2
F R' F2 L U R2 L'
U' R' B2 U2 F' R' U'
B2 R2 U L R F U'
B2 R2 U R L F U'
D2 R2 U' L R B U
D' R2 U' L R B U
D2 R2 U' R L B U
D' R2 U' R L B U
D R2 U' L R B U
D R2 U' R L B U
F R2 U' L R U R2
F R2 U' R L U R2
U R2 U2 L R B U
U R2 U2 R L B U
U' R2 D2 L R B' U
U' R2 D2 L B' R U
U' R2 D2 R L B' U
U' D L R B R2 U
R2 D U' L R B U
U' D L R' U2 F' U'
R2 D U' R L B U
B2 U L R F R2 U'
B2 U L R' D F U'
B2 U L R' D' F U'
B2 U L R' D2 F U'
B2 U L R' F U' D
B2 U L R' F U' D'
B2 U L R' F U' D2
B2 U L R' F D U'
B2 U L R' F D' U'
B2 U L R' F D2 U'
B2 U L D R' F U'
B2 U L D F R' U'
B2 U L D' R' F U'
B2 U L D' F R' U'
R' D F L U L' R
R' D F L U R L'
B2 U L D2 R' F U'
B2 U L D2 F R' U'
B2 U L F R' U' D
B2 U L F R' U' D'
B2 U L F R' U' D2
B2 U L F R' D U'
B2 U L F R' D' U'
B2 U L F R' D2 U'
B2 U L F D R' U'
B2 U L F D' R' U'
B2 U L F D2 R' U'
B2 U L F' R' F2 U'
U' D R L B R2 U
B2 U R L F R2 U'
U' D R' L U2 F' U'
B2 U R' L D F U'
B2 U R' L D' F U'
B2 U R' L D2 F U'
B2 U R' L F U' D
B2 U R' L F U' D'
B2 U R' L F U' D2
B2 U R' L F D U'
B2 U R' L F D' U'
B2 U R' L F D2 U'
B2 U R' D L F U'
B2 U R' D' L F U'
B2 U R' D2 L F U'
B2 U R' F L F U'
B2 U R' F' L F U'
B2 U R' F2 L F U'
B2 U D L R' F U'
B2 U D L F R' U'
B2 U D R' L F U'
B2 U D' L R' F U'
B2 U D' L F R' U'
B2 U D' R' L F U'
B2 U D2 L R' F U'
B2 U D2 L F R' U'
B2 U D2 R' L F U'
B2 U F L R' F U'
B2 U F L F R' U'
B2 U F R' L F U'
B2 U F' L R' F U'
B2 U F' L F R' U'
B2 U F' R' L F U'
B2 U F2 L R' F U'
B2 U F2 L F R' U'
B2 U F2 R' L F U'
D' U' L R B R2 U
D' U' L R' U2 F' U'
U' D' L R B R2 U
U' D' L R' U2 F' U'
D2 U' L R B R2 U
D2 U' L R' U2 F' U'
D U' L R B R2 U
D U' L R' U2 F' U'
R2 D' U' L R B U
F' U' L R' U D2 R2
F' U' L R' U' L2 U2
F' U' L R' D' B2 U
F' U' L R' D2 U R2
R2 D' U' R L B U
U' D' R L B R2 U
D' U' R L B R2 U
D2 U' R L B R2 U
F' U' L D' R' B2 U
F' U' L D2 R' U R'
R' D' F L U L' R
R' D' F L U R L'
F2 U' L D R' B U
D' U' R' L U2 F' U'
U' D' R' L U2 F' U'
D2 U' R' L U2 F' U'
F U' L R' U R2 D
F U' L R' U R2 D'
F U' L R' U R2 D2
F U' L R' D B2 U
F U' L R' B U R2
F U' L R' B' U R2
F U' L R' B2 U R2
D U' R L B R2 U
F U' L U R D' F2
F U' L D R' U R2
F U' L D' R' U R2
F U' L D2 R' U R2
D U' R' L U2 F' U'
F' U' R' L U D2 R2
F' U' R' L U' L2 U2
F' U' R' L D' B2 U
F' U' R' L D2 U R2
F2 U' R' D' L B' U
F U' R' L U R2 D
F U' R' L U R2 D'
F U' R' L U R2 D2
F U' R' L D B2 U
F U' R' L B U R2
F U' R' L B' U R2
F U' R' L B2 U R2
F U' R' D L B2 U
F2 U' D L R' B U
F2 U' D R' L B U
F2 U' D' L R' B' U
F U' D L R' U R2
F2 U' D' R' L B' U
F U' D R' L U R2
F U' D' L R' U R2
F U' D' R' L U R2
F U' D2 L R' U R2
U' D2 L R B R2 U
U' D2 L R' U2 F' U'
F U' D2 R' L U R2
U' D2 R L B R2 U
U' D2 R' L U2 F' U'
B U' B' L U F R
R2 D2 U' L R B U
R2 D2 U' R L B U
R' D2 F L U L' R
R' D2 F L U R L'
F' U2 L' U L2 R' U
F' U2 L' U R' L2 U
D' F L R' U L' R2
D' F L R' U R2 L'
D2 F L R' U L' R2
R' F L U L' R D
R' F L U L' R D'
R' F L U L' R D2
D2 F L R' U R2 L'
R' F L U L' D R
R' F L U L' D' R
R' F L U L' D2 R
R' F L U R L' D
R' F L U R L' D'
R' F L U R L' D2
R' F L U R D L'
R' F L U R D' L'
R' F L U R D2 L'
R' F L U D L' R
R' F L U D R L'
R' F L U D' L' R
R' F L U D' R L'
R' F L U D2 L' R
R' F L U D2 R L'
R' F L D U L' R
R' F L D U R L'
R' F L D' U L' R
R' F L D' U R L'
R' F L D2 U L' R
R' F L D2 U R L'
R' F L B U L' R
R' F L B U R L'
R' F L B' U L' R
R' F L B' U R L'
R' F L B2 U L' R
R' F L B2 U R L'
D F L R' U L' R2
D F L R' U R2 L'
R F L R2 U L' R'
R F L R2 U R' L'
L' F L2 R' U L' R2
L' F L2 R' U R2 L'
R' F R U' L R' U
R' F R U' R' L U
D' F R U' L R2 U
D' F R U' R2 L U
D2 F R U' L R2 U
D2 F R U' R2 L U
L' F R D' L F2 B2
L' F R D' L B2 F2
L' F R D' F2 L B2
D' F R' L U L' R2
D' F R' L U R2 L'
D2 F R' L U L' R2
D2 F R' L U R2 L'
L' F R' L2 U L' R2
L' F R' L2 U R2 L'
D F R U' L R2 U
D F R U' R2 L U
R F R U' L R U
R F R U' R L U
D F R' L U L' R2
D F R' L U R2 L'
L F R' F' U L' R2
L F R' F' U R2 L'
D' F U' L R' U R2
R F R2 L U L' R'
R F R2 L U R' L'
D2 F U' L R' U R2
D' F U' R' L U R2
D2 F U' R' L U R2
F2 D L R' B U L'
D F U' L R' U R2
D F U' R' L U R2
R' F D L U L' R
R' F D L U R L'
R F U' L R2 U R'
F D L R' U L' R2
F D L R' U R2 L'
R F U' R2 L U R'
R' F D' L U L' R
R' F D' L U R L'
R' F D2 L U L' R
R' F D2 L U R L'
F2 D R' L B U L'
F D R U' L R2 U
F D R U' R2 L U
F D R' L U L' R2
F D R' L U R2 L'
B2 D U L R' F U'
B2 D U L F R' U'
B2 D U R' L F U'
R' F' L U D2 L' R2
R' F' L U D2 R2 L'
R' F' L U' L2 U2 L
F2 D U' L R' B U
R' F' L D' B2 U L'
R' F' L D2 U L' R2
R' F' L D2 U R2 L'
F2 D U' R' L B U
F D U' L R' U R2
F D U' R' L U R2
F2 D' L R' B' U L'
F D' L R' U L' R2
F D' L R' U R2 L'
F2 D' R' L B' U L'
F D' R U' L R2 U
F D' R U' R2 L U
F D' R' L U L' R2
F D' R' L U R2 L'
B2 D' U L R' F U'
B2 D' U L F R' U'
B2 D' U R' L F U'
F2 D' U' L R' B' U
F2 D' U' R' L B' U
F D' U' L R' U R2
F D' U' R' L U R2
F D2 L R' U L' R2
F D2 L R' U R2 L'
R' F2 D' L B' U L'
F D2 R U' L R2 U
F D2 R U' R2 L U
F D2 R' L U L' R2
F D2 R' L U R2 L'
B2 D2 U L R' F U'
B2 D2 U L F R' U'
B2 D2 U R' L F U'
F D2 U' L R' U R2
F D2 U' R' L U R2
B2 F L R' U' L' R2
B2 F L R' U' R2 L'
B2 F R U L R2 U'
B2 F R U R2 L U'
B2 F R' L U' L' R2
B2 F R' L U' R2 L'
B2 F U L R' U' R2
B2 F U R' L U' R2
U' B' R B L R' U
U' B' R B R' L U
U B2 L R' F B2 U'
U B2 L R' B2 F U'
U B2 L F R' B2 U'
F B2 L R' U' L' R2
F B2 L R' U' R2 L'
D2 B2 U L R' F U'
D2 B2 U L F R' U'
D' B2 U L R' F U'
D' B2 U L F R' U'
D2 B2 U R' L F U'
U B2 R' L F B2 U'
U B2 R' L B2 F U'
D' B2 U R' L F U'
U' B2 U2 L R' F U'
D B2 U L R' F U'
U' B2 U2 L F R' U'
D B2 U L F R' U'
F B2 R U L R2 U'
F B2 R U R2 L U'
U' B2 U2 R' L F U'
D B2 U R' L F U'
F B2 R' L U' L' R2
F B2 R' L U' R2 L'
F B2 U L R' U' R2
F B2 U R' L U' R2
