D' R2 F' B D L2
D' R2 B D L2 F'
D' R2 B D F' L2
D' R2 B F' D L2
B F' D2 U F2 B U
B F' D2 U B F2 U
R' B2 R' U F' L' B
R' B2 R' U F' B L'
R' B2 R' U B F' L'
R2 B2 U F' B' D L2
R2 B2 U B' D L2 F'
R2 B2 U B' D F' L2
R2 B2 U B' F' D L2
L B2 U' F' B' U2 L'
L B2 U' B' F' U2 L'
R2 B2 U2 B U' F' B2
R2 B2 U2 B U' B2 F'
B' F2 D L2 F U' B'
L2 B2 F U' F2 B' U2
L2 B2 F U' B' F2 U2
L2 B2 F D' L2 U F
