L D R2 F2 B' L
L D R2 B' L F2
L D R2 B' F2 L
L D F2 R2 B' L
L D F2 B' L R2
L D F2 B' R2 L
L D B' L R2 F2
L D B' L F2 R2
L D B' R2 L F2
L D B' R2 F2 L
L D B' F2 L R2
L D B' F2 R2 L
L' F2 R2 U' B L
L U2 D R2 B' F2 L
L U2 D F2 R2 B' L
L U2 D F2 B' L R2
L U2 D F2 B' R2 L
L U2 D B' L R2 F2
L U2 D B' L F2 R2
L U2 D B' R2 L F2
L U2 D B' R2 F2 L
L U2 D B' F2 L R2
L U2 D B' F2 R2 L
L D R B' L R F2
L D R B' R L F2
L D R B' R F2 L
L D R' F2 R' B' L
L D R2 F' B' L F'
L D R2 F2 B' L D
L D R2 F2 B' L D'
L D R2 F2 B' L D2
L D R2 F2 B' D L
L D R2 F2 B' D' L
L D R2 F2 B' D2 L
L' D U' L2 R2 B' L
L' D U' L2 B' L R2
L' D U' L2 B' R2 L
L D R2 B' L F2 D
L D R2 B' L F2 D'
L D R2 B' L F2 D2
L D R2 B' L' F2 L2
L D R2 B' F' L F'
L D R2 B' F2 L D
L D R2 B' F2 L D'
L D R2 B' F2 L D2
L D R2 B' F2 D L
L D R2 B' F2 D' L
L D R2 B' F2 D2 L
L' D U' R2 L2 B' L
L D U R2 F2 B' L
L D U R2 B' L F2
L D U R2 B' F2 L
L D U F2 R2 B' L
L D U F2 B' L R2
L D U F2 B' R2 L
L D U B' L R2 F2
L D U B' L F2 R2
L D U B' R2 L F2
L D U B' R2 F2 L
L D U B' F2 L R2
L D U B' F2 R2 L
L D U' R2 F2 B' L
L D U' R2 B' L F2
L D U' R2 B' F2 L
L D U' F2 R2 B' L
L D U' F2 B' L R2
L D U' F2 B' R2 L
L D U' B' L R2 F2
L D U' B' L F2 R2
L D U' B' R2 L F2
L D U' B' R2 F2 L
L D U' B' F2 L R2
L D U' B' F2 R2 L
L D U2 R2 F2 B' L
L D U2 R2 B' L F2
L D U2 R2 B' F2 L
L D U2 F2 R2 B' L
L D U2 F2 B' L R2
L D U2 F2 B' R2 L
L D U2 B' L R2 F2
L D U2 B' L F2 R2
L D U2 B' R2 L F2
L D U2 B' R2 F2 L
L D U2 B' F2 L R2
L D U2 B' F2 R2 L
L D F R2 F B' L
L D F R2 B' F L
L D F B' R2 F L
L D F' B' L F' R2
L D F2 R B' L R
L D F2 R B' R L
L D F2 R2 B' L D
L D F2 R2 B' L D'
L D F2 R2 B' L D2
L D F2 R2 B' D L
L D F2 R2 B' D' L
L D F2 R2 B' D2 L
L D F2 B' L R2 D
L D F2 B' L R2 D'
L D F2 B' L R2 D2
L D F2 B' R2 L D
L D F2 B' R2 L D'
L D F2 B' R2 L D2
L D F2 B' R2 D L
L D F2 B' R2 D' L
L D F2 B' R2 D2 L
L D B R2 F2 L' B2
L D B R2 F2 B2 L'
L D B R2 B2 F2 L'
L D B' L R' F2 R'
L D B' L R2 F2 D
L D B' L R2 F2 D'
L D B' L R2 F2 D2
L D B' L F R2 F
L D B' L F2 R2 D
L D B' L F2 R2 D'
L D B' L F2 R2 D2
L D B' L' R2 F2 L2
L D B' L' F2 L2 R2
L D B' L' F2 R2 L2
L D B' R' L F2 R'
L D B' R' F2 L R'
L D B' R' F2 R' L
L D B' R2 L F2 D
L D B' R2 L F2 D'
L D B' R2 L F2 D2
L D B' R2 L' F2 L2
L D B' R2 F' L F'
L D B' R2 F2 L D
L D B' R2 F2 L D'
L D B' R2 F2 L D2
L D B' R2 F2 D L
L D B' R2 F2 D' L
L D B' R2 F2 D2 L
L D B' F R2 F L
L D B' F' L F' R2
L D B' F2 L R2 D
L D B' F2 L R2 D'
L D B' F2 L R2 D2
L D B' F2 R2 L D
L D B' F2 R2 L D'
L D B' F2 R2 L D2
L D B' F2 R2 D L
L D B' F2 R2 D' L
L D B' F2 R2 D2 L
L D' L2 F B2 U2 L'
L D' L2 B2 F U2 L'
L' D' U F L2 U2 L
F2 U2 L R F' U B'
F2 U2 R L F' U B'
F2 U2 R F' L U B'
L' F2 R' D B R' U'
L' F2 R' B R' U' B
L' F2 R2 U' L B L
L' F2 R2 U' L' B L
L' F2 R2 U' L2 B L
L' F2 R2 U' D B L
L' F2 R2 U' D' B L
L' F2 R2 U' D2 B L
L' F2 R2 U' B L D
L' F2 R2 U' B L D'
L' F2 R2 U' B L D2
L' F2 R2 U' B D L
L' F2 R2 U' B D' L
L' F2 R2 U' B D2 L
L' F2 R2 D U' B L
L' F2 R2 D' U' B L
L' F2 R2 D2 U' B L
L' F2 U D' F' R U2
L F2 R' B L2 U' B2
L F2 U' D F2 B' L
L F2 U' D B' L F2
L F2 U' D B' F2 L
L' F2 D' U F' R U2
L F2 D U' F2 B' L
L F2 D U' B' L F2
L F2 D U' B' F2 L
L' F2 B R2 U' B L
L' F2 B' R2 U' B L
L' F2 B2 R2 U' B L
R' B L' F2 R2 U' B
R' B L' F2 U F' U2
L' B F2 R2 U' B L
L' B' F2 R2 U' B L
L B2 D B R2 F2 L'
L' B2 F2 R2 U' B L
