F2 L' D R2 F B
F2 L' D R2 B F
U' L' F2 L' F' B'
U' L' F2 L' B' F'
D2 U R F U2 F2
U D2 R F U2 F2
U F U2 L' F L'
U F U2 F L' F
U' F2 L' F D2 B2
F U' F' U' F2 L' F
B U' F2 L' F D2 B2
U' D2 R F U2 R' F2
U' D2 R F U2 F2 R'
R2 D2 U R' F B U2
R2 D2 U R' B F U2
R2 D2 U F R' B U2
U D2 R U2 F' D2 B2
U D2 R D F U2 F2
U D2 R D' F U2 F2
U D2 R D2 F U2 F2
U D2 R F U2 F2 D
U D2 R F U2 F2 D'
U D2 R F U2 F2 D2
U D2 R F D2 B2 U2
U D2 R F B U2 F2
U D2 R F B' U2 F2
U D2 R F B2 U2 F2
U D2 R B F U2 F2
L D2 U R F' B' U2
L D2 U R B' F' U2
U D2 R B' F U2 F2
U D2 R B2 F U2 F2
L D2 U B' R F' U2
U D2 R' F R2 U2 F'
U D2 R' F B R2 U2
U D2 R' B R2 F U2
U D2 R' B F R2 U2
F2 U2 L' D R2 F B
F2 U2 L' D R2 B F
U D2 R2 F R' U2 F'
F U2 L' F L' D R2
F U2 L' F D L' R2
F U2 L' F D R2 L'
U D2 B R F U2 F2
U D2 B' R F U2 F2
U D2 B2 R F U2 F2
R F L B' U' F' U'
F U2 F L' D R2 F
F U2 F L' D F R2
R F L' U' F' U' F2
R F L' U2 F D R2
R F L2 U' F' L' U'
U F R U2 L' F L'
U F R U2 F L' F
U F R' U2 L' F L'
U F R' U2 F L' F
U F R2 U2 L' F L'
U F R2 U2 F L' F
U F U F U L' F
U F U' L' U' F L'
R F U' L' F' U' F2
R F U' F' L' U' F
U F U2 L' F L' D
U F U2 L' F L' D'
U F U2 L' F L' D2
U F U2 L' F D L'
U F U2 L' F D' L'
U F U2 L' F D2 L'
U F U2 F L' D F
U F U2 F L' D' F
U F U2 F L' D2 F
U F U2 F L' F D
U F U2 F L' F D'
U F U2 F L' F D2
U F D2 R' B R' U2
F2 D R2 D' L' F B
F2 D R2 D' L' B F
F2 D R2 D' B L' F
U F D2 B R' B U2
F2 D R2 B D' L' F
U F B U2 L' F L'
U F B U2 F L' F
U F B' U2 L' F L'
U F B' U2 F L' F
U F B2 U2 L' F L'
U F B2 U2 F L' F
U' F2 L F2 L2 F B'
U' F2 L F2 L2 B' F
U' F2 L' R2 F B R2
U' F2 L' R2 B R2 F
U' F2 L' R2 B F R2
U' F2 L' U2 F' U2 F2
U' F2 L' D F D2 B2
U' F2 L' D' F D2 B2
U' F2 L' D2 F D2 B2
U' F2 L' F U2 F2 U2
U' F2 L' F D2 B2 D
U' F2 L' F D2 B2 D'
U' F2 L' F D2 B2 D2
U' F2 L' F B D2 B2
U' F2 L' F B' D2 B2
U' F2 L' F B2 D2 B2
L' F2 L' D F' R2 B'
L' F2 L' D F' B' R2
U' F2 L' B F D2 B2
L' F2 L' D B' F' R2
U' F2 L' B' F D2 B2
U' F2 L' B2 F D2 B2
L' F2 L' B' D F' R2
U F2 L' F D2 B2 R'
U' F2 R2 L' F B R2
U' F2 R2 L' B R2 F
U' F2 R2 L' B F R2
U F2 R U2 L' F B'
U F2 R U2 L' B' F
U' F2 R2 B L' R2 F
U' F2 R2 B L' F R2
U' F2 R2 B R2 L' F
U2 F2 R2 U L' F B
U2 F2 R2 U L' B F
U2 F2 R2 U B L' F
U2 F2 U L' F D2 B2
U F2 R2 U2 L' F B
U F2 R2 U2 L' B F
U F2 R2 U2 B L' F
D' F2 D L' R2 F B
D' F2 D L' R2 B F
L' F2 D L' F' R2 B'
L' F2 D L' F' B' R2
L' F2 D L' B' F' R2
D' F2 D R2 L' F B
D' F2 D R2 L' B F
D' F2 D R2 B L' F
U F2 U2 L' F D2 B2
U' F2 B L' F D2 B2
U' F2 B' L' F D2 B2
U' F2 B2 L' F D2 B2
B' D2 U R F U2 F2
B2 D2 U R F U2 F2
B D2 U R F U2 F2
U' B L' F2 L' F' B'
U' B L' F2 L' B' F'
D2 B U R F U2 F2
F2 B L' D R2 F B
F2 B L' D R2 B F
U B D2 R F U2 F2
U' B F2 L' F D2 B2
U B F U2 L' F L'
U B F U2 F L' F
U' B' L' F2 L' F' B'
U' B' L' F2 L' B' F'
D2 B' U R F U2 F2
F2 B' L' D R2 F B
F2 B' L' D R2 B F
R2 B' U' L2 B' L F
U' B' F2 L' F D2 B2
U B' D2 R F U2 F2
U B' F U2 L' F L'
U B' F U2 F L' F
U' B2 L' F2 L' F' B'
U' B2 L' F2 L' B' F'
B' F2 L' D R2 F B
B' F2 L' D R2 B F
B2 F2 L' D R2 F B
B2 F2 L' D R2 B F
F2 B2 L' D R2 F B
F2 B2 L' D R2 B F
B F2 L' D R2 F B
B F2 L' D R2 B F
D2 B2 U R F U2 F2
D' B2 U R F B U2
D' B2 U R B F U2
U' B2 F2 L' F D2 B2
U B2 D2 R F U2 F2
U B2 F U2 L' F L'
U B2 F U2 F L' F
