B' L2 R F' R U
B' L2 F' R F' U
B' R L2 F' R U
B' R F' L2 R U
B' R F' R L2 U
F' R F' B' L2 U
F' R B' L2 F' U
F' R B' F' L2 U
R F' R B' L2 U
R F' B' L2 R U
R F' B' R L2 U
R F' B' R L2 U
F' B' L2 R F' U
R B' L2 F' R U
B' F' L2 R F' U
F' B' R L2 F' U
F' B' R F' L2 U
B' F' R L2 F' U
B' F' R F' L2 U
R B' F' L2 R U
R B' F' R L2 U
B R F' B2 L2 R U
B R F' B2 R L2 U
U R F' B' L2 R U
U R F' B' R L2 U
F' R B L2 F' B2 U
F' R B L2 B2 F' U
F' R B F' L2 B2 U
F' R B' L F' L U
U' R B' L2 F' R U
F' R B' L2 D F' U
F' R B' L2 D' F' U
F' R B' L2 D2 F' U
F' R B' L2 F' U D
F' R B' L2 F' U D'
F' R B' L2 F' U D2
F' R B' L2 F' D U
F' R B' L2 F' D' U
F' R B' L2 F' D2 U
U2 R B' L2 F' R U
F' R B' D' F' U B2
F' R B' F L2 F2 U
U' R B' F' L2 R U
U' R B' F' R L2 U
F' R B' F' L2 U D
F' R B' F' L2 U D'
F' R B' F' L2 U D2
F' R B' F' L2 D U
F' R B' F' L2 D' U
F' R B' F' L2 D2 U
F' R B' F' U D' B2
F' R B' F' D' U B2
U R B' L2 F' R U
U2 R B' F' L2 R U
U2 R B' F' R L2 U
F' R B2 L2 F' B U
F' R B2 L2 B F' U
B R B2 L2 F' R U
U R B' F' L2 R U
U R B' F' R L2 U
F' R B2 F' L2 B U
B R B2 F' L2 R U
B R B2 F' R L2 U
R U' F' R B' L2 U
R U' F' B' L2 R U
R U' F' B' R L2 U
R U' B' L2 F' R U
R U' B' F' L2 R U
R U' B' F' R L2 U
L2 U2 D' F U' L' F
D2 R2 L B' L F U'
R U2 F' R B' L2 U
R U2 F' B' L2 R U
R U2 F' B' R L2 U
R U2 B' L2 F' R U
R U2 B' F' L2 R U
R U2 B' F' R L2 U
F' U R F' B' L2 U
F' U R B' L2 F' U
F' U R B' F' L2 U
B' U D' L' F L' B2
B' U D' L' F B2 L'
B' U D' L' B2 F L'
B' U D' F L' F B2
B' U D' F L' B2 F
B' U D' F B2 L' F
B' U D' B2 L' F L'
B' U D' B2 F L' F
F' U B' L2 R F' U
F' U B' R L2 F' U
F' U B' R F' L2 U
L2 D' U2 F U' L' F
F' U' R F' B' L2 U
F' U' R B' L2 F' U
F' U' R B' F' L2 U
F' U' B' L2 R F' U
F' U' B' R L2 F' U
F' U' B' R F' L2 U
F' U2 R F' B' L2 U
F' U2 R B' L2 F' U
F' U2 R B' F' L2 U
L2 F L' B2 R' B U'
F' U2 B' L2 R F' U
F' U2 B' R L2 F' U
F' U2 B' R F' L2 U
D' F B' U B' L' F
U' F' R F' B' L2 U
U' F' R B' L2 F' U
U' F' R B' F' L2 U
R F' L2 R U2 F U'
L2 F' R D F' U R2
L2 F' R D2 F' B2 U
L2 F' R D2 B2 F' U
L2 F' R F' U2 F' U'
U2 F' R F' B' L2 U
U2 F' R B' L2 F' U
U2 F' R B' F' L2 U
R F' R L2 U2 F U'
U F' R F' B' L2 U
R F' R D' B' U B'
U F' R B' L2 F' U
U F' R B' F' L2 U
R F' R B L2 B2 U
R F' R B' L2 U D
R F' R B' L2 U D'
R F' R B' L2 U D2
R F' R B' L2 D U
R F' R B' L2 D' U
R F' R B' L2 D2 U
R F' R B' U D' B2
R F' R B' D' U B2
R F' R B2 L2 B U
R F' R' B' L2 R2 U
R F' R' B' R2 L2 U
B' D' L' U F L' B2
B' D' L' U F B2 L'
B' D' L' U B2 F L'
B D' L' R2 F L' B2
B D' L' R2 F B2 L'
B D' L' R2 B2 F L'
B D' L' F L' R2 B2
B D' L' F L' B2 R2
B D' L' F R2 L' B2
B D' L' F R2 B2 L'
B D' L' F B2 L' R2
B D' L' F B2 R2 L'
B D' L' B2 R2 F L'
B D' L' B2 F L' R2
B D' L' B2 F R2 L'
R F' D' R B' U B'
U' F' B' L2 R F' U
U' F' B' R L2 F' U
U' F' B' R F' L2 U
R F' D' B' R U B'
B' D' U L' F L' B2
B' D' U L' F B2 L'
B' D' U L' B2 F L'
U2 F' B' L2 R F' U
U2 F' B' R L2 F' U
U2 F' B' R F' L2 U
B' D' U F L' F B2
B' D' U F L' B2 F
B' D' U F B2 L' F
B D' R2 L' F L' B2
B D' R2 L' F B2 L'
B D' R2 L' B2 F L'
B' D' U B2 L' F L'
B' D' U B2 F L' F
R F' B L2 R B2 U
R F' B L2 B2 R U
R F' B R L2 B2 U
B D' R2 F L' F B2
B D' R2 F L' B2 F
R F' B R B2 L2 U
B D' R2 F B2 L' F
B D' R2 B2 L' F L'
B D' R2 B2 F L' F
U F' B' L2 R F' U
U F' B' R L2 F' U
U F' B' R F' L2 U
R F' B' L2 R U D
R F' B' L2 R U D'
R F' B' L2 R U D2
R F' B' L2 R D U
R F' B' L2 R D' U
R F' B' L2 R D2 U
R F' B' L2 D R U
R F' B' L2 D' R U
R F' B' L2 D2 R U
R F' B' R L2 U D
R F' B' R L2 U D'
R F' B' R L2 U D2
R F' B' R L2 D U
R F' B' R L2 D' U
R F' B' R L2 D2 U
R F' B' R U D' B2
R F' B' R D' U B2
R F' B' D' R U B2
R F' B2 L2 B R U
B' D' F U L' F B2
B' D' F U L' B2 F
B' D' F U B2 L' F
B D' F L' R2 F B2
B D' F L' R2 B2 F
B D' F L' F R2 B2
B D' F L' F B2 R2
B D' F L' B2 R2 F
B D' F L' B2 F R2
B D' F R2 L' F B2
B D' F R2 L' B2 F
B D' F R2 B2 L' F
B D' F B2 L' R2 F
B D' F B2 L' F R2
B D' F B2 R2 L' F
B D' B2 L' R2 F L'
B D' B2 L' F L' R2
B D' B2 L' F R2 L'
B D' B2 R2 L' F L'
B D' B2 R2 F L' F
B D' B2 F L' R2 F
B D' B2 F L' F R2
B D' B2 F R2 L' F
R B L2 F' R B2 U
R B L2 F' B2 R U
R B L2 B2 F' R U
F' B L2 R F' B2 U
F' B L2 R B2 F' U
F' B L2 B2 R F' U
F' B R L2 F' B2 U
F' B R L2 B2 F' U
F' B R F' L2 B2 U
F' B R F' B2 L2 U
F' B R B2 L2 F' U
F' B R B2 F' L2 U
D2 B' L B' R2 F' U'
R B F' L2 R B2 U
R B F' L2 B2 R U
R B F' R L2 B2 U
R B F' R B2 L2 U
U' B' L2 R F' R U
U' B' L2 F' R F' U
U' B' R L2 F' R U
U2 B' L2 R F' R U
U' B' R F' L2 R U
U' B' R F' R L2 U
R B' L F' L R U
R B' L F' R L U
R2 B' L2 R' F' R U
U2 B' L2 F' R F' U
U2 B' R L2 F' R U
U B' L2 R F' R U
U2 B' R F' L2 R U
U2 B' R F' R L2 U
U B' L2 F' R F' U
B' F' L R F' L U
F' B' L R F' L U
U B' R L2 F' R U
R B' L2 F' R U D
R B' L2 F' R U D'
R B' L2 F' R U D2
R B' L2 F' R D U
R B' L2 F' R D' U
R B' L2 F' R D' U
R B' L2 F' R D2 U
R B' L2 F' D R U
R B' L2 F' D' R U
R B' L2 F' D2 R U
R2 B' R' L2 F' R U
U B' R F' L2 R U
U B' R F' R L2 U
R2 B' R' F' L2 R U
R2 B' R' F' R L2 U
D' B' U F B' L' F
B' F' L2 R D F' U
B' F' L2 R D' F' U
B' F' L2 R D2 F' U
B' F' L2 R F' U D
B' F' L2 R F' U D'
B' F' L2 R F' U D2
B' F' L2 R F' D U
B' F' L2 R F' D' U
B' F' L2 R F' D2 U
D' B' U B' L' F L'
D' B' U B' F L' F
F' B' L2 R D F' U
F' B' L2 R D' F' U
F' B' L2 R D2 F' U
F' B' L2 R F' U D
F' B' L2 R F' U D'
F' B' L2 R F' U D2
F' B' L2 R F' D U
F' B' L2 R F' D' U
F' B' L2 R F' D2 U
B' F' R L F' L U
D2 B' U2 L R2 B' U'
D2 B' U2 L B' R2 U'
B' F' R L2 D F' U
B' F' R L2 D' F' U
B' F' R L2 D2 F' U
B' F' R L2 F' U D
B' F' R L2 F' U D'
B' F' R L2 F' U D2
B' F' R L2 F' D U
B' F' R L2 F' D' U
B' F' R L2 F' D2 U
F2 B' L2 F R F' U
D2 B' U2 R2 L B' U'
B2 F' L2 B R F' U
F' B' R L F' L U
B' F' R D' F' U B2
F' B' R L2 D F' U
F' B' R L2 D' F' U
F' B' R L2 D2 F' U
F' B' R L2 F' U D
F' B' R L2 F' U D'
F' B' R L2 F' U D2
F' B' R L2 F' D U
F' B' R L2 F' D' U
F' B' R L2 F' D2 U
B' F' R F L2 F2 U
B F' L2 R F' B2 U
B F' L2 R B2 F' U
B' F' R F' L2 U D
B' F' R F' L2 U D'
B' F' R F' L2 U D2
B' F' R F' L2 D U
B' F' R F' L2 D' U
B' F' R F' L2 D2 U
B' F' R F' U D' B2
B' F' R F' D' U B2
F' B' R D' F' U B2
F' B' R F L2 F2 U
F' B' R F' L2 U D
F' B' R F' L2 U D'
F' B' R F' L2 U D2
F' B' R F' L2 D U
F' B' R F' L2 D' U
F' B' R F' L2 D2 U
F' B' R F' U D' B2
F' B' R F' D' U B2
B F' L2 B2 R F' U
B F' R L2 F' B2 U
B F' R L2 B2 F' U
B F' R F' L2 B2 U
B F' R F' B2 L2 U
B F' R B2 L2 F' U
B F' R B2 F' L2 U
D' B' F U B' L' F
U' B' F' L2 R F' U
U' B' F' R L2 F' U
U' B' F' R F' L2 U
U2 B' F' L2 R F' U
U2 B' F' R L2 F' U
U2 B' F' R F' L2 U
U B' F' L2 R F' U
U B' F' R L2 F' U
U B' F' R F' L2 U
R B' F' L2 R U D
R B' F' L2 R U D'
R B' F' L2 R U D2
R B' F' L2 R D U
R B' F' L2 R D' U
R B' F' L2 R D2 U
R B' F' L2 D R U
R B' F' L2 D' R U
R B' F' L2 D2 R U
R B' F' R L2 U D
R B' F' R L2 U D'
R B' F' R L2 U D2
R B' F' R L2 D U
R B' F' R L2 D' U
R B' F' R L2 D2 U
R B' F' R U D' B2
R B' F' R D' U B2
R B' F' D' R U B2
B' F2 L2 F R F' U
R B2 L2 F' B R U
F' B2 L2 B R F' U
R B2 L2 B F' R U
R B2 F' L2 B R U
