F2 B' L' F U'
B' F2 L' F U'
B' L U2 R B' U
B' L U2 B' R U
F2 L' D F U' L'
B' L' F2 L' F' U'
B' L2 U2 R B U
L2 U2 R F B U
L2 U2 R B F U
B' F L' F L' U'
F2 B L' F B2 U'
F2 B L' B2 F U'
F2 B' L' D F U'
F2 B' L' D' F U'
F2 B' L' D2 F U'
F2 B' L' F U' D
F2 B' L' F U' D'
F2 B' L' F U' D2
F2 B' L' F D U'
F2 B' L' F D' U'
F2 B' L' F D2 U'
F B' L' F L' U'
B' F2 L' D F U'
B' F2 L' D' F U'
B' F2 L' D2 F U'
B' F2 L' F U' D
B' F2 L' F U' D'
B' F2 L' F U' D2
B' F2 L' F D U'
B' F2 L' F D' U'
B' F2 L' F D2 U'
B2 F2 L' F B U'
F2 B2 L' F B U'
B2 F2 L' B F U'
F2 B2 L' B F U'
B F2 L' F B2 U'
B F2 L' B2 F U'
F2 B' L' D' F U' D2
F2 B' L' D' F D U'
F2 B' L' D' F D' U'
F2 B' L' D' F D2 U'
F2 B' L' D2 F U' D
F2 B' L' D2 F U' D'
F2 B' L' D2 F U' D2
F2 B' L' D2 F D U'
F2 B' L' D2 F D' U'
F2 B' L' D2 F D2 U'
F2 B' L' F' U' D R2
F2 B' L' F' D U' R2
F2 B' L' F2 D F' U'
F2 B' L' F2 D' F' U'
F2 B' L' F2 D2 F' U'
F2 B' L2 D L F U'
F2 B' L2 D' L F U'
F2 B' L2 D2 L F U'
D2 B' U2 R U2 F' U'
F2 B' L2 F L F U'
D2 B' U2 R' B R2 U
F2 B' L2 F' L F U'
D' B' U2 R U' L U2
F2 B' L2 F2 L F U'
D' B' U2 R B2 U R'
F B' L' F L' U' D
F B' L' F L' U' D'
F B' L' F L' U' D2
F B' L' F L' D U'
F B' L' F L' D' U'
F B' L' F L' D2 U'
F B' L' F D L' U'
F B' L' F D' L' U'
F B' L' F D2 L' U'
F2 B' R L' F R' U'
D' B' U2 B2 R U R2
L2 B' U2 R F B U
L2 B' U2 R B F U
F2 B' R2 L' F R2 U'
R' B' D2 L2 R F' U'
R' B' D2 R L2 F' U'
R' B' D2 R F' L2 U'
D2 B' D2 F2 L' F U'
B' F' U' R' D F' R
B' F' U' D R' F' R
D B' D' F2 L' F U'
F' B' U' R' D F' R
F' B' U' D R' F' R
D' B' F' U L U2 F
U' B' F2 L' F U' B
D' B' F2 L' U L2 U2
D' B' F2 L' U' D2 R2
D' B' F2 L' D F2 U'
D' B' F2 L' D2 U' R2
B' F' D U' R' F' R
D2 B' F2 D2 L' F U'
F B' U' D R F' R
B' F' D F' L' U' R
F B' U' D F' R F'
F2 B' D L' F' U' R
F' B' D U' R' F' R
D B' F' U' R' F' R2
F' B' D F' L' U' R
D B' F2 L' F U' R
B2 F' D' B U' R' F'
F B' D U' R F' R
F B' D U' F' R F'
F B' D F' U' R F'
B' F2 L F L2 F U'
B' F2 L F' L2 F U'
B' F2 L F2 L2 F U'
B' F2 L' R F R' U'
B' F2 L' R2 F R2 U'
R B2 L B' U D L2
R B2 L B' U2 B2 U'
R B2 L B' D U L2
R B2 L B' D2 F2 U
B' F2 L' D F U' D
B' F2 L' D F U' D'
B' F2 L' D F U' D2
B' F2 L' D F D U'
B' F2 L' D F D' U'
B' F2 L' D F D2 U'
B' F2 L' D' F U' D
B' F2 L' D' F U' D'
B' F2 L' D' F U' D2
B' F2 L' D' F D U'
B' F2 L' D' F D' U'
B' F2 L' D' F D2 U'
B' F2 L' D2 F U' D
B' F2 L' D2 F U' D'
B' F2 L' D2 F U' D2
B' F2 L' D2 F D U'
B' F2 L' D2 F D' U'
B' F2 L' D2 F D2 U'
B' F2 L' F' U' D R2
B' F2 L' F' D U' R2
B' F2 L' F2 D F' U'
B' F2 L' F2 D' F' U'
B' F2 L' F2 D2 F' U'
B2 F2 L' D F B U'
B2 F2 L' D B F U'
B2 F2 L' D' F B U'
B2 F2 L' D' B F U'
B2 F2 L' D2 F B U'
B2 F2 L' D2 B F U'
F2 B2 L' D F B U'
F2 B2 L' D B F U'
B2 F2 L' F D B U'
B2 F2 L' F D' B U'
B2 F2 L' F D2 B U'
B2 F2 L' F B U' D
B2 F2 L' F B U' D'
B2 F2 L' F B U' D2
F2 B2 L' D' F B U'
B2 F2 L' F B D U'
B2 F2 L' F B D' U'
B2 F2 L' F B D2 U'
F2 B2 L' D' B F U'
B' F2 L2 D L F U'
F2 B2 L' D2 F B U'
F2 B2 L' D2 B F U'
B' F2 L2 D' L F U'
F2 B2 L' F D B U'
F2 B2 L' F D' B U'
F2 B2 L' F D2 B U'
F2 B2 L' F B U' D
F2 B2 L' F B U' D'
F2 B2 L' F B U' D2
F2 B2 L' F B D U'
F2 B2 L' F B D' U'
F2 B2 L' F B D2 U'
B' F2 L2 D2 L F U'
B2 F2 L' B D F U'
B2 F2 L' B D' F U'
B2 F2 L' B D2 F U'
B2 F2 L' B F U' D
B2 F2 L' B F U' D'
B2 F2 L' B F U' D2
B2 F2 L' B F D U'
B2 F2 L' B F D' U'
B2 F2 L' B F D2 U'
B' F2 L2 F L F U'
B' F2 L2 F' L F U'
F2 B2 L' B D F U'
F2 B2 L' B D' F U'
F2 B2 L' B D2 F U'
F2 B2 L' B F U' D
F2 B2 L' B F U' D'
F2 B2 L' B F U' D2
F2 B2 L' B F D U'
F2 B2 L' B F D' U'
F2 B2 L' B F D2 U'
B' F2 L2 F2 L F U'
B' F2 R L' F R' U'
B F2 L' D F U' L2
B F2 L' F U' D L2
B F2 L' F D U' L2
B F2 L' F B2 U' D
B F2 L' F B2 U' D'
B F2 L' F B2 U' D2
B F2 L' F B2 D U'
B F2 L' F B2 D' U'
B F2 L' F B2 D2 U'
B F2 L' B2 D F U'
B F2 L' B2 D' F U'
B F2 L' B2 D2 F U'
B F2 L' B2 F U' D
B F2 L' B2 F U' D'
B F2 L' B2 F U' D2
B F2 L' B2 F D U'
B F2 L' B2 F D' U'
B F2 L' B2 F D2 U'
F B2 L' F L' B U'
F B2 L' F B L' U'
F B2 L' B F L' U'
B' F2 R2 L' F R2 U'
L2 B2 U2 R F B U
L2 B2 U2 R B F U
B' F2 D L' F' U' R
B2 F2 D' L' B U' R'
F2 B2 D' L' B U' R'
F' B2 D' B U' R' F'
B2 F2 D' B L' U' R'
F2 B2 D' B L' U' R'
