U2 L2 F L' R U'
U2 L2 F R L' U'
L2 U2 F L' R U'
L2 U2 F R L' U'
D2 B L R' B2 U
D2 B R' L B2 U
D2 B' U2 L R' U'
D2 B' U2 R' L U'
L' D U F' R B F'
L2 D U2 F R U' F'
U2 D L2 F R U' F'
F' U R F B' U B2
F' U R B' F U B2
D U R F' B D' R2
D U R B D' F' R2
D U R B F' D' R2
U D R F' B D' R2
U D R B D' F' R2
U D R B F' D' R2
B' U F U L' R' U'
B' U F U R' L' U'
F' U B' R F U B
B' U' F U' L' R' U'
B' U' F U' R' L' U'
B' U' F2 U' R' U' F'
L' D2 R' B L R' U
L' D2 R' B R' L U
D U2 L2 F R U' F'
R' D2 B L R' B2 U
L' D2 B L R' B U
R' D2 B R' L B2 U
L' D2 B R' L B U
B' U2 R' D' L' U' F
B' U2 R' F L' F' U'
R2 D2 B L R' B2 U
R2 D2 B R' L B2 U
B' U2 R2 D R U' F'
R' D2 B' U2 L R' U'
R' D2 B' U2 R' L U'
R D2 B L R' B2 U
R D2 B R' L B2 U
B' U2 D R' U B U2
R2 D2 B' U2 L R' U'
R2 D2 B' U2 R' L U'
B' U2 D' L' R' U' F
B' U2 D' R' L' U' F
R D2 B' U2 L R' U'
R D2 B' U2 R' L U'
B' U2 F L' F' R' U'
L2 F L' U2 F' L' U
U2 F L' D2 R F' U'
U2 F L2 R F L U'
U2 F R L2 F L U'
B' D R U D F' B2
B' D R U D B2 F'
B' D R U F' D B2
B' D R D U F' B2
B' D R D U B2 F'
B' D R D2 L2 U F'
B' D R' U' B U2 B'
B' D U2 R' U B U2
B' D' L' U2 R' U' F
U2 F' U2 R B' L' U
B D' L U' B' U2 R2
U2 F' U2 B' L' R U
U2 F' U2 B' R L' U
B' D' L2 U2 R' U' F'
B D' L B2 U R2 F'
B' D' U2 L' R' U' F
B' D' U2 R' L' U' F
D2 B L R B2 R2 U
D2 B L R' U D' R2
D2 B L R' D' U R2
D2 B L R' B2 U D
D2 B L R' B2 U D'
D2 B L R' B2 U D2
D2 B L R' B2 D U
D2 B L R' B2 D' U
D2 B L R' B2 D2 U
D2 B L R2 B2 R U
D2 B L D' R' U R'
D2 B L B2 U2 L U'
D' B L B2 R2 U F'
D' B L B2 U' B U2
D2 B L' R' B2 L2 U
D B L R B2 U F'
D2 B L2 R' B2 L' U
L B L U2 F L' U'
D B L B2 R U F'
D2 B R L B2 R2 U
D2 B R' L U D' R2
D2 B R' L D' U R2
D2 B R' L B2 U D
D2 B R' L B2 U D'
D2 B R' L B2 U D2
D2 B R' L B2 D U
D2 B R' L B2 D' U
D2 B R' L B2 D2 U
D2 B R' L' B2 L2 U
D2 B R' L2 B2 L' U
D2 B R' D' L U R2
D B R L B2 U F'
D2 B R' B2 U2 R' U'
D2 B R2 L B2 R U
B2 D2 B D R' U B
D2 B D' L R' U R'
D2 B D' R' L U R'
F' B R F L B2 U
D2 B' L' U2 L2 R' U'
D2 B' L' U2 R' L2 U'
D' B' L' U2 R' U' F
D2 B' L2 U2 L' R' U'
D2 B' L2 U2 R' L' U'
D' B' L2 U2 R' U' F'
D2 B' R U2 L R2 U'
D2 B' R U2 R2 L U'
D B' R U D F' B2
D B' R U D B2 F'
D B' R U F' D B2
D B' R D U F' B2
D B' R D U B2 F'
D B' R D2 L2 U F'
D2 B' R2 U2 L R U'
D2 B' R2 U2 R L U'
D B' R' U' B U2 B'
U2 B' R2 F' L' R U
U2 B' R2 F' R L' U
D2 B' U2 L R' U' D
D2 B' U2 L R' U' D'
D2 B' U2 L R' U' D2
D2 B' U2 L R' D U'
D2 B' U2 L R' D' U'
D2 B' U2 L R' D2 U'
D2 B' U2 L D R' U'
D2 B' U2 L D' R' U'
D2 B' U2 L D2 R' U'
D' B' U2 L' R' U' F
D2 B' U2 R' L U' D
D2 B' U2 R' L U' D'
D2 B' U2 R' L U' D2
D2 B' U2 R' L D U'
D2 B' U2 R' L D' U'
D2 B' U2 R' L D2 U'
D2 B' U2 R' D L U'
D2 B' U2 R' D' L U'
D2 B' U2 R' D2 L U'
B' F' R D F U B2
D2 B' U2 D L R' U'
D' B' U2 R' L' U' F
D2 B' U2 D R' L U'
D2 B' U2 D' L R' U'
D2 B' U2 D' R' L U'
B' F' R D2 F L2 U
D2 B' U2 D2 L R' U'
D2 B' U2 D2 R' L U'
B' F' R F U D B2
B' F' R F U2 R2 U'
B' F' R F D U B2
B' F' R F D2 L2 U
F' B' R D F U B2
F' B' R D2 F L2 U
F' B' R F U D B2
F' B' R F U2 R2 U'
F' B' R F D U B2
F' B' R F D2 L2 U
L2 B' U2 R' F L' U'
L2 B' U2 F L' R' U'
L2 B' U2 F R' L' U'
D2 B' D U2 L R' U'
D2 B' D U2 R' L U'
D B' U2 R' U B U2
B F' R F L B2 U
D2 B' D' U2 L R' U'
D2 B' D' U2 R' L U'
D2 B' D2 U2 L R' U'
D2 B' D2 U2 R' L U'
D' B2 D' B R' U B
