F L2 B' U F U
L2 U F U F B'
L2 U F U B' F
B' U L2 U2 F2 B'
B' U L2 U2 B' F2
B' U F L2 B' U2
B' U' F2 D2 R2 B
F2 D2 R2 B D L2
D' B' L2 F U' B'
F2 R2 D2 B R2 D L2
F2 R2 B D L2 D R2
D' R2 B' L2 F U' B'
F2 R2 B D2 R2 D' L2
L2 D U R2 F U B'
L2 D U F R2 U B'
B' U L' U2 F2 R B
B' U L2 U2 F2 D B'
B' U L2 U2 F2 D' B'
B' U L2 U2 F2 D2 B'
B' U L2 U2 F2 B' D
B' U L2 U2 F2 B' D'
B' U L2 U2 F2 B' D2
B' U L2 U2 B' F2 D
B' U L2 U2 B' F2 D'
B' U L2 U2 B' F2 D2
B' U L2 D2 B2 U2 B
B' U L2 F U2 F B'
B' U L2 F U2 B' F
B' U L2 F' U2 F' B'
B' U L2 F' U2 B' F'
B' U L2 B U2 F2 B2
B' U L2 B U2 B2 F2
B' U L2 B2 U2 F2 B
B' U L2 B2 U2 B F2
B' U D2 F B2 U2 R2
B' U D2 B2 F U2 R2
B' U F L2 D B' U2
B' U F L2 D' B' U2
B' U F L2 D2 B' U2
B' U F L2 B' U2 D
B' U F L2 B' U2 D'
B' U F L2 B' U2 D2
B' U F L2 B' D U2
B' U F L2 B' D' U2
B' U F L2 B' D2 U2
F2 U D2 B' U' R2 B
B' U F U2 D2 R2 F
B' U F U2 D2 F R2
B' U F U2 F D2 R2
B' U F D2 U2 R2 F
B' U F D2 U2 F R2
B' U F B L2 B' U2
B' U F B' L2 B' U2
B' U F B2 L2 B' U2
B' U F' L2 F2 U2 F
D' U B' L2 F U' B'
B' U F2 L2 F' U2 F
B' U B L2 U2 F2 B'
B' U B L2 U2 B' F2
B' U B F L2 B' U2
B' U B' L2 U2 F2 B'
B' U B' L2 U2 B' F2
F2 U B' U L2 F' U2
B' U B' F L2 B' U2
F2 U B' U F' L2 U2
F2 U B' U' D2 R2 B
B' U B2 L2 U2 F2 B'
B' U B2 L2 U2 B' F2
F2 U B' D2 U' R2 B
B' U B2 F L2 B' U2
B' U' L2 U2 F2 B' L2
B' U' L2 U2 B' L2 F2
B' U' L2 U2 B' F2 L2
B' U' R F2 D2 R2 B
B' U' R' F2 D2 R2 B
R' D' B' L2 F U' B'
B' U' R2 F2 D2 R2 B
R2 D' B' L2 F U' B'
R D' B' L2 F U' B'
U' D' B' L2 F U' B'
D' U' B' L2 F U' B'
F U' D F2 B' U' F'
U2 D' B' L2 F U' B'
F U' D B' F2 U' F'
B' U' F L2 U2 L2 F
B' U' F L2 B' U2 L2
U D' B' L2 F U' B'
B' U' F D2 F R2 B
F U' D2 B' U' R2 F
F U' D2 B' U' F R2
B' U' F' D2 F' R2 B2
B' U' F' D2 F' B2 R2
B' U' F' D2 B2 F' R2
B' U' F2 R2 D2 B R2
B' U' F2 R2 B D2 R2
B' U' F2 U2 L2 F' U2
B' U' F2 U2 F' L2 U2
B' U' F2 D2 R2 D B
B' U' F2 D2 R2 D' B
B' U' F2 D2 R2 D2 B
B' U' F2 D2 R2 B D
B' U' F2 D2 R2 B D'
B' U' F2 D2 R2 B D2
B' U' F2 D2 B R2 B
B' U' F2 D2 B' R2 B
B' U' F2 D2 B2 R2 B
B' U' F2 B D2 R2 B
B' U' F2 B' D2 R2 B
B' U' F2 B2 D2 R2 B
B' U' B F2 D2 R2 B
B' U' B' F2 D2 R2 B
F U' B' U L2 B' U2
B' U' B2 F2 D2 R2 B
F U' B' U' D2 R2 F
F U' B' U' D2 F R2
F U' B' U' F D2 R2
F U' B' D F2 U' F'
F U' B' D2 U' R2 F
F U' B' D2 U' F R2
F2 U2 L2 F' U F2 U
F2 U2 L2 F' U2 D' L2
F2 U2 L2 F' D R2 U2
F2 U2 L2 F' D' U2 L2
D' U2 B' L2 F U' B'
L2 D2 B2 U F U B
U' F L2 B' U F U
R' F L2 B' U F U
F2 U2 F' L2 U F U
U2 F L2 B' U F U
R2 F L2 B' U F U
U F L2 B' U F U
R F L2 B' U F U
D' F U' B' L2 F U'
L' F D F L' R B'
L' F D F L' B' R
L' F D F R L' B'
F2 D R2 B D L2 R2
F2 D R2 B D R2 L2
D2 F B2 U' B U' R2
F D U' F2 B' U' F'
F D U' B' F2 U' F'
B' D F2 U2 R2 U B
F' D F2 R2 B' U' F
F' D F2 B' R2 U' F
F2 D B D L2 R2 B
F2 D B D R2 L2 B
F2 D B D R2 B L2
F' D B' F2 R2 U' F
L2 F' U F2 U F B'
L2 F' U F2 U B' F
L2 F' U2 D' F' B' L2
L2 F' U2 D' B' L2 F'
L2 F' U2 D' B' F' L2
L2 F' U2 B' D' L2 F'
L2 F' U2 B' D' F' L2
B' D' L2 U' D' R2 B'
B' D' L2 U' D' B' R2
B' D' L2 U2 B2 U B
B' D' L2 D' U' R2 B'
B' D' L2 D' U' B' R2
B' D' L2 D2 F2 U' B'
L2 F' D R2 B U2 B2
F' D' L2 F B2 U F2
F' D' L2 B2 F U F2
L2 F' D' U2 F' B' L2
L2 F' D' U2 B' L2 F'
L2 F' D' U2 B' F' L2
L' F2 R D' L' B' L
L' F2 D' L' R B' L
L' F2 D' L' B' L R
L' F2 D' L' B' R L
L' F2 D' R L' B' L
U' F2 D2 R2 B D L2
R' F2 D2 R2 B D L2
U2 F2 D2 R2 B D L2
R2 F2 D2 R2 B D L2
F2 D2 R2 U B' U' B2
U F2 D2 R2 B D L2
F2 D2 R2 D B D L2
F2 D2 R2 D' B D L2
F2 D2 R2 D2 B D L2
R F2 D2 R2 B D L2
F2 D2 R2 B L D L2
F2 D2 R2 B L' D L2
F2 D2 R2 B L2 D L2
B' D2 U F B2 U2 R2
F2 D2 R2 B U B2 U'
F2 D2 R2 B D L2 D
F2 D2 R2 B D L2 D'
F2 D2 R2 B D L2 D2
B' D2 U B2 F U2 R2
F2 D2 U B' U' R2 B
D F2 B' U2 R2 U B
F D2 U' B' U' R2 F
F D2 U' B' U' F R2
F D2 F R2 B D L2
D2 B R2 D L2 F' B'
D2 B R2 D L2 B' F'
F2 D2 B R2 D L2 B
F2 D2 B R2 D B L2
F' D2 B' U' F' R2 B'
F' D2 B' U' F' B' R2
F' D2 B' U' B' F' R2
L2 B U F U F B2
L2 B U F U B2 F
B' F L2 B' U' B U'
B2 F L2 B' U' B2 U'
B2 F L2 B' U2 D L2
B2 F L2 B' D U2 L2
B2 F L2 B' D' R2 U2
B F L2 U2 D L2 F
B F L2 D U2 L2 F
B F L2 D B' U2 L2
B F L2 D' R2 B' U2
B F L2 D' B' R2 U2
F B L2 U2 D L2 F
B F L2 B' U' B' U'
F B L2 D U2 L2 F
F B L2 D B' U2 L2
F B L2 D' R2 B' U2
F B L2 D' B' R2 U2
F B L2 B' U' B' U'
D' B' L2 R F U' B'
D' B' L2 R' F U' B'
D' B' L2 R2 F U' B'
D2 B' L2 U' R2 F B'
D2 B' L2 U' R2 B' F
D2 B' L2 U' F R2 B'
D2 B' L2 U' F B' R2
D2 B' L2 U' B' R2 F
D2 B' L2 U' B' F R2
D' B' L2 D F U' B'
D' B' L2 D' F U' B'
D' B' L2 D2 F U' B'
D' B' L2 F R U' B'
D' B' L2 F R' U' B'
D' B' L2 F R2 U' B'
D' B' L2 F U' D B'
D' B' L2 F U' D' B'
D' B' L2 F U' D2 B'
D' B' L2 F U' B' D
D' B' L2 F U' B' D'
D' B' L2 F U' B' D2
D' B' L2 F D U' B'
D' B' L2 F D' U' B'
D' B' L2 F D2 U' B'
F2 B D L2 D R2 B
D' B' R L2 F U' B'
D' B' R' L2 F U' B'
F2 B D2 R2 D' L2 B
F2 B D2 R2 D' B L2
F2 B D2 R2 B D' L2
D' B' R2 L2 F U' B'
U' B' U L2 U2 F2 B'
U' B' U L2 U2 B' F2
R' B' U L2 U2 F2 B'
R' B' U L2 U2 B' F2
U' B' U F L2 B' U2
R' B' U F L2 B' U2
D2 B' U F B' U2 R2
D2 B' U B' F U2 R2
U2 B' U L2 U2 F2 B'
U2 B' U L2 U2 B' F2
U' B' U' F2 D2 R2 B
U2 B' U F L2 B' U2
R2 B' U L2 U2 F2 B'
R2 B' U L2 U2 B' F2
R' B' U' F2 D2 R2 B
R2 B' U F L2 B' U2
U B' U L2 U2 F2 B'
U B' U L2 U2 B' F2
U2 B' U' F2 D2 R2 B
U B' U F L2 B' U2
R B' U L2 U2 F2 B'
R B' U L2 U2 B' F2
R2 B' U' F2 D2 R2 B
R B' U F L2 B' U2
F B' L2 B' U' B U'
U B' U' F2 D2 R2 B
R B' U' F2 D2 R2 B
B' F' U L2 F2 U2 F
F' B' U L2 F2 U2 F
B' F' U F2 L2 B' U2
F' B' U F2 L2 B' U2
B' F' U' D2 F' R2 B2
B' F' U' D2 F' B2 R2
B' F' U' D2 B2 F' R2
B' F' U' F' D2 R2 B
F' B' U' D2 F' R2 B2
F' B' U' D2 F' B2 R2
F' B' U' D2 B2 F' R2
F' B' U' F' D2 R2 B
B' F' D F2 R2 U' F
F' B' D F2 R2 U' F
D B' F2 U2 R2 U B
B' F' D2 U' F' R2 B2
B' F' D2 U' F' B2 R2
B' F' D2 U' B2 F' R2
F' B' D2 U' F' R2 B2
F' B' D2 U' F' B2 R2
F' B' D2 U' B2 F' R2
L2 B2 U F U F B
L2 B2 U F U B F
F B2 L2 B' U' B2 U'
F B2 L2 B' U2 D L2
F B2 L2 B' D U2 L2
F B2 L2 B' D' R2 U2
D' B2 U2 L2 B U' B2
D' B2 U2 B L2 U' B'
D2 B2 F U' B U' R2
B F2 D L2 D R2 B
B F2 D2 R2 D' L2 B
B F2 D2 R2 D' B L2
B F2 D2 R2 B D' L2
