F2 L' R F' B R
F2 L' R B F' R
F2 L' F' R F' B
F2 L' F' R B F'
F2 R L' F' B R
F2 R L' B F' R
F R F L' F2 B
F R F L' B F2
F R F B L' F2
F2 R B L' F' R
F R B F L' F2
R U2 F' B' R' B2
R U2 B' F' R' B2
R F U2 B R F2
R' F' L' R2 U2 F'
R' F' L' B R2 U2
R' F' R2 L' U2 F'
R' F' B L' R2 U2
R' F' B R2 L' U2
R' B F' L' R2 U2
R' B F' R2 L' U2
R B2 U2 F' B' R'
R B2 U2 B' F' R'
F2 R L' B F' D R
F2 R L' B F' D' R
F2 R L' B F' D2 R
F2 R L' B' F' R B2
F R L' F L' F2 B
F R L' F L' B F2
F R L' F B L' F2
F2 R L' B2 F' R B'
F R L' B F L' F2
F2 R L2 F' L B R
F R L2 F L' F2 B
F R L2 F L' B F2
F R L2 F B L' F2
F2 R U L' F' B R
F2 R U L' B F' R
F R L2 B F L' F2
F2 R U B L' F' R
F2 R U' L' F' B R
F2 R U' L' B F' R
F2 R U' B L' F' R
F2 R U2 L' F' B R
F2 R U2 L' B F' R
B' R U2 F' B' R' B2
U2 R U2 F R F2 B
U2 R U2 F R B F2
B2 R U2 F' B' R' B2
B' R U2 B' F' R' B2
F2 R U2 B L' F' R
B2 R U2 B' F' R' B2
B R U2 F' B' R' B2
B R U2 B' F' R' B2
R U B2 U F' B' R'
R U B2 U B' F' R'
F2 R D2 L' F' B R'
F2 R D2 L' B F' R'
F2 R D2 B L' F' R'
F R D2 F' B' L B2
F R D2 B' L F' B2
F R D2 B' L B2 F'
B' R F U2 B R F2
F R D2 B' F' L B2
F R F L F2 L2 B
F R F L F2 B L2
F R F L B L2 F2
F R F L B F2 L2
B2 R F U2 B R F2
F R F L' F2 D B
F R F L' F2 D' B
F R F L' F2 D2 B
F R F L' F2 B D
F R F L' F2 B D'
F R F L' F2 B D2
F R F L' B F2 D
F R F L' B F2 D'
F R F L' B F2 D2
F R F L2 F2 L B
D2 R F' L' U2 F B
D2 R F' L' U2 B F
B R F U2 B R F2
F' R F' L' D2 B R'
F R F B L F2 L2
F R F B L' F2 D
F R F B L' F2 D'
F R F B L' F2 D2
F R F B L2 F2 L
F R F B' L' F2 B2
F R F B' L' B2 F2
F' R F' D2 L' B R'
F' R F' D2 B L' R'
F' R F' D2 B R' L'
F R F' B U2 R U2
F' R F2 B R F L'
U2 R F2 U2 F R B
F2 R B L F' L2 R
F2 R B L F' R L2
U2 R B L F U2 F2
F2 R B L' F' R D
F2 R B L' F' R D'
F2 R B L' F' R D2
F2 R B L' F' D R
F2 R B L' F' D' R
F2 R B L' F' D2 R
F2 R B L2 F' L R
F2 R B L2 F' R L
F R B L F L' F2
F R B L' F L' F2
F R B L2 F L' F2
F' R B F2 R F L'
F2 R B' L' F' R B2
F2 R B' L' F' B2 R
F2 R B' L' B2 F' R
F R B F L F2 L2
F R B F L' F2 D
F R B F L' F2 D'
F R B F L' F2 D2
F R B F L2 F2 L
F R B F' U2 R U2
B' R B2 U2 F' B' R'
F R B' F L' F2 B2
F R B' F L' B2 F2
B' R B2 U2 B' F' R'
B2 R B2 U2 F' B' R'
B2 R B2 U2 B' F' R'
B R B2 U2 F' B' R'
B R B2 U2 B' F' R'
F R B2 D2 F' B' L
F R B2 D2 B' L F'
F R B2 D2 B' F' L
F' R' L' F' B U2 L'
F' R' L' B F' U2 L'
D2 R' F' L' R2 U2 F
B' R' F' L' R2 U2 F'
B' R' F' L' B R2 U2
D2 R' F' R2 L' U2 F
B2 R' F' L' R2 U2 F'
B' R' F' R2 L' U2 F'
B2 R' F' L' B R2 U2
B2 R' F' R2 L' U2 F'
B R' F' L' R2 U2 F'
B R' F' L' B R2 U2
B' R' F' B L' R2 U2
B' R' F' B R2 L' U2
B R' F' R2 L' U2 F'
B2 R' F' B L' R2 U2
B2 R' F' B R2 L' U2
F R' F' R U2 R F'
B R' F' B L' R2 U2
B R' F' B R2 L' U2
F R' F' B R U2 R
F' R' B L' F' U2 L'
U2 R' B L R2 F U2
R U2 R B' R' F' B
R U2 R B' R' B F'
U2 R' B L F R2 U2
U2 R' B R2 L F U2
B' R' B F' L' R2 U2
B' R' B F' R2 L' U2
B2 R' B F' L' R2 U2
B2 R' B F' R2 L' U2
B R' B F' L' R2 U2
B R' B F' R2 L' U2
F R' B F' R U2 R
R U2 D F' B' R' B2
R U2 D B' F' R' B2
R U2 D' F' B' R' B2
R U2 D' B' F' R' B2
R U2 D2 F' B' R' B2
R U2 D2 B' F' R' B2
R' U2 F' B L R2 U2
R' U2 F' B R2 L U2
R U2 F B' R' F2 B2
R U2 F B' R' B2 F2
R U2 F' R B' R' B
R' U2 B L R2 U2 B
R' U2 B L F' R2 U2
R U2 F' D B' R' B2
R U2 F' D' B' R' B2
R U2 F' D2 B' R' B2
R U2 F' B U2 L U2
R U2 F' B' R B2 R2
R U2 F' B' R' B2 D
R U2 F' B' R' B2 D'
R U2 F' B' R' B2 D2
R U2 F' B' R2 B2 R
R' U2 B R2 L U2 B
R' U2 B F' L R2 U2
R' U2 B F' R2 L U2
R U2 F2 B' R' F B2
R U2 F2 B' R' B2 F
R U2 B U2 L U2 F'
R U2 B F' U2 L U2
R U2 B' F R' F2 B2
R U2 B' F R' B2 F2
R U2 B' F' R B2 R2
R U2 B' F' R' B2 D
R U2 B' F' R' B2 D'
R U2 B' F' R' B2 D2
R U2 B' F' R2 B2 R
R U2 B' F2 R' F B2
R U2 B' F2 R' B2 F
R U2 B2 D2 F' R B'
R U2 B2 D2 F' B' R
R U2 B2 D2 B' F' R
F R2 F L' R' F' B
F R2 F L' R' B F'
F R2 F R' L' F' B
F R2 F R' L' B F'
F R2 F R' B L' F'
F R2 F2 R' F' L' B
F R2 F2 R' F' B L'
F R2 F2 R' B F' L'
R D U2 F' B' R' B2
R D U2 B' F' R' B2
R D F U2 B R F2
R D B2 U2 F' B' R'
R D B2 U2 B' F' R'
R D' U2 F' B' R' B2
R D' U2 B' F' R' B2
R D' F U2 B R F2
R D' B2 U2 F' B' R'
R D' B2 U2 B' F' R'
F2 U2 L' R F' R B'
F2 U2 L' R F' B' R
F2 U2 L' R B' F' R
R' D2 F' L' B U2 L'
F2 U2 L' F' R F' B'
F2 U2 L' F' R B' F'
F2 U2 L' F' B' R F'
F2 U2 L' B' R F' R
F2 U2 L' B' F' R F'
R D2 U2 F' B' R' B2
R' D2 F' B L' U2 L'
R D2 U2 B' F' R' B2
D2 U2 F2 L' F B' R'
D2 U2 F2 L' B' R' F
D2 U2 F2 L' B' F R'
R D2 F U2 B R F2
F2 U2 R L' F' R B'
F2 U2 R L' F' B' R
F2 U2 R L' B' F' R
U2 D2 F2 L' F B' R'
U2 D2 F2 L' B' R' F
U2 D2 F2 L' B' F R'
R' D2 B F' L' U2 L'
F U2 R F L' F2 B'
F U2 R F L' B' F2
D2 F L' R F L' B
D2 F L' R F B L'
D2 F L' R B F L'
R D2 B2 U2 F' B' R'
R D2 B2 U2 B' F' R'
R F L U2 B R F2
D2 F R L' F L' B
D2 F R L' F B L'
D2 F R L' B F L'
R F L' U2 B R F2
D2 F R F L' F B
D2 F R F L' B F
D2 F R F B L' F
L' F R F L' F2 B
L' F R F L' B F2
D2 F R B L' F L'
L' F R F B L' F2
D2 F R B F L' F
L' F R B F L' F2
L2 F R F L' F2 B
L2 F R F L' B F2
R F L2 U2 B R F2
L2 F R F B L' F2
L2 F R B F L' F2
R2 F R' U2 F' B R2
L F R F L' F2 B
L F R F L' B F2
R2 F R' U2 B F' R2
L F R F B L' F2
R' F R2 F2 U2 R' F
R' F R2 F2 U2 F R'
L F R B F L' F2
R F U2 B R F2 D
R F U2 B R F2 D'
R F U2 B R F2 D2
R F U2 B R' F2 R2
R F U2 B R2 F2 R'
R F U2 B' R F2 B2
R F U2 B' R B2 F2
R F U2 B2 R F2 B'
R F U2 B2 R B' F2
R' F D2 B2 L2 R F
R' F D2 B2 R L2 F
R' F B R2 F2 U2 R'
R F D2 B2 U2 R B'
R F D2 B2 U2 B' R
R F B R' F2 L' R2
R F B R' F2 R2 L'
R F B' R F2 B2 L
R F B' R B2 L F2
R F B' R B2 F2 L
R' F' L B L2 R2 U2
R' F' L B R2 L2 U2
R F B' U2 R F2 B2
R F B' U2 R B2 F2
R' F' L' R2 U2 D F'
R' F' L' R2 U2 D' F'
R' F' L' R2 U2 D2 F'
R' F' L' R2 U2 F' D
R' F' L' R2 U2 F' D'
R' F' L' R2 U2 F' D2
R' F' L' R2 D U2 F'
R' F' L' R2 D' U2 F'
R' F' L' R2 D2 U2 F'
R F B' U2 B2 R F2
R' F' L' R2 B U2 F'
R' F' L' R2 B' U2 F'
R' F' L' R2 B2 U2 F'
R' F' L' D2 B U2 L2
R' F' L' B R2 U2 D
R' F' L' B R2 U2 D'
R' F' L' B R2 U2 D2
R' F' L' B R2 D U2
R' F' L' B R2 D' U2
R' F' L' B R2 D2 U2
R' F' L' B U2 D2 L2
R' F' L' B D2 U2 L2
R' F' L' B' R2 B2 U2
R F B2 U2 R F2 B'
R F B2 U2 R B' F2
R' F' L' B2 R2 B' U2
R F B2 U2 B' R F2
R2 F' L' R' U2 F' B
R2 F' L' R' U2 B F'
R F' L' F U2 F' B
R F' L' F U2 B F'
R F' L' F' U2 F B
R F' L' F' U2 B F
R F' L' F2 U2 F2 B
R F' L' F2 U2 B F2
U2 F' R F' L' B' R'
R' F' R2 L' U2 D F'
R' F' R2 L' U2 D' F'
R' F' R2 L' U2 D2 F'
R' F' R2 L' U2 F' D
R' F' R2 L' U2 F' D'
R' F' R2 L' U2 F' D2
R' F' R2 L' D U2 F'
R' F' R2 L' D' U2 F'
R' F' R2 L' D2 U2 F'
R' F' R2 L' B U2 F'
R' F' R2 L' B' U2 F'
R' F' R2 L' B2 U2 F'
R2 F' R' L' U2 F' B
R2 F' R' L' U2 B F'
R' F' R2 U2 F2 R F
R' F' R2 D L' U2 F'
R' F' R2 D' L' U2 F'
R' F' R2 D2 L' U2 F'
R' F' R2 B L' U2 F'
R' F' R2 B' L' U2 F'
R' F' R2 B2 L' U2 F'
R F' U2 L' U2 L B
R' F' D2 L' B U2 L'
R' F' D2 L' B U2 L'
R' F' D2 B L' U2 L'
R' F' B L' R2 U2 D
R' F' B L' R2 U2 D'
R' F' B L' R2 U2 D2
R' F' B L' R2 D U2
R' F' B L' R2 D' U2
R' F' B L' R2 D2 U2
R' F' B L' U2 D2 L2
R' F' B L' D2 U2 L2
R' F' B R2 L' U2 D
R' F' B R2 L' U2 D'
R' F' B R2 L' U2 D2
R' F' B R2 L' D U2
R' F' B R2 L' D' U2
R' F' B R2 L' D2 U2
R' F' B R2 D L' U2
R' F' B R2 D' L' U2
R' F' B R2 D2 L' U2
R' F' B D2 L' U2 L'
R' F' B' L' R2 B2 U2
R' F' B' L' B2 R2 U2
R' F' B' R2 L' B2 U2
R' F' B' R2 B2 L' U2
R' F' B2 R2 B' L' U2
R F' B U2 L' U2 L
L' F2 L' R F' B R
L' F2 L' R B F' R
D2 F2 L' F' R F2 B
D2 F2 L' F' R B F2
U2 F2 L' R F' B' R'
U2 F2 L' R B' F' R'
L2 F2 L' R F' B R
L' F2 L' F' R F' B
L' F2 L' F' R B F'
L2 F2 L' R B F' R
U2 F2 L' R2 B' R' F'
L2 F2 L' F' R F' B
L2 F2 L' F' R B F'
U2 F2 L' B' R F' R2
L F2 L' R F' B R
L F2 L' R B F' R
L' F2 R L' F' B R
L' F2 R L' B F' R
L F2 L' F' R F' B
L F2 L' F' R B F'
U2 F2 R L' F' B' R'
L2 F2 R L' F' B R
U2 F2 R L' B' F' R'
L2 F2 R L' B F' R
L' F2 R B L' F' R
L2 F2 R B L' F' R
L F2 R L' F' B R
L F2 R L' B F' R
R' F2 R2 F L' U2 F2
R' F2 R2 F U2 F2 R
R2 F2 R' U2 F' B R
R2 F2 R' U2 B F' R
L F2 R B L' F' R
U2 F2 R2 L' B' R' F'
F2 D2 L' R F B R'
F2 D2 L' R B R' F
F2 D2 L' R B F R'
F2 D2 L' F R B R'
R F2 U2 D2 F B R'
R F2 U2 D2 B R' F
R F2 U2 D2 B F R'
R F2 U2 F' B R F2
F2 D2 R L' F B R'
F2 D2 R L' B R' F
F2 D2 R L' B F R'
R F2 U2 B F' R F2
F2 D2 R B L' R' F
F2 D2 R B L' F R'
U2 F2 D2 L' F B' R'
F2 D2 R B R' L' F
U2 F2 D2 L' B' R' F
U2 F2 D2 L' B' F R'
R' F2 B R2 F L' U2
R F2 D2 U2 F B R'
R F2 D2 U2 B R' F
R F2 D2 U2 B F R'
R' B L F' L' R2 U2
R' B L F' R2 L' U2
U2 B L R F U2 F2
R' B L' F' L' R2 U2
R' B L' F' R2 L' U2
R' B L2 F' L' R2 U2
R' B L2 F' R2 L' U2
U2 B R L F U2 F2
R' B R2 U2 B' R' B2
R' B R2 F U2 B R
R' B R2 F' L' U2 B
F2 B L' R F' B R
F2 B L' R B F' R
F2 B L' F' R F' B
F2 B L' F' R B F'
B' F R F L' F2 B
B' F R F L' B F2
B' F R F B L' F2
F2 B R L' F' B R
F2 B R L' B F' R
B' F R B F L' F2
B2 F R F L' F2 B
B2 F R F L' B F2
B2 F R F B L' F2
R' B D2 F' L' U2 L'
B2 F R B F L' F2
F2 B R B L' F' R
R' B F R2 F2 U2 R'
B F R F L' F2 B
B F R F L' B F2
B F R F B L' F2
B F R B F L' F2
R' B F' L' R2 U2 D
R' B F' L' R2 U2 D'
R' B F' L' R2 U2 D2
R' B F' L' R2 D U2
R' B F' L' R2 D' U2
R' B F' L' R2 D2 U2
R' B F' L' U2 D2 L2
R' B F' L' D2 U2 L2
F B R F L' F2 B
F B R F L' B F2
F B R F B L' F2
R' B F' R2 L' U2 D
R' B F' R2 L' U2 D'
R' B F' R2 L' U2 D2
R' B F' R2 L' D U2
R' B F' R2 L' D' U2
R' B F' R2 L' D2 U2
R' B F' R2 D L' U2
R' B F' R2 D' L' U2
R' B F' R2 D2 L' U2
F B R B F L' F2
R' B F' D2 L' U2 L'
R' B F2 R2 F L' U2
R B F R' F2 L' R2
R B F R' F2 R2 L'
R B F' U2 L' U2 L
R' B' R2 B2 U2 B' R'
F2 B' L' R F' B R
F2 B' L' R B F' R
F2 B' L' F' R F' B
F2 B' L' F' R B F'
F2 B' R L' F' B R
F2 B' R L' B F' R
F2 B' R B L' F' R
F B' R F L' F2 B
F B' R F L' B F2
F B' R F B L' F2
F B' R B F L' F2
R B' U2 F' B' R' B'
R B' U2 B' F' R' B'
R B' U2 B2 D2 F' R
R' B' F' L' R2 B2 U2
R' B' F' L' B2 R2 U2
R' B' F' R2 L' B2 U2
R' B' F' R2 B2 L' U2
R B' F R F2 B2 L
R B' F R B2 L F2
R B' F R B2 F2 L
R B' F U2 R F2 B2
R B' F U2 R B2 F2
R B' F U2 B2 R F2
B' F2 L' R F' B R
B' F2 L' R B F' R
B' F2 L' F' R F' B
B' F2 L' F' R B F'
B2 F2 L' R F' B R
B2 F2 L' R B F' R
F2 B2 L' R F' B R
F2 B2 L' R B F' R
B2 F2 L' F' R F' B
B2 F2 L' F' R B F'
F2 B2 L' F' R F' B
F2 B2 L' F' R B F'
B F2 L' R F' B R
B F2 L' R B F' R
B' F2 R L' F' B R
B' F2 R L' B F' R
R B2 L2 F U2 R F2
B F2 L' F' R F' B
B F2 L' F' R B F'
B' F2 R B L' F' R
B2 F2 R L' F' B R
B2 F2 R L' B F' R
F2 B2 R L' F' B R
F2 B2 R L' B F' R
B2 F2 R B L' F' R
F2 B2 R B L' F' R
B F2 R L' F' B R
B F2 R L' B F' R
B F2 R B L' F' R
F B2 R F L' F2 B
F B2 R F L' B F2
F B2 R F B L' F2
F B2 R B F L' F2
R B2 U2 R B' R' F'
R B2 U2 D F' B' R'
R B2 U2 D B' F' R'
R B2 U2 D' F' B' R'
R B2 U2 D' B' F' R'
R B2 U2 D2 F' B' R'
R B2 U2 D2 B' F' R'
R B2 U2 F B' R' F2
R B2 U2 F' R B' R'
R B2 U2 F' R' B' R'
R B2 U2 F' R2 B' R'
R B2 U2 F' D B' R'
R B2 U2 F' D' B' R'
R B2 U2 F' D2 B' R'
R B2 U2 F' B' R' D
R B2 U2 F' B' R' D'
R B2 U2 F' B' R' D2
R B2 U2 F' B' D R'
R B2 U2 F' B' D' R'
R B2 U2 F' B' D2 R'
R B2 U2 F2 B' R' F
R B2 U2 B' D F' R'
R B2 U2 B' D' F' R'
R B2 U2 B' D2 F' R'
R B2 U2 B' F R' F2
R B2 U2 B' F' R' D
R B2 U2 B' F' R' D'
R B2 U2 B' F' R' D2
R B2 U2 B' F' D R'
R B2 U2 B' F' D' R'
R B2 U2 B' F' D2 R'
R B2 U2 B' F2 R' F
R B2 D U2 F' B' R'
R B2 D U2 B' F' R'
R' B2 F' R2 B' L' U2
R B2 D' U2 F' B' R'
R B2 D' U2 B' F' R'
R B2 D2 U2 F' B' R'
R B2 D2 U2 B' F' R'
R B2 F U2 R F2 B'
R B2 F U2 R B' F2
R B2 F U2 B' R F2
