F2 L2 U R' U'
L2 U R' U' F2
R' U' L2 R F2
R' U' R L2 F2
R' U' R F2 L2
U R' U' L2 F2
U R' U' F2 L2
F2 U R' U' L2
L2 F2 U R' U'
U' L' U2 R' U' L' F2
F2 L' D L' U R' U'
F2 L' D U R' U' L'
F2 L' D B2 L' D' B2
F2 L' D' L' U R' U'
R' L' B U' L' R F2
R' L' B U' R L' F2
L' R' B U' L' R F2
L' R' B U' R L' F2
F2 L' D' U R' U' L'
U L' D' L2 R' U' L
U L' D' R' L2 U' L
F2 L' D' B2 L' D' B2
B2 L' D' B2 D L' F2
F2 L' D2 L' U R' U'
R' L' B' U' L' R F2
R' L' B' U' R L' F2
L' R' B' U' L' R F2
L' R' B' U' R L' F2
F2 L' D2 U R' U' L'
F2 L' D2 B2 L' D' B2
R' L' B2 U' L' R F2
R' L' B2 U' R L' F2
L' R' B2 U' L' R F2
L' R' B2 U' R L' F2
R2 L2 U R U' R F2
L2 R2 U R U' R F2
R L2 U R2 U' R F2
R' L2 U' R F2 D' L2
B L' B L' F2 D' B2
U L' B U' L' F2 B'
U L' B U' L' B' F2
B' L' B' L' F2 D' B2
F2 L' B' L2 D L B'
F2 L' B' D L B' L2
R' L2 D' L2 U' L2 R
R' L2 D' L2 U' R L2
F' L' B2 L' D' F' B2
F' L' B2 L' D' B2 F'
F' L' B2 L' F' D' B2
F2 L' B2 L' U' L2 U
F2 L' B2 L' D' B2 D
F2 L' B2 L' D' B2 D'
F2 L' B2 L' D' B2 D2
F2 L' B2 L' B D' B2
F2 L' B2 L' B' D' B2
F2 L' B2 L' B2 D' B2
F2 L' B2 U' L U L2
F2 L' B2 D L' D' B2
F2 L' B2 D' L' D' B2
F2 L' B2 D2 L' D' B2
F2 L2 R U R2 U' R
F' L2 R D R' F' B2
F' L2 R D R' B2 F'
F2 L2 R D R B2 R2
F2 L2 R D R' B2 D
F2 L2 R D R' B2 D'
F2 L2 R D R' B2 D2
F2 L2 R D R2 B2 R
F2 L2 R D' R' D2 B2
F2 L2 R D2 R' D' B2
B' L2 R F2 D' R' B
B2 L2 R F2 R' D B2
D' L2 R' U' R D L2
D' L2 R' U' D L2 R
D' L2 R' U' D R L2
F2 L2 R B2 D B2 R'
D' L2 R' D U' L2 R
D' L2 R' D U' R L2
U L2 R F2 D R2 B2
U L2 R F2 D B2 R2
U L2 R' U' F2 D' L2
D' L2 R' B2 U' R D
D' L2 R' B2 U' R D'
D' L2 R' B2 U' R D2
D' L2 R' B2 U' D R
D' L2 R' B2 U' D' R
D' L2 R' B2 U' D2 R
D' L2 R' B2 D U' R
D' L2 R' B2 D' U' R
D' L2 R' B2 D2 U' R
U L2 R' D' L2 U' L2
F2 L2 R2 U R U' R
R L2 F D R' F B2
R L2 F D R' B2 F
R L2 F D F R' B2
D' L2 R2 B2 R U' R
D L2 R2 F2 L' U R2
U' L2 U R' U' R F2
F2 L2 U R U' D B2
F2 L2 U R D U' B2
F2 L2 U R2 D R U'
F2 L2 U R2 D' R U'
F2 L2 U R2 D2 R U'
F2 L2 U D R' U' D
F2 L2 U D R' U' D'
F2 L2 U D R' U' D2
F2 L2 U D R' D U'
F2 L2 U D R' D' U'
F2 L2 U D R' D2 U'
B L2 U R U' F2 B
B L2 U R U' B F2
F L2 U L2 R' U' F
F2 L2 U D' R' U' D
F2 L2 U D' R' U' D'
F2 L2 U D' R' U' D2
F2 L2 U D' R' D U'
F2 L2 U D' R' D' U'
F2 L2 U D' R' D2 U'
R L2 F' D F' R' B2
F2 L2 U D2 R' U' D
F2 L2 U D2 R' U' D'
F2 L2 U D2 R' U' D2
F2 L2 U D2 R' D U'
F2 L2 U D2 R' D' U'
F2 L2 U D2 R' D2 U'
F L2 U R' L2 U' F
F L2 U R' U B' U2
F2 L2 U F' R' F U'
L R2 F2 L R2 D' B2
F2 L2 U F2 R' F2 U'
L2 R2 F2 R2 U' L' U
R2 L2 F2 R2 U' L' U
F2 L2 U' L U2 R' U'
L R2 F2 R2 L D' B2
L2 R2 F2 U' L' U R2
F2 L2 U' L' U2 R' U'
R2 L2 F2 U' L' U R2
B2 L2 U' L' R U F2
B2 L2 U' L' R' U F2
B2 L2 U' L' R2 U F2
B2 L2 U' L' U F2 D
B2 L2 U' L' U F2 D'
B2 L2 U' L' U F2 D2
B2 L2 U' L' D R2 U
F2 L2 U' L2 U2 R' U'
R L2 F2 R' U R' U'
B2 L2 U' R L' U F2
B L2 U' L' U F2 B'
B L2 U' L' U B' F2
R L2 F2 U R2 U' R
B2 L2 U' R' L' U F2
B2 L2 U' R2 L' U F2
B2 L2 U' D L' R2 U
B2 L2 U' D R2 L' U
R L2 F2 D R B2 R2
R L2 F2 D R' B2 D
R L2 F2 D R' B2 D'
R L2 F2 D R' B2 D2
R L2 F2 D R2 B2 R
D L2 U' R2 F2 L' U
R L2 F2 D' R' D2 B2
R L2 F2 D2 R' D' B2
R L2 F2 B2 D B2 R'
F2 L2 U' B2 L B2 U
U' L2 U2 R' U' F2 L'
F2 L2 U2 F U' R' U'
F2 L2 U2 F' U' R' U'
F2 L2 U2 F2 U' R' U'
D' L2 D R' U' L2 R
D' L2 D R' U' R L2
F2 L2 D R D R' B2
F2 L2 D U R' U' D
F2 L2 D U R' U' D'
F2 L2 D U R' U' D2
F2 L2 D U R' D U'
F2 L2 D U R' D' U'
F2 L2 D U R' D2 U'
B2 L2 D U' L' R2 U
B2 L2 D U' R2 L' U
F' L2 D F' U R' U'
F2 L2 D B2 U' L U
F2 L2 D' R D R' B2
L' U L R' U' L2 F2
L' U L R' U' F2 L2
R' U L U2 L R F2
F2 L2 D' U R' U' D
F2 L2 D' U R' U' D'
F2 L2 D' U R' U' D2
F2 L2 D' U R' D U'
F2 L2 D' U R' D' U'
F2 L2 D' U R' D2 U'
R' U L U2 R L F2
R' U L U2 R F2 L
F' L2 D' F' U R' U'
U L2 D' L2 R' U' L2
L2 U L R' U' F2 D
L2 U L R' U' F2 D'
L2 U L R' U' F2 D2
L2 U L R' D' L2 U'
U L2 D' R' L2 U' L2
R L2 B2 F2 D B2 R'
F2 L2 D' B2 U' L U
L2 U L D' L2 R' U'
L2 U L D' R' L2 U'
F2 L2 D2 R D R' B2
F2 L2 D2 U R' U' D
F2 L2 D2 U R' U' D'
F2 L2 D2 U R' U' D2
F2 L2 D2 U R' D U'
F2 L2 D2 U R' D' U'
F2 L2 D2 U R' D2 U'
R' U L' U2 L' R F2
R' U L' U2 R L' F2
F' L2 D2 F' U R' U'
L2 U L' R' U' F2 D
L2 U L' R' U' F2 D'
L2 U L' R' U' F2 D2
L2 U L' R' D' L2 U'
L U L' R' U' L2 F2
L U L' R' U' F2 L2
F2 L2 D2 B2 U' L U
L2 U L' D' L2 R' U'
L2 U L' D' R' L2 U'
D' L2 F R' B2 U' R
R' U L2 R F2 D2 B2
L' U L2 R' U' L F2
L' U L2 R' U' F2 L
F' L2 F U R' U' F2
L2 U L2 R' U' F2 D
L2 U L2 R' U' F2 D'
L2 U L2 R' U' F2 D2
L2 U L2 R' D' L2 U'
L U L2 R' U' L' F2
L2 U L2 D' L2 R' U'
L2 U L2 D' R' L2 U'
F' L2 F' R D R' B2
D' L2 F' R' B2 U' R
F' L2 F' U R' U' D
F' L2 F' U R' U' D'
F' L2 F' U R' U' D2
F' L2 F' U R' D U'
F' L2 F' U R' D' U'
F' L2 F' U R' D2 U'
F' L2 F' U D R' U'
F' L2 F' U D' R' U'
F' L2 F' U D2 R' U'
R' U R L2 F2 D2 B2
F2 L2 F' U R' U' F
F' L2 F' D U R' U'
F' L2 F' D' U R' U'
F' L2 F' D2 U R' U'
R U L2 F2 D R' B2
F' L2 F' B2 U' L U
R' U R F' L2 F' B'
R' U R F' L2 B' F'
L2 U R U' F2 D B2
R' U R F2 L2 D2 B2
B' L2 F2 L' D L B'
R2 U R U' L2 R F2
R2 U R U' R L2 F2
R2 U R U' R F2 L2
B' L2 F2 R D' R' B
D' L2 F2 R' B2 U' R
L' U R' L U' L2 F2
L' U R' L U' F2 L2
F' L2 F2 U R' U' F
U' L2 F2 U R' U' R
B2 L2 F2 R' D R B2
B2 L2 F2 R' D B2 R
L' U R' L2 U' L F2
L' U R' L2 U' F2 L
B2 L2 F2 U R U' D
B2 L2 F2 U R U' D'
B2 L2 F2 U R U' D2
B2 L2 F2 U R D U'
B2 L2 F2 U R D' U'
B2 L2 F2 U R D2 U'
F2 L2 F2 U R' U' F2
B2 L2 F2 U D R U'
B2 L2 F2 U D' R U'
B2 L2 F2 U D2 R U'
B' L2 F2 D L B' L'
L' U R' U' L F2 L2
L' U R' U' L' F2 D
L' U R' U' L' F2 D'
L' U R' U' L' F2 D2
L' U R' U' L2 F2 L
R' U R' U2 L2 R2 F2
R' U R' U2 L2 F2 R2
R' U R' U2 R2 L2 F2
R' U R' U2 R2 F2 L2
R' U R' U2 F2 L2 R2
R' U R' U2 F2 R2 L2
B' L2 F2 D' R' B R
L2 U R' L U' F2 D
L2 U R' L U' F2 D'
L2 U R' L U' F2 D2
L2 U R' L D' L2 U'
B2 L2 F2 D U R U'
B L2 F2 U R U' B
L' U R' D' L2 U' L
L2 U R' L' U' F2 D
L2 U R' L' U' F2 D'
L2 U R' L' U' F2 D2
L2 U R' L' D' L2 U'
B' L2 F2 B U R' U'
B L2 F2 U' L' U B'
B2 L2 F2 D' U R U'
L2 U R' L2 U' F2 D
L2 U R' L2 U' F2 D'
L2 U R' L2 U' F2 D2
L2 U R' L2 D' L2 U'
B' L2 F2 B' U' L U
U L2 F2 R D R2 B2
U L2 F2 R D B2 R2
B2 L2 F2 D2 U R U'
L2 U R' U D2 B2 U2
L2 U R' U B U2 F2
L2 U R' U B' U2 F2
L2 U R' U B2 U2 F2
L2 U R' U' L' F2 L
L2 U R' U' L2 F2 L2
B2 L2 F2 B U R U'
L2 U R' U' R F2 R'
L2 U R' U' R2 F2 R2
L2 U R' U' F D F
L2 U R' U' F D' F
L2 U R' U' F D2 F
L2 U R' U' F' D F'
L2 U R' U' F' D' F'
L2 U R' U' F' D2 F'
L U R' L' U' L2 F2
L U R' L' U' F2 L2
B2 L2 F2 B' U R U'
L2 U R' U2 R U F2
L2 U R' U2 R' U F2
L2 U R' U2 R2 U F2
L2 U R' U2 D R2 U
U L2 F2 U R' F2 U'
L U R' L2 U' L' F2
B2 L2 F2 B2 U R U'
U L2 F2 U F2 R' U'
L2 U R' D U2 R2 U
L' U R' B U' L' F2
L2 U R' D' L2 U' D
L2 U R' D' L2 U' D'
L2 U R' D' L2 U' D2
L2 U R' D' L2 D U'
L2 U R' D' L2 D' U'
L2 U R' D' L2 D2 U'
B L2 F2 B U' L U
L U R' U' L F2 D
L U R' U' L F2 D'
L U R' U' L F2 D2
L U R' U' L' F2 L2
L' U R' B' U' L' F2
B L2 F2 B' U R' U'
L U R' U' F' L F'
L U R' U' F2 L D
L U R' U' F2 L D'
L U R' U' F2 L D2
L U R' U' F2 D L
L U R' U' F2 D' L
L U R' U' F2 D2 L
L2 U R' D2 U B2 U2
L' U R' B2 U' L' F2
B' L2 B U R' U' F2
L U R' D' L2 U' L'
F2 L2 B U R U' B
R' U R2 U2 L2 R' F2
R' U R2 U2 L2 F2 R'
B2 L2 B U' L' U F2
R' U R2 U2 R' L2 F2
R' U R2 U2 R' F2 L2
F2 L2 B U' L' U B'
R' U R2 U2 F2 L2 R'
R' U R2 U2 F2 R' L2
B L2 B U' L U F2
B' L2 B F2 U R' U'
B2 L2 B F2 U R U'
L2 U R2 D' L2 R U'
L2 U R2 D' R L2 U'
F2 L2 B' L' D L B'
B L2 B F2 U' L U
R U R2 U' L2 R F2
R U R2 U' R L2 F2
R U R2 U' R F2 L2
F2 L2 B' R D' R' B
B' L2 B' U' L U F2
B2 L2 B' U' L' U F2
B L2 B' U R' U' F2
F2 L2 B' D L B' L'
F2 L2 B' D' R' B R
B' L2 B' F2 U' L U
L2 U D R' U2 R' U
B2 L2 B' F2 U R U'
F2 L2 B2 L' D' L B2
B L2 B' F2 U R' U'
L' U D' L2 R' U' L
F' L2 B2 U' L U F'
L' U D' R' L2 U' L
B2 L2 B2 U' L' U F2
F2 L2 B2 U' L U D
F2 L2 B2 U' L U D'
F2 L2 B2 U' L U D2
F2 L2 B2 U' L D U
F2 L2 B2 U' L D' U
F2 L2 B2 U' L D2 U
F2 L2 B2 U' D L U
F2 L2 B2 U' D' L U
F2 L2 B2 U' D2 L U
L2 U D' L2 R' U' D
L2 U D' L2 R' U' D'
L2 U D' L2 R' U' D2
L2 U D' L2 R' D U'
L2 U D' L2 R' D' U'
L2 U D' L2 R' D2 U'
L2 U D' L2 D R' U'
L2 U D' L2 D' R' U'
L2 U D' L2 D2 R' U'
F2 L2 B2 D U' L U
F' L2 B2 F' U' L U
L2 U D' R' L2 U' D
L2 U D' R' L2 U' D'
L2 U D' R' L2 U' D2
L2 U D' R' L2 D U'
L2 U D' R' L2 D' U'
L2 U D' R' L2 D2 U'
L2 U D' R' U' D F2
L2 U D' R' D U' F2
F2 L2 B2 D' U' L U
F2 L2 B2 D2 U' L U
L U D' L2 R' U' L'
B2 L2 B2 F2 U R U'
B2 R L U L R' F2
B2 R L U L F2 R'
L U D' R' L2 U' L'
B2 R L U R' L F2
B2 R L U R' F2 L
B2 R L U F2 L R'
B2 R L U F2 R' L
F2 R L D L R' B2
F2 R L D R' L B2
R' U D2 R2 B2 L U2
L2 U D2 R' U B2 U2
L2 U D2 R' U' D2 F2
L2 U D2 R' D L2 U'
L2 U D2 R' D2 U' F2
R' U D2 B2 R2 U2 R'
F2 R L' D L' R' B2
F2 R L' D R' L' B2
F2 R L' D R' B2 L'
F' R L2 D R' F' B2
F' R L2 D R' B2 F'
F2 R L2 U R2 U' R
F2 R L2 D R B2 R2
F2 R L2 D R' B2 D
F2 R L2 D R' B2 D'
F2 R L2 D R' B2 D2
F2 R L2 D R2 B2 R
F2 R L2 D' R' D2 B2
F2 R L2 D2 R' D' B2
B' R L2 F2 D' R' B
B2 R L2 F2 R' D B2
F2 R L2 B2 D B2 R'
U' R U L2 F2 D B2
U R L2 F2 D R2 B2
U R L2 F2 D B2 R2
R' U F2 L2 D2 B2 R'
F2 R U R2 U' L2 R
F2 R U R2 U' R L2
U' R U F2 L2 D B2
B R U R' F2 L2 B'
L2 U F2 R' F2 U' F2
R U F2 L2 D R' B2
U2 R U' R2 U' L2 F2
U2 R U' R2 U' F2 L2
R' U B U2 L2 R F2
U R U' L2 F2 D B2
R' U B U2 R L2 F2
R' U B U2 R F2 L2
L' U B U' L' F2 B'
L' U B U' L' B' F2
U' R U2 R2 U' L2 F2
U' R U2 R2 U' F2 L2
U2 R U2 L2 F2 D B2
U R U' F2 L2 D B2
R' U B' U2 L2 R F2
R' U B' U2 R L2 F2
R' U B' U2 R F2 L2
U2 R U2 F2 L2 D B2
D' R D L2 R' F2 B2
D' R D L2 R' B2 F2
D' R D L2 F2 R' B2
D' R D R' L2 F2 B2
D' R D R' L2 B2 F2
D' R D R' F2 L2 B2
D' R D R' F2 B2 L2
D' R D R' B2 L2 F2
D' R D R' B2 F2 L2
U' R D R2 F2 U B2
F2 R D R' B2 D' L2
D' R D F2 L2 R' B2
D' R D F2 R' L2 B2
D' R D F2 R' B2 L2
U' R D F2 R2 U B2
D' R D B2 L2 F2 R
R' U B2 U2 L2 R F2
R' U B2 U2 R L2 F2
R' U B2 U2 R F2 L2
R' U' L R F' L F'
R' U' L R F2 L D
R' U' L R F2 L D'
R' U' L R F2 L D2
R' U' L R F2 D L
R' U' L R F2 D' L
R' U' L R F2 D2 L
R' U' L R' F2 L R2
R' U' L R' F2 R2 L
R' U' L R2 F2 L R'
R' U' L R2 F2 R' L
R' U' L F2 L D2 R2
L2 U' L U2 R' U' F2
F2 R D2 R' D' B2 L
L2 U' L' U2 R' U' F2
R' U' L2 R F D F
R' U' L2 R F D' F
R' U' L2 R F D2 F
R' U' L2 R F' D F'
R' U' L2 R F' D' F'
R' U' L2 R F' D2 F'
R' U' L2 R' F R2 F
R' U' L2 R' F2 R2 D
R' U' L2 R' F2 R2 D'
R' U' L2 R' F2 R2 D2
R' U' L2 R2 F R' F
R' U' L2 R2 F2 R' D
R' U' L2 R2 F2 R' D'
R' U' L2 R2 F2 R' D2
R' U' L2 R2 F2 D R'
R' U' L2 R2 F2 D' R'
R' U' L2 R2 F2 D2 R'
R' U' L2 D' R D F2
F R F L2 D R' B2
R' U' L2 D2 R D2 F2
R' U' L2 F2 U2 L' U2
L2 U' L2 U2 R' U' F2
R' U' L2 B R F2 B'
R' U' L2 B R B' F2
R' U' L2 B2 R F2 B2
R' U' L2 B2 R B2 F2
R' U' R L F' L F'
