F' R2 U' R' F'
F' L R2 U' R' F'
F' L' R2 U' R' F'
F2 L' R2 F U' R
F2 L' F R2 U' R'
F' L2 R2 U' R' F'
R2 U' F' R D' F2
R2 U2 D R' B U
F' R2 L U' R' F'
F' R2 L' U' R' F'
F2 R2 L' F U' R
F' R2 L2 U' R' F'
F' R2 U' R' D F'
F' R2 U' R' D' F'
F' R2 U' R' D2 F'
F' R2 U' R' F' D
F' R2 U' R' F' D'
F' R2 U' R' F' D2
F' R2 U' D R' F'
F' R2 U' D' R' F'
F' R2 U' D2 R' F'
F' R2 U' F R' F'
F' R2 U' F' R' F'
F' R2 U' F2 R' F'
F' R2 D U' R' F'
F' R2 D' U' R' F'
F' R2 D2 U' R' F'
F' R2 F' L' U' R'
R2 D U2 R' B U
L' F' R2 U' R' F'
L2 F' R2 U' R' F'
L F' R2 U' R' F'
R2 F' U' R D' F2
R2 F' U2 R' U R2
R2 D L U2 R' B U
F' R2 D2 U' R' D F'
F' R2 D2 U' R' D' F'
F' R2 D2 U' R' D2 F'
F' R2 D2 U' R' F' D
F' R2 D2 U' R' F' D'
F' R2 D2 U' R' F' D2
F' R2 D2 U' F R' F'
F' R2 D2 U' F' R' F'
F' R2 D2 U' F2 R' F'
F' R2 D2 F' L' U' R'
R2 D L' U2 R' B U
F' R2 F U' R' D' F2
F' R2 F U2 R U R2
F2 R2 F U' R' F' R2
F' R2 F' L' U' R' D
F' R2 F' L' U' R' D'
F' R2 F' L' U' R' D2
F' R2 F' L' U' D R'
F' R2 F' L' U' D' R'
F' R2 F' L' U' D2 R'
F' R2 F' L' D U' R'
F' R2 F' L' D' U' R'
F R2 F L' F U' R
F' R2 F' L' D2 U' R'
F' R2 F' L' F U' R'
F' R2 F' L' F' U' R'
F' R2 F' L' F2 U' R'
R2 D L2 U2 R' B U
F' R2 F' D L' U' R'
F' R2 F' D' L' U' R'
F' R2 F' D2 L' U' R'
B2 R2 F' B2 L U' R
R D R F' U2 R' U
F R2 F2 U' R' F' R2
B2 R2 B2 L F' U' R
B2 R2 B2 F' L U' R
R2 D U2 R' D B U
R2 D U2 R' D' B U
R2 D U2 R' D2 B U
R2 D U2 R' B U D
R2 D U2 R' B U D'
R2 D U2 R' B U D2
R2 D U2 R' B D U
R2 D U2 R' B D' U
R2 D U2 R' B D2 U
R2 D F U2 R' B U
R2 D F' U2 R' B U
U2 D R U2 F' U' B2
R2 D F2 U2 R' B U
F' U D R B2 L F
F' U D' F2 L' B' U2
R' D' L' R' F U' F
R2 D' L U2 R' B' U
F U D' L' F2 U2 F'
R' D' L' F R' U' F
D' U F2 U' L' F U'
R2 D' L' F U2 R' U
R' D' R' L' F U' F
F' U' D R' F' R2 B2
F' U' D R' F' B2 R2
F' U' D R' B2 F' R2
D2 U' B R' D' F2 B2
D2 U' B R' D' B2 F2
F' U' D B2 R' F' R2
F' U' D' R' F' R2 B
U D' F2 U' L' F U'
F U' D F2 R F' B2
F U' D F2 R B2 F'
F U' D F2 B2 R F'
F U' D B2 F2 R F'
D2 U2 L2 R B U R'
U2 D2 L2 R B U R'
D2 U2 L2 B R U R2
D2 U2 R L2 B U R'
U2 D2 L2 B R U R2
U2 D2 R L2 B U R'
D2 U2 R B L2 U R'
U2 D2 R B L2 U R'
D U2 R U2 F' U' B2
R2 D2 U2 R' B U R'
R2 D2 U2 B U R' F'
U' D2 B R' D' F2 B2
U' D2 B R' D' B2 F2
D2 U2 B L2 R U R2
D2 U2 B R L2 U R2
U2 D2 B L2 R U R2
U2 D2 B R L2 U R2
D' F L' F L' U' B'
R2 F L' U2 R' U R
R2 F U L' U R' U
R2 F U' R D' F2 R
R2 F U' F2 R D' F2
R2 F U2 R' U' L' U2
U' F D F2 R F' B2
U' F D F2 R B2 F'
U' F D F2 B2 R F'
F2 D L' F U' R B2
F2 D L' F U' B2 R
U' F D B2 F2 R F'
R' F D' R' U' F2 R
U F D' L' F2 U2 F'
F' D R2 U' R' F' B2
F' D R2 U' R' B2 F'
F' D U R B2 L F
L' F' L R2 U' R' F'
F' D U' R' F' R2 B2
F' D U' R' F' B2 R2
F' D U' R' B2 F' R2
F' D U' B2 R' F' R2
L2 F' L R2 U' R' F'
L' F' L' R2 U' R' F'
R2 F' L U' R D' F2
R2 F' L U2 R' U R2
L2 F' L' R2 U' R' F'
L F' L R2 U' R' F'
F D U' F2 R F' B2
F D U' F2 R B2 F'
F D U' F2 B2 R F'
L' F' L2 R2 U' R' F'
R2 F' L' U' R D' F2
F D U' B2 F2 R F'
R2 F' L' U2 R' U R2
L2 F' L2 R2 U' R' F'
L F' L' R2 U' R' F'
R2 F' L2 U' R D' F2
R2 F' L2 U2 R' U R2
L F' L2 R2 U' R' F'
R' F' R' U2 R' U R'
D F' R F' L' U' B2
L' F' R2 L U' R' F'
L' F' R2 L' U' R' F'
L' F' R2 L2 U' R' F'
L' F' R2 U' R' D F'
L' F' R2 U' R' D' F'
L' F' R2 U' R' D2 F'
L' F' R2 U' R' F' D
L' F' R2 U' R' F' D'
L' F' R2 U' R' F' D2
L' F' R2 U' D R' F'
L' F' R2 U' D' R' F'
L' F' R2 U' D2 R' F'
L' F' R2 U' F R' F'
L' F' R2 U' F' R' F'
L' F' R2 U' F2 R' F'
L' F' R2 D U' R' F'
L' F' R2 D' U' R' F'
L' F' R2 D2 U' R' F'
F D F2 U' R F' B2
F D F2 U' R B2 F'
L2 F' R2 L U' R' F'
F D F2 U' B2 R F'
L2 F' R2 L' U' R' F'
L' F' R2 F' L' U' R'
L2 F' R2 L2 U' R' F'
L2 F' R2 U' R' D F'
L2 F' R2 U' R' D' F'
L2 F' R2 U' R' D2 F'
L2 F' R2 U' R' F' D
L2 F' R2 U' R' F' D'
L2 F' R2 U' R' F' D2
L2 F' R2 U' D R' F'
L2 F' R2 U' D' R' F'
L2 F' R2 U' D2 R' F'
L2 F' R2 U' F R' F'
L2 F' R2 U' F' R' F'
L2 F' R2 U' F2 R' F'
L2 F' R2 D U' R' F'
L2 F' R2 D' U' R' F'
L2 F' R2 D2 U' R' F'
L2 F' R2 F' L' U' R'
L F' R2 L U' R' F'
L F' R2 L' U' R' F'
L F' R2 L2 U' R' F'
L F' R2 U' R' D F'
L F' R2 U' R' D' F'
L F' R2 U' R' D2 F'
L F' R2 U' R' F' D
L F' R2 U' R' F' D'
L F' R2 U' R' F' D2
L F' R2 U' D R' F'
L F' R2 U' D' R' F'
L F' R2 U' D2 R' F'
L F' R2 U' F R' F'
L F' R2 U' F' R' F'
L F' R2 U' F2 R' F'
L F' R2 D U' R' F'
L F' R2 D' U' R' F'
L F' R2 D2 U' R' F'
L F' R2 F' L' U' R'
R2 F' U' R U' R2 U
R2 F' U' R D' F2 D
R2 F' U' R D' F2 D'
R2 F' U' R D' F2 D2
R2 F' U' R F D' F2
R2 F' U' R F' D' F2
R2 F' U' R F2 D' F2
R2 F' U' D R D' F2
R2 F' U' D' R D' F2
R2 F' U' D2 R D' F2
R2 F' U2 R' U R2 D
R2 F' U2 R' U R2 D'
R2 F' U2 R' U R2 D2
R2 F' U2 R' D B2 U
R2 F' U2 R' B U R2
R2 F' U2 R' B' U R2
R2 F' U2 R' B2 U R2
R2 F' U2 D R' U R2
R2 F' U2 D' R' U R2
R2 F' U2 D2 R' U R2
R' F' D' R' U' R2 F2
R' F' D' R' U' F2 R2
R2 F' D U' R D' F2
R2 F' D U2 R' U R2
R' F' D2 L2 R' U' R2
R' F' D2 R' L2 U' R2
R2 F' D' U' R D' F2
R2 F' D' U2 R' U R2
R2 F' D2 U' R D' F2
R2 F' D2 U2 R' U R2
F' D' U F2 L' B' U2
F' D' U' R' F' R2 B
R2 F' B2 L B2 U' R
F D' U L' F2 U2 F'
L' F2 L' R2 F U' R
D' F2 L' F R2 U' B
D' F2 L' F U F' U2
L' F2 L' F R2 U' R'
L2 F2 L' R2 F U' R
L2 F2 L' F R2 U' R'
D F2 L' R F' U' B2
L F2 L' R2 F U' R
L F2 L' F R2 U' R'
D F2 R L' F' U' B2
L' F2 R2 L' F U' R
L2 F2 R2 L' F U' R
L F2 R2 L' F U' R
D' F2 U' L' F U' L
R2 F2 U2 R' B' U R'
F2 D2 L' F U' R B
D2 B L2 R F U R2
D2 B R L2 F U R2
R2 B2 L F' B2 U' R
R2 B2 L B2 F' U' R
R2 B2 F' L B2 U' R
