U L' F B' U
U L' B' F U
F' L' U F L' U
U L' D F B' U
U L' D B' F U
U L' D' F B' U
U L' D' B' F U
U L' D2 F B' U
U L' D2 B' F U
U L' F D B' U
U L' F D' B' U
U L' F D2 B' U
U L' F B' U D
U L' F B' U D'
U L' F B' U D2
U L' F B' D U
U L' F B' D' U
U L' F B' D2 U
U L' B' D F U
U L' B' D' F U
U L' B' D2 F U
U L' B' F U D
U L' B' F U D'
U L' B' F U D2
U L' B' F D U
U L' B' F D' U
U L' B' F D2 U
R' U L' F B' U
R' U L' B' F U
R2 U L' F B' U
R2 U L' B' F U
R U L' F B' U
R U L' B' F U
D' U L' B' U L
U D' L' B' U L
U B L' F B' U
U B L' B' F U
U B' L' F B' U
U B' L' B' F U
U B2 L' F B' U
U B2 L' B' F U
R U L' F D2 B' U
U L2 F L B' F U
R U L' F B' U D
R U L' F B' U D'
R U L' F B' U D2
R U L' F B' D U
R U L' F B' D' U
R U L' F B' D2 U
R2 U L' B' D F U
R2 U L' B' D' F U
R2 U L' B' D2 F U
R2 U L' B' F U D
R2 U L' B' F U D'
R2 U L' B' F U D2
R2 U L' B' F D U
R2 U L' B' F D' U
R2 U L' B' F D2 U
L U L' B' L' F U
R U L' B' D F U
R U L' B' D' F U
R U L' B' D2 F U
R U L' B' F U D
R U L' B' F U D'
R U L' B' F U D2
R U L' B' F D U
R U L' B' F D' U
R U L' B' F D2 U
U L2 F' L F B' U
U L2 F' L B' F U
U L2 F2 L F B' U
U L2 F2 L B' F U
R' U D' L' B' U L
R2 U D' L' B' U L
R U D' L' B' U L
F' R L' U F L' U
L' U F L' B' U B
B' R L' F U R F'
L' U F B U B' R'
U R L' F R' B' U
D2 R U L' F' B' U
D2 R U L' B' F' U
D' R U L' B' U L
U2 R U' L' F B' U
U2 R U' L' B' F U
R' U B L' F B' U
R' U B L' B' F U
R2 U B L' F B' U
R2 U B L' B' F U
U' R U2 L' F B U
U' R U2 L' B F U
L' U B F U B' R'
R U B L' F B' U
R U B L' B' F U
R' U B' L' F B' U
R' U B' L' B' F U
U' R U2 B L' F U
R2 U B' L' F B' U
R2 U B' L' B' F U
R U B' L' F B' U
R U B' L' B' F U
R' U B2 L' F B' U
R' U B2 L' B' F U
R2 U B2 L' F B' U
R2 U B2 L' B' F U
R U B2 L' F B' U
R U B2 L' B' F U
L U' D' B' U' B' R'
F' R' L' U F L' U
U R' L' B' R F U
D' R' U L' B' U L
U2 R' U' L' F B' U
U2 R' U' L' B' F U
L2 U' B2 R' F' U' L'
F' R2 L' U F L' U
B' R2 L' F U R F2
U R2 L' F R2 B' U
U R2 L' F B' R2 U
D' R2 U L' B' U L
U R2 L' B' R2 F U
U R2 L' B' F R2 U
U2 R2 U' L' F B' U
U2 R2 U' L' B' F U
D2 U L' D B' U L
D' U L' F B' U L
D' U L' F' B' U L
D' U L' F2 B' U L
D' U L' B' U L D
D' U L' B' U L D'
D' U L' B' U L D2
D' U L' B' U D L
D' U L' B' U D' L
D' U L' B' U D2 L
D' U L' B' D U L
D' U L' B' D' U L
D' U L' B' D2 U L
D' U L' B' F U L
D' U L' B' F' U L
D' U L' B' F2 U L
D U L' D2 B' U L
D U L' F B' U L'
D U L' B' F U L'
U D L' D2 B' U L
U D L' F B' U L'
U D L' B' F U L'
D U F U L' B' R'
U D F U L' B' R'
F' U F L' F U R
D' U B' L' B' U L2
F2 U F2 L' F U R
R' D' U L' B' U L
R2 D' U L' B' U L
R D' U L' B' U L
U D' L' F B' U L
U D' L' F' B' U L
U D' L' F2 B' U L
U D' L' B' U L D
U D' L' B' U L D'
U D' L' B' U L D2
U D' L' B' U D L
U D' L' B' U D' L
U D' L' B' U D2 L
U D' L' B' D U L
U D' L' B' D' U L
U D' L' B' D2 U L
U D' L' B' F U L
U D' L' B' F' U L
U D' L' B' F2 U L
L D' U' B' U' B' R'
U2 D' B' L R' D' B2
U2 D' B' L D' R' B2
U2 D' B' R' L D' B2
U D' B' L' B' U L2
U D2 L' D B' U L
D' U2 B' L R' D' B2
D' U2 B' L D' R' B2
D' U2 B' R' L D' B2
L' F R' U R2 D' F2
L' F R' B' U R2 F'
L' F U R U' R' U
L' F U R2 D' R' F2
L' F U R2 D' F2 R'
F' D L' R F' R U2
L' F U2 F U' F' R
L' F U2 F2 U' F2 R
F' D L' F' R F' U2
F' D R L' F' R U2
L' F B U' B' U2 R
L' F B' R2 U F' R'
L' F B' U R2 F' R'
L' F B' U' B U2 R
L' F B2 U R D2 F2
L' F B2 U D2 R F2
L' F B2 U' B2 U2 R
L' F B2 D' R2 U R'
L' F B2 D2 U R F2
R' F' L' U F L' U
L' F' L' U L F2 U
L' F' L' U F2 L U
L2 F' L' U L2 F U
R2 F' L' U F L' U
D F' L' D R F' U2
F' D F' R F' U2 R
L F' L' U L' F U
R F' L' U F L' U
U F' L' F B' L' U
U F' L' B' F L' U
D F' R D' L' F U2
F' D' L' U2 L2 B' L
F' D' L' D2 F U2 L'
D2 F' D' L' F U2 L'
D F' D L' R F' U2
D F' D R L' F' U2
D F' D' L' R F U2
D F' D' R L' F U2
U B L' D F B' U
U B L' D B' F U
U B L' D' F B' U
U B L' D' B' F U
U B L' D2 F B' U
U B L' D2 B' F U
U B L' F D B' U
U B L' F D' B' U
U B L' F D2 B' U
U B L' F B' U D
U B L' F B' U D'
U B L' F B' U D2
U B L' F B' D U
U B L' F B' D' U
U B L' F B' D2 U
U B L' B' D F U
U B L' B' D' F U
U B L' B' D2 F U
U B L' B' F U D
U B L' B' F U D'
U B L' B' F U D2
U B L' B' F D U
U B L' B' F D' U
U B L' B' F D2 U
U' B U2 L' F B' U
U' B U2 L' B' F U
U B D' L' B' U L
L' B F U' B' U2 R
U2 B' L' F U F' R'
U B' L' D F B' U
U B' L' D B' F U
U B' L' D' F B' U
U B' L' D' B' F U
U B' L' D2 F B' U
U B' L' D2 B' F U
L' B' R F U R F'
U B' L' F D B' U
U B' L' F D' B' U
U B' L' F D2 B' U
U B' L' F B' U D
U B' L' F B' U D'
U B' L' F B' U D2
U B' L' F B' D U
U B' L' F B' D' U
U B' L' F B' D2 U
U B' L' B' D F U
U B' L' B' D' F U
U B' L' B' D2 F U
U B' L' B' F U D
U B' L' B' F U D'
U B' L' B' F U D2
U B' L' B' F D U
U B' L' B' F D' U
U B' L' B' F D2 U
U2 B' R' U' L' F U
L' B' R2 F U R F2
U' B' U2 L' F B' U
U' B' U2 L' B' F U
U2 B' U' L' F U R'
U B' D' L' B' U L
L' B' F R2 U F' R'
L' B' F U R2 F' R'
L' B' F U' B U2 R
U B2 L' D F B' U
U B2 L' D B' F U
U B2 L' D' F B' U
U B2 L' D' B' F U
U B2 L' D2 F B' U
U B2 L' D2 B' F U
U B2 L' F D B' U
U B2 L' F D' B' U
U B2 L' F D2 B' U
U B2 L' F B' U D
U B2 L' F B' U D'
U B2 L' F B' U D2
U B2 L' F B' D U
U B2 L' F B' D' U
U B2 L' F B' D2 U
U B2 L' B' D F U
U B2 L' B' D' F U
U B2 L' B' D2 F U
U B2 L' B' F U D
U B2 L' B' F U D'
U B2 L' B' F U D2
U B2 L' B' F D U
U B2 L' B' F D' U
U B2 L' B' F D2 U
U' B2 U2 L' F B' U
U' B2 U2 L' B' F U
L' B2 D' R2 F U R
L' B2 D' F R2 U R'
L' B2 D2 F U R F
U B2 D' L' B' U L
L' B2 F U R D2 F2
L' B2 F U D2 R F2
L' B2 F U' B2 U2 R
L' B2 F D' R2 U R'
L' B2 F D2 U R F2
