F2 U2 F' R' U
F2 L U2 F' R' U
F2 L' U2 F' R' U
F2 L2 U2 F' R' U
B' L2 F2 B' L U'
B' L2 B' L F2 U'
B2 L2 B' L' F2 U'
B' L2 B' F2 L U'
F R' U2 R F U'
U2 R' D F U R2
U2 R' D2 F B2 U
U2 R' D2 B2 F U
U2 R' F U2 F U'
U2 D R' F U R'
U2 D F R' U R'
D2 U2 R' F B2 U
U2 D2 R' F B2 U
D2 U2 R' B2 F U
U2 D2 R' B2 F U
D U2 R' F U R'
D2 U2 F R' B2 U
U2 D2 F R' B2 U
D U2 F R' U R'
F2 U2 D F' R' U
F2 U2 D' F' R' U
F2 U2 D2 F' R' U
F2 U2 F R' F2 U
F2 U2 F' R' U D
F2 U2 F' R' U D'
F2 U2 F' R' U D2
F2 U2 F' R' D U
F2 U2 F' R' D' U
F2 U2 F' R' D2 U
F2 U2 F' D R' U
F2 U2 F' D' R' U
F2 U2 F' D2 R' U
F2 U2 F2 R' F U
U2 F R' U2 F U'
F2 D U2 F' R' U
R2 F2 L' R2 B U'
F2 D' U2 F' R' U
R2 F2 R2 L' B U'
L' F2 U2 R' F' U
R2 F2 R2 B L' U'
L2 F2 B2 L B U'
L F2 B2 L B' U'
F2 D2 U2 F' R' U
F' D2 F' B2 L U'
F' D2 B2 L F' U'
F' D2 B2 F' L U'
L2 B2 L F2 B U'
L2 B2 L B F2 U'
L B2 L F2 B' U'
L B2 L B' F2 U'
B2 F2 L U2 F' U
F2 B2 L U2 F' U
L2 B2 F2 L B U'
L B2 F2 L B' U'
U2 D' R' D' F B2 U
U2 D' R' D' B2 F U
U2 D' R' D2 F U R2
U2 D' R' F U D2 R2
U2 D' R' F U' L2 U2
F2 U' L2 U' F' R' U
U2 D' R' F D' B2 U
U2 D' R' F D2 U R2
D U' R2 U' R F U
D2 U' F R' B2 U B2
U2 D' F R' U D2 R2
U2 D' F R' U' L2 U2
U2 D' F R' D' B2 U
U2 D' F R' D2 U R2
U2 D' F D' R' B2 U
U2 D' F D2 R' U R'
F2 U' F U' R' F2 U
F2 U' F U' F2 R' U
F2 U' F2 U' R' F U
F2 U' F2 U' F R' U
R2 D2 R F L2 B2 U
R2 D2 R F B2 L2 U
R2 D2 R B2 F L2 U
D2 U2 R F R2 B2 U
D2 U2 R F B2 R2 U
D2 U2 R B2 R2 F U
D2 U2 R B2 F R2 U
U2 D2 R F R2 B2 U
U2 D2 R F B2 R2 U
D' U2 R' D' F B2 U
D' U2 R' D' B2 F U
D' U2 R' D2 F U R2
D' U2 R' F U D2 R2
D' U2 R' F U' L2 U2
D' U2 R' F D' B2 U
D' U2 R' F D2 U R2
U' D2 R' F B2 U B2
D2 U2 R' D' F U R2
U2 D2 R B2 R2 F U
D2 U2 R' F U D' R2
U2 D2 R B2 F R2 U
D2 U2 R' F D' U R2
D2 U2 R' F B2 U D
D2 U2 R' F B2 U D'
D2 U2 R' F B2 U D2
D2 U2 R' F B2 D U
D2 U2 R' F B2 D' U
D2 U2 R' F B2 D2 U
U' D2 R' B2 F U B2
D2 U2 R' B2 D F U
D2 U2 R' B2 D' F U
D2 U2 R' B2 D2 F U
D2 U2 R' B2 F U D
D2 U2 R' B2 F U D'
D2 U2 R' B2 F U D2
D2 U2 R' B2 F D U
D2 U2 R' B2 F D' U
D2 U2 R' B2 F D2 U
U2 D2 R' D' F U R2
U2 D2 R' F U D' R2
U2 D2 R' F D' U R2
U2 D2 R' F B2 U D
U2 D2 R' F B2 U D'
U2 D2 R' F B2 U D2
U2 D2 R' F B2 D U
U2 D2 R' F B2 D' U
U2 D2 R' F B2 D2 U
D U2 R' D F U R'
U2 D2 R' B2 D F U
U2 D2 R' B2 D' F U
U2 D2 R' B2 D2 F U
U2 D2 R' B2 F U D
U2 D2 R' B2 F U D'
U2 D2 R' B2 F U D2
U2 D2 R' B2 F D U
U2 D2 R' B2 F D' U
U2 D2 R' B2 F D2 U
L' D2 U2 R' F' B2 U
L' D2 U2 R' B2 F' U
D U2 R' D' F U R'
D U2 R' D2 F U R'
D U2 R' F U R' D
D U2 R' F U R' D'
D U2 R' F U R' D2
D U2 R' F U D R'
D U2 R' F U D' R'
D U2 R' F U D2 R'
D U2 R' F D U R'
D U2 R' F D' U R'
D U2 R' F D2 U R'
D2 U2 R2 B2 R F U
D' U2 F R' U D2 R2
D' U2 F R' U' L2 U2
D' U2 F R' D' B2 U
D' U2 F R' D2 U R2
U' D2 F R' B2 U B2
D2 U2 F R B2 R2 U
D2 U2 F R' U D' R2
D2 U2 F R' D' U R2
D2 U2 F R' B2 U D
D2 U2 F R' B2 U D'
D2 U2 F R' B2 U D2
D2 U2 F R' B2 D U
D2 U2 F R' B2 D' U
D2 U2 F R' B2 D2 U
D2 U2 F R2 B2 R U
D' U2 F D' R' B2 U
U2 D2 R2 B2 R F U
D' U2 F D2 R' U R'
D2 U2 F D' R' U R'
U2 D2 F R B2 R2 U
U2 D2 F R' U D' R2
U2 D2 F R' D' U R2
U2 D2 F R' B2 U D
U2 D2 F R' B2 U D'
U2 D2 F R' B2 U D2
U2 D2 F R' B2 D U
U2 D2 F R' B2 D' U
U2 D2 F R' B2 D2 U
D2 U2 F B2 U2 L U'
U2 D2 F R2 B2 R U
F2 U2 L' F' L R' U
F2 U2 L' F' R' L U
D2 U2 F' R' F2 B2 U
D2 U2 F' R' B2 F2 U
U2 D2 F D' R' U R'
D U2 F R' U R' D
D U2 F R' U R' D'
D U2 F R' U R' D2
D U2 F R' U D R'
D U2 F R' U D' R'
D U2 F R' U D2 R'
D U2 F R' D U R'
D U2 F R' D' U R'
D U2 F R' D2 U R'
U2 D2 F B2 U2 L U'
D U2 F D R' B2 U
U2 D2 F' R' F2 B2 U
U2 D2 F' R' B2 F2 U
R' D2 F2 L' F' B2 U
R' D2 F2 L' B2 F' U
F2 U2 L2 F' L2 R' U
F2 U2 L2 F' R' L2 U
D U2 F' R' F2 U R'
R' D2 F2 B2 L' F' U
F2 U2 R' D' F U L'
F' U2 R2 B R F2 U
R' D2 B2 F2 L' F' U
D2 U2 B2 F U2 L U'
F2 U2 D F R' F2 U
F2 U2 D F' R' U D
F2 U2 D F' R' U D'
F2 U2 D F' R' U D2
F2 U2 D F' R' D U
F2 U2 D F' R' D' U
F2 U2 D F' R' D2 U
F2 U2 D F' D R' U
F2 U2 D F' D' R' U
F2 U2 D F' D2 R' U
F2 U2 D F2 R' F U
R2 D2 B2 R F L2 U
U2 D2 B2 F U2 L U'
B U2 D F R U R
F2 U2 D' F R' F2 U
F2 U2 D' F' R' U D
F2 U2 D' F' R' U D'
F2 U2 D' F' R' U D2
F2 U2 D' F' R' D U
F2 U2 D' F' R' D' U
F2 U2 D' F' R' D2 U
F2 U2 D' F' D R' U
F2 U2 D' F' D' R' U
F2 U2 D' F' D2 R' U
F2 U2 D' F2 R' F U
B2 U2 D2 F B2 R' U
F2 U2 D2 F R' F2 U
F2 U2 D2 F' R' U D
F2 U2 D2 F' R' U D'
F2 U2 D2 F' R' U D2
F2 U2 D2 F' R' D U
F2 U2 D2 F' R' D' U
F2 U2 D2 F' R' D2 U
F2 U2 D2 F' D R' U
F2 U2 D2 F' D' R' U
F2 U2 D2 F' D2 R' U
F2 U2 D2 F2 R' F U
B2 U2 D2 B2 R' F U
B2 U2 D2 B2 F R' U
U' F L2 R' B' U B
F2 U2 F R F2 R2 U
F2 U2 F R' U D' L2
F2 U2 F R' D' U L2
F2 U2 F R' F2 U D
F2 U2 F R' F2 U D'
F2 U2 F R' F2 U D2
F2 U2 F R' F2 D U
F2 U2 F R' F2 D' U
F2 U2 F R' F2 D2 U
B U2 D2 F R B2 U
B U2 D2 F B2 R U
B2 U2 F U2 F L U'
R' F L2 D2 B' L U
F2 U2 F D' R' U L2
B U2 D2 B2 F R U
U2 F L2 R' B' L2 U
B U2 F R U2 F U'
F2 U2 F' R U D' F2
F2 U2 F' R D' U F2
F2 U2 F' R2 D R U
F2 U2 F' R2 D' R U
F2 U2 F' R2 D2 R U
F2 U2 F' D R' U D
F2 U2 F' D R' U D'
F2 U2 F' D R' U D2
F2 U2 F' D R' D U
F2 U2 F' D R' D' U
F2 U2 F' D R' D2 U
F2 U2 F' D' R' U D
F2 U2 F' D' R' U D'
F2 U2 F' D' R' U D2
F2 U2 F' D' R' D U
F2 U2 F' D' R' D' U
F2 U2 F' D' R' D2 U
F2 U2 F' D2 R' U D
F2 U2 F' D2 R' U D'
F2 U2 F' D2 R' U D2
F2 U2 F' D2 R' D U
F2 U2 F' D2 R' D' U
F2 U2 F' D2 R' D2 U
D2 F R B2 L R2 U
D2 F R B2 R2 L U
U' F R' L2 B' U B
F' U2 F2 R' U2 F U'
F2 U2 F2 R F R2 U
F2 U2 F2 R' D F U
F2 U2 F2 R' D' F U
F2 U2 F2 R' D2 F U
F2 U2 F2 R' F U D
F2 U2 F2 R' F U D'
F2 U2 F2 R' F U D2
F2 U2 F2 R' F D U
F2 U2 F2 R' F D' U
F2 U2 F2 R' F D2 U
F2 U2 F2 D R' F U
F2 U2 F2 D F R' U
F2 U2 F2 D' R' F U
F2 U2 F2 D' F R' U
F2 U2 F2 D2 R' F U
F2 U2 F2 D2 F R' U
U2 F R' L2 B' L2 U
D2 F R' B2 U2 R U'
U2 F R' U2 D F U'
U2 F R' U2 D' F U'
U2 F R' U2 D2 F U'
U2 F R' U2 F U' D
U2 F R' U2 F U' D'
U2 F R' U2 F U' D2
U2 F R' U2 F D U'
U2 F R' U2 F D' U'
U2 F R' U2 F D2 U'
U2 F R' D U2 F U'
U2 F R' D' U2 F U'
U2 F R' D2 U2 F U'
D F R' U R' D B2
U2 F R' B U2 F U'
U2 F R' B' U2 F U'
D F R' U2 R U' R2
U2 F R' B2 U2 F U'
R F R2 U2 R F U'
F2 D L U2 F' R' U
R' F U2 F U2 L' U
R' F U2 F' R F2 U'
F2 D L' U2 F' R' U
U2 F U2 F U2 R' U
R2 F U2 R2 F L' U'
R2 F U2 F L' R2 U'
R2 F U2 F R2 L' U'
U2 F D R' U2 F U'
F2 D L2 U2 F' R' U
B2 D L2 B' L' U' R2
U2 F D' R' U2 F U'
R' F D2 L2 B' L U
U2 F D2 R' U2 F U'
F D R' U2 R F U'
L2 F B' D2 F L' U'
U2 F B2 U2 F L U'
F2 D U2 F R' F2 U
F2 D U2 F' R' U D
F2 D U2 F' R' U D'
F2 D U2 F' R' U D2
F2 D U2 F' R' D U
F2 D U2 F' R' D' U
F2 D U2 F' R' D2 U
F2 D U2 F' D R' U
F2 D U2 F' D' R' U
F2 D U2 F' D2 R' U
F2 D U2 F2 R' F U
B D U2 F R U R
F' D F' D B2 L U'
F D F U2 F' R' U
D2 F' R' F2 L' B2 U
D2 F' R' F2 B2 L' U
D2 F' R' B2 F2 L' U
D F' R' F2 L' U R'
U2 F' R2 B R F2 U
F2 D B2 L U2 F' U
R F' R2 F2 L' B U
R F' R2 F2 B L' U
R F' R2 B F2 L' U
D2 F' U2 R' F2 B2 U
D2 F' U2 R' B2 F2 U
F2 D' L U2 F' R' U
D2 F' U2 F2 R' B2 U
F2 D' L' U2 F' R' U
D F' U2 R' F2 U R'
D F' U2 F2 R' U R'
F2 D' L2 U2 F' R' U
D2 F' D2 F2 B2 L U'
D2 F' D2 B2 L F2 U'
D' F' D2 B2 L U' R2
D2 F' D2 B2 F2 L U'
F D' R' U2 R F U'
L2 F' B2 L F' B U'
L2 F' B2 L B F' U'
L' F2 L U2 R' F U
L' F2 L U2 F R' U
R' F2 L F' L2 B' U
L2 F2 L U2 R' F' U
L F' B2 L F' B' U'
L F' B2 L B' F' U'
R2 F2 L R2 B L2 U'
R' F2 L' F' U2 F U'
F2 D' U2 F R' F2 U
F2 D' U2 F' R' U D
F2 D' U2 F' R' U D'
F2 D' U2 F' R' U D2
F2 D' U2 F' R' D U
F2 D' U2 F' R' D' U
F2 D' U2 F' R' D2 U
F2 D' U2 F' D R' U
F2 D' U2 F' D' R' U
F2 D' U2 F' D2 R' U
F2 D' U2 F2 R' F U
L' F2 L' B2 L B U'
R2 F2 L' R2 D B U'
R2 F2 L' R2 D' B U'
R2 F2 L' R2 D2 B U'
R2 F2 L' R2 B U' D
R2 F2 L' R2 B U' D'
R2 F2 L' R2 B U' D2
R2 F2 L' R2 B D U'
R2 F2 L' R2 B D' U'
R2 F2 L' R2 B D2 U'
L2 F2 L' B2 L B' U'
L F2 L B2 L B U'
R2 F2 L' B R2 B U'
L' F2 L2 B2 L B' U'
R2 F2 L' B' R2 B U'
L2 F2 L2 U2 R' F U
L2 F2 L2 U2 F R' U
R2 F2 L' B2 R2 B U'
F' D' F' U2 R' U L2
L F2 L' U2 R' F U
L F2 L' U2 F R' U
F' D' F' D' B2 L U'
F' D' F' B2 L U' L
F D' F U2 F' R' U
L F2 L2 U2 R' F' U
R2 F2 R2 L B L2 U'
R2 F2 R2 L' D B U'
R2 F2 R2 L' D' B U'
R2 F2 R2 L' D2 B U'
R2 F2 R2 L' B U' D
R2 F2 R2 L' B U' D'
R2 F2 R2 L' B U' D2
R2 F2 R2 L' B D U'
R2 F2 R2 L' B D' U'
R2 F2 R2 L' B D2 U'
R2 F2 R2 D L' B U'
R2 F2 R2 D B L' U'
R2 F2 R2 D' L' B U'
R2 F2 R2 D' B L' U'
R2 F2 R2 D2 L' B U'
F' D' B2 L F' U' L
R2 F2 R2 D2 B L' U'
R2 F2 R2 B L' U' D
R2 F2 R2 B L' U' D'
R2 F2 R2 B L' U' D2
R2 F2 R2 B L' D U'
R2 F2 R2 B L' D' U'
R2 F2 R2 B L' D2 U'
R2 F2 R2 B D L' U'
R2 F2 R2 B D' L' U'
R2 F2 R2 B D2 L' U'
R2 F2 R2 B' L' B2 U'
F2 D' B2 L U2 F' U
U' F2 U' F' R' U R
F' D' B2 F' L U' L
F2 D2 L U2 F' R' U
F' D2 L F' B2 L U'
L' F2 U2 R' D F' U
L' F2 U2 R' D' F' U
L' F2 U2 R' D2 F' U
L' F2 U2 R' F' U D
L' F2 U2 R' F' U D'
L' F2 U2 R' F' U D2
L' F2 U2 R' F' D U
L' F2 U2 R' F' D' U
L' F2 U2 R' F' D2 U
L' F2 U2 D R' F' U
L' F2 U2 D' R' F' U
D2 F2 U2 F' R' B2 U
F' D2 L B2 L F' U'
L' F2 U2 D2 R' F' U
F' D2 L B2 F' L U'
L' F2 U2 F R' F' U
L' F2 U2 F' R' F' U
L' F2 U2 F2 R' F' U
L2 F2 U2 R' U2 B' U'
F2 D2 L' U2 F' R' U
F' D2 L' F' B2 L U'
F' D2 L' B2 L F' U'
L' F2 D U2 R' F' U
F' D2 L' B2 F' L U'
D F2 U2 F' R' U R'
F2 D2 L2 U2 F' R' U
F' D2 L2 F' B2 L U'
F' D2 L2 B2 L F' U'
L' F2 D' U2 R' F' U
F' D2 L2 B2 F' L U'
L2 F2 D B2 L B U'
L' F2 D2 U2 R' F' U
L2 F2 D' B2 L B U'
L2 F2 D2 B2 L B U'
L' F2 B' L' B' L U'
R2 F2 B L' R2 B U'
R2 F2 B R2 L' B U'
R2 F2 B R2 B L' U'
F D2 R' U2 R F U'
L' F2 B2 L U2 F U
L' F2 B2 L' B' L2 U'
R2 F2 B' L' R2 B U'
L2 F2 B' D L' U' F
R2 F2 B' R2 L' B U'
R2 F2 B' R2 B L' U'
L2 F2 B2 L D B U'
L2 F2 B2 L D' B U'
L2 F2 B2 L D2 B U'
L2 F2 B2 L B U' D
L2 F2 B2 L B U' D'
L2 F2 B2 L B U' D2
L2 F2 B2 L B D U'
L2 F2 B2 L B D' U'
L2 F2 B2 L B D2 U'
L2 F2 B2 L' B L2 U'
L2 F2 B2 L2 B L' U'
L F2 B' L B' L U'
R2 F2 B2 L' R2 B U'
L2 F2 B2 D L B U'
L2 F2 B2 D' L B U'
L2 F2 B2 D2 L B U'
R2 F2 B2 R2 L' B U'
R2 F2 B2 R2 B L' U'
L F2 B2 L D B' U'
L F2 B2 L D' B' U'
