B2 L U F2 B' L
B2 L U B' L F2
B2 L U B' F2 L
B L F2 B' D' R2
B L B' F2 D' R2
B2 U L F2 B' L
B2 U L B' L F2
B2 U L B' F2 L
B2 U F2 L B' L
B2 U F2 B' L B'
B2 U B' L F2 B'
B2 U B' L B' F2
B2 U B' F2 L B'
L' F2 D' R2 B L
F2 B L B' D' R2
B F2 L B' D' R2
B2 U L B' F2 L D
B2 U L B' F2 L D'
B2 U L B' F2 L D2
B2 U L B' F2 D L
B2 U L B' F2 D' L
B2 U L B' F2 D2 L
B U L F2 B' D' R2
B U L B' F2 D' R2
B2 U L2 F2 L' B' L
B2 U F' L F' B' L
B2 U F' L B' L F'
B2 U F' L B' F' L
B2 U F' B' L F' B'
B2 U F' B' L B' F'
B2 U F2 L B' L D
B2 U F2 L B' L D'
B2 U F2 L B' L D2
B2 U F2 L B' D L
B2 U F2 L B' D' L
B2 U F2 L B' D2 L
B U F2 L B' D' R2
B2 U F2 B' L D B'
B2 U F2 B' L D' B'
B2 U F2 B' L D2 B'
B2 U F2 B' L B' D
B2 U F2 B' L B' D'
B2 U F2 B' L B' D2
B2 U B' L F2 D B'
B2 U B' L F2 D' B'
B2 U B' L F2 D2 B'
B2 U B' L F2 B' D
B2 U B' L F2 B' D'
B2 U B' L F2 B' D2
B2 U B' L B' F2 D
B2 U B' L B' F2 D'
B2 U B' L B' F2 D2
B2 U B' F' L F' B'
B2 U B' F' L B' F'
B2 U B' F2 L D B'
B2 U B' F2 L D' B'
B2 U B' F2 L D2 B'
B2 U B' F2 L B' D
B2 U B' F2 L B' D'
B2 U B' F2 L B' D2
B2 U' L F2 R B' L
F2 U' L F B2 U B
B2 U' L F2 B' L R
B2 U' L F2 B' R L
B2 U' L B' F2 L R
B2 U' L B' F2 R L
F2 U' L B2 F U B
B U' L F2 B' D' R2
B U' L B' F2 D' R2
L D' B' R2 D F2 L'
B U' F2 L B' D' R2
B2 U' B' L F2 R B'
B2 U' B' L F2 B' R
B2 U' B' L B' F2 R
B2 U' B' U2 L F2 B'
B2 U' B' U2 L B' F2
B2 U' B' U2 F2 L B'
F2 U' B2 L F U B'
F2 U' B2 U B L B'
B2 U2 L U' F2 B' L
B2 U2 L U' B' L F2
B2 U2 L U' B' F2 L
B U2 L F2 B' D' R2
B U2 L B' F2 D' R2
B U2 F2 L B' D' R2
B2 U2 B' U' L F2 B'
B2 U2 B' U' L B' F2
B2 U2 B' U' F2 L B'
B2 D L' R2 F L' U
L' F D L2 B' R' U2
B2 D L' F L' R2 U
B2 D L' F R2 L' U
L' F D' F R2 B L
B2 D R2 L' F L' U
B2 D R2 F L' F U
B2 D F L' R2 F U
B2 D F L' F R2 U
B2 D F R2 L' F U
F2 D' R' D' R' B L
F2 D' R2 D B L B'
L' F2 L D' R2 B L
L' F2 L' D' R2 B L
L' F2 L2 D' R2 B L
L' F2 R2 D' B L R2
L' F2 R2 D' B R2 L
L F2 U' B2 U B L
L' F2 D' L R2 B L
L' F2 D' L' R2 B L
L' F2 D' L2 R2 B L
L' F2 D' R2 L B L
L' F2 D' R2 L' B L
L' F2 D' R2 L2 B L
L' F2 D' R2 D B L
L' F2 D' R2 D' B L
L' F2 D' R2 D2 B L
L' F2 D' R2 B L D
L' F2 D' R2 B L D'
L' F2 D' R2 B L D2
L' F2 D' R2 B D L
L' F2 D' R2 B D' L
L' F2 D' R2 B D2 L
L' F2 D' B L R2 B
L' F2 D' B R2 L B
F2 D2 R D R2 B L
L F2 D B L B2 R'
R' F2 B L B' D' R2
L F2 D' R2 B L B2
F2 D2 R' D B L R2
F2 D2 R' D B R2 L
L F2 D' B L R2 B2
L F2 D' B L B2 R2
L F2 D' B R2 L B2
F2 D2 R' B L D R2
F2 D2 R' B D L R2
F2 D2 R' B D R2 L
R2 F2 B L B' D' R2
R F2 B L B' D' R2
R' B L F2 B' D' R2
R' B L B' F2 D' R2
R2 B L F2 B' D' R2
D' B L2 R' U' L' R'
D' B L2 R' U' R' L'
R2 B L B' F2 D' R2
R B L F2 B' D' R2
R B L B' F2 D' R2
D' B R' L2 U' L' R'
D' B R' L2 U' R' L'
F2 B L U' B U B2
F' B L F' B' D' R2
F2 B L D B' D' R2
F2 B L D' B' D' R2
F' B L B' D' F' R2
F' B L B' F' D' R2
F2 B L D2 B' D' R2
F2 B L B' R D' R2
F2 B L B' R' D' R2
F2 B L B' R2 D' R2
F2 B L B' U' B2 U
F2 B L B' D' R2 D
F2 B L B' D' R2 D'
F2 B L B' D' R2 D2
R' B F2 L B' D' R2
B2 F U F L B' L
B2 F U F B' L B'
B2 F U B' F L B'
R2 B F2 L B' D' R2
R B F2 L B' D' R2
B2 F' L U F' B' L
B2 F' L U B' L F'
B2 F' L U B' F' L
B F' L F' B' D' R2
B F' L B' D' F' R2
B F' L B' F' D' R2
B2 F' U L F' B' L
B2 F' U L B' L F'
B2 F' U L B' F' L
B2 F' U F' L B' L
B2 F' U F' B' L B'
B2 F' U B' L F' B'
B2 F' U B' L B' F'
B2 F' U B' F' L B'
R' B2 L U F2 B' L
R' B2 L U B' L F2
R' B2 L U B' F2 L
U' B2 L F U F B'
U' B2 L F U B' F
R2 B2 L U F2 B' L
R2 B2 L U B' L F2
R2 B2 L U B' F2 L
L2 B2 L' U F2 B' L
L2 B2 L' U B' L F2
L2 B2 L' U B' F2 L
L' B2 L2 U F2 B' L
L' B2 L2 U B' L F2
L' B2 L2 U B' F2 L
F' B2 L U F' B' L
R B2 L U F2 B' L
F' B2 L U B' L F'
F' B2 L U B' F' L
R B2 L U B' L F2
R B2 L U B' F2 L
B F2 L U' B U B2
B F2 L D B' D' R2
B F2 L D' B' D' R2
B F2 L D2 B' D' R2
B F2 L B' R D' R2
B F2 L B' R' D' R2
B F2 L B' R2 D' R2
B F2 L B' U' B2 U
B F2 L B' D' R2 D
B F2 L B' D' R2 D'
B F2 L B' D' R2 D2
R' B2 U L F2 B' L
R' B2 U L B' L F2
R' B2 U L B' F2 L
L' B2 U L2 F2 B' L
L' B2 U L2 B' L F2
L' B2 U L2 B' F2 L
U' B2 U F2 B L B'
U' B2 U B L F2 B'
U' B2 U B L B' F2
U' B2 U B F2 L B'
R' B2 U F2 L B' L
R' B2 U F2 B' L B'
R' B2 U B' L F2 B'
R' B2 U B' L B' F2
R' B2 U B' F2 L B'
R2 B2 U L F2 B' L
R2 B2 U L B' L F2
R2 B2 U L B' F2 L
R2 B2 U F2 L B' L
R2 B2 U F2 B' L B'
R2 B2 U B' L F2 B'
R2 B2 U B' L B' F2
R2 B2 U B' F2 L B'
F' B2 U L F' B' L
F' B2 U L B' L F'
F' B2 U L B' F' L
R B2 U L F2 B' L
R B2 U L B' L F2
R B2 U L B' F2 L
L B2 U F2 B' L B2
L B2 U B' L F2 B2
L B2 U B' L B2 F2
L B2 U B' F2 L B2
F' B2 U F' L B' L
F' B2 U F' B' L B'
R B2 U F2 L B' L
R B2 U F2 B' L B'
F' B2 U B' L F' B'
F' B2 U B' L B' F'
F' B2 U B' F' L B'
R B2 U B' L F2 B'
R B2 U B' L B' F2
R B2 U B' F2 L B'
F B2 U F L B' L
F B2 U F B' L B'
F B2 U B' F L B'
