F L2 D R2 B' L
F L2 D B' L R2
F L2 D B' R2 L
F' R2 U' F2 B L
F' R2 U' B L F2
F' R2 U' B F2 L
F D L2 R2 B' L
F D L2 B' L R2
F D L2 B' R2 L
F D R2 L2 B' L
F' R2 U' B L F2 D
F' R2 U' B L F2 D'
F' R2 U' B L F2 D2
F' R2 U' B L' F2 L2
F' R2 U' B F' L F'
F' R2 U' B F2 L D
F' R2 U' B F2 L D'
F' R2 U' B F2 L D2
F' R2 U' B F2 D L
F' R2 U' B F2 D' L
F' R2 U' B F2 D2 L
F' R2 D' L2 U' B L
R' D B R2 U' R F
F U F2 R2 U' B L
F2 U' D' F U' L' F2
F' U' F2 L2 D B' L
F' U' F2 D L2 B' L
D' F L' U F2 R U'
F U2 D' F L2 U2 L
U' F L2 D R2 B' L
U' F L2 D B' L R2
U' F L2 D B' R2 L
U2 F L2 D R2 B' L
U2 F L2 D B' L R2
U2 F L2 D B' R2 L
U F L2 D R2 B' L
U F L2 D B' L R2
U F L2 D B' R2 L
U' F D L2 R2 B' L
U' F D L2 B' L R2
U' F D L2 B' R2 L
D' F D L' R2 D2 B2
U' F D R2 L2 B' L
D' F D R2 L' D2 B2
F D L R2 B' L B'
D' F D R2 D2 L' B2
D' F D R2 D2 B2 L'
U2 F D L2 R2 B' L
U2 F D L2 B' L R2
U2 F D L2 B' R2 L
D' F D' L B2 L2 R'
D' F D' L B2 R' L2
F D L B' L R2 B'
F D L B' L B' R2
F D L B' R2 L B'
U2 F D R2 L2 B' L
U F D L2 R2 B' L
D' F D' B2 D2 L' R2
D' F D' B2 D2 R2 L'
U F D L2 B' L R2
U F D L2 B' R2 L
U F D R2 L2 B' L
F D L2 R B' L R
F D L2 R B' R L
F D L2 R2 B' L D
F D L2 R2 B' L D'
F D L2 R2 B' L D2
F D L2 R2 B' D L
F D L2 R2 B' D' L
F D L2 R2 B' D2 L
F D L2 B' L R2 D
F D L2 B' L R2 D'
F D L2 B' L R2 D2
F D L2 B' R2 L D
F D L2 B' R2 L D'
F D L2 B' R2 L D2
F D L2 B' R2 D L
F D L2 B' R2 D' L
F D L2 B' R2 D2 L
F D R L2 B' L R
F D R L2 B' R L
D F B D B2 L R2
D F B D B2 R2 L
D F B' L D R2 B2
D F B' L D B2 R2
F D R2 L B' L B'
F D R2 L2 B' L D
F D R2 L2 B' L D'
F D R2 L2 B' L D2
F D R2 L2 B' D L
F D R2 L2 B' D' L
F D R2 L2 B' D2 L
D F B' D L R2 B2
D F B' D L B2 R2
D F B' D R2 L B2
F D R2 B' L2 B' L'
D2 F' L B' U' F2 B'
D2 F' L B' U' B' F2
U' F' R2 U' F2 B L
U' F' R2 U' B L F2
U' F' R2 U' B F2 L
U2 F' R2 U' F2 B L
U2 F' R2 U' B L F2
U2 F' R2 U' B F2 L
U F' R2 U' F2 B L
U F' R2 U' B L F2
U F' R2 U' B F2 L
D F' R2 B' U' L F2
D F' R2 B' U' F2 L
F D B' L2 R2 B' L'
F D B' L2 B' L' R2
F D B' L2 B' R2 L'
F D B' R2 L2 B' L'
D' F' U' F2 D' L' B2
D' F' U' F2 D' B2 L'
D' F' U2 L2 U F2 L'
F' D' L2 U F' R U2
D F' B R2 U' F2 L'
D F' B' R2 U' L F2
D F' B' R2 U' F2 L
F2 D' U' F U' L' F2
F D' U2 F L2 U2 L
F D' F L2 U2 L F'
F D' F L2 U2 F' L
R F2 U F U R F2
R2 B U' F2 U2 F' L'
B' F L2 D R2 B' L
B' F L2 D B' L R2
B' F L2 D B' R2 L
B2 F L2 D R2 B' L
B2 F L2 D B' L R2
B2 F L2 D B' R2 L
B F L2 D R2 B' L
B F L2 D B' L R2
B F L2 D B' R2 L
F B L2 D R2 B' L
F B L2 D B' L R2
F B L2 D B' R2 L
F' B R2 U' F2 B L
F' B R2 U' B L F2
F' B R2 U' B F2 L
D B F D B2 L R2
D B F D B2 R2 L
D B F' R2 U' F2 L'
B' F D L2 R2 B' L
B' F D L2 B' L R2
B' F D L2 B' R2 L
B' F D R2 L2 B' L
B2 F D L2 R2 B' L
B2 F D L2 B' L R2
B2 F D L2 B' R2 L
B2 F D R2 L2 B' L
B F D L2 R2 B' L
B F D L2 B' L R2
B F D L2 B' R2 L
B F D R2 L2 B' L
F B D L2 R2 B' L
F B D L2 B' L R2
F B D L2 B' R2 L
F B D R2 L2 B' L
F B' L2 D R2 B' L
F B' L2 D B' L R2
F B' L2 D B' R2 L
B' F' R2 U' F2 B L
B' F' R2 U' B L F2
B' F' R2 U' B F2 L
F' B' R2 U' F2 B L
F' B' R2 U' B L F2
F' B' R2 U' B F2 L
B2 F' R2 U' F2 B L
B2 F' R2 U' B L F2
B2 F' R2 U' B F2 L
B F' R2 U' F2 B L
B F' R2 U' B L F2
B F' R2 U' B F2 L
D B' F L D R2 B2
D B' F L D B2 R2
D B' F D L R2 B2
D B' F D L B2 R2
D B' F D R2 L B2
D B' F' R2 U' L F2
D B' F' R2 U' F2 L
F B' D L2 R2 B' L
F B' D L2 B' L R2
F B' D L2 B' R2 L
F B' D R2 L2 B' L
F B2 L2 D R2 B' L
F B2 L2 D B' L R2
F B2 L2 D B' R2 L
F' B2 R2 U' F2 B L
F' B2 R2 U' B L F2
F' B2 R2 U' B F2 L
D2 B2 D F L' D R2
D2 B2 D F D L' R2
D2 B2 D F D R2 L'
F B2 D L2 R2 B' L
F B2 D L2 B' L R2
F B2 D L2 B' R2 L
F B2 D R2 L2 B' L
