R' L' B D L2
L' R' B D L2
R' L U' F U B
R' L B U' F U
R' L' U B' U' B2
L' R' U B' U' B2
L R' U' F U B
R' L' D B D L2
L' R' D B D L2
L' R' D' B D L2
R' L' D' B D L2
L' R' D2 B D L2
L2 R' D' B' L B2
R' L' D2 B D L2
L' R' B L D L2
L' R' B L' D L2
R' L' B L D L2
L' R' B L2 D L2
R' L' B L' D L2
R' L' B L2 D L2
L' R' B U B2 U'
L' R' B D L2 D
L' R' B D L2 D'
L' R' B D L2 D2
R' L' B U B2 U'
R' L' B D L2 D
R' L' B D L2 D'
R' L' B D L2 D2
L R' B U' F U
L2 R' B2 D' B' L
R' L2 D' B' L B2
R' L2 B2 D' B' L
R' U B' U' B2 L
R' U B2 U' B' L
R' U' F' U L' B
R' U' F' U B L'
L U' F U R' B
R' D L' B D L2
F' U R' F B L
F' U R' B F L
F2 U R' F2 B L
F2 U R' B L F2
F2 U R' B F2 L
F2 U R' B F2 L
R' D' L' B D L2
F' U F R' B L
F2 U F2 R' B L
F U F' R' B L
R' D2 L' B D L2
F U' F' L' R' B
F U' F' R' L' B
F U' F' R' B L'
L F U F' R' B
U' F' U L' R' B
U' F' U R' L' B
U' F' U R' B L'
R' B L U' F U
R' B L' U B' U'
R' B U B U' L
R' B U' F' U L'
L2 R' D' B' L B2 D'
L2 R' D' B' L B2 D2
L2 R' D' B' L' B2 L2
L2 R' D' B' L2 B2 L'
R' L' D2 U B' U' B2
L R' D2 L2 B D L2
L' R' D2 U B' U' B2
R2 L' D2 R B D L2
R' L' D2 B L D L2
R' L' D2 B L' D L2
L R' D2 U' F U B
R' L' D2 B L2 D L2
R' L' D2 B U B2 U'
R' L' D2 B D L2 D
R' L' D2 B D L2 D'
R' L' D2 B D L2 D2
L' R' D2 B L D L2
L' R' D2 B L' D L2
L' R' D2 B L2 D L2
L' R' D2 B U B2 U'
L' R' D2 B D L2 D
L' R' D2 B D L2 D'
L' R' D2 B D L2 D2
L R' D2 B U' F U
L2 R' D2 B2 D B' L
R' L' F B D L2 F'
R' L' F B D F' L2
L' R' F B D L2 F'
L' R' F B D F' L2
R' L' F' B D F L2
L' R' F' B D F L2
L2 R' F' D F L' B
L2 R' F' D F B L'
L2 R' F' D B F L'
L R' F' D' F L2 B
L R' F' D' F B L2
L R' F' D' B F L2
L2 R' F' B D F L'
L R' F' B D' F L2
D' L' D R' B D L2
R' L' B L U B2 U'
R' L' B L D L2 D
R' L' B L D L2 D'
R' L' B L D L2 D2
L' R' B L U B2 U'
L' R' B L D L2 D
L' R' B L D L2 D'
L' R' B L D L2 D2
R' L' B L' U B2 U'
R' L' B L' D L2 D
R' L' B L' D L2 D'
R' L' B L' D L2 D2
L' R' B L' U B2 U'
R' L' B L2 U B2 U'
L' R' B L' D L2 D
L' R' B L' D L2 D'
L' R' B L' D L2 D2
R' L' B L2 D L2 D
R' L' B L2 D L2 D'
R' L' B L2 D L2 D2
L' R' B L2 U B2 U'
L' R' B L2 D L2 D
L' R' B L2 D L2 D'
L' R' B L2 D L2 D2
R' L' B R D L2 R'
R' L' B R D R' L2
L' R' B R D L2 R'
L' R' B R D R' L2
R' L' B R' D L2 R
R' L' B R' D L2 R
R' L' B R' D R L2
L2 R' B L U B' U'
L' R' B R' D L2 R
L' R' B R' D R L2
L2 R' B L' U' F U
R' L' B U B2 U' D
R' L' B U B2 U' D'
R' L' B U B2 U' D2
R' L' B U B2 D U'
R' L' B U B2 D' U'
R' L' B U B2 D2 U'
L R' B L2 U B' U'
R' L' B U' D2 F2 U
L' R' B U B2 U' D
L' R' B U B2 U' D'
L' R' B U B2 U' D2
L' R' B U B2 D U'
L' R' B U B2 D' U'
L' R' B U B2 D2 U'
R2 L' B R D L2 B
R2 L' B R D B L2
L' R' B U' D2 F2 U
R' L' B U2 D' R2 U2
R' L' B D L D L
R' L' B D L D' L
R' L' B D L D2 L
R' L' B D L' D L'
R' L' B D L' D' L'
R' L' B D L' D2 L'
L' R' B U2 D' R2 U2
R' L' B D F L2 F'
R' L' B D F2 L2 F2
R' L' B D B' L2 B
L' R' B D L D L
L' R' B D L D' L
L' R' B D L D2 L
R' L' B D B2 L2 B2
L' R' B D L' D L'
L' R' B D L' D' L'
L' R' B D L' D2 L'
R' L' B D' L D2 L2
R' L' B D' L' D2 L2
R' L' B D' L2 D2 L2
L' R' B D F L2 F'
R' L' B D' U2 R2 U2
L' R' B D F2 L2 F2
L' R' B D B' L2 B
L' R' B D B2 L2 B2
L' R' B D' L D2 L2
L' R' B D' L' D2 L2
D L' D' R' B D L2
R' L' B D2 L D' L2
L' R' B D' L2 D2 L2
R' L' B D2 L' D' L2
R' L' B D2 L2 D' L2
L' R' B D' U2 R2 U2
R' L' B D2 U' F2 U
L' R' B D2 L D' L2
L' R' B D2 L' D' L2
L' R' B D2 L2 D' L2
R L' B R2 D L2 B
R L' B R2 D B L2
L' R' B D2 U' F2 U
L R' B U' D F U
L R' B U' D' F U
L R' B U' D2 F U
R' L' B F D L2 F'
L R' B U' F U D
L R' B U' F U D'
L R' B U' F U D2
L R' B U' F D U
L R' B U' F D' U
L R' B U' F D2 U
R' L' B F D F' L2
L' R' B F D L2 F'
L' R' B F D F' L2
R' L' B F' D F L2
R2 L' B D L2 R B
R2 L' B D R L2 B
R2 L' B D R B L2
L2 R' B D F L' F'
L' R' B F' D F L2
L R' B D U' F U
L2 R' B D' B' L B
L R' B D' U' F U
R' L' B' L B2 D L2
L' R' B' L B2 D L2
L R' B D2 U' F U
R' L' B' L' B2 D L2
L' R' B' L' B2 D L2
R' L' B' L2 B2 D L2
L' R' B' L2 B2 D L2
L2 R' B F' D F L'
L R' B F' D' F L2
L R' B' U' F U B2
R' L' B2 U B U' B2
L' R' B2 U B U' B2
R' L' B2 D B' D L2
L' R' B2 D B' D L2
R' L' B2 D' B' D L2
L' R' B2 D' B' D L2
R' L' B2 D2 B' D L2
L' R' B2 D2 B' D L2
L R' B2 U' F U B'
L2 R' B2 D' B' L D
L2 R' B2 D' B' L D'
L2 R' B2 D' B' L D2
L2 R' B2 D' B' D L
L2 R' B2 D' B' D' L
L2 R' B2 D' B' D2 L
U' L' F' U L' R' B
U' L' F' U R' L' B
U' L' F' U R' B L'
F L' F' R' B D L2
L' R2 U B' U' R B
R' L2 U' L' F U B
R' L2 U' L2 U B L
F2 L' F2 R' B D L2
B' L' B R' D L2 B
B' L' B R' D B L2
D2 L' B D L2 B' R'
L' R2 D R B D L2
R' L2 D F L' F' B
R' L2 D F L' B F'
R' L2 D F B L' F'
R' L2 D B F L' F'
R' L2 D B2 D2 B' L
R' L2 D' L B' L B2
R' L2 D' L' B' L B2
R' L2 D' L2 B' L B2
L' R2 D' R B D L2
L2 R2 D' R B' L B2
R2 L2 D' R B' L B2
R' L2 D' B U2 R' U2
R' L2 D' B' L B2 D
R' L2 D' B' L B2 D'
R' L2 D' B' L B2 D2
R' L2 D' B' L' B2 L2
R' L2 D' B' L2 B2 L'
L2 R2 D' B' L R B
L2 R2 D' B' R L B
R2 L2 D' B' L R B
R2 L2 D' B' R L B
L' R2 D2 R B D L2
L2 R2 D' B2 R B L
R2 L2 D' B2 R B L
R' L2 D2 B2 D B' L
D2 L2 R' D' L' B' L
D' L2 R' D' L B' L
D' L2 R' D' B' L B'
U L2 R' D F2 B L
U L2 R' D B L F2
U L2 R' D B F2 L
U L2 R' B D L F2
U L2 R' B D F2 L
R' L2 F' D F L' B
R' L2 F' D F B L'
R' L2 F' D B F L'
R' L2 F' B D F L'
R' L2 B L U B' U'
R' L2 B L' U' F U
L' R2 B R D L2 B
L' R2 B R D B L2
R' L2 B D F L' F'
L' R2 B D L2 R B
L' R2 B D R L2 B
L' R2 B D R B L2
R' L2 B D' B' L B
R' L2 B F' D F L'
D' L2 D' L R' B' L
D2 L2 D' L' R' B' L
R' L2 B2 D' B' L D
R' L2 B2 D' B' L D'
R' L2 B2 D' B' L D2
R' L2 B2 D' B' D L
R' L2 B2 D' B' D' L
R' L2 B2 D' B' D2 L
D2 L2 D' R' L' B' L
D' L2 D' R' L B' L
D' L2 D' R' B' L B'
D L2 D' R' B' L B2
U' L2 F' U L' R' B
U' L2 F' U R' L' B
U' L2 F' U R' B L'
L' U R B' U' R2 B
R' U D B' U' B2 L
R' U D B2 U' B' L
R' U D' B' U' B2 L
R' U D' B2 U' B' L
R' U D2 B' U' B2 L
R' U D2 B2 U' B' L
F' R U R2 F B L
F' R U R2 B F L
F2 R U R2 F2 B L
F2 R U R2 B L F2
F2 R U R2 B F2 L
U2 R U' B U' R2 B
R2 U B U' L R B
R2 U B U' R L B
R U B U' L R2 B
R U B U' R2 L B
L' U B' R' U' B R'
R' U B' U R' U2 B2
R' U B' U' L B2 L
R' U B' U' L' B2 L
R' U B' U' L2 B2 L
R' U B' U' B2 L D
R' U B' U' B2 L D'
R' U B' U' B2 L D2
R' U B' U' B2 D L
R' U B' U' B2 D' L
R' U B' U' B2 D2 L
L' U B' U' R' B R'
L' U B' U' B R' B
R' U B2 R U' B' L
R' U B2 R' U' B' L
R' U B2 R2 U' B' L
R' U B2 U' B' L D
R' U B2 U' B' L D'
R' U B2 U' B' L D2
R' U B2 U' B' D L
R' U B2 U' B' D' L
R' U B2 U' B' D2 L
L' U' L U R' B L
R' U' L F' U L' B
R' U' L F' U B L'
R' U' L' F' U L' B
R' U' L' F' U B L'
L U' L' U R' B L
L2 U' L' F U R' B
L2 U' L2 U R' B L
R' U' L2 F' U L' B
R' U' L2 F' U B L'
L' U' L2 F U R' B
U2 R F' U' B U' R2
U R B U' L R2 B
U R B U' R2 L B
R' U' D F' U L' B
R' U' D F' U B L'
R' U' D' F' U L' B
R' U' D' F' U B L'
D2 R' L U' F U B'
D' R' L U' F L' U
L U' D' F L' U R'
R' U' D2 F' U L' B
R' U' D2 F' U B L'
D2 R' L B' U' F U
D2 R' L' B D L2 B'
B' R' L' B R' D L2
B' R' L' B D L2 R'
B' R' L' B D R' L2
U R' L B L D F2
L U' F L U R' B
F2 R' L' F2 B D L2
L U' F L' U R' B
R' U' F' L U L2 B
R' U' F' L U B L2
F2 R' L' B F2 D L2
D2 R' L2 D' L' B' L
L U' F L2 U R' B
D' R' L2 D' L B' L
D' R' L2 D' B' L B'
R' U' F' L2 U L B
L U' F U R' D B
L U' F U R' D' B
L U' F U R' D2 B
L U' F U R' B D
L U' F U R' B D'
L U' F U R' B D2
R' U' F' U L B L2
R' U' F' U L' D B
R' U' F' U L' D' B
R' U' F' U L' D2 B
R' U' F' U L' B D
R' U' F' U L' B D'
R' U' F' U L' B D2
R' U' F' U D L' B
R' U' F' U D B L'
R' U' F' U D' L' B
R' U' F' U D' B L'
R' U' F' U D2 L' B
R' U' F' U D2 B L'
R' U' F' U B L' D
R' U' F' U B L' D'
R' U' F' U B L' D2
R' U' F' U B D L'
R' U' F' U B D' L'
R' U' F' U B D2 L'
R' U' F' U B' L' B2
R' U' F' D U L' B
R' U' F' D U B L'
R' U' F' D' U L' B
R' U' F' D' U B L'
R' U' F' D2 U L' B
R' U' F' D2 U B L'
U R' L2 D F2 B L
U R' L2 D B L F2
U R' L2 D B F2 L
U R' L2 B D L F2
D2 R' U B U' L B'
U R' L2 B D F2 L
D R' U B R' U' L
F' R' F L' B D L2
U2 R' F D' B L2 F
U2 R' F B D' L2 F
F2 R' F2 L' B D L2
R' U2 R' U F' L' U
L' U2 R' B D L2 F
U2 R' B L2 F D' L2
R' U2 R2 D' F' R U2
U R' B L U L' U'
U R' B L2 D L' F2
U2 R' B F D' L2 F
R' D L U' F U B
R' D L B U' F U
R' D L' U B' U' B2
R' D L' D B D L2
R' D L' D' B D L2
R' D L' D2 B D L2
R' D L' B L D L2
R' D L' B L' D L2
R' D L' B L2 D L2
R' D L' B U B2 U'
R' D L' B D L2 D
R' D L' B D L2 D'
R' D L' B D L2 D2
R2 D L' R B D L2
R' D L2 D' B' L B2
R' D L2 B2 D' B' L
R2 D R L' B D L2
R' D U B' U' B2 L
R' D U B2 U' B' L
R' D U' F' U L' B
R' D U' F' U B L'
F2 U L R' F2 B L
F2 U L R' B L F2
F2 U L R' B F2 L
F2 U L F2 R' B L
F' U L' R' B L F
F2 U L' R' F2 B L
F2 U L' R' B L F2
F2 U L' R' B F2 L
F U L F' R' B L
F2 U L' F2 R' B L
F2 U L2 R' F2 B L
F2 U L2 R' B L F2
F2 U L2 R' B F2 L
F U L' F' R' B L
F2 U L2 F2 R' B L
R' D B L U' F U
F U L2 F' R' B L
R' D B L' U B' U'
F' U R' L' B L F
R' D B U B U' L
R' D B U' F' U L'
F2 U R' L F2 B L
F2 U R' L B L F2
F2 U R' L B F2 L
F2 U R' L' F2 B L
F2 U R' L' B L F2
F2 U R' L' B F2 L
F' U R' D F B L
F' U R' D B F L
F2 U R' L2 F2 B L
F2 U R' L2 B L F2
F2 U R' L2 B F2 L
F' U R' D' F B L
F' U R' D' B F L
F' U R' D2 F B L
F' U R' D2 B F L
F' U R' F L B L
F' U R' F L' B L
F' U R' F L2 B L
F' U R' F D B L
F' U R' F D' B L
F' U R' F D2 B L
F' U R' F B L D
F' U R' F B L D'
F' U R' F B L D2
F' U R' F B D L
F' U R' F B D' L
F' U R' F B D2 L
F' U R' F' B L F2
F' U R' F2 B L F'
F' U R' B D F L
F' U R' B D' F L
F' U R' B D2 F L
F' U R' B F L D
F' U R' B F L D'
F' U R' B F L D2
F' U R' B F D L
F' U R' B F D' L
F' U R' B F D2 L
F' U R' B F' L F2
F' U R' B F2 L F'
F2 U R' F' B L F'
F2 U R' F2 L B L
F2 U R' F2 L' B L
F2 U R' F2 L2 B L
F2 U R' F2 D B L
F2 U R' F2 D' B L
F2 U R' F2 D2 B L
F2 U R' F2 B L D
F2 U R' F2 B L D'
F2 U R' F2 B L D2
F2 U R' F2 B D L
F2 U R' F2 B D' L
F2 U R' F2 B D2 L
F2 U R' B L F2 D
F2 U R' B L F2 D'
F2 U R' B L F2 D2
F2 U R' B L' F2 L2
F2 U R' B F' L F'
F2 U R' B F2 L D
F2 U R' B F2 L D'
F2 U R' B F2 L D2
F2 U R' B F2 D L
F2 U R' B F2 D' L
F2 U R' B F2 D2 L
R' D' L U' F U B
R' D' L B U' F U
R' D' L' U B' U' B2
R' D' L' D B D L2
R' D' L' D' B D L2
R' D' L' D2 B D L2
F' U F L R' B L
R' D' L' B L D L2
R' D' L' B L' D L2
R' D' L' B L2 D L2
F' U F L' R' B L
R' D' L' B U B2 U'
R' D' L' B D L2 D
R' D' L' B D L2 D'
R' D' L' B D L2 D2
F' U F L2 R' B L
F' U F R' L B L
F' U F R' L' B L
F' U F R' L2 B L
F' U F R' D B L
R2 D' L' R B D L2
F' U F R' D' B L
F' U F R' D2 B L
F' U F R' B L D
F' U F R' B L D'
F' U F R' B L D2
F' U F R' B D L
F' U F R' B D' L
F' U F R' B D2 L
F2 U F R' F B L
F2 U F R' B F L
R' D' L2 D' B' L B2
R' D' L2 B2 D' B' L
F' U F' R' F2 B L
F' U F' R' B L F2
F' U F' R' B F2 L
F U F R' F2 B L
F U F R' B L F2
F U F R' B F2 L
F U F' L R' B L
F2 U F2 L R' B L
F U F' L' R' B L
R2 D' R L' B D L2
F2 U F2 L' R' B L
F U F' L2 R' B L
F2 U F2 L2 R' B L
F U F' R' L B L
F U F' R' L' B L
F U F' R' L2 B L
F U F' R' D B L
F U F' R' D' B L
F U F' R' D2 B L
F U F' R' B L D
F U F' R' B L D'
F U F' R' B L D2
F U F' R' B D L
F U F' R' B D' L
F U F' R' B D2 L
F2 U F2 R' L B L
F2 U F2 R' L' B L
F2 U F2 R' L2 B L
F2 U F2 R' D B L
F2 U F2 R' D' B L
F2 U F2 R' D2 B L
F2 U F2 R' B L D
F2 U F2 R' B L D'
F2 U F2 R' B L D2
F2 U F2 R' B D L
F2 U F2 R' B D' L
F2 U F2 R' B D2 L
B' U B U' L R' B
B' U B U' R' L B
F U F2 R' F B L
F U F2 R' B F L
L2 D' R' B' D' L B'
L D' R' U' F L' U
R' D' U B' U' B2 L
R' D' U B2 U' B' L
R' D' U' F' U L' B
R' D' U' F' U B L'
L D' U' F L' U R'
F U' L F' L' R' B
F U' L F' R' L' B
F U' L F' R' B L'
L D' F L' U F' R'
F U' L' F' L' R' B
F U' L' F' R' L' B
F U' L' F' R' B L'
R' D' B L U' F U
R' D' B L' U B' U'
F U' L2 F' L' R' B
F U' L2 F' R' L' B
F U' L2 F' R' B L'
R' D' B U B U' L
R' D' B U' F' U L'
F' U' R' F' L' F2 B
F' U' R' F' L' B F2
F' U' R' F' B L' F2
F' U' R' B F' L' F2
F2 U' R' F' L' F' B
F2 U' R' F' L' B F'
F2 U' R' F' B L' F'
F2 U' R' B F' L' F'
R' D2 L U' F U B
R' D2 L B U' F U
L2 D2 L R' B' D L2
L2 D2 L D R' B' L
R' D2 L' U B' U' B2
R' D2 L' D B D L2
R' D2 L' D' B D L2
R' D2 L' D2 B D L2
R' D2 L' B L D L2
R' D2 L' B L' D L2
R' D2 L' B L2 D L2
R' D2 L' B U B2 U'
R' D2 L' B D L2 D
R' D2 L' B D L2 D'
R' D2 L' B D L2 D2
L D2 L R' D' B' L
R2 D2 L' R B D L2
F' U' F R' D2 L2 B
F' U' F R' D2 B L2
F' U' F R' B D2 L2
L D2 L D' R' B' L
R' D2 L2 D' B' L B2
F' U' F' L' R' F2 B
F' U' F' L' R' B F2
F' U' F' L' F2 R' B
R' D2 L2 B2 D' B' L
F' U' F' R' L' F2 B
F' U' F' R' L' B F2
F' U' F' R' B L' F2
F2 U' F' L' F' R' B
R2 D2 R L' B D L2
F U' F' L R' B L2
F U' F' L' R' D B
F U' F' L' R' D' B
F U' F' L' R' D2 B
F U' F' L' R' B D
F U' F' L' R' B D'
F U' F' L' R' B D2
F U' F' R' L B L2
F U' F' R' L' D B
F U' F' R' L' D' B
F U' F' R' L' D2 B
F U' F' R' L' B D
F U' F' R' L' B D'
F U' F' R' L' B D2
F U' F' R' D L' B
F U' F' R' D B L'
F U' F' R' D' L' B
F U' F' R' D' B L'
F U' F' R' D2 L' B
F U' F' R' D2 B L'
F U' F' R' B L' D
F U' F' R' B L' D'
F U' F' R' B L' D2
F U' F' R' B D L'
F U' F' R' B D' L'
F U' F' R' B D2 L'
F U' F' R' B' L' B2
L2 D2 R' L B' D L2
F U' F2 R' F L' B
F U' F2 R' F B L'
F U' F2 R' B F L'
L D2 R' L D' B' L
R' D2 U B' U' B2 L
R' D2 U B2 U' B' L
R' D2 U' F' U L' B
R' D2 U' F' U B L'
R' D2 B L U' F U
R' D2 B L' U B' U'
R' D2 B U B U' L
R' D2 B U' F' U L'
F' U2 R' F D' L2 B
F' U2 R' F D' B L2
F' U2 R' F B D' L2
F' U2 R' B F D' L2
R' F L F' D' L2 B
R' F L F' D' B L2
R' F L F' B D' L2
R' F L B F' D' L2
R' F L' F' B D L2
R' F L' B D L2 F'
R' F L' B D F' L2
R' F L' B F' D L2
L F L U F' R' B
L F L' U F' R' B
L F L2 U F' R' B
U' F U R' D2 L2 B
U' F U R' D2 B L2
U' F U R' B D2 L2
U' F U' R U2 R2 B
U' F U' R F' U2 R2
L F U F R' F2 B
L F U F R' B F2
L F U F' R' D B
L F U F' R' D' B
L F U F' R' D2 B
L F U F' R' B D
L F U F' R' B D'
L F U F' R' B D2
L F U F2 R' F B
L F U F2 R' B F
R F U F' R2 B L
R F U' F' L' R2 B
R F U' F' R2 L' B
R F U' F' R2 B L'
R' F B L F' D' L2
U' F' L U L2 R' B
U' F' L U R' L2 B
U' F' L U R' B L2
U' F' L2 U L R' B
U' F' L2 U R' L B
L' F' R' F B D L2
L' F' R' B D F L2
L' F' R' B F D L2
L2 F' R' D F L' B
L2 F' R' D F B L'
L2 F' R' D B F L'
L2 F' R' B D F L'
U' F' U L R' B L2
U' F' U L' R' D B
U' F' U L' R' D' B
U' F' U L' R' D2 B
U' F' U L' R' B D
U' F' U L' R' B D'
U' F' U L' R' B D2
U' F' U R' L B L2
U' F' U R' L' D B
U' F' U R' L' D' B
U' F' U R' L' D2 B
U' F' U R' L' B D
U' F' U R' L' B D'
U' F' U R' L' B D2
U' F' U R' D L' B
U' F' U R' D B L'
U' F' U R' D' L' B
U' F' U R' D' B L'
U' F' U R' D2 L' B
U' F' U R' D2 B L'
U' F' U R' B L' D
U' F' U R' B L' D'
U' F' U R' B L' D2
U' F' U R' B D L'
U' F' U R' B D' L'
U' F' U R' B D2 L'
U' F' U R' B' L' B2
L F' R' D' F L2 B
L F' R' D' F B L2
L F' R' D' B F L2
L F' R' B D' F L2
R F' U2 R2 D' F L'
R' F2 L' F2 B D L2
R' F2 L' B F2 D L2
L' F2 R' F2 B D L2
L' F2 R' B F2 D L2
R F2 U F2 R2 B L
R' B L U' D F U
R' B L U' D' F U
R' B L U' D2 F U
R' B L U' F U D
R' B L U' F U D'
R' B L U' F U D2
R' B L U' F D U
R' B L U' F D' U
R' B L U' F D2 U
R' B L D U' F U
R' B L D' U' F U
R' B L D2 U' F U
R' B L F' D' F L2
R' B L' U D B' U'
R' B L' U D' B' U'
R' B L' U D2 B' U'
R' B L' U B' U' D
R' B L' U B' U' D'
R' B L' U B' U' D2
R' B L' U B' D U'
R' B L' U B' D' U'
R' B L' U B' D2 U'
R' B L' D U B' U'
R' B L' D' U B' U'
R' B L' D2 U B' U'
R' B L' B D B' L2
R2 B L' R B D L2
R' B L2 D F L' F'
R' B L2 D' B' L B
R' B L2 F' D F L'
R' B L2 B D' B' L
R B L' R2 B D L2
R2 B R L' B D L2
R' B U D B U' L
R' B U D' B U' L
R' B U D2 B U' L
R' B U B U' L D
R' B U B U' L D'
R' B U B U' L D2
R' B U B U' D L
R' B U B U' D' L
R' B U B U' D2 L
R' B U B D U' L
R' B U B D' U' L
R' B U B D2 U' L
R' B U B' U R' U2
R' B U' D F' U L'
R' B U' D' F' U L'
R' B U' D2 F' U L'
R' B U' F U' R U2
R' B U' F' U L' D
R' B U' F' U L' D'
R' B U' F' U L' D2
R' B U' F' U D L'
R' B U' F' U D' L'
R' B U' F' U D2 L'
R' B U' F' D U L'
R' B U' F' D' U L'
R' B U' F' D2 U L'
R B R2 L' B D L2
R' B U2 R U' B U'
R' B U2 R' U F' U
R' B D L U' F U
R' B D L' U B' U'
R' B D U B U' L
