F2 L F L U F2
F L F L U F'
L2 U D L2 F L'
L2 U' D' B' U2 L
L2 D U L2 F L'
D' U F B L B
D' U B F L B
D' U B2 D2 F L'
L2 D' U' B' U2 L
U D' F B L B
U D' B F L B
U D' B2 D2 F L'
L F L U' B' U2
U F D' B L B
U F B D' L B2
U F B' D' B2 L
U B D' F L B2
U B F D' L B2
U B' D' F B2 L
U B' D' B2 F L
U B' F D' B2 L
L F L U L2 F L2
L F L U' D B' U2
L F L U' D' B' U2
L F L U' D2 B' U2
L F L U' B' U2 D
L F L U' B' U2 D'
L F L U' B' U2 D2
L F L U' B' D U2
L F L U' B' D' U2
L F L U' B' D2 U2
L F L U2 L2 U' F
L F L D U' B' U2
L F L D' U' B' U2
L F L D2 U' B' U2
U F L B D L B'
R F L F L U F'
L F L' U D' F B2
L F L' U D' B2 F
L F L' U F D' B2
U' F R D F2 U2 F2
L F L' D' U F B2
L F L' D' U B2 F
U F L' B L D' B2
L F R L U' B' U2
L F R' L U' B' U2
L F R2 L U' B' U2
L2 F U D L2 F L'
L2 F U' D' B' U2 L
U F U' L F L U
L' F U2 B' R' U' F'
U' F D R F2 U2 F2
U' F D F2 U2 L' F2
L2 F D U L2 F L'
L2 F D' U' B' U2 L
U F D B L D2 B2
U F D B D2 L B2
U F D B' D2 B2 L
U F D' L B L B
U F D' L' B L B
U F D' L2 B L B
U F D' B L D B
U F D' B L D' B
U F D' B L D2 B
U F D' B L B D
U F D' B L B D'
U F D' B L B D2
U F D' B L' B L2
U F D' B L2 B L'
U F D' B D L B
U F D' B D' L B
U F D' B D2 L B
L F D2 L R U F'
L F D2 R L U F'
U F D2 B L D B2
U F D2 B D L B2
U F D2 B' D B2 L
U F B L U' L U
U F B U' L2 U L'
U F B D L D2 B2
U F B D' L B2 D
U F B D' L B2 D'
U F B D' L B2 D2
U F B D' L' B2 L2
U F B D' L2 B2 L'
U F B D2 L D B2
D' F' L F U F B2
D' F' L F U B2 F
U F B' D' L B2 L
U F B' D' L' B2 L
U F B' D' L2 B2 L
U F B' D' B2 L D
U F B' D' B2 L D'
U F B' D' B2 L D2
U F B' D' B2 D L
U F B' D' B2 D' L
U F B' D' B2 D2 L
F2 D U' F2 U2 F L'
L F' L U D' L2 F
L F' L D' U L2 F
L F' L F2 U' B' U2
L' F' L2 F L' U F
F' D F' R2 U B L
L F' L' F2 L2 U F'
U' F' U L2 U L F2
U' F' U L2 U F2 L
D F' R2 U F2 B L
D F' R2 U B L F2
D F' R2 U B F2 L
D' F' U F2 B L B
D' F' U B L F2 B
D' F' U B L B F2
D' F' U B F2 L B
L2 F' U D L2 F L'
L2 F' U' D' B' U2 L
F2 D' L F U F2 B2
F2 D' L F U B2 F2
D F' U' F' U2 L' F'
F D' L F U F' B2
F D' L F U B2 F'
L2 F' D U L2 F L'
D F' D R2 U B L
L2 F' D' U' B' U2 L
F2 D' U F' B L B
F2 D' U B L F' B
F2 D' U B L B F'
F2 D' U B F' L B
R' F2 L F L U F2
D' F2 L F U F2 B2
D' F2 L F U B2 F2
B2 D' U' F R2 B2 L
F2 D' U' F' L' B2 R'
R2 F2 L F L U F2
L F2 L F' U' B' U2
R F2 L F L U F2
L F2 L' F' L2 U F2
B' D' B U F B L
B' D' B U B F L
D' F2 U F' B L B
D' F2 U B L F' B
D' F2 U B L B F'
D' F2 U B F' L B
L2 F2 U D L2 F L'
D' F2 U' F' L' B2 R'
L2 F2 U' D' B' U2 L
L2 F2 D U L2 F L'
L F2 D L F' R U
L2 F2 D' U' B' U2 L
L F2 D F' L R U
L F2 D F' R L U
U F2 D' F' B L B
U F2 D' B L F' B
U F2 D' B L B F'
U F2 D' B F' L B
B2 D2 R2 F2 U' F' L'
U F2 B D' L F' B2
U F2 B D' L B2 F'
U F2 B D' F' L B2
U F2 B' D' F' B2 L
U F2 B' D' B2 L F'
U F2 B' D' B2 F' L
L2 B D' R2 B' U L
U B D F L2 B' L'
L2 B D' B' R2 U L
U B D' F L B2 D
U B D' F L B2 D'
U B D' F L B2 D2
U B D' F L' B2 L2
U B D' F L2 B2 L'
U B D' F' L F2 B2
U B D' F' L B2 F2
U B D' F2 L F' B2
U B D' F2 L B2 F'
U B D2 F L D B2
U B D2 F D L B2
U B F L U' L U
U B F U' L2 U L'
U B F D L D2 B2
U B F D' L B2 D
U B F D' L B2 D'
U B F D' L B2 D2
U B F D' L' B2 L2
U B F D' L2 B2 L'
U B F D2 L D B2
U B F2 D' L F' B2
U B F2 D' L B2 F'
U B F2 D' F' L B2
U B' D' L' B2 L F
U B' D' F L B2 L
U B' D' F L' B2 L
U B' D' F L2 B2 L
U B' D' F B2 L D
U B' D' F B2 L D'
U B' D' F B2 L D2
U B' D' F B2 D L
U B' D' F B2 D' L
U B' D' F B2 D2 L
U B' D' F' B2 L F2
U B' D' F2 B2 L F'
U B' D' B2 D F L
U B' D' B2 D' F L
U B' D' B2 D2 F L
U B' D' B2 F L D
U B' D' B2 F L D'
U B' D' B2 F L D2
U B' D' B2 F D L
U B' D' B2 F D' L
U B' D' B2 F D2 L
U B' D' B2 F' L F2
U B' D' B2 F2 L F'
U B' D2 F D B2 L
U B' F D' L B2 L
U B' F D' L' B2 L
U B' F D' L2 B2 L
U B' F D' B2 L D
U B' F D' B2 L D'
U B' F D' B2 L D2
U B' F D' B2 D L
U B' F D' B2 D' L
U B' F D' B2 D2 L
U B' F2 D' F' B2 L
U B' F2 D' B2 L F'
U B' F2 D' B2 F' L
U B2 D' B2 D' F L'
U B2 D2 F L' D B2
U B2 D2 F D L' B2
U B2 D2 F D B2 L'
