B2 L D F' R2 U'
B2 L D2 F' U' B2
B2 L F' R2 U' B
B2 L F' U F' U2
F2 U' F B2 L U'
F2 U' B2 F L U'
B2 D L F' R2 U'
B2 D F' L R2 U'
B2 D F' R2 L U'
B2 D2 L F' U' B2
B2 D2 F' L U' B2
B2 F' L R2 U' B
B2 F' L U F' U2
B2 F' R2 L U' B
F' B2 L R2 U' B
F' B2 L U F' U2
F' B2 R2 L U' B
F2 U' B2 F2 L F' U'
R' D2 F2 L B' U B'
F2 U2 F B2 L U' B2
D F R2 F2 L' U' L'
F2 U2 B2 F L U' B2
B2 D L R2 U2 B U
B2 D L D F' U' B2
B2 D L F R2 F2 U'
B2 D L F' R2 U' D
B2 D L F' R2 U' D'
B2 D L F' R2 U' D2
B2 D L F' R2 D U'
B2 D L F' R2 D' U'
B2 D L F' R2 D2 U'
B2 D L F' U' D B2
B2 D L F' D U' B2
B2 D L F2 R2 F U'
B2 D L' F' L2 R2 U'
B2 D L' F' R2 L2 U'
B2 D R2 L U2 B U
F D R' U L2 R' B'
F D R' U R' L2 B'
B2 D F L R2 F2 U'
B2 D F L F2 R2 U'
B2 D F R2 L F2 U'
B2 D F R2 F2 L U'
B2 D F' L R2 U' D
B2 D F' L R2 U' D'
B2 D F' L R2 U' D2
B2 D F' L R2 D U'
B2 D F' L R2 D' U'
B2 D F' L R2 D2 U'
B2 D F' L U' D B2
B2 D F' L D U' B2
B2 D F' R2 L U' D
B2 D F' R2 L U' D'
B2 D F' R2 L U' D2
B2 D F' R2 L D U'
B2 D F' R2 L D' U'
B2 D F' R2 L D2 U'
B2 D F' R2 D L U'
B2 D F' R2 D' L U'
B2 D F' R2 D2 L U'
B2 D F' D L U' B2
B2 D F2 R2 F L U'
B D F' B L R2 U'
B D F' B R2 L U'
B D B L F' R2 U'
D F' R2 U2 R U L2
B D B F' L R2 U'
B D B F' R2 L U'
B2 D' L F' U2 L U
D2 F' U2 F' R' U B2
U' F' B2 L R2 U' B
U' F' B2 L U F' U2
U' F' B2 R2 L U' B
L' F' B2 L R2 U' B
L' F' B2 L U F' U2
L' F' B2 R2 L U' B
U2 F' B2 L R2 U' B
U2 F' B2 L U F' U2
L2 F' B2 L R2 U' B
L2 F' B2 L U F' U2
U2 F' B2 R2 L U' B
L2 F' B2 R2 L U' B
D F' B2 L R2 U' L
D F' B2 R2 L U' L
U F' B2 L R2 U' B
U F' B2 L U F' U2
L F' B2 L R2 U' B
L F' B2 L U F' U2
U F' B2 R2 L U' B
L F' B2 R2 L U' B
D2 F2 L2 R' B' U B'
B2 D' F' L U2 L U
B2 D' F' D' L U' B2
B2 D' F' D2 L R2 U'
B2 D' F' D2 R2 L U'
D2 F2 R' L2 B' U B'
D2 F2 R' U2 F U' B2
D2 F2 R' D L2 B' U
U' F2 U' F B2 L U'
U' F2 U' B2 F L U'
L' F2 U' F B2 L U'
L' F2 U' B2 F L U'
B2 D2 L D' F' R2 U'
U2 F2 U' F B2 L U'
L2 F2 U' F B2 L U'
B2 D2 L F' R U' B2
B2 D2 L F' R' U' B2
B2 D2 L F' R2 U' B2
B2 D2 L F' U' B2 D
B2 D2 L F' U' B2 D'
B2 D2 L F' U' B2 D2
B2 D2 L F' D' R2 U'
L2 F2 U' B2 F L U'
U2 F2 U' B2 F L U'
D2 F2 D L2 R' B' U
D2 F2 D R' L2 B' U
B2 D2 L' F' L2 U' B2
U F2 U' F B2 L U'
L F2 U' F B2 L U'
U F2 U' B2 F L U'
L F2 U' B2 F L U'
B2 D2 F L F2 U' B2
B2 D2 F' L R U' B2
B2 D2 F' L R' U' B2
B2 D2 F' L R2 U' B2
B2 D2 F' L U' B2 D
B2 D2 F' L U' B2 D'
B2 D2 F' L U' B2 D2
B2 D2 F' L D' R2 U'
B2 D2 F' R L U' B2
B2 D2 F' R' L U' B2
B2 D2 F' R2 L U' B2
B2 D2 F' D' L R2 U'
B2 D2 F' D' R2 L U'
B D2 F' B L U' B
B D2 B L F' U' B
B D2 B F' L U' B
B2 F' L R2 U' D B
B2 F' L R2 U' D' B
B2 F' L R2 U' D2 B
B2 F' L R2 U' B D
B2 F' L R2 U' B D'
B2 F' L R2 U' B D2
B2 F' L R2 D U' B
B2 F' L R2 D' U' B
B2 F' L R2 D2 U' B
B2 F' L U D F' U2
B2 F' L U D' F' U2
B2 F' L U D2 F' U2
B2 F' L U F' U2 D
B2 F' L U F' U2 D'
B2 F' L U F' U2 D2
B2 F' L U F' D U2
B2 F' L U F' D' U2
B2 F' L U F' D2 U2
B2 F' L U' R2 B R2
B2 F' L D R2 U' B
B2 F' L D U F' U2
B2 F' L D' R2 U' B
B2 F' L D' U F' U2
B2 F' L D2 R2 U' B
B2 F' L D2 U F' U2
B2 F' R' D2 L U' B'
B2 F' R2 L U' D B
B2 F' R2 L U' D' B
B2 F' R2 L U' D2 B
B2 F' R2 L U' B D
B2 F' R2 L U' B D'
B2 F' R2 L U' B D2
B2 F' R2 L D U' B
B2 F' R2 L D' U' B
B2 F' R2 L D2 U' B
B' F' R2 B' L U' B2
B2 F' R2 D L U' B
B2 F' R2 D' L U' B
B2 F' R2 D2 L U' B
F' B' R2 B' L U' B2
B2 F' U F' U' L U'
F2 B' U' F B' L U'
F2 B' U' B' F L U'
B2 F' D L R2 U' B
B2 F' D L U F' U2
U' B2 L D F' R2 U'
U' B2 L D2 F' U' B2
U' B2 L F' R2 U' B
U' B2 L F' U F' U2
B2 F' D R2 L U' B
L' B2 L D F' R2 U'
L' B2 L D2 F' U' B2
L' B2 L F' R2 U' B
L' B2 L F' U F' U2
B2 F' D' L R2 U' B
B2 F' D' L U F' U2
L2 B2 L D F' R2 U'
U2 B2 L D F' R2 U'
B2 F' D' R2 L U' B
L2 B2 L D2 F' U' B2
U2 B2 L D2 F' U' B2
L2 B2 L F' R2 U' B
L2 B2 L F' U F' U2
U2 B2 L F' R2 U' B
U2 B2 L F' U F' U2
B2 F' D2 L R2 U' B
B2 F' D2 L U F' U2
D B2 L F' R2 U' L
B2 F' D2 R2 L U' B
L B2 L D F' R2 U'
U B2 L D F' R2 U'
L B2 L D2 F' U' B2
U B2 L D2 F' U' B2
F' B2 L R2 U' D B
F' B2 L R2 U' D' B
F' B2 L R2 U' D2 B
F' B2 L R2 U' B D
F' B2 L R2 U' B D'
F' B2 L R2 U' B D2
F' B2 L R2 D U' B
F' B2 L R2 D' U' B
F' B2 L R2 D2 U' B
L B2 L F' R2 U' B
L B2 L F' U F' U2
U B2 L F' R2 U' B
U B2 L F' U F' U2
F' B2 L U D F' U2
F' B2 L U D' F' U2
F' B2 L U D2 F' U2
F' B2 L U F' U2 D
F' B2 L U F' U2 D'
F' B2 L U F' U2 D2
F' B2 L U F' D U2
F' B2 L U F' D' U2
F' B2 L U F' D2 U2
F' B2 L U' R2 B R2
F' B2 L D R2 U' B
F' B2 L D U F' U2
F' B2 L D' R2 U' B
F' B2 L D' U F' U2
F' B2 L D2 R2 U' B
F' B2 L D2 U F' U2
F' B2 R' D2 L U' B'
F' B2 R2 L U' D B
F' B2 R2 L U' D' B
F' B2 R2 L U' D2 B
F' B2 R2 L U' B D
F' B2 R2 L U' B D'
F' B2 R2 L U' B D2
F' B2 R2 L D U' B
F' B2 R2 L D' U' B
F' B2 R2 L D2 U' B
F' B2 R2 D L U' B
F' B2 R2 D' L U' B
F' B2 R2 D2 L U' B
U' B2 D L F' R2 U'
L' B2 D L F' R2 U'
U' B2 D F' L R2 U'
U' B2 D F' R2 L U'
F' B2 U F' U' L U'
L' B2 D F' L R2 U'
L' B2 D F' R2 L U'
L2 B2 D L F' R2 U'
B' F2 U' F B' L U'
U2 B2 D L F' R2 U'
B' F2 U' B' F L U'
L2 B2 D F' L R2 U'
L2 B2 D F' R2 L U'
U2 B2 D F' L R2 U'
U2 B2 D F' R2 L U'
B2 F2 U' F L U' L'
U' B2 D2 L F' U' B2
F2 B2 U' F L U' L'
L' B2 D2 L F' U' B2
U' B2 D2 F' L U' B2
L B2 D L F' R2 U'
U B2 D L F' R2 U'
F' B2 D L R2 U' B
F' B2 D L U F' U2
L' B2 D2 F' L U' B2
L2 B2 D2 L F' U' B2
U2 B2 D2 L F' U' B2
L B2 D F' L R2 U'
L B2 D F' R2 L U'
U B2 D F' L R2 U'
U B2 D F' R2 L U'
F' B2 D R2 L U' B
U' B2 F' L R2 U' B
U' B2 F' L U F' U2
L2 B2 D2 F' L U' B2
U2 B2 D2 F' L U' B2
U' B2 F' R2 L U' B
F' B2 D' L R2 U' B
F' B2 D' L U F' U2
L' B2 F' L R2 U' B
L' B2 F' L U F' U2
F' B2 D' R2 L U' B
L' B2 F' R2 L U' B
L B2 D2 L F' U' B2
U B2 D2 L F' U' B2
L2 B2 F' L R2 U' B
L2 B2 F' L U F' U2
U2 B2 F' L R2 U' B
U2 B2 F' L U F' U2
F' B2 D2 L R2 U' B
F' B2 D2 L U F' U2
L B2 D2 F' L U' B2
L2 B2 F' R2 L U' B
U B2 D2 F' L U' B2
U2 B2 F' R2 L U' B
F' B2 D2 R2 L U' B
D B2 F' L R2 U' L
D B2 F' R2 L U' L
L B2 F' L R2 U' B
L B2 F' L U F' U2
U B2 F' L R2 U' B
U B2 F' L U F' U2
L B2 F' R2 L U' B
U B2 F' R2 L U' B
