D' L U2 R2 F L
D' L U2 F L R2
D' L U2 F R2 L
D' L F L R2 B
D' L F R2 L B
D L' R2 B' L' U2
D L' B' L' R2 U2
D L' B' R2 L' U2
D' L' B' U2 L' R2
D' L' B' U2 R2 L'
L U F2 B2 U F'
U2 R D' L2 R2 F'
U2 R D' R2 L2 F'
U2 R D' R2 F' L2
L U B2 F2 U F'
D' R' U2 L2 R' F'
D' R' U2 R' L2 F'
D' R' U2 R' F' L2
U2 R' D' L2 F' R2
U2 R' D' F' L2 R2
U2 R' D' F' R2 L2
L' U2 D' L2 R2 F
L' U2 D' L2 F R2
L' U2 D' R2 L2 F
L U2 D' R2 F L2
L U2 D' F L2 R2
L U2 D' F R2 L2
D R2 L' B' L' U2
L' D L2 R2 U2 F
L' D R2 L2 U2 F
L D L2 R2 B' U2
L' D R2 B' L2 U2
L D L2 B' R2 U2
L D R2 L2 B' U2
L' D B' L2 R2 U2
L' D B' R2 L2 U2
L' D' L2 F R2 B
B' U F2 B' R' U
L' D' U2 L2 R2 F
L' D' U2 L2 F R2
L' D' U2 R2 L2 F
B' U B' R' F2 U
B' U B' F2 R' U
U2 D' L2 R' F' R'
L D' U2 R2 F L2
L D' U2 F L2 R2
L D' U2 F R2 L2
U2 D' R' L2 F' R'
L D' F L2 R2 B
L D' F R2 L2 B
L D' F R2 B L2
U2 D' R' F' L2 R'
U2 D' R' F' R' L2
L' D' B' U2 L2 R2
L' D' B' U2 R2 L2
D' U2 L2 R' F' R'
D' U2 R' L2 F' R'
D' U2 R' F' L2 R'
D' U2 R' F' R' L2
U F2 B' R' B' U
L' B' U F2 B' U
L' B' U B' F2 U
U B' R' F2 B' U
U B' R' B' F2 U
U B' F2 R' B' U
U B' F2 R' B' U
L U B2 F2 D' U F'
L U B2 F2 D2 U F'
D' R D2 R2 U2 R' F'
U R F2 B' R' B' U
U R B' R' F2 B' U
U R B' R' B' F2 U
U R B' F2 R' B' U
D' R' L U2 R' F L
D' R' L U2 F L R'
D' R' L U2 F R' L
U2 R' L D' L2 F' R2
U2 R' L D' F' L2 R2
U2 R' L D' F' R2 L2
U2 R' L' D' L2 F' R2
L U' D2 F2 B2 U' F'
U2 R' L' D' F' L2 R2
U2 R' L' D' F' R2 L2
L U' D2 B2 F2 U' F'
U2 R' L2 D' L2 F' R2
U2 R' L2 D' F' L2 R2
U2 R' L2 D' F' R2 L2
D R' L2 D2 R' B U2
B' R' U F2 B' R' U
B' R' U B' R' F2 U
B' R' U B' F2 R' U
D' R' U2 L R' F' L
D' R' U2 L2 R' D F'
D' R' U2 L2 R' D' F'
D' R' U2 L2 R' D2 F'
D' R' U2 L2 R' F' D
D' R' U2 L2 R' F' D'
D' R' U2 L2 R' F' D2
D' R' U2 L2 D R' F'
D' R' U2 L2 D' R' F'
D' R' U2 L2 D2 R' F'
D' R' U2 L2 F R' F'
D' R' U2 L2 F' R' F'
D' R' U2 L2 F2 R' F'
U2 R' U' F2 B2 U F
D' R' U2 R' L F' L
D' R' U2 R' L2 D F'
D' R' U2 R' L2 D' F'
D' R' U2 R' L2 D2 F'
D' R' U2 R' L2 F' D
D' R' U2 R' L2 F' D'
D' R' U2 R' L2 F' D2
D' R' U2 R' F L2 F2
D' R' U2 R' F' L2 D
D' R' U2 R' F' L2 D'
D' R' U2 R' F' L2 D2
U2 R' U' B2 F2 U F
D' R' U2 F L2 R' F'
D' R' U2 F R' L2 F'
D' R' U2 F R' F' L2
D' R' U2 F' L2 R' F'
D' R' U2 F' R' L2 F'
D' R' U2 F' R' F' L2
D' R' U2 F2 L2 R' F'
D' R' U2 F2 R' L2 F'
D' R' U2 F2 R' F' L2
U2 R' D F' D2 L2 R2
U2 R' D F' D2 R2 L2
U2 R' D' L F' L R2
U2 R' D' L F' R2 L
U2 R' D' L2 F R2 F2
U2 R' D' L2 F' R2 D
U2 R' D' L2 F' R2 D'
U2 R' D' L2 F' R2 D2
U2 R' D' L2 F2 R2 F
U2 R' D' F L2 R2 F2
U2 R' D' F L2 F2 R2
U2 R' D' F R2 L2 F2
U2 R' D' F R2 F2 L2
U2 R' D' F' L2 R2 D
U2 R' D' F' L2 R2 D'
U2 R' D' F' L2 R2 D2
U2 R' D' F' R2 L2 D
U2 R' D' F' R2 L2 D'
U2 R' D' F' R2 L2 D2
U2 R' D' F2 R2 F L2
L2 U2 L D' L2 R2 F
L2 U2 L D' L2 F R2
L2 U2 L D' R2 L2 F
D R' D2 R' U2 R' F'
L2 U2 L' D' R2 F L2
L2 U2 L' D' F L2 R2
L2 U2 L' D' F R2 L2
L' U2 L2 D' R2 F L2
L' U2 L2 D' F L2 R2
L' U2 L2 D' F R2 L2
R' U2 R D' L2 R2 F'
R' U2 R D' R2 L2 F'
R' U2 R D' R2 F' L2
L U2 L2 D' L2 R2 F
L U2 L2 D' L2 F R2
L U2 L2 D' R2 L2 F
U2 R' F' U' F' B2 U
U2 R' F' U' B2 F' U
L' U2 R D' L2 R2 F
L' U2 R D' L2 F R2
L' U2 R D' R2 L2 F
R2 U2 R D' L2 R2 F'
R2 U2 R D' R2 L2 F'
R2 U2 R D' R2 F' L2
R' U2 R' D' L2 F' R2
R' U2 R' D' F' L2 R2
R' U2 R' D' F' R2 L2
L U2 R D' R2 F L2
L U2 R D' F L2 R2
L U2 R D' F R2 L2
R U2 R D' L2 R2 F'
L' U2 R' D' L2 R2 F
R U2 R D' R2 L2 F'
L' U2 R' D' L2 F R2
R U2 R D' R2 F' L2
L' U2 R' D' R2 L2 F
U2 R' F2 B2 U F B2
U2 R' F2 B2 U B2 F
R2 U2 R' D' L2 F' R2
R2 U2 R' D' F' L2 R2
R2 U2 R' D' F' R2 L2
L U2 R' D' R2 F L2
L U2 R' D' F L2 R2
L U2 R' D' F R2 L2
U R' F2 B' R' B' U
L' U2 R2 D' L2 R2 F
L' U2 R2 D' L2 F R2
R U2 R' D' L2 F' R2
L' U2 R2 D' R2 L2 F
R U2 R' D' F' L2 R2
R U2 R' D' F' R2 L2
L U2 R2 D' R2 F L2
L U2 R2 D' F L2 R2
L U2 R2 D' F R2 L2
D' R' B2 L U2 F L
R' U2 D' L2 R' F' R'
U R' B' R' F2 B' U
R' U2 D' R' L2 F' R'
U R' B' R' B' F2 U
R' U2 D' R' F' L2 R'
R' U2 D' R' F' R' L2
L' U2 D' L2 R' F R'
L' U2 D' L2 R2 D F
L' U2 D' L2 R2 D' F
L' U2 D' L2 R2 D2 F
L' U2 D' L2 R2 F D
L' U2 D' L2 R2 F D'
L' U2 D' L2 R2 F D2
L' U2 D' L2 F R2 D
L' U2 D' L2 F R2 D'
L' U2 D' L2 F R2 D2
L' U2 D' L2 F' R2 F2
L' U2 D' R' L2 F R'
L' U2 D' R2 L2 D F
L' U2 D' R2 L2 D' F
L' U2 D' R2 L2 D2 F
L' U2 D' R2 L2 F D
L' U2 D' R2 L2 F D'
L' U2 D' R2 L2 F D2
L' U2 D' R2 F L2 F
L' U2 D' R2 F' L2 F
L' U2 D' R2 F2 L2 F
D R' B2 L2 U2 L' F
L' U2 D' F L2 R2 F
L' U2 D' F L2 F R2
L' U2 D' F R2 L2 F
L' U2 D' F' L2 R2 F
L' U2 D' F' L2 F R2
L' U2 D' F' R2 L2 F
L U2 D F D2 L2 R2
L U2 D F D2 R2 L2
L' U2 D' F2 L2 R2 F
L' U2 D' F2 L2 F R2
L' U2 D' F2 R2 L2 F
U R' B' F2 R' B' U
R2 U2 D' L2 R' F' R'
R2 U2 D' R' L2 F' R'
R2 U2 D' R' F' L2 R'
R2 U2 D' R' F' R' L2
U2 R' B2 F2 U F B2
U2 R' B2 F2 U B2 F
R U2 D' L2 R' F' R'
L U2 D' R' F L2 R'
L U2 D' R' F R' L2
R U2 D' R' L2 F' R'
L U2 D' R2 F L2 D
L U2 D' R2 F L2 D'
L U2 D' R2 F L2 D2
L U2 D' R2 F' L2 F2
L U2 D' R2 F2 L2 F'
R U2 D' R' F' L2 R'
R U2 D' R' F' R' L2
L U2 D' F L2 R2 D
L U2 D' F L2 R2 D'
L U2 D' F L2 R2 D2
L U2 D' F R2 L2 D
L U2 D' F R2 L2 D'
L U2 D' F R2 L2 D2
L U2 D' F' L2 R2 F2
L U2 D' F' L2 F2 R2
L U2 D' F' R2 L2 F2
L U2 D' F' R2 F2 L2
L U2 D' F2 L2 F' R2
D R2 L B' U2 F R
D R2 L B2 U2 R' F
D R2 L B2 U2 F R'
D R2 L' D B' L' U2
D R2 L' D' B' L' U2
D R2 L' D2 B' L' U2
D R2 L' B L' B2 U2
D R2 L' B' L' U2 D
D R2 L' B' L' U2 D'
D R2 L' B' L' U2 D2
D R2 L' B' L' D U2
D R2 L' B' L' D' U2
D R2 L' B' L' D2 U2
D R2 L' B' D L' U2
D R2 L' B' D' L' U2
D R2 L' B' D2 L' U2
D R2 L' B2 L' B U2
D R2 L2 U' L' U' F
D R2 L2 U2 L' F L
L U2 F U' F B2 U
L U2 F U' B2 F U
B' R2 U F2 B' R' U
B' R2 U B' R' F2 U
B' R2 U B' F2 R' U
L U2 F2 B2 U F' B2
L U2 F2 B2 U B2 F'
D R2 U2 R D2 R2 F'
D R2 U2 R' D2 F' R2
D R2 U2 R' F' D2 R2
D R2 U2 D2 R' F' R'
R' D L' R2 B' L' U2
L U2 B2 F2 U F' B2
L U2 B2 F2 U B2 F'
D R2 D2 L U2 R2 F
D R2 D2 L U2 F R2
D R2 D2 L' B' U2 R2
R' D L' B' L' R2 U2
R' D L' B' R2 L' U2
D R2 D2 U2 R' F' R'
R2 D L' R2 B' L' U2
L' D L2 R2 U2 D F
L' D L2 R2 U2 D' F
L' D L2 R2 U2 D2 F
L' D L2 R2 U2 F D
L' D L2 R2 U2 F D'
L' D L2 R2 U2 F D2
L' D L2 R2 D U2 F
L' D L2 R2 D' U2 F
L' D L2 R2 D2 U2 F
L' D L2 R2 B U2 F
L' D L2 R2 B' U2 F
L' D L2 R2 B2 U2 F
L' D L2 U2 D2 F L2
R D L' R2 B' L' U2
L' D L2 U2 F D2 L2
D' R2 F' L F L B'
R2 D L' B' L' R2 U2
R2 D L' B' R2 L' U2
L' D L2 D2 U2 F L2
L' D L2 B R2 U2 F
L' D L2 B' R2 U2 F
L' D L2 B2 R2 U2 F
R D L' B' L' R2 U2
R D L' B' R2 L' U2
L D L2 R B' R U2
L D L2 R2 D B' U2
L D L2 R2 D' B' U2
