L' F2 U F'
L' R F2 U F'
R' L' F2 U F'
L' R' F2 U F'
R2 L' F2 U F'
R L' F2 U F'
L' R2 F2 U F'
L' U D' F L2
L' D' U F L2
L' F2 U D F'
L' F2 U D' F'
L' F2 U D2 F'
L F2 L2 U F
L' F2 U F' D
L' F2 U F' D'
L' F2 U F' D2
L2 F2 L U F
L' F2 D U F'
L' F2 D' U F'
L' F2 D2 U F'
R L F2 L2 D' U F
R2 L F2 R' L2 U F
L R F2 R' L2 U F
R L F2 L2 D2 U F
L2 R F2 R' L U F
R L F2 R L2 U F
L' R F2 U' B U2 F'
L' R F2 U' B' U2 F'
L' R F2 U' B2 U2 F'
L R F2 R2 L2 U F
L' R F2 U2 L U' F'
R2 L F2 R2 L2 U F
L' R F2 U2 L' U' F'
L' R F2 U2 L2 U' F'
L2 R F2 R2 L U F
R L F2 R' L2 U F
L' R F2 D U F' D
L' R F2 D U F' D'
L' R F2 D U F' D2
U2 L D2 B2 R2 U' F'
R L F2 R2 L2 U F
L' R F2 D' U F' D
L' R F2 D' U F' D'
L' R F2 D' U F' D2
L' R F2 D2 U F' D
L' R F2 D2 U F' D'
L' R F2 D2 U F' D2
L2 R F2 D L U F
L2 R F2 D' L U F
L2 R F2 D2 L U F
U' L F2 L2 U R F
B' L F2 L2 B U F
B2 L F2 L2 B2 U F
R' L' U L2 D' L2 F
L' R' U L2 D' L2 F
R2 L' U L2 D' L2 F
L' R' U D F D2 L2
R' L' U D F D2 L2
R L' U L2 D' L2 F
L' R' U D' F L2 D
L' R' U D' F L2 D'
L' R' U D' F L2 D2
R' L' U D' F L2 D
R' L' U D' F L2 D'
R' L' U D' F L2 D2
L' R' U D' F' L2 F2
R' L' U D' F' L2 F2
L' R' U D' F2 L2 F'
R' L' U D' F2 L2 F'
L' R' U D2 F D L2
R' L' U D2 F D L2
R' L' U F U' F U
L' R' U F U' F U
R2 L' U D F D2 L2
L R' U D' L2 F B2
L R' U D' L2 B2 F
R2 L' U D' F L2 D
R2 L' U D' F L2 D'
R2 L' U D' F L2 D2
R2 L' U D' F' L2 F2
R2 L' U D' F2 L2 F'
R L' U D F D2 L2
R2 L' U D2 F D L2
R L' U D' F L2 D
R L' U D' F L2 D'
R L' U D' F L2 D2
R L' U D' F' L2 F2
R L' U D' F2 L2 F'
R2 L' U F U' F U
R L' U D2 F D L2
R L' U F U' F U
R' L' U' D R2 U2 F
L' R' U' D R2 U2 F
R2 L' U' D R2 U2 F
R L' U' D R2 U2 F
R' L' U2 D2 B2 U' F
L' R' U2 D2 B2 U' F
D2 L' R U D L2 F'
D2 L' R U D F' L2
D2 L' R U F' D L2
D' L' R U D L' F
U L B2 D' B2 L2 F
D2 L' R U2 B2 U' F'
R2 L' U2 D2 B2 U' F
R2 L' U2 D2 B2 U' F
D2 L' R D U L2 F'
D2 L' R D U F' L2
D' L' R D U L' F
R L' U2 D2 B2 U' F
D2 L' R D2 F2 U F
R' L' D U F D2 L2
B2 L' R F2 B2 U F'
L' R' D U F D2 L2
D' L' R' U D L' F
R' L' D U' R2 U2 F
L' R' D U' R2 U2 F
U L' R F2 U F' R'
F2 L' R' U D F B2
F2 L' R' U D B2 F
F2 L' R' U F D B2
B2 L' R B2 F2 U F'
R2 L' D U F D2 L2
D' L' R' D U L' F
R2 L' D U' R2 U2 F
F2 L' R' U2 R2 U' F
R L' D U F D2 L2
F2 L' R' D U F B2
F2 L' R' D U B2 F
R L' D U' R2 U2 F
R' L' D' R U F L2
L' R' D' R U F L2
L2 R' D' L U F L
R' L' D' R' U F L2
B2 L' R' F2 B2 U F'
L' R' D' R' U F L2
D' L' R2 U D L' F
R' L' D' R2 U F L2
L' R' D' R2 U F L2
R' L' D' U F L2 D
R' L' D' U F L2 D'
R' L' D' U F L2 D2
R' L' D' U F' L2 F2
R' L' D' U F2 L2 F'
L' R' D' U F L2 D
L' R' D' U F L2 D'
L' R' D' U F L2 D2
L' R' D' U F' L2 F2
L' R' D' U F2 L2 F'
R2 L' D' R U F L2
B2 L' R' B2 F2 U F'
D' L' R2 D U L' F
R2 L' D' R' U F L2
F2 L' R2 U2 R' U' F
R L' D' R U F L2
R2 L' D' R2 U F L2
R L' D' R' U F L2
R' L' D' F' U L2 F2
R' L' D' F' U F2 L2
L R' D' U L2 F B2
L R' D' U L2 B2 F
R2 L' D' U F L2 D
R2 L' D' U F L2 D'
R2 L' D' U F L2 D2
R2 L' D' U F' L2 F2
L' R' D' F' U L2 F2
L' R' D' F' U F2 L2
R2 L' D' U F2 L2 F'
R L' D' R2 U F L2
R' L' D' F2 U L2 F'
R' L' D' F2 U F' L2
L' R' D' F2 U L2 F'
L' R' D' F2 U F' L2
R L' D' U F L2 D
R L' D' U F L2 D'
R L' D' U F L2 D2
R L' D' U F' L2 F2
R L' D' U F2 L2 F'
R2 L' D' F' U L2 F2
R2 L' D' F' U F2 L2
R2 L' D' F2 U L2 F'
R2 L' D' F2 U F' L2
R L' D' F' U L2 F2
R L' D' F' U F2 L2
R L' D' F2 U L2 F'
R L' D' F2 U F' L2
B2 L' R2 F2 B2 U F'
U L' R2 F2 U F' R2
B2 L' R2 B2 F2 U F'
R' L' D2 U F D L2
L' R' D2 U F D L2
R' L' D2 U2 B2 U' F
D' L' U D L' D F
D' L' U D L' D' F
D' L' U D L' D2 F
D' L' U D L' F D
D' L' U D L' F D'
D' L' U D L' F D2
L' R' D2 U2 B2 U' F
R2 L' D2 U F D L2
R L' D2 U F D L2
B2 L' U D' R2 F L2
B2 L' U D' F L2 R2
B2 L' U D' F R2 L2
R2 L' D2 U2 B2 U' F
R L' D2 U2 B2 U' F
R' L' F R F U F'
L' R' F R F U F'
R' L' F R' F U F'
L' R' F R' F U F'
R' L' F R2 F U F'
L' R' F R2 F U F'
R2 L' F R F U F'
R2 L' F R' F U F'
R' L' F D F U F'
R L' F R F U F'
R2 L' F R2 F U F'
L' R' F D F U F'
R' L' F D' F U F'
R L' F R' F U F'
L' R' F D' F U F'
R' L' F D2 F U F'
R L' F R2 F U F'
L' R' F D2 F U F'
R2 L' F D F U F'
R2 L' F D' F U F'
R L' F D F U F'
R2 L' F D2 F U F'
R L' F D' F U F'
R L' F D2 F U F'
L2 R' F' L F' U F2
L R' F' L2 F' U F2
F2 L' U2 R U' D F
F2 L' U2 R U' D' F
F2 L' U2 R U' D2 F
F2 L' U2 R U' F D
F2 L' U2 R U' F D'
F2 L' U2 R U' F D2
F2 L' U2 R D U' F
F2 L' U2 R D' U' F
F2 L' U2 R D2 U' F
R' L' F' D F' R2 U
L' R' F' D F' R2 U
F2 L' U2 D R U' F
F2 L' U2 D' R U' F
F2 L' U2 D2 R U' F
R2 L' F' D F' R2 U
D' L' U2 B' L U' L2
R L' F' D F' R2 U
L2 R' F2 L R U F
L2 R' F2 L R' U F
L2 R' F2 L R2 U F
L2 R' F2 L U D F
L2 R' F2 L U D' F
L2 R' F2 L U D2 F
L2 R' F2 L U F D
L2 R' F2 L U F D'
L2 R' F2 L U F D2
L2 R' F2 L D U F
L2 R' F2 L D' U F
L2 R' F2 L D2 U F
R' L' F2 R2 U' B U2
D' L' D R U L' F
L' R' F2 R2 U' B U2
R' L' F2 U L' F' L
R' L' F2 U L2 F' L2
R' L' F2 U D F' D
R' L' F2 U D F' D'
R' L' F2 U D F' D2
D' L' D R' U L' F
R' L' F2 U D' F' D
R' L' F2 U D' F' D'
R' L' F2 U D' F' D2
R' L' F2 U D2 F' D
R' L' F2 U D2 F' D'
R' L' F2 U D2 F' D2
R' L' F2 U F2 D F
R' L' F2 U F2 D' F
R' L' F2 U F2 D2 F
L R' F2 L2 R U F
L' R' F2 U L' F' L
L R' F2 L2 R' U F
L R' F2 L2 R2 U F
L' R' F2 U L2 F' L2
L R' F2 L2 U D F
L R' F2 L2 U D' F
L R' F2 L2 U D2 F
L R' F2 L2 U F D
L R' F2 L2 U F D'
L R' F2 L2 U F D2
L' R' F2 U D F' D
L R' F2 L2 D U F
L' R' F2 U D F' D'
L' R' F2 U D F' D2
L R' F2 L2 D' U F
L' R' F2 U D' F' D
L' R' F2 U D' F' D'
L' R' F2 U D' F' D2
L' R' F2 U D2 F' D
L' R' F2 U D2 F' D'
L' R' F2 U D2 F' D2
L R' F2 L2 D2 U F
D' L' D R2 U L' F
L2 R' F2 R L U F
L' R' F2 U F2 D F
L' R' F2 U F2 D' F
L' R' F2 U F2 D2 F
R' L' F2 U' B U2 F'
R' L' F2 U' B' U2 F'
L R' F2 R L2 U F
R' L' F2 U' B2 U2 F'
R' L' F2 U2 L U' F'
R' L' F2 U2 L' U' F'
R' L' F2 U2 L2 U' F'
D' L' D U L' D F
D' L' D U L' D' F
D' L' D U L' D2 F
D' L' D U L' F D
D' L' D U L' F D'
D' L' D U L' F D2
L2 R' F2 R' L U F
L' R' F2 U' B U2 F'
L' R' F2 U' B' U2 F'
L' R' F2 U' B2 U2 F'
L' R' F2 U2 L U' F'
L' R' F2 U2 L' U' F'
L' R' F2 U2 L2 U' F'
L R' F2 R' L2 U F
R' L' F2 D U F' D
R' L' F2 D U F' D'
R' L' F2 D U F' D2
L2 R' F2 R2 L U F
L R' F2 R2 L2 U F
R2 L' F2 R2 U' B U2
L' R' F2 D U F' D
L' R' F2 D U F' D'
L' R' F2 D U F' D2
R' L' F2 D' U F' D
R' L' F2 D' U F' D'
R' L' F2 D' U F' D2
R2 L' F2 U L' F' L
R2 L' F2 U L2 F' L2
R2 L' F2 U D F' D
R2 L' F2 U D F' D'
R2 L' F2 U D F' D2
R2 L' F2 U D' F' D
R2 L' F2 U D' F' D'
R2 L' F2 U D' F' D2
L' R' F2 D' U F' D
L' R' F2 D' U F' D'
L' R' F2 D' U F' D2
R2 L' F2 U D2 F' D
R2 L' F2 U D2 F' D'
R2 L' F2 U D2 F' D2
R' L' F2 D2 U F' D
R' L' F2 D2 U F' D'
R' L' F2 D2 U F' D2
R2 L' F2 U F2 D F
R2 L' F2 U F2 D' F
R2 L' F2 U F2 D2 F
R L' F2 R2 U' B U2
L' R' F2 D2 U F' D
L' R' F2 D2 U F' D'
L' R' F2 D2 U F' D2
F2 L' D U2 R U' F
R2 L' F2 U' B U2 F'
R2 L' F2 U' B' U2 F'
R L' F2 U L' F' L
R2 L' F2 U' B2 U2 F'
R L' F2 U L2 F' L2
R2 L' F2 U2 L U' F'
R2 L' F2 U2 L' U' F'
R2 L' F2 U2 L2 U' F'
R L' F2 U D F' D
R L' F2 U D F' D'
R L' F2 U D F' D2
R L' F2 U D' F' D
R L' F2 U D' F' D'
R L' F2 U D' F' D2
R L' F2 U D2 F' D
R L' F2 U D2 F' D'
R L' F2 U D2 F' D2
R L' F2 U F2 D F
R L' F2 U F2 D' F
R L' F2 U F2 D2 F
L2 R' F2 D L U F
R2 L' F2 D U F' D
R2 L' F2 D U F' D'
R2 L' F2 D U F' D2
R L' F2 U' B U2 F'
R L' F2 U' B' U2 F'
L2 R' F2 D' L U F
R L' F2 U' B2 U2 F'
R L' F2 U2 L U' F'
R L' F2 U2 L' U' F'
R L' F2 U2 L2 U' F'
R2 L' F2 D' U F' D
R2 L' F2 D' U F' D'
R2 L' F2 D' U F' D2
L2 R' F2 D2 L U F
R L' F2 D U F' D
R L' F2 D U F' D'
R L' F2 D U F' D2
R2 L' F2 D2 U F' D
R2 L' F2 D2 U F' D'
R2 L' F2 D2 U F' D2
R L' F2 D' U F' D
R L' F2 D' U F' D'
R L' F2 D' U F' D2
R L' F2 D2 U F' D
R L' F2 D2 U F' D'
R L' F2 D2 U F' D2
D' L' D' R U L' F'
B2 L' D' U R2 F L2
B2 L' D' U F L2 R2
B2 L' D' U F R2 L2
F2 L' D' U2 R U' F
B' L' D' B U F L2
U L' D' F L2 D' B2
F2 L' D2 U2 R U' F
F' L' F L' F2 U F2
D L' F D' F2 R U
L' R2 U L2 D' L2 F
L' R2 U D F D2 L2
L' R2 U D' F L2 D
L' R2 U D' F L2 D'
L' R2 U D' F L2 D2
L' R2 U D' F' L2 F2
L' R2 U D' F2 L2 F'
L' R2 U D2 F D L2
L' R2 U F U' F U
D L' F' R U' R U2
D L' F' R F2 U L'
F' L' F' U2 R U' F2
L R2 U D' L2 F B2
L R2 U D' L2 B2 F
D L' F' D' R F2 U
D L' F' D2 R U L2
F2 L' F2 L' F2 U F
L' R2 U' D R2 U2 F
U' L' F2 U' L U2 F'
U2 L' F2 U D F' R2
B2 L' F2 U D' F' R2
B2 L' F2 U F' D' R2
B' L' F2 D B U F'
B L' F2 U D F' R
B' L' F2 D' B U F'
U2 L' F2 U2 F2 U' F
U L' F2 R' U R F'
U2 L' F2 D U F' R2
B' L' F2 D2 B U F'
U L' F2 R2 U R2 F'
B' L' F2 B U D F'
B' L' F2 B U D' F'
B' L' F2 B U D2 F'
B' L' F2 B U F' D
B' L' F2 B U F' D'
B' L' F2 B U F' D2
B' L' F2 B D U F'
B' L' F2 B D' U F'
B' L' F2 B D2 U F'
B2 L' F2 D' U F' R2
B L' F2 D U F' R
U2 L' F2 D2 B2 U F'
U' L' F2 B2 U F' R'
B2 L' F2 B2 U D F'
B2 L' F2 B2 U D' F'
B2 L' F2 B2 U D2 F'
B2 L' F2 B2 U F' D
B2 L' F2 B2 U F' D'
B2 L' F2 B2 U F' D2
B2 L' F2 B2 D U F'
B2 L' F2 B2 D' U F'
B2 L' F2 B2 D2 U F'
B' L' B R F2 U F'
D' L' B R' B' U L'
B' L' B R' F2 U F'
B' L' B R2 F2 U F'
L' R2 U2 D2 B2 U' F
B' L' B U D' F L2
B' L' B D' U F L2
B' L' B F2 U D F'
B' L' B F2 U D' F'
B' L' B F2 U D2 F'
B' L' B F2 U F' D
B' L' B F2 U F' D'
B' L' B F2 U F' D2
B' L' B F2 D U F'
B' L' B F2 D' U F'
B' L' B F2 D2 U F'
L' R2 D U F D2 L2
L' R2 D U' R2 U2 F
R' L2 D' L U F L
L' R2 D' R U F L2
L' R2 D' R' U F L2
L2 R2 D' L U F L
L' R2 D' R2 U F L2
R2 L2 D' L U F L
L' R2 D' U F L2 D
L' R2 D' U F L2 D'
L' R2 D' U F L2 D2
L' R2 D' U F' L2 F2
L' R2 D' U F2 L2 F'
B2 L' B2 R F2 U F'
R L2 D' L U F L
B2 L' B2 R' F2 U F'
L' R2 D' F' U L2 F2
L' R2 D' F' U F2 L2
B2 L' B2 R2 F2 U F'
L' R2 D' F2 U L2 F'
L' R2 D' F2 U F' L2
B2 L' B2 U D' F L2
L R2 D' U L2 F B2
L R2 D' U L2 B2 F
B2 L' B2 D' U F L2
U' L' B2 F2 U F' R'
B2 L' B2 F2 U D F'
B2 L' B2 F2 U D' F'
B2 L' B2 F2 U D2 F'
B2 L' B2 F2 U F' D
B2 L' B2 F2 U F' D'
B2 L' B2 F2 U F' D2
B2 L' B2 F2 D U F'
B2 L' B2 F2 D' U F'
B2 L' B2 F2 D2 U F'
L' R2 D2 U F D L2
L' R2 D2 U2 B2 U' F
L' R2 F R F U F'
L' R2 F R' F U F'
L' R2 F R2 F U F'
L' R2 F D F U F'
L' R2 F D' F U F'
L' R2 F D2 F U F'
R' L2 F' L F' U F2
F2 L2 R2 U2 R' U' F'
L2 R2 F' L F' U F2
R2 L2 F' L F' U F2
L R2 F' L2 F' U F2
L' R2 F' D F' R2 U
R L2 F' L F' U F2
R' L2 F2 L R U F
R' L2 F2 L R' U F
R' L2 F2 L R2 U F
R' L2 F2 L U D F
R' L2 F2 L U D' F
R' L2 F2 L U D2 F
R' L2 F2 L U F D
R' L2 F2 L U F D'
R' L2 F2 L U F D2
R' L2 F2 L D U F
R' L2 F2 L D' U F
R' L2 F2 L D2 U F
R' L2 F2 R L U F
R' L2 F2 R' L U F
R' L2 F2 R2 L U F
L2 R2 F2 L R U F
L2 R2 F2 L R' U F
L2 R2 F2 L R2 U F
L2 R2 F2 L U D F
L2 R2 F2 L U D' F
L2 R2 F2 L U D2 F
L2 R2 F2 L U F D
L2 R2 F2 L U F D'
L2 R2 F2 L U F D2
L' R2 F2 R2 U' B U2
L2 R2 F2 L D U F
L2 R2 F2 L D' U F
L2 R2 F2 L D2 U F
R2 L2 F2 L R U F
R2 L2 F2 L R' U F
R2 L2 F2 L R2 U F
R2 L2 F2 L U D F
R2 L2 F2 L U D' F
R2 L2 F2 L U D2 F
R2 L2 F2 L U F D
R2 L2 F2 L U F D'
R2 L2 F2 L U F D2
L' R2 F2 U L' F' L
R2 L2 F2 L D U F
L' R2 F2 U L2 F' L2
R2 L2 F2 L D' U F
R2 L2 F2 L D2 U F
L' R2 F2 U D F' D
L' R2 F2 U D F' D'
L' R2 F2 U D F' D2
L' R2 F2 U D' F' D
L' R2 F2 U D' F' D'
L' R2 F2 U D' F' D2
L' R2 F2 U D2 F' D
L' R2 F2 U D2 F' D'
L' R2 F2 U D2 F' D2
L' R2 F2 U F2 D F
L' R2 F2 U F2 D' F
L' R2 F2 U F2 D2 F
L' R2 F2 U' B U2 F'
L' R2 F2 U' B' U2 F'
L2 R2 F2 R L U F
R' L2 F2 D L U F
L' R2 F2 U' B2 U2 F'
L' R2 F2 U2 L U' F'
L' R2 F2 U2 L' U' F'
L' R2 F2 U2 L2 U' F'
L R2 F2 L2 R U F
R2 L2 F2 R L U F
L R2 F2 L2 R' U F
L R2 F2 L2 R2 U F
L R2 F2 L2 U D F
L R2 F2 L2 U D' F
L R2 F2 L2 U D2 F
L R2 F2 L2 U F D
L R2 F2 L2 U F D'
L R2 F2 L2 U F D2
L2 R2 F2 R' L U F
R' L2 F2 D' L U F
L R2 F2 L2 D U F
L R2 F2 L2 D' U F
L R2 F2 L2 D2 U F
R L2 F2 L R U F
