B2 L B' U' R'
B2 L D B' U' R'
B2 L D' B' U' R'
B2 L D2 B' U' R'
B2 L F B' U' R'
B2 L F' B' U' R'
B2 L F2 B' U' R'
B2 L B' U' R' D
B2 L B' U' R' D'
B2 L B' U' R' D2
B2 L B' U' R' D2
B2 L B' U' D R'
B2 L B' U' D' R'
B2 L B' U' D2 R'
B2 L B' D U' R'
B2 L B' D' U' R'
B2 L B' D2 U' R'
B2 L B' F U' R'
B2 L B' F' U' R'
B2 L B' F2 U' R'
B2 F L B' U' R'
B2 F' L B' U' R'
F' B2 L B' U' R'
B2 F2 L B' U' R'
F2 B2 L B' U' R'
F B2 L B' U' R'
B2 L B' F' U' D R'
B2 L B' F' U' D' R'
B2 L B' F' U' D2 R'
B2 L B' F' D U' R'
B2 L B' F' D' U' R'
B2 L B' F' D2 U' R'
B2 L B' F2 U' R' D
B2 L B' F2 U' R' D'
B2 L B' F2 U' R' D2
B2 L B' F2 U' D R'
B2 L B' F2 U' D' R'
B2 L B' F2 U' D2 R'
B2 L B' F2 D U' R'
B2 L B' F2 D' U' R'
B2 L B' F2 D2 U' R'
L2 R' U2 R B U' R'
B L' U2 F R U R2
D L' F U2 R' U L'
D L' F B2 L U' L2
R' L2 U2 R B U' R'
D L' B2 F L U' L2
B2 L2 D L' B' U' R'
B2 L2 D' L' B' U' R'
B2 L2 D2 L' B' U' R'
D L2 B2 L F U' L'
B2 R' L B' R U' R2
L' U2 R' F B U R'
L' U2 R' B F U R'
L2 U2 R' D2 F' U R
L2 U2 R' F' B U R'
L2 U2 R' B F' U R'
L' U2 D' R' F B U
L' U2 D' R' B F U
L' U2 D' F R' B U
L2 U2 D' R' F' B U
L2 U2 D' R' B F' U
L2 U2 D2 R' F' U R
B2 R2 L B' R2 U' R
L' U2 F R' B U R'
L' U2 F D' R' B U
L' U2 F B U R' F'
L2 U2 B U R' F' L'
L' U2 B F U R' F'
U2 R2 D2 R F' U R
B' U L U' B' L U'
L' D' U2 R' F B U
L' D' U2 R' B F U
L' D' U2 F R' B U
B2 U' L F B' U' B
L2 D' U2 R' F' B U
L2 D' U2 R' B F' U
B2 U' L B' F U' B
U2 D' R' B U' R' U2
B U' R' D L F L'
B U' D L R' F L'
B U' D L F L' R'
B U' D L F R' L'
B U' D R' L F L'
R2 D2 L2 R F' U R
R2 D2 R L2 F' U R
R2 D2 R F' L2 U R
D2 U2 R F' R2 U R'
U2 D2 R F' R2 U R'
D' U2 R' B U' R' U2
L2 D2 U2 R' F' U R
B D U' L R' F L'
B D U' L F L' R'
B D U' L F R' L'
B D U' R' L F L'
B2 D' L B' U' L R'
B2 D' L B' U' R' L
R' F2 L' F B U R'
R' F2 L' B F U R'
B2 D' B' U' L R' F
B2 D' B' U' L F R'
B2 D' B' U' R' L F
R' F2 B L' F U R'
B2 F L D B' U' R'
B2 F L D' B' U' R'
B2 F L D2 B' U' R'
B2 F L F B' U' R'
B2 F L F' B' U' R'
B2 F L F2 B' U' R'
L' B U2 F R U R2
B2 F L B' U' R' D
B2 F L B' U' R' D'
B2 F L B' U' R' D2
B2 F L B' U' D R'
B2 F L B' U' D' R'
B2 F L B' U' D2 R'
B2 F L B' D U' R'
B2 F L B' D' U' R'
B2 F L B' D2 U' R'
B2 F L B' F U' R'
B2 F L B' F' U' R'
B2 F L B' F2 U' R'
R' B F2 L' F U R'
U B' L U' B' L U'
B2 F' L D B' U' R'
B2 F' L D' B' U' R'
B2 F' L D2 B' U' R'
B2 F' L F B' U' R'
B2 F' L F' B' U' R'
B2 F' L F2 B' U' R'
B2 F' L B' U' R' D
B2 F' L B' U' R' D'
B2 F' L B' U' R' D2
B2 F' L B' U' D R'
B2 F' L B' U' D' R'
B2 F' L B' U' D2 R'
B2 F' L B' D U' R'
B2 F' L B' D' U' R'
B2 F' L B' D2 U' R'
B2 F' L B' F U' R'
B2 F' L B' F' U' R'
B2 F' L B' F2 U' R'
L B' U D L B' U2
L B' U2 B2 U R' F'
L B' D U L B' U2
U' B2 L B' U' R' B'
L2 B2 L U2 F U R
L2 B2 L' B' L2 U' R'
L' B2 L2 B' L' U' R'
L B2 L B U L U2
D B2 L' F L2 U' L
F' B2 L D B' U' R'
F' B2 L D' B' U' R'
F' B2 L D2 B' U' R'
F' B2 L F B' U' R'
B2 F2 L D B' U' R'
B2 F2 L D' B' U' R'
F' B2 L F' B' U' R'
B2 F2 L D2 B' U' R'
F' B2 L F2 B' U' R'
F2 B2 L D B' U' R'
B2 F2 L F B' U' R'
F2 B2 L D' B' U' R'
F' B2 L B' U' R' D
F' B2 L B' U' R' D'
F' B2 L B' U' R' D2
F' B2 L B' U' D R'
F' B2 L B' U' D' R'
F' B2 L B' U' D2 R'
F' B2 L B' D U' R'
F' B2 L B' D' U' R'
F' B2 L B' D2 U' R'
F' B2 L B' F U' R'
F' B2 L B' F' U' R'
B2 F2 L F' B' U' R'
F' B2 L B' F2 U' R'
F2 B2 L D2 B' U' R'
B2 F2 L F2 B' U' R'
F2 B2 L F B' U' R'
F2 B2 L F' B' U' R'
B2 F2 L B' U' R' D
B2 F2 L B' U' R' D'
B2 F2 L B' U' R' D2
B2 F2 L B' U' D R'
B2 F2 L B' U' D' R'
B2 F2 L B' U' D2 R'
B2 F2 L B' D U' R'
B2 F2 L B' D' U' R'
B2 F2 L B' D2 U' R'
B2 F2 L B' F U' R'
B2 F2 L B' F' U' R'
B2 F2 L B' F2 U' R'
F2 B2 L F2 B' U' R'
F2 B2 L B' U' R' D
F2 B2 L B' U' R' D'
F2 B2 L B' U' R' D2
F2 B2 L B' U' D R'
F2 B2 L B' U' D' R'
F2 B2 L B' U' D2 R'
F2 B2 L B' D U' R'
F2 B2 L B' D' U' R'
F2 B2 L B' D2 U' R'
F2 B2 L B' F U' R'
F2 B2 L B' F' U' R'
F2 B2 L B' F2 U' R'
F B2 L D B' U' R'
F B2 L D' B' U' R'
F B2 L D2 B' U' R'
F B2 L F B' U' R'
F B2 L F' B' U' R'
F B2 L F2 B' U' R'
F B2 L B' U' R' D
F B2 L B' U' R' D'
F B2 L B' U' R' D2
F B2 L B' U' D R'
F B2 L B' U' D' R'
F B2 L B' U' D2 R'
F B2 L B' D U' R'
F B2 L B' D' U' R'
F B2 L B' D2 U' R'
F B2 L B' F U' R'
F B2 L B' F' U' R'
F B2 L B' F2 U' R'
U B2 U' L F B' U'
U B2 U' L B' F U'
