U L2 B' R' F'
U' L F L R B'
U' L F L B' R
U' L F R L B'
B L F U' L B'
U L2 R' F' B' R'
U L2 R' B' F' R'
U L2 D B' R' F'
U L2 D' B' R' F'
U L2 D2 B' R' F'
R' U L2 B' R' F'
U L2 F B' R' F'
R2 U L2 B' R' F'
R U L2 B' R' F'
U L2 F' B' R' F'
U L2 F2 B' R' F'
U L2 B' R' D F'
U L2 B' R' D' F'
U L2 B' R' D2 F'
U L2 B' R' F' D
U L2 B' R' F' D'
U L2 B' R' F' D2
U L2 B' D R' F'
U L2 B' D' R' F'
U L2 B' D2 R' F'
U L2 B' F R' F'
U L2 B' F' R' F'
U L2 B' F2 R' F'
B' R' U L2 B' R'
U R' L2 F' B' R'
U R' L2 B' F' R'
L F U' L F B'
L F U' L B' F
U B' L2 R' F' B'
U B' L2 R' B' F'
U B' R' L2 F' B'
U B' R' L2 B' F'
U L2 R' B' F' R' D'
U L2 R' B' F' R' D2
U L2 R' B' F' D R'
U L2 R' B' F' D' R'
U L2 R' B' F' D2 R'
U L2 R' B' F2 R' F
U L2 R2 B' R F' R2
U L2 D R' F' B' R'
U L2 D R' B' F' R'
U L2 D F B' R' F'
U L2 D F' B' R' F'
U L2 D F2 B' R' F'
U L2 D B' R' D F'
U L2 D B' R' D' F'
U L2 D B' R' D2 F'
U L2 D B' R' F' D
U L2 D B' R' F' D'
U L2 D B' R' F' D2
U L2 D B' D R' F'
U L2 D B' D' R' F'
U L2 D B' D2 R' F'
U L2 D B' F R' F'
U L2 D B' F' R' F'
U L2 D B' F2 R' F'
U L2 D' R' F' B' R'
U L2 D' R' B' F' R'
U L2 D' F B' R' F'
U L2 D' F' B' R' F'
U L2 D' F2 B' R' F'
U L2 D' B' R' D F'
U L2 D' B' R' D' F'
U L2 D' B' R' D2 F'
U L2 D' B' R' F' D
U L2 D' B' R' F' D'
U L2 D' B' R' F' D2
U L2 D' B' D R' F'
U L2 D' B' D' R' F'
U L2 D' B' D2 R' F'
U L2 D' B' F R' F'
U L2 D' B' F' R' F'
U L2 D' B' F2 R' F'
U' L2 D2 F R F' B'
U' L2 D2 F R B' F'
U' L2 D2 F B' R F'
U' L2 D2 B' F R F'
U L2 D2 R' F' B' R'
U L2 D2 R' B' F' R'
U L2 D2 F B' R' F'
U L2 D2 F' B' R' F'
R' U L2 R' F' B' R'
R' U L2 R' B' F' R'
U L2 D2 F2 B' R' F'
U L2 D2 B' R' D F'
U L2 D2 B' R' D' F'
U L2 D2 B' R' D2 F'
U L2 D2 B' R' F' D
U L2 D2 B' R' F' D'
U L2 D2 B' R' F' D2
U L2 D2 B' D R' F'
U L2 D2 B' D' R' F'
U L2 D2 B' D2 R' F'
U L2 D2 B' F R' F'
U L2 D2 B' F' R' F'
U L2 D2 B' F2 R' F'
R' U L2 D B' R' F'
U' L2 F D2 R F' B'
U' L2 F D2 R B' F'
R' U L2 D' B' R' F'
U' L2 F D2 B' R F'
R' U L2 D2 B' R' F'
U' L2 F B' D2 R F'
R2 U L2 R' F' B' R'
R' U L2 F B' R' F'
R2 U L2 R' B' F' R'
U L2 F R' F' B' R'
U L2 F R' B' F' R'
R' U L2 F' B' R' F'
R' U L2 F2 B' R' F'
R' U L2 B' R' D F'
R' U L2 B' R' D' F'
R' U L2 B' R' D2 F'
R' U L2 B' R' F' D
R' U L2 B' R' F' D'
R' U L2 B' R' F' D2
R' U L2 B' D R' F'
R U L2 R' F' B' R'
R' U L2 B' D' R' F'
R' U L2 B' D2 R' F'
R' U L2 B' F R' F'
R U L2 R' B' F' R'
R' U L2 B' F' R' F'
R' U L2 B' F2 R' F'
R2 U L2 D B' R' F'
U L2 F D B' R' F'
R2 U L2 D' B' R' F'
U L2 F D' B' R' F'
R2 U L2 D2 B' R' F'
U L2 F D2 B' R' F'
R2 U L2 F B' R' F'
R U L2 D B' R' F'
R2 U L2 F' B' R' F'
U L2 F B' R' D F'
U L2 F B' R' D' F'
U L2 F B' R' D2 F'
U L2 F B' R' F' D
U L2 F B' R' F' D'
U L2 F B' R' F' D2
U L2 F B' D R' F'
U L2 F B' D' R' F'
U L2 F B' D2 R' F'
R U L2 D' B' R' F'
R2 U L2 F2 B' R' F'
R U L2 D2 B' R' F'
R2 U L2 B' R' D F'
R2 U L2 B' R' D' F'
R2 U L2 B' R' D2 F'
R2 U L2 B' R' F' D
R2 U L2 B' R' F' D'
R2 U L2 B' R' F' D2
R U L2 F B' R' F'
R2 U L2 B' D R' F'
R2 U L2 B' D' R' F'
R2 U L2 B' D2 R' F'
R2 U L2 B' F R' F'
R2 U L2 B' F' R' F'
R2 U L2 B' F2 R' F'
R U L2 F' B' R' F'
R U L2 F2 B' R' F'
R U L2 B' R' D F'
R U L2 B' R' D' F'
U L2 F' R' F' B' R'
R U L2 B' R' D2 F'
R U L2 B' R' F' D
R U L2 B' R' F' D'
R U L2 B' R' F' D2
U L2 F' R' B' F' R'
R U L2 B' D R' F'
R U L2 B' D' R' F'
R U L2 B' D2 R' F'
R U L2 B' F R' F'
R U L2 B' F' R' F'
R U L2 B' F2 R' F'
U L2 F' D B' R' F'
U L2 F' D' B' R' F'
R' U R' L2 F' B' R'
R' U R' L2 B' F' R'
U L2 F' D2 B' R' F'
U L2 F' B' R' D F'
U L2 F' B' R' D' F'
U L2 F' B' R' D2 F'
U L2 F' B' R' F' D
U L2 F' B' R' F' D'
U L2 F' B' R' F' D2
U L2 F' B' D R' F'
U L2 F' B' D' R' F'
U L2 F' B' D2 R' F'
U L2 F2 R' F' B' R'
U L2 F2 R' B' F' R'
R2 U R' L2 F' B' R'
R2 U R' L2 B' F' R'
R U R' L2 F' B' R'
R U R' L2 B' F' R'
U L2 F2 D B' R' F'
U L2 F2 D' B' R' F'
U L2 F2 D2 B' R' F'
U L2 F2 B' R' D F'
U L2 F2 B' R' D' F'
U L2 F2 B' R' D2 F'
U L2 F2 B' R' F' D
U L2 F2 B' R' F' D'
U L2 F2 B' R' F' D2
U L2 F2 B' D R' F'
U L2 F2 B' D' R' F'
U L2 F2 B' D2 R' F'
U L2 B R' F' B2 R'
U L2 B R' B2 F' R'
U' L2 B' L' F L R
U' L2 B' L' F R L
U L2 B' L' R' F' L
U' L2 B' D2 F R F'
B L2 B' U L' F U'
U L2 B' L2 R' F' L2
U' L2 B' F D2 R F'
U L2 B' R F R2 F'
U L2 B' R F' R2 F'
U L2 B' R F2 R2 F'
U L2 B' R' L' F' L
U L2 B' R' L2 F' L2
U L2 B' R' D F' D
U L2 B' R' D F' D'
U L2 B' R' D F' D2
U L2 B' R' D' F' D
U L2 B' R' D' F' D'
U L2 B' R' D' F' D2
U L2 B' R' D2 F' D
U L2 B' R' D2 F' D'
U L2 B' R' D2 F' D2
U L2 B' R' F2 D F
U L2 B' R' F2 D' F
U L2 B' R' F2 D2 F
U L2 B' D R' D F'
U L2 B' D R' D' F'
U L2 B' D R' D2 F'
U L2 B' D R' F' D
U L2 B' D R' F' D'
U L2 B' D R' F' D2
U L2 B' D F R' F'
U L2 B' D F' R' F'
U L2 B' D F2 R' F'
U L2 B' D' R' D F'
U L2 B' D' R' D' F'
U L2 B' D' R' D2 F'
U L2 B' D' R' F' D
U L2 B' D' R' F' D'
U L2 B' D' R' F' D2
U L2 B' D' F R' F'
U L2 B' D' F' R' F'
U L2 B' D' F2 R' F'
U L2 B' D2 R' D F'
U L2 B' D2 R' D' F'
U L2 B' D2 R' D2 F'
U L2 B' D2 R' F' D
U L2 B' D2 R' F' D'
U L2 B' D2 R' F' D2
U L2 B' D2 F R' F'
U L2 B' D2 F' R' F'
U L2 B' D2 F2 R' F'
U L2 B' F R' D F'
U L2 B' F R' D' F'
U L2 B' F R' D2 F'
U L2 B' F R' F' D
U L2 B' F R' F' D'
U L2 B' F R' F' D2
U L2 B' F D R' F'
U L2 B' F D' R' F'
U L2 B' F D2 R' F'
U L2 B' F' R' D F'
U L2 B' F' R' D' F'
U L2 B' F' R' D2 F'
U L2 B' F' R' F' D
U L2 B' F' R' F' D'
U L2 B' F' R' F' D2
U L2 B' F' D R' F'
U L2 B' F' D' R' F'
U L2 B' F' D2 R' F'
U L2 B' F2 R' D F'
U L2 B' F2 R' D' F'
U L2 B' F2 R' D2 F'
U L2 B' F2 R' F' D
U L2 B' F2 R' F' D'
U L2 B' F2 R' F' D2
U L2 B' F2 D R' F'
U L2 B' F2 D' R' F'
U L2 B' F2 D2 R' F'
U' R L F L R B'
U' R L F L B' R
U' R L F R L B'
B R L F U' L B'
U R L2 B' R' D2 F2
U R L2 B' D2 R' F2
U R L2 B' D2 F2 R'
U' R U2 L2 B' R' F'
R' U B' L2 R' F' B'
R' U B' L2 R' B' F'
R' U B' R' L2 F' B'
R' U B' R' L2 B' F'
R2 U B' L2 R' F' B'
R2 U B' L2 R' B' F'
R2 U B' R' L2 F' B'
R2 U B' R' L2 B' F'
R U B' L2 R' F' B'
R U B' L2 R' B' F'
R U B' R' L2 F' B'
R U B' R' L2 B' F'
R' U' L F L R B'
R' U' L F L B' R
R' U' L F R L B'
R2 U' L F L R B'
R2 U' L F L B' R
R2 U' L F R L B'
R U' L F L R B'
R U' L F L B' R
R U' L F R L B'
U R F B L U2 L
U R B L U2 L B'
U R B F L U2 L
U' R' L F L R B'
U' R' L F L B' R
U' R' L F R L B'
B R' L F U' L B'
U R' L F' L B' R'
B' R' U L2 R B' R'
B' R' U L2 R' B' R'
B' R' U L2 R2 B' R'
B' R' U L2 D B' R'
B' R' U L2 D' B' R'
B' R' U L2 D2 B' R'
B' R' U L2 B' R' D
B' R' U L2 B' R' D'
B' R' U L2 B' R' D2
B' R' U L2 B' D R'
B' R' U L2 B' D' R'
B' R' U L2 B' D2 R'
B' R' U R L2 B' R'
B' R' U R' L2 B' R'
U R' L2 D F' B' R'
U R' L2 D B' F' R'
B' R' U R2 L2 B' R'
U R' L2 D' F' B' R'
U R' L2 D' B' F' R'
U R' L2 D2 F' B' R'
U R' L2 D2 B' F' R'
U R' L2 F B' R' F2
U R' L2 F' R B' R'
U R' L2 F' R' B' R'
U R' L2 F' R2 B' R'
U R' L2 F' D B' R'
U R' L2 F' D' B' R'
U R' L2 F' D2 B' R'
U R' L2 F' B' R' D
U R' L2 F' B' R' D'
U R' L2 F' B' R' D2
U R' L2 F' B' D R'
U R' L2 F' B' D' R'
U R' L2 F' B' D2 R'
U R' L2 F2 B' R' F
U R' L2 B' D F' R'
U R' L2 B' D' F' R'
U R' L2 B' D2 F' R'
U R' L2 B' F R' F2
U R' L2 B' F' R' D
U R' L2 B' F' R' D'
U R' L2 B' F' R' D2
U R' L2 B' F' D R'
U R' L2 B' F' D' R'
U R' L2 B' F' D2 R'
U R' L2 B' F2 R' F
B' R' U B' L2 R' B'
B' R' U B' R' L2 B'
B' R' U' F U2 L2 R
B' R' U' F U2 R L2
U' R' U2 L2 B' R' F'
B' R' B U L2 B' R'
B' R' B' U L2 B' R'
U R' B' L2 F' R' B'
B' R' B2 U L2 B' R'
U' R2 L F L R B'
U' R2 L F L B' R
U' R2 L F R L B'
B R2 L F U' L B'
U R2 L2 B' R F' R2
U' R2 U2 L2 B' R' F'
L2 D F' B' R D' F2
L2 D B' F' R D' F2
F' U F L2 B' R' F'
F2 U F2 L2 B' R' F'
D2 U' F R2 U2 R' F'
F2 U' F' L' B' U2 L'
U' D2 F R2 U2 R' F'
B U2 L U' L B' R'
L2 D2 B' U' R' B U
U' F L U2 R F L
U' F L' B' U2 L' R
U' F L' B' U2 R L'
U F L U2 L F R
L F R U' L F B'
L F R U' L B' F
U' F R2 U2 L2 R' F'
U' F R2 U2 R' L2 F'
U' F R2 U2 R' F' L2
U F R B L U2 L
L F R' U' L F B'
L F R' U' L B' F
U F R' F' L2 B' R'
L F R2 U' L F B'
L F R2 U' L B' F
U' F U2 L2 R' F' R2
U' F U2 R' L2 F' R2
U' F U2 R' F' L2 R2
U' F U2 R' F' R2 L2
L F U' L D F B'
L F U' L D B' F
L F U' L D' F B'
L F U' L D' B' F
L F U' L D2 F B'
L F U' L D2 B' F
L F U' L F D B'
L F U' L F D' B'
L F U' L F D2 B'
L F U' L F B' D
L F U' L F B' D'
L F U' L F B' D2
L F U' L B' D F
L F U' L B' D' F
L F U' L B' D2 F
L F U' L B' F D
L F U' L B' F D'
L F U' L B' F D2
L F U' F L F B'
L F U' F L B' F
L F U' F' L F B'
L F U' F' L B' F
L F U' F2 L F B'
L F U' F2 L B' F
U F U2 L F L R
U F U2 L F R L
U' F D2 R2 U2 R' F'
U F B L U2 L F
L F B L U' B' L
U F B' R' F' L2 B'
U' F' L' F2 R B' U2
U' F' L' F2 B' R U2
U' F' L' B' F2 R U2
D F2 U' F' L' B' U2
U' B L F L R B'
U' B L F L B' R
U' B L F R L B'
R' B L F U' L B'
R2 B L F U' L B'
U B L U2 L F B'
U B L U2 L B' F
R B L F U' L B'
U' B U2 L2 B' R' F'
U2 B U' L2 B' R' F'
U B F L U2 L F
L B F L U' B' L
L' B' L R' U L2 B'
U' B' L F L R B'
U' B' L F L B' R
U' B' L F R L B'
L' B' L2 R' U L B'
U B' L R' F' L B'
R' B' R' U L2 B' R'
L' B' R' L U L2 B'
U B' L2 R' D F' B'
U B' L2 R' D B' F'
U B' L2 R' D' F' B'
U B' L2 R' D' B' F'
U B' L2 R' D2 F' B'
U B' L2 R' D2 B' F'
U B' L2 R' F' D B'
U B' L2 R' F' D' B'
U B' L2 R' F' D2 B'
U B' L2 R' F' B' D
U B' L2 R' F' B' D'
U B' L2 R' F' B' D2
L' B' R' L2 U L B'
U B' L2 R' B' D F'
U B' L2 R' B' D' F'
U B' L2 R' B' D2 F'
U B' L2 R' B' F' D
U B' L2 R' B' F' D'
U B' L2 R' B' F' D2
U B' L2 R2 B' R F'
U B' L2 D R' F' B'
U B' L2 D R' B' F'
U B' L2 D' R' F' B'
U B' L2 D' R' B' F'
U B' L2 D2 R' F' B'
U B' L2 D2 R' B' F'
U B' L2 F R' F' B'
U B' L2 F R' B' F'
U B' L2 F' R' F' B'
U B' L2 F' R' B' F'
U B' L2 F2 R' F' B'
U B' L2 F2 R' B' F'
R2 B' R' U L2 B' R'
U B' R' L F' L B'
U B' R' L2 D F' B'
U B' R' L2 D B' F'
U B' R' L2 D' F' B'
U B' R' L2 D' B' F'
U B' R' L2 D2 F' B'
U B' R' L2 D2 B' F'
U B' R' L2 F' D B'
U B' R' L2 F' D' B'
U B' R' L2 F' D2 B'
U B' R' L2 F' B' D
U B' R' L2 F' B' D'
U B' R' L2 F' B' D2
U B' R' L2 B' D F'
U B' R' L2 B' D' F'
U B' R' L2 B' D2 F'
U B' R' L2 B' F' D
U B' R' L2 B' F' D'
U B' R' L2 B' F' D2
U B' R' F' L2 D2 B2
R B' R' U L2 B' R'
U B' R' B L2 F' B'
U B' R' B L2 B' F'
U B' R' B' L2 F' B'
U B' R' B' L2 B' F'
U B' R' B2 L2 F' B'
U B' R' B2 L2 B' F'
U B' R2 L2 B' R F'
U' B' U2 L2 B' R' F'
U2 B' U' L2 B' R' F'
L2 B' U' D2 R' B U
L2 B' D F' R D' F2
L2 B' D2 U' R' B U
U B' F R' F' L2 B'
U' B2 L F L R B'
U' B2 L F L B' R
U' B2 L F R L B'
U B2 L2 B R' F' B2
U B2 L2 B R' B2 F'
U' B2 U2 L2 B' R' F'
U2 B2 U' L2 B' R' F'
L2 B2 D' B R F' R2
