F2 L U B' U F2
F2 L' U' F U' F
F2 U' L' F U' F
F2 U2 F' D F' R
F' D F' U2 R F2
F D F L' U2 F2
F D F U2 F2 R
L' F2 U' F' U' F'
L F2 U B' U F2
F2 U2 B' F2 D' B R'
D2 F U2 B2 D' F' R
U2 F D F L' U2 L
D F D L' U2 F' B2
D F D L' U2 B2 F'
F' D L2 F' B' U2 R
F D L' U2 F' R B
F' D L2 B' F' U2 R
D F D' L' F2 U2 F
F D L2 U2 F' R B'
F D L2 U2 F' B' R
F D L2 U2 B' F' R
D F D' F2 U2 R F
F2 D U2 F D' F2 R
F2 D U2 F' D' R F2
F' D F L' F2 U2 F2
F' D F' L U2 R F2
F' D F' L' U2 R F2
F' D F' L2 U2 R F2
F D U2 F' R D2 B2
F D U2 F' D2 R B2
F D U2 F' D2 B2 R
F' D F' U2 R F2 D
F' D F' U2 R F2 D'
F' D F' U2 R F2 D2
F' D F' U2 R' F2 R2
F' D F' U2 R2 F2 R'
F D F L' U2 F2 D
F D F L' U2 F2 D'
F D F L' U2 F2 D2
F D F L' D2 B2 U2
F D F L' B U2 F2
F D F L' B' U2 F2
F D F L' B2 U2 F2
F' D F' D2 B2 U2 R
F' D F' B U2 R F2
F' D F' B' U2 R F2
F' D F' B2 U2 R F2
F D F U2 R F2 R
F D F U2 R' F2 R
F D F U2 R2 F2 R
F D F U2 F2 R D
F D F U2 F2 R D'
F D F U2 F2 R D2
F D F U2 F2 D R
F D F U2 F2 D' R
F D F U2 F2 D2 R
F D F D2 L' B2 U2
F D F D2 B2 L' U2
F D F B L' U2 F2
F D F B U2 F2 R
F D F B' L' U2 F2
F D F B' U2 F2 R
F D F B2 L' U2 F2
F D F B2 U2 F2 R
F D F' R D2 B2 L
F D F' D2 R B2 L
F' D B F' U2 R F2
F' D B' F' U2 R F2
F D B F L' U2 F2
F D B F U2 F2 R
F' D B2 F' U2 R F2
F D B' F L' U2 F2
F D B' F U2 F2 R
L' F' U2 D R2 F B
L' F' U2 D R2 B F
D F' U' R2 U' R' F
D F' U' R2 U' F R'
F D B2 F L' U2 F2
F D B2 F U2 F2 R
L' F' D U2 R2 F B
L' F' D U2 R2 B F
D F' U2 D R F B2
D F' U2 D R B2 F
D F' U2 D B2 R F
L' F' D F' U2 R2 F2
L' F' D F' U2 F2 R2
L' F' D' L2 F' B' U2
L' F' D' L2 B' F' U2
F' D' L2 F' B' L U2
F' D' L2 B' L F' U2
D F' D R F B2 L
F' D' L2 B' F' L U2
D F' D R B2 F L
L' F' D' F' L2 U2 F2
D F' D U2 R F B2
D F' D U2 R B2 F
D F' D U2 B2 R F
D F' D' F2 L' U2 F'
L' F2 L U' F' U' F'
U2 F2 L U B' U L'
L2 F2 L U' F U' F
F' D' U2 R2 F B R'
F' D' U2 R2 B R' F
F' D' U2 R2 B F R'
L' F2 L' U' F' U' F'
L2 F2 L' U B' U F2
U2 F2 L' U' F U' L
L' F2 L2 U' F' U' F'
F' D' F' B U2 R' F2
F' D' F' B U2 F2 R'
F' D' F' B' L U2 F2
F D' F B U2 R' F2
F D' F B U2 F2 R'
F D' F B' L U2 F2
L F2 L2 U' F U' F
F2 D' B U' L2 U' R'
F2 D' B U2 R' D F2
F' D' B F' U2 R' F2
F' D' B F' U2 F2 R'
F2 D' B U2 D R' F2
F2 D' B U2 D F2 R'
F2 D' B D U2 R' F2
F2 D' B D U2 F2 R'
F2 D' B D' B2 L U2
F2 D' B' L U' L U'
L' F2 U R2 B U F2
L' F2 U D R2 B U
F' D' B' F' L U2 F2
F2 D' B' D L U2 F2
F2 D' B' D' L B2 U2
F2 D' B' D' B2 U2 R'
L' F2 U' L F' U' F'
F D' B F U2 R' F2
F D' B F U2 F2 R'
L' F2 U' L' F' U' F'
L' F2 U' L2 F' U' F'
L' F2 U' D' L2 F' U'
L' F2 U' D' F' L2 U'
L2 F2 U B' U R' F2
L2 F2 U B' U F2 R'
L' F2 U' F' L U' F'
L' F2 U' F' L' U' F'
L' F2 U' F' L2 U' F'
L' F2 U' F' U' D F'
L' F2 U' F' U' D' F'
L' F2 U' F' U' D2 F'
L' F2 U' F' U' F' D
L' F2 U' F' U' F' D'
L' F2 U' F' U' F' D2
L' F2 U' F' D U' F'
L' F2 U' F' D' U' F'
L' F2 U' F' D2 U' F'
F D' B' F L U2 F2
L F2 U R B' U F2
L F2 U R' B' U F2
L2 F2 U' F U' R F
L F2 U R2 B' U F2
L F2 U D R2 B' U
L F2 U D B' R2 U
L' F2 U2 F D R2 F
L' F2 U2 F D F R2
L F2 U B' R U F2
L F2 U B' R' U F2
L' F2 U2 F2 U F U'
L F2 U B' R2 U F2
L F2 U B' U F2 D
L F2 U B' U F2 D'
L F2 U B' U F2 D2
L F2 U B' D R2 U
L F2 U' L2 F U' F
L F2 U' D' L2 F U'
L' F2 D U R2 B U
L' F2 D' U' L2 F' U'
L' F2 D' U' F' L2 U'
L F2 U2 F2 U' B' U
L F2 D U R2 B' U
L F2 D U B' R2 U
L' F2 D2 B2 U' F' U'
L F2 D' U' L2 F U'
L' F2 B U' F' U' F'
L' F2 B' U' F' U' F'
L F2 D2 B2 U B U
L' F2 B2 U' F' U' F'
L F2 B U B2 U F2
L F2 B U2 F2 D' R2
L F2 B' U2 F2 D R2
L F2 B2 U B U F2
F2 D2 B D B U2 R'
F2 D2 B' D B' L U2
F2 B L U B' U F2
F2 B L' U' F U' F
D' B D F2 U2 R' F2
D' B D F2 U2 F2 R'
D' B D' R B2 L R2
D' B D' R B2 R2 L
L' B F2 U' F' U' F'
F2 B U' L' F U' F
L B F2 U B2 U F2
L B F2 U2 F2 D' R2
F2 B U2 F' D F' R
B' F D F L' U2 F2
B' F D F U2 F2 R
F' B D F' U2 R F2
B2 F D F L' U2 F2
B2 F D F U2 F2 R
D' B' R D' B2 L R'
D' B' R D' B2 R' L
B F D F L' U2 F2
B F D F U2 F2 R
F B D F L' U2 F2
F B D F U2 F2 R
F2 B' L U B' U F2
F2 B' L' U' F U' F
D' B' D L F2 U2 F2
D' B' D F2 L U2 F2
D' B' D' R B2 L R'
D' B' D' R B2 R' L
F2 B' U' L' F U' F
F2 B' U2 F' D F' R
L' B' F2 U' F' U' F'
B' F' D F' U2 R F2
F' B' D F' U2 R F2
B2 F' D F' U2 R F2
B F' D F' U2 R F2
L B' F2 U2 F2 D R2
F B' D F L' U2 F2
F B' D F U2 F2 R
B' F2 L U B' U F2
B2 F2 L U B' U F2
F2 B2 L U B' U F2
B' F2 L' U' F U' F
B F2 L U B' U F2
B2 F2 L' U' F U' F
F2 B2 L' U' F U' F
B F2 L' U' F U' F
B' F2 U' L' F U' F
B2 F2 U' L' F U' F
F2 B2 U' L' F U' F
B' F2 U2 F' D F' R
B F2 U' L' F U' F
B2 F2 U2 F' D F' R
F2 B2 U2 F' D F' R
F' B2 D F' U2 R F2
B F2 U2 F' D F' R
F B2 D F L' U2 F2
F B2 D F U2 F2 R
L' B2 F2 U' F' U' F'
L B2 F2 U B U F2
