F2 L' B U2 L U'
F2 L' B' R' B2 U
B L2 F2 L' R U
B L2 F2 R L' U
F2 B L' U D F2
F2 B L' U2 L2 U'
F2 B L' D U F2
F2 B L' D2 R2 U
F2 B' L' R' B2 U
F2 B' R' L' B2 U
F2 B' R' B2 L' U
B' F2 L' R' B2 U
B F2 L' U D F2
B F2 L' U2 L2 U'
B F2 L' D U F2
B F2 L' D2 R2 U
B' F2 R' L' B2 U
B' F2 R' B2 L' U
F U2 B F R L' U
F2 D L' B U2 L U'
F2 D L' B' R' B2 U
U2 F B R F L' U
F2 D B L' U D F2
F2 D B L' U2 L2 U'
F2 D B L' D U F2
F2 D B L' D2 R2 U
F2 D B' L' R' B2 U
F2 D B' R' L' B2 U
F2 D B' R' B2 L' U
R2 F' R2 B L R U'
R2 F' R2 B R L U'
F2 D' L' B U2 L U'
F2 D' L' B' R' B2 U
U' F2 L' B U D2 F2
U' F2 L' B U' B2 U2
U' F2 L' B D' R2 U
U' F2 L' B D2 U F2
L' F2 L' B U2 L U'
L' F2 L' B' R' B2 U
B D' U2 L R U' L
B D' U2 R L U' L
U2 F2 L' D2 B R' U
L2 F2 L' B U2 L U'
L2 F2 L' B' R' B2 U
U F2 L' B R' U F'
L F2 L' B U2 L U'
L F2 L' B' R' B2 U
F2 D' B L' U D F2
F2 D' B L' U2 L2 U'
F2 D' B L' D U F2
F2 D' B L' D2 R2 U
F2 D' B' L' R' B2 U
F2 D' B' R' L' B2 U
F2 D' B' R' B2 L' U
F2 D2 L' B U2 L U'
F2 D2 L' B' R' B2 U
U2 F2 D' L' B U F
U2 F2 D' B L' U F
U' F2 B L' U' B' U2
U2 F2 D2 L' B R' U
L' F2 B L' U D F2
L' F2 B L' U2 L2 U'
L' F2 B L' D U F2
L' F2 B L' D2 R2 U
U2 F2 D2 B L' R' U
U2 F2 D2 B R' L' U
L2 F2 B L' U D F2
L2 F2 B L' U2 L2 U'
L2 F2 B L' D U F2
L2 F2 B L' D2 R2 U
L' F2 B' L' R' B2 U
L' F2 B' R' L' B2 U
L' F2 B' R' B2 L' U
U2 F2 B D' L' U F
L2 F2 B' L' R' B2 U
L2 F2 B' R' L' B2 U
L2 F2 B' R' B2 L' U
U F2 B L' R' U F'
L F2 B L' U D F2
L F2 B L' U2 L2 U'
L F2 B L' D U F2
L F2 B L' D2 R2 U
U F2 B R' L' U F'
U' B L F2 L' U F'
L F2 B' L' R' B2 U
L F2 B' R' L' B2 U
L F2 B' R' B2 L' U
B D2 U2 L R B2 U'
B D2 U2 L B2 R U'
B D2 U2 R L B2 U'
U' B L2 F2 L' U F
L' B L2 F2 L' R U
L' B L2 F2 R L' U
L2 B L2 F2 L' R U
L2 B L2 F2 R L' U
L B L2 F2 L' R U
L B L2 F2 R L' U
F2 D2 B L' U D F2
F2 D2 B L' U2 L2 U'
F2 D2 B L' D U F2
F2 D2 B L' D2 R2 U
F2 D2 B' L' R' B2 U
B' D2 B2 L R F2 U'
F2 D2 B' R' L' B2 U
F2 D2 B' R' B2 L' U
B' D2 B2 R L F2 U'
B' D2 B2 R F2 L U'
D2 B U2 L B R U'
D' B U2 L R U' L
D' B U2 R L U' L
F2 B L' R U D F2
F2 B L' R U2 L2 U'
F2 B L' R D U F2
F2 B L' R D2 R2 U
F2 B L' R' U D F2
F2 B L' R' U2 L2 U'
F2 B L' R' D U F2
F2 B L' R' D2 R2 U
F2 B L' R2 U D F2
F2 B L' R2 U2 L2 U'
F2 B L' R2 D U F2
F2 B L' R2 D2 R2 U
F2 B L' U D F2 D
F2 B L' U D F2 D'
F2 B L' U D F2 D2
F2 B L' U F D F2
F2 B L' U F' D F2
F2 B L' U F2 D F2
F2 B L' U' D' B2 U2
F2 B L' U2 L2 U' D
F2 B L' U2 L2 U' D'
F2 B L' U2 L2 U' D2
F2 B L' U2 L2 D U'
F2 B L' U2 L2 D' U'
F2 B L' U2 L2 D2 U'
F2 B L' D R U F2
F2 B L' D R' U F2
F2 B L' D R2 U F2
F2 B L' D U F2 D
F2 B L' D U F2 D'
F2 B L' D U F2 D2
F2 B L' D' U' B2 U2
F2 B L' D2 R2 U D
F2 B L' D2 R2 U D'
F2 B L' D2 R2 U D2
F2 B L' D2 R2 D U
F2 B L' D2 R2 D' U
F2 B L' D2 R2 D2 U
F2 B R L' U D F2
F2 B R L' U2 L2 U'
F2 B R L' D U F2
F2 B R L' D2 R2 U
B' F R' F L' B2 U
B' F R' F B2 L' U
F2 B R' L' U D F2
F2 B R' L' U2 L2 U'
F2 B R' L' D U F2
F2 B R' L' D2 R2 U
B' F R' B2 F L' U
U2 B F R F L' U
F2 B R2 L' U D F2
F2 B R2 L' U2 L2 U'
F2 B R2 L' D U F2
F2 B R2 L' D2 R2 U
U' B F2 L' U' B' U2
L' B F2 L' U D F2
L' B F2 L' U2 L2 U'
L' B F2 L' D U F2
L' B F2 L' D2 R2 U
L2 B F2 L' U D F2
L2 B F2 L' U2 L2 U'
L2 B F2 L' D U F2
L2 B F2 L' D2 R2 U
U2 B F2 D' L' U F
U B F2 L' R' U F'
L B F2 L' U D F2
L B F2 L' U2 L2 U'
L B F2 L' D U F2
L B F2 L' D2 R2 U
F2 B U2 L U' D' B2
F2 B U2 L U2 L2 U
F2 B U2 L D' U' B2
U B F2 R' L' U F'
F2 B U2 L D2 R2 U'
F2 B D L' U D F2
F2 B D L' U2 L2 U'
F2 B D L' D U F2
F2 B D L' D2 R2 U
F2 B D' L' U D F2
F2 B D' L' U2 L2 U'
F2 B D' L' D U F2
F2 B D' L' D2 R2 U
F2 B D2 L' U D F2
F2 B D2 L' U2 L2 U'
F2 B D2 L' D U F2
F2 B D2 L' D2 R2 U
F2 B' L R' B2 L2 U
F2 B' L' R B2 R2 U
F2 B' L' R' U D' R2
F2 B' L' R' D' U R2
F2 B' L' R' B2 U D
F2 B' L' R' B2 U D'
F2 B' L' R' B2 U D2
F2 B' L' R' B2 D U
F2 B' L' R' B2 D' U
F2 B' L' R' B2 D2 U
F2 B' L' R2 B2 R U
F2 B' L' D' R' U R'
R B' R' F2 L' B U
R B' R' F2 B L' U
F2 B' L' B2 U2 L U'
R B' R' B F2 L' U
F2 B' R L' B2 R2 U
F2 B' R B2 L' R2 U
F2 B' R B2 R2 L' U
F2 B' R' L B2 L2 U
F2 B' R' L' U D' R2
F2 B' R' L' D' U R2
F2 B' R' L' B2 U D
F2 B' R' L' B2 U D'
F2 B' R' L' B2 U D2
F2 B' R' L' B2 D U
F2 B' R' L' B2 D' U
F2 B' R' L' B2 D2 U
F2 B' R' D' L' U R2
F2 B' R' B L' B U
F2 B' R' B2 L' U D
F2 B' R' B2 L' U D'
F2 B' R' B2 L' U D2
F2 B' R' B2 L' D U
F2 B' R' B2 L' D' U
F2 B' R' B2 L' D2 U
F2 B' R' B2 D L' U
F2 B' R' B2 D' L' U
F2 B' R' B2 D2 L' U
F2 B' R2 L' B2 R U
R B' U2 R' F2 B U
R B' U2 R' B F2 U
R B' U2 F2 R' B U
F2 B' R2 B2 L' R U
F2 B' R2 B2 R L' U
F B' R' F L' B2 U
F B' R' F B2 L' U
F B' R' B2 F L' U
L' B' F2 L' R' B2 U
L' B' F2 R' L' B2 U
L' B' F2 R' B2 L' U
L2 B' F2 L' R' B2 U
L2 B' F2 R' L' B2 U
L2 B' F2 R' B2 L' U
F2 B' D' L' R' U R'
F2 B' D' R' L' U R'
L B' F2 L' R' B2 U
L B' F2 R' L' B2 U
L B' F2 R' B2 L' U
B' F2 L R' B2 L2 U
B' F2 L' R B2 R2 U
B' F2 L' R' U D' R2
B' F2 L' R' D' U R2
B' F2 L' R' B2 U D
B' F2 L' R' B2 U D'
B' F2 L' R' B2 U D2
B' F2 L' R' B2 D U
B' F2 L' R' B2 D' U
B' F2 L' R' B2 D2 U
B' F2 L' R2 B2 R U
B' F2 L' D' R' U R'
B' F2 L' B2 U2 L U'
B F2 L' R U D F2
B F2 L' R U2 L2 U'
B F2 L' R D U F2
B F2 L' R D2 R2 U
B F2 L' R' U D F2
B F2 L' R' U2 L2 U'
B F2 L' R' D U F2
B F2 L' R' D2 R2 U
B F2 L' R2 U D F2
B F2 L' R2 U2 L2 U'
B F2 L' R2 D U F2
B F2 L' R2 D2 R2 U
B F2 L' U D F2 D
B F2 L' U D F2 D'
B F2 L' U D F2 D2
B F2 L' U F D F2
B F2 L' U F' D F2
B F2 L' U F2 D F2
B F2 L' U' D' B2 U2
B F2 L' U2 L2 U' D
B F2 L' U2 L2 U' D'
B F2 L' U2 L2 U' D2
B F2 L' U2 L2 D U'
B F2 L' U2 L2 D' U'
B F2 L' U2 L2 D2 U'
B F2 L' D R U F2
B F2 L' D R' U F2
B F2 L' D R2 U F2
B' F2 R L' B2 R2 U
B F2 L' D U F2 D
B F2 L' D U F2 D'
B F2 L' D U F2 D2
B F2 L' D' U' B2 U2
B F2 L' D2 R2 U D
B F2 L' D2 R2 U D'
B F2 L' D2 R2 U D2
B F2 L' D2 R2 D U
B F2 L' D2 R2 D' U
B F2 L' D2 R2 D2 U
B' F2 R B2 L' R2 U
B' F2 R B2 R2 L' U
B' F2 R' L B2 L2 U
B' F2 R' L' U D' R2
B' F2 R' L' D' U R2
B' F2 R' L' B2 U D
B' F2 R' L' B2 U D'
B' F2 R' L' B2 U D2
B' F2 R' L' B2 D U
B' F2 R' L' B2 D' U
B' F2 R' L' B2 D2 U
B' F2 R' D' L' U R2
B F2 R L' U D F2
B F2 R L' U2 L2 U'
B F2 R L' D U F2
B' F2 R' B L' B U
B F2 R L' D2 R2 U
B' F2 R' B2 L' U D
B' F2 R' B2 L' U D'
B' F2 R' B2 L' U D2
B' F2 R' B2 L' D U
B' F2 R' B2 L' D' U
B' F2 R' B2 L' D2 U
B' F2 R' B2 D L' U
B' F2 R' B2 D' L' U
B' F2 R' B2 D2 L' U
B' F2 R2 L' B2 R U
B F2 R' L' U D F2
B F2 R' L' U2 L2 U'
B F2 R' L' D U F2
B F2 R' L' D2 R2 U
B' F2 R2 B2 L' R U
B' F2 R2 B2 R L' U
B F2 R2 L' U D F2
B F2 R2 L' U2 L2 U'
B F2 R2 L' D U F2
B F2 R2 L' D2 R2 U
B F2 U2 L U' D' B2
B F2 U2 L U2 L2 U
B F2 U2 L D' U' B2
B F2 U2 L D2 R2 U'
B' F2 D' L' R' U R'
B' F2 D' R' L' U R'
B2 F2 D B' L' U F
F2 B2 D B' L' U F
B F2 D L' U D F2
B F2 D L' U2 L2 U'
B F2 D L' D U F2
B F2 D L' D2 R2 U
B F2 D' L' U D F2
B F2 D' L' U2 L2 U'
B F2 D' L' D U F2
B F2 D' L' D2 R2 U
B F2 D2 L' U D F2
B F2 D2 L' U2 L2 U'
B F2 D2 L' D U F2
B F2 D2 L' D2 R2 U
