L' R F' U R2 F
L' R F' U F R2
R' L' U B U' B'
L' R' U B U' B'
R L' F' U R2 F
R L' F' U F R2
D2 L' F U F' R'
R' U B U2 L' U
R' U' L' U2 B U'
R U' L' F' U R2
D2 R' U' L' F U
D R' B' L D' B2
D2 U' L' F U R'
U' D2 L' F U R'
R' B U' L' U L
U' L' D' F U L' R'
U' L' D' F U R' L'
L R' B D' B2 D L2
R L' B F' U R2 F
R L' B F' U F R2
R' L' B' U B2 U' B2
L' R' B' U B2 U' B2
R' L' B' D L2 D' B2
L' R' B' D L2 D' B2
D2 L' D2 F U F' R'
L R' B' D L2 D2 B2
L R' B' D' B2 D2 L2
R L' B' F' U R2 F
R L' B' F' U F R2
R' L' B2 U B' U' B
L' R' B2 U B' U' B
D' L' F U L' F' R'
D2 L' F U D F' R'
D2 L' F U D' F' R'
D2 L' F U D2 F' R'
D2 L' F U F R' F2
D2 L' F U F' R' D
D2 L' F U F' R' D'
D2 L' F U F' R' D2
D2 L' F U F' D R'
D2 L' F U F' D' R'
D2 L' F U F' D2 R'
D2 L' F U F2 R' F
L2 R' B2 U R' B' U'
D2 L' F D U F' R'
L R' B2 U' L2 F U
D2 L' F D' U F' R'
D2 L' F D2 U F' R'
R L' B2 F' U R2 F
R L' B2 F' U F R2
R' L2 U B2 R' B' U'
R' L2 U' L U2 B U'
R L2 U' L F' U R2
R L2 U' F' L U R2
L' R2 F U F' L' R
L' R2 F U F' R L'
R' L2 B2 U R' B' U'
R' U R2 U2 L' F' U
R' U D B U2 L' U
R' U D' B U2 L' U
R' U D2 B U2 L' U
D2 R L' F U F' R2
U' R L' F' R' U R'
U2 R U L' F' U R2
D2 R U' L' F U R2
R' U F2 B R F2 U'
B R U' L' F' B' U
B R U' L' B' F' U
R' U B R U2 L' U
R' U B R' U2 L' U
R' U B R2 U2 L' U
R' U B U2 L' U D
R' U B U2 L' U D'
R' U B U2 L' U D2
R' U B U2 L' D U
R' U B U2 L' D' U
R' U B U2 L' D2 U
R' U B U2 D L' U
R' U B U2 D' L' U
R' U B U2 D2 L' U
R' U B D U2 L' U
R' U B D' U2 L' U
R' U B D2 U2 L' U
R' U B F2 R F2 U'
U R U2 L' F' U R2
F2 R U2 F' U F' R2
F2 R D' F2 L2 B' U'
R' U' L' R2 F' R2 U
R' U' L' U2 D B U'
R' U' L' U2 D' B U'
R' U' L' U2 D2 B U'
R' U' L' U2 B U' D
R' U' L' U2 B U' D'
R' U' L' U2 B U' D2
R' U' L' U2 B D U'
R' U' L' U2 B D' U'
R' U' L' U2 B D2 U'
R' U' L' D U2 B U'
R' U' L' D' U2 B U'
R' U' L' D2 U2 B U'
R U' L F' L2 U R2
R' U' L' F U2 B U'
R' U' L' F' U2 B U'
R' U' L' F2 U2 B U'
R U' L' D F' B2 U
R U' L' D B2 F' U
R2 U' L' B U L R
R2 U' L' B U R L
R U' L' F' U R2 D
R U' L' F' U R2 D'
R U' L' F' U R2 D2
R U' L' F' D B2 U
R U' L' F' B U R2
R U' L' F' B' U R2
R U' L' F' B2 U R2
R U' L' B F' U R2
R U' L' B' F' U R2
R U' L' B2 F' U R2
R U' L2 F' L U R2
R' U' R2 L' F' R2 U
R' U' D L' U2 B U'
D R B' L R2 D' B2
D R B' R2 L D' B2
R' U' D' L' U2 B U'
R U' D L' F' B2 U
R U' D L' B2 F' U
D2 R' L U' L2 F U
R' U' D2 L' U2 B U'
R U' D B2 L' F' U
D R' L B D' B2 L
D R' L B' D' L B2
R' U' F2 U2 B R U'
D2 R' U' L' D F U
D2 R' U' L' D' F U
D2 R' U' L' D2 F U
D2 R' U' L' F U D
D2 R' U' L' F U D'
D2 R' U' L' F U D2
D2 R' U' L' F D U
D2 R' U' L' F D' U
D2 R' U' L' F D2 U
D' R' U' L' F U L'
F2 R' U B R2 U' F2
D' R' U' D' L' F U
D' R' U' F U L' B'
D R' U' D L' F U
R2 U' B L' U L2 R
R2 U' B L' U R L2
R U' B L' F' U R2
R U' B' L' F' U R2
D R' D U' L' F U
D' R' D' U' L' F U
R U' B2 L' F' U R2
D2 R' D' B' L D' B2
D' R' D2 B' L D' B2
F2 R' F2 U B R2 U'
F2 R' F2 B' D L2 B2
F2 R' F2 B' D B2 L2
D2 R' B U' L' F U
R' U2 R2 U L' F' U
D R' B L D' B2 L
F2 R' B R2 U' R2 F2
F2 R' B R2 U' F2 R2
U R' F2 B R U' R'
D2 R' B' U' L' F U
D R' B' L U' L2 U
D R' B' L D' B2 D
D R' B' L D' B2 D'
D R' B' L D' B2 D2
D R' B' L B D' B2
D R' B' L B' D' B2
D R' B' L B2 D' B2
U R' B F2 R U' R'
D R' B' U' L' U L2
D R' B' D L D' B2
F2 R' B' F2 D L2 B2
F2 R' B' F2 D B2 L2
D R' B' D' L D' B2
D2 R' B2 U' L' F U
D R' B' D2 L D' B2
D2 R2 L' F U F' R
R' U2 F2 U' B R U'
R' D L' U B U' B'
R D L' F' B2 U F
R D L' B2 F' U F
L D R' B D2 B2 L
L D R' B' L D2 B2
L D R' B' D2 L B2
D R2 B' L R D' B2
D R2 B' L D' R B2
D R2 B' L D' B2 R
R' D U B U2 L' U
D R2 B' R L D' B2
R' D U' L' U2 B U'
R D U' L' F' B2 U
R D U' L' B2 F' U
R D U' B2 L' F' U
R' D B U' L' U L
R D B2 L' F' U F
R' D' L' U B U' B'
L D' R' F L' F' B2
L D' R' F L' B2 F'
L D' R' F B2 L' F'
L D' R' B' D2 B' L
L D' R' B2 F L' F'
R' D' U B U2 L' U
D2 U' L' D F U R'
D2 U' L' D' F U R'
U' D' L' F U L' R'
U' D' L' F U R' L'
D' U' L' F U L' R'
D' U' L' F U R' L'
D2 U' L' D2 F U R'
D2 U' L' F U R' D
D2 U' L' F U R' D'
D2 U' L' F U R' D2
D2 U' L' F U D R'
D2 U' L' F U D' R'
D2 U' L' F U D2 R'
D2 U' L' F D U R'
D2 U' L' F D' U R'
D2 U' L' F D2 U R'
R' D' U' L' U2 B U'
L' D' F U L' F' R'
B U' L' D B' U L
L D' F L' F' R' B2
U' D' F U L' R' B'
D' U' F U L' R' B'
D' U' F U R' L' B'
U' D' F U R' L' B'
R' D' B U' L' U L
B U' D L' B' U L
R' D2 L' U B U' B'
B U' D2 L' F B' U
B U' D2 L' B' F U
U' D2 L' D F U R'
U' D2 L' D' F U R'
U' D2 L' D2 F U R'
U' D2 L' F U R' D
U' D2 L' F U R' D'
U' D2 L' F U R' D2
U' D2 L' F U D R'
U' D2 L' F U D' R'
U' D2 L' F U D2 R'
U' D2 L' F D U R'
U' D2 L' F D' U R'
U' D2 L' F D2 U R'
R' D2 U B U2 L' U
R' D2 U' L' U2 B U'
R' D2 B U' L' U L
D' F U L' F' R' B'
U F R2 U' R B L
R2 F U F' L' R B'
R2 F U F' L' B' R
R2 F U F' R L' B'
R2 F U' F' R B L
F' D R' D2 F L' B
F' D R' D2 F B L'
F' D R' D2 B F L'
F' D R' F B' L B2
F' D R' B' F L B2
B D U' L' B' U L
F' D F R' B' L B2
L' F' R F' U R2 F2
L' F' R F' U F2 R2
L' F' U D' R' F L'
L' F' U D' F L' R'
L' F' U D' F R' L'
B D B' L R' D' B2
B D B' L D' R' B2
B D B' R' L D' B2
D2 F' D R' F L' B
D2 F' D R' F B L'
D2 F' D R' B F L'
D2 F' D F L' R' B
D2 F' D F R' L' B
D2 F' D F R' B L'
L' F' D' U R' F L'
L' F' D' U F L' R'
L' F' D' U F R' L'
L F' D' R' F L' B2
L F' D' R' F B2 L'
F' D' R' F L B' L2
L F' D' R' B2 F L'
L F' D' F L' R' B2
L F' D' F R' L' B2
L F' D' F R' B2 L'
F' D' F L R' B' L2
F' D' F R' L B' L2
F' D' F D2 L' R' B
F' D' F D2 R' L' B
F' D' F D2 R' B L'
L' F2 R F' U F' R2
R2 F2 R B U' F2 R
U F2 R U2 F' U R2
R' F2 U B R U' F2
U F2 R' B R2 U' R2
R' F2 B R U' R' F2
R' F2 B R U' F2 R'
R' B L U' L2 U L2
R' B L D' B2 D L2
B D2 U' L' F B' U
B D2 U' L' B' F U
R' B L2 U' L U L'
R B L' F' U R2 F
R B L' F' U F R2
R' B U' L' U L D
R' B U' L' U L D'
R' B U' L' U L D2
R' B U' L' U D L
R' B U' L' U D' L
R' B U' L' U D2 L
R' B U' L' D U L
R' B U' L' D' U L
R' B U' L' D2 U L
R' B U' L' F U L
R' B U' L' F' U L
R' B U' L' F2 U L
D2 B U' L' F B' U
D2 B U' L' B' F U
R' B U' D L' U L
R' B U' D' L' U L
R' B U' D2 L' U L
R' B D U' L' U L
R B U' L' F' U R2
L2 B D L B' L R'
L2 B D L B' R' L
R' B D' U' L' U L
L2 B D B' L R' B'
L2 B D B' R' L B'
R' B D2 U' L' U L
R' B F2 R U' R' F2
R' B F2 R U' F2 R'
R' B' L D L2 D2 B2
R' B' L D' B2 D2 L2
R' B' L' U B2 U' B2
R' B' L' D L2 D' B2
R' B' L2 U B2 R' U'
D B' L B R' D' B2
D B' L B D' R' B2
D B' L B' D' B2 R'
R B' L' F' U R2 F
R B' L' F' U F R2
R' B' U B2 U2 L' U
R' B' U' L' U D L2
R' B' U' L' U2 B2 U'
R' B' U' L' D U L2
R' B' U' L' D2 F2 U
R' B' U' D L' U L'
R' B' U' D2 L' F2 U
R' B' D L D' L B2
R' B' D L2 U' L U
R' B' D U' L' U L'
R B' U' L' F' U R2
R' B' D2 L D' L2 B2
R' B' D2 L D' B2 L2
R' B' D2 U' L' F2 U
R' B2 L2 U' F L U
R B2 L' F' U R2 F
R B2 L' F' U F R2
R' B2 U B' U2 L' U
R' B2 U' L2 F L U
R B2 U' L' F' U R2
