F' L' U' B' L'
F' L' R U' B' L'
F' L' R' U' B' L'
F' L' R2 U' B' L'
F' L' U' D B' L'
F' L' U' D' B' L'
F' L' U' D2 B' L'
F' L' U' B L' B2
F' L' U' B' L' D
F' L' U' B' L' D'
F' L' U' B' L' D2
F' L' U' B' D L'
F' L' U' B' D' L'
F' L' U' B' D2 L'
F' L' U' B2 L' B
F' L' D U' B' L'
F' L' D' U' B' L'
F' L' D2 U' B' L'
F' L' B U' L' B2
F' L' B U' B2 L'
F' L' B2 U' L' B
F' L' B2 U' B L'
F' R L' U' B' L'
F' R' L' U' B' L'
F' R2 L' U' B' L'
D' F' L' B2 U' B
F' D' L' B2 U' B
D' F' B2 L' U' B'
F' D' B2 L' U' B'
F' B L' U' B' L'
F' B' L' U' B' L'
B' F' L' U' B' L'
B2 F' L' U' B' L'
B F' L' U' B' L'
F' B2 L' U' B' L'
D' B2 F' L' U' B'
D' F' L' B2 D' U' B
D' F' L' B2 D2 U' B
L2 F' L' U' L2 B' L'
D F' L' R2 B U' B2
D F' L' U2 F' U B'
D' F' R L' B2 U' B
L F' L' U F2 U2 L2
L F' L' U' L2 D2 B2
R F' L' U' B' L' R'
R F' L' U' B' R' L'
D' F' R B2 L' U' B'
D' F' R' L' B2 U' B
D' F' R' B2 L' U' B'
D' F' R2 L' B2 U' B
D' F' R2 B2 L' U' B'
D F' R2 L' B U' B2
D F' R2 B L' U' B'
F' D' L B2 L2 U' B'
F' D' L' R B2 U' B
F' D' L' R' B2 U' B
F' D' L' R2 B2 U' B
F' D' L' U' D B' L2
D' F' D L' U' B' L'
D2 F' D L' B2 U' B
F' D' L' D U' B' L2
F' D' L' B2 U' D B
F' D' L' B2 U' D' B
F' D' L' B2 U' D2 B
F' D' L' B2 U' B D
F' D' L' B2 U' B D'
F' D' L' B2 U' B D2
F' D' L' B2 D U' B
F' D' L' B2 D' U' B
F' D' L' B2 D2 U' B
D2 F' D B2 L' U' B'
F' D' R L' B2 U' B
L F' D L' R2 U' L2
D2 F' D2 L' U' B' L'
L F' D R2 L' U' L2
F' D' R B2 L' U' B'
F' D' R' L' B2 U' B
D' F' B L' B U' B2
F' D' R' B2 L' U' B'
F' D' R2 L' B2 U' B
L F' D2 L' U' L2 B2
L F' D2 L' U' B2 L2
F' D' R2 B2 L' U' B'
D' F' B2 L' R U' B'
D' F' B2 L' R' U' B'
D' F' B2 L' R2 U' B'
D' F' B2 L' U' D B'
D' F' B2 L' U' D' B'
D' F' B2 L' U' D2 B'
D' F' B2 L' U' B' D
D' F' B2 L' U' B' D'
D' F' B2 L' U' B' D2
D' F' B2 L' D U' B'
D' F' B2 L' D' U' B'
D' F' B2 L' D2 U' B'
D' F' B2 R L' U' B'
D' F' B2 R' L' U' B'
D' F' B2 R2 L' U' B'
D' F' B2 D L' U' B'
D' F' B2 D' L' U' B'
D' F' B2 D2 L' U' B'
B' D' F' L' B2 U' B
B2 D' F' L' B2 U' B
B' D' F' B2 L' U' B'
B2 D' F' B2 L' U' B'
B D' F' L' B2 U' B
F' D' B L' B U' B2
B D' F' B2 L' U' B'
F' D' B2 L' R U' B'
F' D' B2 L' R' U' B'
F' D' B2 L' R2 U' B'
F' D' B2 L' U' D B'
F' D' B2 L' U' D' B'
F' D' B2 L' U' D2 B'
F' D' B2 L' U' B' D
F' D' B2 L' U' B' D'
F' D' B2 L' U' B' D2
F' D' B2 L' D U' B'
F' D' B2 L' D' U' B'
F' D' B2 L' D2 U' B'
F' D' B2 R L' U' B'
F' D' B2 R' L' U' B'
F' D' B2 R2 L' U' B'
B' D' B2 F' L' U' B'
F' D' B2 D L' U' B'
F' D' B2 D' L' U' B'
F' D' B2 D2 L' U' B'
B2 D' B2 F' L' U' B'
B D' B2 F' L' U' B'
F' D2 L' U R2 U2 B'
F' D2 L' U' D2 B' L2
F' D2 L' U' B' D2 L2
F' D2 L' D B2 U' B
F' D2 L' D2 U' B' L2
F' B L' R U' B' L'
F' B L' R' U' B' L'
F' B L' R2 U' B' L'
F' B L' U' D B' L'
F' B L' U' D' B' L'
F' B L' U' D2 B' L'
F' B L' U' B L' B2
F' B L' U' B' L' D
F' B L' U' B' L' D'
F' B L' U' B' L' D2
F' B L' U' B' D L'
F' B L' U' B' D' L'
F' B L' U' B' D2 L'
F' B L' U' B2 L' B
F' B L' D U' B' L'
F' B L' D' U' B' L'
F' B L' D2 U' B' L'
F' B L' B U' L' B2
F' B L' B U' B2 L'
F' B L' B2 U' L' B
F' B L' B2 U' B L'
F' B R L' U' B' L'
F' B R' L' U' B' L'
F' B R2 L' U' B' L'
D' B F' L' B U' B2
F' B D' L' B2 U' B
F' B D' B2 L' U' B'
B' F' L' R U' B' L'
B' F' L' R' U' B' L'
B' F' L' R2 U' B' L'
B' F' L' U' D B' L'
B' F' L' U' D' B' L'
B' F' L' U' D2 B' L'
B' F' L' U' B L' B2
B' F' L' U' B' L' D
B' F' L' U' B' L' D'
B' F' L' U' B' L' D2
B' F' L' U' B' D L'
B' F' L' U' B' D' L'
B' F' L' U' B' D2 L'
B' F' L' U' B2 L' B
B' F' L' D U' B' L'
F' B' L' R U' B' L'
B' F' L' D' U' B' L'
F' B' L' R' U' B' L'
F' B' L' R2 U' B' L'
B' F' L' D2 U' B' L'
B2 F' L' R U' B' L'
B2 F' L' R' U' B' L'
F' B' L' U' D B' L'
F' B' L' U' D' B' L'
F' B' L' U' D2 B' L'
F' B' L' U' B L' B2
F' B' L' U' B' L' D
F' B' L' U' B' L' D'
F' B' L' U' B' L' D2
F' B' L' U' B' D L'
F' B' L' U' B' D' L'
F' B' L' U' B' D2 L'
F' B' L' U' B2 L' B
B2 F' L' R2 U' B' L'
B' F' L' B U' L' B2
F' B' L' D U' B' L'
B' F' L' B U' B2 L'
B2 F' L' U' D B' L'
B2 F' L' U' D' B' L'
F' B' L' D' U' B' L'
B2 F' L' U' D2 B' L'
B2 F' L' U' B L' B2
B2 F' L' U' B' L' D
B2 F' L' U' B' L' D'
B2 F' L' U' B' L' D2
B2 F' L' U' B' D L'
B2 F' L' U' B' D' L'
B2 F' L' U' B' D2 L'
B2 F' L' U' B2 L' B
B' F' L' B2 U' L' B
F' B' L' D2 U' B' L'
B' F' L' B2 U' B L'
B2 F' L' D U' B' L'
B2 F' L' D' U' B' L'
B2 F' L' D2 U' B' L'
F' B' L' B U' L' B2
F' B' L' B U' B2 L'
F' B' L' B2 U' L' B
F' B' L' B2 U' B L'
B2 F' L' B U' L' B2
B2 F' L' B U' B2 L'
B2 F' L' B2 U' L' B
B2 F' L' B2 U' B L'
B F' L' R U' B' L'
B F' L' R' U' B' L'
B F' L' R2 U' B' L'
B F' L' U' D B' L'
B F' L' U' D' B' L'
B F' L' U' D2 B' L'
B F' L' U' B L' B2
B F' L' U' B' L' D
B F' L' U' B' L' D'
B F' L' U' B' L' D2
B F' L' U' B' D L'
B F' L' U' B' D' L'
B F' L' U' B' D2 L'
B F' L' U' B2 L' B
B F' L' D U' B' L'
B' F' R L' U' B' L'
B F' L' D' U' B' L'
B F' L' D2 U' B' L'
B F' L' B U' L' B2
B F' L' B U' B2 L'
F' B' R L' U' B' L'
B F' L' B2 U' L' B
B F' L' B2 U' B L'
B2 F' R L' U' B' L'
B' F' R' L' U' B' L'
F' B' R' L' U' B' L'
B F' R L' U' B' L'
B2 F' R' L' U' B' L'
B' F' R2 L' U' B' L'
F' B' R2 L' U' B' L'
B F' R' L' U' B' L'
B2 F' R2 L' U' B' L'
B F' R2 L' U' B' L'
B' F' D' L' B2 U' B
F' B' D' L' B2 U' B
B2 F' D' L' B2 U' B
B' F' D' B2 L' U' B'
F' B' D' B2 L' U' B'
B2 F' D' B2 L' U' B'
B F' D' L' B2 U' B
B F' D' B2 L' U' B'
F' B2 L' R U' B' L'
F' B2 L' R' U' B' L'
F' B2 L' R2 U' B' L'
F' B2 L' U' D B' L'
F' B2 L' U' D' B' L'
F' B2 L' U' D2 B' L'
F' B2 L' U' B L' B2
F' B2 L' U' B' L' D
F' B2 L' U' B' L' D'
F' B2 L' U' B' L' D2
F' B2 L' U' B' D L'
F' B2 L' U' B' D' L'
F' B2 L' U' B' D2 L'
F' B2 L' U' B2 L' B
F' B2 L' D U' B' L'
F' B2 L' D' U' B' L'
F' B2 L' D2 U' B' L'
F' B2 L' B U' L' B2
F' B2 L' B U' B2 L'
F' B2 L' B2 U' L' B
F' B2 L' B2 U' B L'
F' B2 R L' U' B' L'
F' B2 R' L' U' B' L'
F' B2 R2 L' U' B' L'
D' B2 D F' L' U' B'
D' B2 D' F' L' U' B'
D' B2 D2 F' L' U' B'
F' B2 D' L' B2 U' B
D' B2 F' L' R U' B'
D' B2 F' L' R' U' B'
D' B2 F' L' R2 U' B'
D' B2 F' L' U' D B'
D' B2 F' L' U' D' B'
D' B2 F' L' U' D2 B'
D' B2 F' L' U' B' D
D' B2 F' L' U' B' D'
D' B2 F' L' U' B' D2
D' B2 F' L' D U' B'
D' B2 F' L' D' U' B'
D' B2 F' L' D2 U' B'
D' B2 F' R L' U' B'
D' B2 F' R' L' U' B'
D' B2 F' R2 L' U' B'
D' B2 F' D L' U' B'
D' B2 F' D' L' U' B'
D' B2 F' D2 L' U' B'
F' B2 D' B2 L' U' B'
