L U F L B2
R' L U F L B2
R2 L U F L B2
L R U F L B2
R L U F L B2
F L U F L B2
F' L U F L B2
F2 L U F L B2
B2 L D' R2 F L
B2 L D' F L R2
B2 L D' F R2 L
B2 L F L D' R2
B2 L F D' L R2
B2 L F D' R2 L
D L F2 L U F'
L R' U F L B2
L R2 U F L B2
U L' B2 D L' F
L' U L2 F L B2
L U F L B2 D
L U F L B2 D'
L U F L B2 D2
L U F L' B2 L2
L U F L2 B2 L'
L U F' L F2 B2
L U F' L B2 F2
L U F2 L F' B2
L U F2 L B2 F'
U2 R U' B2 L2 F
L' U' B' U2 B' L'
U2 R' U' L2 F' B2
U2 R' U' L2 B2 F'
U2 R' U' F' L2 B2
U2 R' U' F' B2 L2
U2 R' U' B2 L2 F'
U2 R' U' B2 F' L2
L' D L2 U F L
L F L B2 D' R2
L F' U L F2 B2
L F' U L B2 F2
L F' U F2 L B2
L F2 U L F' B2
L F2 U L B2 F'
L F2 U F' L B2
L' B2 L' D' R2 F'
U B2 L' D L' F
L' B2 D' L' R2 F'
L' B2 D' R2 L' F'
B2 D' L F R2 D L2
L F' U F' L F' B2
L F' U F' L B2 F'
L F' U F2 L B2 D
L F' U F2 L B2 D'
L F' U F2 L B2 D2
L F' U F2 L' B2 L2
L F' U F2 L2 B2 L'
L F' U' L F2 R B2
L F' U' L F2 B2 R
L F' U' L B2 F2 R
B2 D' L' R2 D L2 F
L F' D L2 R2 U L'
L F' D R2 L2 U L'
B2 D' R2 L D F L2
B2 D' R2 L F D L2
B2 D' R2 L' D L2 F
B2 D' R2 D L F L
R' F2 L U F L B2
U F' B2 L' D L' F
R2 F2 L U F L B2
L2 F2 L' U F L B2
R F2 L U F L B2
L F2 L F' B2 D' R2
L F2 L B2 D' F' R2
L F2 L B2 F' D' R2
L F2 L' U L2 F' B2
L F2 L' U L2 B2 F'
L F2 L' U F' L2 B2
L F2 L' U F' B2 L2
L F2 L' U B2 L2 F'
L F2 L' U B2 F' L2
D F2 L2 U L' F L
D F2 L2 U2 L' U' F
U F2 L' B2 D L' F
D F2 L2 D2 R U F'
L F2 L2 U L' F' B2
L F2 L2 U L' B2 F'
L F2 L2 U B2 L' F'
L' F2 U' R B' U2 B'
L' F2 U' B' R U2 B'
L F2 U L F' B2 D
L F2 U L F' B2 D'
L F2 U L F' B2 D2
L F2 U L B2 D F'
L F2 U L B2 D' F'
L F2 U L B2 D2 F'
L F2 U L B2 F' D
L F2 U L B2 F' D'
L F2 U L B2 F' D2
L F2 U L' F' L2 B2
L F2 U L' F' B2 L2
L F2 U L' B2 L2 F'
L F2 U L' B2 F' L2
L F2 U L2 B2 L' F'
L F2 U F L F2 B2
L F2 U F L B2 F2
L F2 U F' L B2 D
L F2 U F' L B2 D'
L F2 U F' L B2 D2
L F2 U F' L' B2 L2
L F2 U F' L2 B2 L'
L F2 D L2 U L' F'
D F2 D' L U F B2
D F2 D' L U B2 F
U F2 B2 L' D L' F
U B L' D L' F2 B
U B L' D L' B F2
U B L' D B L' F2
U B L' B D L' F2
U B L2 U L' U' B
U B L2 B U L' U'
U B U L U' L B
B2 F L D' R2 F L
B2 F L D' F L R2
B2 F L D' F R2 L
B2 F L F L D' R2
B2 F L F D' L R2
B2 F L F D' R2 L
U2 B' R' U' F' B' L2
U2 B' R' U' B' L2 F'
U2 B' R' U' B' F' L2
B2 F' L D' R2 F L
B2 F' L D' F L R2
B2 F' L D' F R2 L
B2 F' L F L D' R2
