D F R2 B2 L R'
D F R2 B2 R' L
F D R2 B2 L R'
D F B2 R' D2 L2
F D R2 B2 R' L
F D R2 B2 R' L
F D B2 R' D2 L2
D F' B2 L' R' F2
D F' B2 L' R' F2
D F' B2 L' F2 R'
D F' B2 R' L' F2
D B2 R' F' L' F2
D B2 F R' D2 L2
D B2 F' L' R' F2
D B2 F' L' F2 R'
D B2 F' R' L' F2
D F' B2 L' F2 R' D
D F' B2 L' F2 R' D'
D F' B2 L' F2 R' D2
D F' B2 L' F2 D R'
D F' B2 L' F2 D' R'
D F' B2 L' F2 D2 R'
D F' B2 L2 R' F2 L
D F' B2 L2 F2 L R'
D F' B2 L2 F2 R' L
D F' B2 R L' F2 R2
R2 F' B2 U' L' R' F2
R2 F' B2 U' L' F2 R'
D F' B2 R' L F2 L2
D F' B2 R' L' F2 D
D F' B2 R' L' F2 D'
D F' B2 R' L' F2 D2
R2 F' B2 U' R' L' F2
D F' B2 R' L2 F2 L
B2 D' F R' D2 L2 B'
F D' U2 L R F2 U2
F D' U2 L F2 U2 L'
F D' U2 R L F2 U2
F D' U2 R F2 L U2
F D' U2 F2 L U2 L2
F D' F2 L U2 L2 F2
F D' F2 L U2 F2 L2
F D' B2 R' D2 L2 B2
F D' B2 R' D2 B2 L2
F D2 R2 D' B2 L R'
F D2 R2 D' B2 R' L
D B U2 F B L R'
D B U2 F B R' L
D B U2 B R' F L
D B U2 B F L R'
D B U2 B F R' L
D B F' L' F2 B R'
D B F' L' B R' F2
D B F' L' B F2 R'
B2 F D R' B2 D2 L2
B2 F D R2 B2 L R
B2 F D R2 B2 R L
B2 F D' R' D2 L2 B2
B2 F D' R' D2 B2 L2
B2 F' L' F2 D R' B2
B2 F' R2 U' L' R F2
B2 F' R2 U' R L' F2
D B2 L R' F' L' F
D B2 L F' L' R' F
D B2 L F' L' F R'
D B2 L F' R' L' F
F' B2 L' F2 D R' B2
D B2 R F' L' R2 F2
D B2 R F' L' F2 R2
D B2 R F' R2 L' F2
D B2 R' L F' L' F
D B2 R' D F' L' F2
D B2 R' D' F' L' F2
D B2 R' D2 F' L' F2
D B2 R' F U2 R U2
D B2 R' F' L F2 L2
D B2 R' F' L' F2 D
D B2 R' F' L' F2 D'
D B2 R' F' L' F2 D2
D B2 R' F' L2 F2 L
F' B2 R2 U' L' R F2
F' B2 R2 U' R L' F2
R2 B2 U' R' F D' L2
D B2 D R' F' L' F2
D B2 D F R' D2 L2
D B2 D F' L' R' F2
D B2 D F' L' F2 R'
D B2 D F' R' L' F2
D B2 D' R' F' L' F2
D B2 D' F R' D2 L2
D B2 D' F' L' R' F2
D B2 D' F' L' F2 R'
D B2 D' F' R' L' F2
D' B2 F R' D2 L2 B'
D B2 D2 R' F' L' F2
D B2 D2 F R' D2 L2
D B2 D2 F' L' R' F2
D B2 D2 F' L' F2 R'
D B2 D2 F' R' L' F2
D B2 F L R' D2 L2
D B2 F L' R' D2 L2
D B2 F L2 R' D2 L2
D B2 F R' L D2 L2
D B2 F R' L' D2 L2
D B2 F R' L2 D2 L2
D B2 F R' U2 R2 U2
D B2 F R' D2 L2 D
D B2 F R' D2 L2 D'
D B2 F R' D2 L2 D2
F B2 D R' B2 D2 L2
F B2 D R2 B2 L R
F B2 D R2 B2 R L
D B2 F U2 R U2 R2
D B2 F D R' D2 L2
D B2 F D' R' D2 L2
D B2 F D2 R' D2 L2
D B2 F' L R' F2 L2
D B2 F' L F2 L2 R'
D B2 F' L F2 R' L2
D B2 F' L' R F2 R2
D B2 F' L' R' F2 D
D B2 F' L' R' F2 D'
D B2 F' L' R' F2 D2
D B2 F' L' F R' F
D B2 F' L' F2 R' D
D B2 F' L' F2 R' D'
D B2 F' L' F2 R' D2
D B2 F' L' F2 D R'
D B2 F' L' F2 D' R'
D B2 F' L' F2 D2 R'
D B2 F' L2 R' F2 L
D B2 F' L2 F2 L R'
D B2 F' L2 F2 R' L
D B2 F' R L' F2 R2
D B2 F' R' L F2 L2
D B2 F' R' L' F2 D
D B2 F' R' L' F2 D'
D B2 F' R' L' F2 D2
D B2 F' R' L2 F2 L
R2 B2 F' U' L' R' F2
R2 B2 F' U' L' F2 R'
R2 B2 F' U' R' L' F2
F B2 D' R' D2 L2 B2
F B2 D' R' D2 B2 L2
