B2 L' U' R F U'
D2 U' R F' U' F'
B2 U' D2 R F' U'
U' D2 R F' U' F'
B2 D2 U' R F' U'
L' B2 U' R F U'
L2 B2 L U' R F U'
B2 F2 L U B' L2 U
F2 B2 L U B' L2 U
F B' D' B' L U2 B'
R2 B2 R2 U L B' U
D2 B2 U' R F' U' F'
L' B2 U' R D F U'
L' B2 U' R D' F U'
L' B2 U' R D2 F U'
L' B2 U' R F U' D
L' B2 U' R F U' D'
L' B2 U' R F U' D2
L' B2 U' R F D U'
L' B2 U' R F D' U'
L' B2 U' R F D2 U'
L' B2 U' R' F R2 U'
L' B2 U' R2 F R' U'
L' B2 U' D R F U'
L' B2 U' D' R F U'
L' B2 U' D2 R F U'
L2 B2 U' R F U' R
B2 F2 U L B' L2 U
B2 F2 U L' U2 F U'
L B2 U B U2 R U'
F2 B2 U L B' L2 U
F2 B2 U L' U2 F U'
L' B2 D U' R F U'
L B2 U' R2 F' R' U'
L' B2 D' U' R F U'
L' B2 D2 U' R F U'
L B2 F2 U L' B U
L B2 F2 U B L' U
