R2 L' U L' F' B'
R2 L' U L' B' F'
F' L' R2 U L' F'
F' L' U' B U2 L'
L' R2 U L' F' B'
L' R2 U L' B' F'
U L' B' L' D2 F2
U L' B' D2 L' F2
L' U L' B' D2 F2
R2 U L' B' L' F'
R2 U F' L' B' L'
L' U' B U2 L' B'
F' R2 L' U L' F'
U' B R U2 L2 B
U' B R U2 B L2
U' B R' F' U2 L2
U' B U2 L' B' L'
U B2 L' B' L' F
U' B R' F' U2 L2 D'
U' B R' F' U2 L2 D2
U' B R' F' D2 R2 U2
U' B R' F2 U2 L2 B'
U' B U L' U L' B'
U' B U F' L' U L'
U B R' U2 L2 R B
U B R' U2 R L2 B
U B R' U2 R B L2
U' B U' B' R' U' L2
U' B U2 L' D B' L'
U' B U2 L' D' B' L'
U' B U2 L' D2 B' L'
U' B U2 L' B L' B2
U' B U2 L' B' L' D
U' B U2 L' B' L' D'
U' B U2 L' B' L' D2
U' B U2 L' B' D L'
U' B U2 L' B' D' L'
U' B U2 L' B' D2 L'
U' B U2 L' B2 L' B
U' B U2 B L' B' L'
U' B U2 B' L' B' L'
U' B U2 B2 L' B' L'
U' B D2 R' F' R' U2
U' B F R U2 L2 B
U' B F R U2 B L2
U' B F R' F' U2 L2
U' B F U2 L' B' L'
U' B F' R U2 L2 B
U' B F' R U2 B L2
U' B F' R' F' U2 L2
U' B F' U2 L' B' L'
U' B F2 R U2 L2 B
U' B F2 R U2 B L2
U' B F2 R' F' U2 L2
U' B F2 U2 L' B' L'
F' B U B' L' U L'
U' B' R B2 U2 B' L2
U B' L' D2 B' L' F2
U B' L' B' L2 F L
U' B' R' F' B2 U2 L2
U' B' R' B2 F' U2 L2
U2 B' R' U B2 U2 L2
U2 B' R' U' L2 D2 F2
U2 B' R' B' U' L2 F
B2 F' L' B2 U L' F
U2 B' D' R' B2 L U'
B F' U B' L' U L'
U' B2 R U2 L2 F B
U' B2 R U2 L2 B F
U' B2 R B' U2 L2 B2
U' B2 R B' U2 B2 L2
U B2 L' B L' F B2
U B2 L' B L' B2 F
U B2 L' B' L' D F
U B2 L' B' L' D' F
U B2 L' B' L' D2 F
U B2 L' B' L' F D
U B2 L' B' L' F D'
U B2 L' B' L' F D2
U B2 L' B2 L' F B
U B2 L' B2 L' B F
U' B2 R' F' U2 L2 F
U' B2 R' F' B' U2 L2
U' B2 R' B' F' U2 L2
F' B2 L' B2 U L' F
U B2 L2 F L B' L'
U' B2 U2 L' B' L' F
U B2 F L' B' L' F
U B2 F' L' B' L' F
U B2 F2 L' B' L' F
