U L R2 F' U L'
U2 L R2 F U R2
U2 L F R2 U R2
U L F' R2 U L'
R' U L F' R' U
R' U F' L R' U
R' U F' R' L U
U2 R2 L F U R2
U R2 L F' U L'
U R2 F' L U L2
U F' L R2 U L2
U F' R2 L U L2
F2 U2 L R2 F U R2
F' U2 L F R2 U R2
F2 U2 L F R2 U R2
F U2 L R2 F U R2
F U2 L F R2 U R2
F' U2 R2 L F U R2
F2 U2 R2 L F U R2
F U2 R2 L F U R2
U' F L R2 B U L
R' F L R' F2 U R
R' F L F2 R' U R2
U2 F L R2 F U R2
U2 F L F R2 U R2
U F L R2 U' R' U2
U F L U D' F2 L'
U F L D' U F2 L'
U F L F2 R2 U L'
R' F R' L F2 U R
U' F R2 L B U L
U2 F R2 L F U R2
R' F U L R' F2 U
R' F U L F2 R' U
R' F U R' L F2 U
R' F U R' F2 L U
R' F U F2 L R' U
R' F U F2 R' L U
U F R2 L U' R' U2
U F D' L U F2 L'
R' F' L R' U' L' U2
U2 F' L R2 F U R2
U2 F' L F R2 U R2
U F' L R2 U L2 D
U F' L R2 U L2 D'
U F' L R2 U L2 D2
U F' L R2 D F2 U
U F' L R2 F U L2
U F' L R2 F' U L2
U F' L R2 F2 U L2
U F' L U L2 D' F2
U F' L F R2 U L2
U F' L F' R2 U L2
U F' L F2 R2 U L2
R' F' R' L U' L' U2
U2 F' R2 L F U R2
R' F' U L R' U L'
R' F' U R' L U L'
L F' R' F' R' U R2
U F' R2 L U L2 D
U F' R2 L U L2 D'
U F' R2 L U L2 D2
U F' R2 L D F2 U
U F' R2 L F U L2
U F' R2 L F' U L2
U F' R2 L F2 U L2
U F' R2 U L' D' B2
U F' R2 D L U L2
U F' R2 D' L U L2
U F' R2 D2 L U L2
U F' U L' D' F2 B2
U F' U L' D' B2 F2
U F' D' L U L2 F2
U F' D' L U F2 L2
U2 F2 L R2 F U R2
U2 F2 L F R2 U R2
U F2 L R2 F U L'
U F2 L F R2 U L'
U2 F2 R2 L F U R2
R' F2 U R' F L U
R' F2 U F L R' U
R' F2 U F R' L U
L F2 R' F' R' U R'
U F2 R2 L F U L'
U F2 R2 F L U L2
D B2 R U' B R2 U'
D B2 U' R' B U' L
R2 B2 U2 R' B U' R
U' B2 D' R' B U' F2
