B L' R2 F L' U
B L' F L' R2 U
B L' F R2 L' U
F L' F B R2 U
F L' B R2 F U
F L' B F R2 U
B R2 L' F L' U
B R2 F L' F U
L' F L' B R2 U
L' F B L' R2 U
L' F B R2 L' U
L' B R2 F L' U
L' B F L' R2 U
L' B F R2 L' U
B F L' R2 F U
F B L' R2 F U
B F L' F R2 U
F B L' F R2 U
B F R2 L' F U
F B R2 L' F U
L' B F L' R2 D' U
L' B F L' R2 D2 U
L' B F L' U D' F2
L' B F L' D' U F2
B' F R2 L' F B2 U
B' F R2 L' B2 F U
L' B F R2 L' U D
L' B F R2 L' U D'
L' B F R2 L' U D2
L' B F R2 L' D U
L' B F R2 L' D' U
L' B F R2 L' D2 U
L' B F R2 D L' U
L' B F R2 D' L' U
L' B F R2 D2 L' U
L' B F D' L' U F2
U2 B F L' R2 F U
U2 B F L' F R2 U
B F R' L' F R' U
U2 B F R2 L' F U
B' F R2 B2 L' F U
F B R' L' F R' U
F2 B R2 F' L' F U
B2 F R2 B' L' F U
B F R2 L' D F U
B F R2 L' D' F U
B F R2 L' D2 F U
B F R2 L' F U D
B F R2 L' F U D'
B F R2 L' F U D2
B F R2 L' F D U
B F R2 L' F D' U
B F R2 L' F D2 U
U B F L' R2 F U
U B F L' F R2 U
F B R2 L' D F U
F B R2 L' D' F U
F B R2 L' D2 F U
F B R2 L' F U D
F B R2 L' F U D'
F B R2 L' F U D2
F B R2 L' F D U
F B R2 L' F D' U
F B R2 L' F D2 U
U B F R2 L' F U
D' B' L F2 D' R2 B'
D' B' L F2 D' B' R2
L' B' R2 F L' B2 U
L' B' R2 F B2 L' U
L' B' R2 B2 F L' U
F B' L' R2 F B2 U
F B' L' R2 B2 F U
F B' L' F R2 B2 U
F B' L' F B2 R2 U
F B' L' B2 R2 F U
F B' L' B2 F R2 U
F B' R2 L' F B2 U
F B' R2 L' B2 F U
L' B' F L' R2 B2 U
L' B' F L' B2 R2 U
L' B' F R2 L' B2 U
L' B' F R2 B2 L' U
F B' R2 B2 L' F U
D' B' F2 L D' R2 B'
D' B' F2 L D' B' R2
L' B2 R2 F B' L' U
L' B2 R2 B' F L' U
B F2 R2 F' L' F U
F B2 R2 B' L' F U
L' B2 F R2 B' L' U
