U2 B' R' F' U'
F' L' D' B' U L
U L' D' B' L R'
U L' D' B' R' L
F' L2 F L B' U
U2 R' F' B' R' U'
U2 R' F' B' R' U'
U2 R' B' F' R' U'
U2 D B' R' F' U'
U2 D' B' R' F' U'
U2 D' B' R' F' U'
D' U2 B' R' F' U'
U2 D2 B' R' F' U'
D2 U2 B' R' F' U'
D U2 B' R' F' U'
U2 F B' R' F' U'
L' F' B' L' F U
U2 F' B' R' F' U'
U2 F2 B' R' F' U'
U2 B' R' D F' U'
U2 B' R' D' F' U'
U2 B' R' D2 F' U'
U2 B' R' F' U' D
U2 B' R' F' U' D'
U2 B' R' F' U' D2
U2 B' R' F' D U'
U2 B' R' F' D' U'
U2 B' R' F' D2 U'
U2 B' D R' F' U'
L' B' F' L' F U
U2 B' D' R' F' U'
U2 B' D2 R' F' U'
U2 B' F R' F' U'
U2 B' F' R' F' U'
U2 B' F2 R' F' U'
U2 R' B' F' R' D U'
U2 R' B' F' R' D' U'
U2 R' B' F' R' D2 U'
U2 R' B' F' D R' U'
U2 R' B' F' D' R' U'
U2 R' B' F' D2 R' U'
U2 R' B' F2 R' F U'
U R2 L' D' B' L R'
U R2 L' D' B' R' L
U R2 U B' R' F' U'
B2 R2 F' L' R2 B' U
B2 R2 F' L' B' R2 U
B2 R2 F' R2 L' B' U
U2 R2 B' R F' R2 U'
U2 R2 B' R' U2 B U
B U L D L2 B' R'
D' U L' D' B' L R'
D' U L' D' B' R' L
D2 U L' D' B' L R'
D2 U L' D' B' R' L
B2 U L' B' R' D L2
B2 U L' B' D L2 R'
B2 U L' B' D R' L2
B U L' D B' L2 R'
B U L' D B' R' L2
D U L' D' B' L R'
D U L' D' B' R' L
U D L' D' B' L R'
U D L' D' B' R' L
U2 D R' F' B' R' U'
U2 D R' B' F' R' U'
B U D L' B' L' R'
B U D L' B' R' L'
U2 D F B' R' F' U'
U2 D F' B' R' F' U'
U2 D F2 B' R' F' U'
B' U F' U2 F R B
U2 D B' R' D F' U'
U2 D B' R' D' F' U'
U2 D B' R' D2 F' U'
U2 D B' R' F' U' D
U2 D B' R' F' U' D'
U2 D B' R' F' U' D2
U2 D B' R' F' D U'
U2 D B' R' F' D' U'
U2 D B' R' F' D2 U'
U2 D B' D R' F' U'
U2 D B' D' R' F' U'
U2 D B' D2 R' F' U'
U2 D B' F R' F' U'
U2 D B' F' R' F' U'
U2 D B' F2 R' F' U'
B' U B L F U2 F'
B' U' L U2 L' B' R'
U D' L' D' B' L R'
U D' L' D' B' R' L
U2 D' R' F' B' R' U'
L' D' F' B' L' U L2
U2 D' R' B' F' R' U'
B' U' R' F' L' U2 L
U2 D' F B' R' F' U'
L' D' B' L2 U L' B'
L' D' B' U L' B' L2
L' D' B' F' L' U L2
U2 D' F' B' R' F' U'
U2 D' F2 B' R' F' U'
U2 D' B' R' D F' U'
U2 D' B' R' D' F' U'
U2 D' B' R' D2 F' U'
U2 D' B' R' F' U' D
U2 D' B' R' F' U' D'
U2 D' B' R' F' U' D2
U2 D' B' R' F' D U'
U2 D' B' R' F' D' U'
U2 D' B' R' F' D2 U'
U2 D' B' D R' F' U'
U2 D' B' D' R' F' U'
U2 D' B' D2 R' F' U'
U2 D' B' F R' F' U'
U2 D' B' F' R' F' U'
U2 D' B' F2 R' F' U'
U D2 L' D' B' L R'
U D2 L' D' B' R' L
D' U2 R' F' B' R' U'
D2 U2 R' F' B' R' U'
D' U2 R' B' F' R' U'
D2 U2 R' B' F' R' U'
U2 D2 R' F' B' R' U'
U2 D2 R' B' F' R' U'
D U2 R' F' B' R' U'
D U2 R' B' F' R' U'
D' U2 F B' R' F' U'
D2 U2 F B' R' F' U'
L2 D2 F U2 R F' U'
U2 D2 F B' R' F' U'
D' U2 F' B' R' F' U'
D2 U2 F' B' R' F' U'
D U2 F B' R' F' U'
U2 D2 F' B' R' F' U'
D' U2 F2 B' R' F' U'
D2 U2 F2 B' R' F' U'
D U2 F' B' R' F' U'
U2 D2 F2 B' R' F' U'
D U2 F2 B' R' F' U'
F2 U2 R' F' R B' U'
D' U2 B' R' D F' U'
D' U2 B' R' D' F' U'
D' U2 B' R' D2 F' U'
D' U2 B' R' F' U' D
D' U2 B' R' F' U' D'
D' U2 B' R' F' U' D2
D' U2 B' R' F' D U'
D' U2 B' R' F' D' U'
D' U2 B' R' F' D2 U'
F2 U2 R' F' B' R U'
D2 U2 B' R' D F' U'
D2 U2 B' R' D' F' U'
D2 U2 B' R' D2 F' U'
D2 U2 B' R' F' U' D
D2 U2 B' R' F' U' D'
D2 U2 B' R' F' U' D2
D2 U2 B' R' F' D U'
D2 U2 B' R' F' D' U'
D2 U2 B' R' F' D2 U'
F2 U2 R' B' F' R U'
F U2 R B' U' D' R2
F U2 R B' U2 B2 U
D' U2 B' D R' F' U'
F U2 R B' D' U' R2
F U2 R B' D2 F2 U'
D' U2 B' D' R' F' U'
D2 U2 B' D R' F' U'
D' U2 B' D2 R' F' U'
D2 U2 B' D' R' F' U'
D' U2 B' F R' F' U'
D2 U2 B' D2 R' F' U'
D' U2 B' F' R' F' U'
D' U2 B' F2 R' F' U'
D2 U2 B' F R' F' U'
D2 U2 B' F' R' F' U'
U2 D2 B' R' D F' U'
U2 D2 B' R' D' F' U'
U2 D2 B' R' D2 F' U'
D2 U2 B' F2 R' F' U'
U2 D2 B' R' F' U' D
U2 D2 B' R' F' U' D'
U2 D2 B' R' F' U' D2
U2 D2 B' R' F' D U'
U2 D2 B' R' F' D' U'
U2 D2 B' R' F' D2 U'
U2 D2 B' D R' F' U'
F U2 R' F' R2 B' U'
F U2 R' F' B' R2 U'
U2 D2 B' D' R' F' U'
U2 D2 B' D2 R' F' U'
U2 D2 B' F R' F' U'
D U2 B' R' D F' U'
D U2 B' R' D' F' U'
D U2 B' R' D2 F' U'
D U2 B' R' F' U' D
D U2 B' R' F' U' D'
D U2 B' R' F' U' D2
D U2 B' R' F' D U'
D U2 B' R' F' D' U'
D U2 B' R' F' D2 U'
F U2 R' B' F' R2 U'
U2 D2 B' F' R' F' U'
U2 D2 B' F2 R' F' U'
D U2 B' D R' F' U'
D U2 B' D' R' F' U'
D U2 B' D2 R' F' U'
D U2 B' F R' F' U'
D U2 B' F' R' F' U'
D U2 B' F2 R' F' U'
L2 F L B' U2 R U'
L2 F L' U2 R F U'
U' F R B D L2 F
L F R U2 R' F' U
U2 F R' F' B' R' U'
U2 F R' B' F' R' U'
B2 U2 B' R' F' B2 U'
B2 U2 B' R' B2 F' U'
F' U2 B' U2 L' B' U
F2 U2 B' R' F' R U'
B U2 B' R' F' B' U'
B U2 B' R' B' F' U'
F U2 B' R U2 B U
F U2 B' R' F' R2 U'
U' F U' B' R' U' R2
F' D L' D' B' U L
L2 F U2 D2 R F' U'
F' D L2 F L B' U
U2 F D B' R' F' U'
B D L' B' U L' B'
U2 F D' B' R' F' U'
L2 F D2 U2 R F' U'
U2 F D2 B' R' F' U'
U2 F B' R' D F' U'
U2 F B' R' D' F' U'
U2 F B' R' D2 F' U'
U2 F B' R' F' U' D
U2 F B' R' F' U' D'
U2 F B' R' F' U' D2
U2 F B' R' F' D U'
U2 F B' R' F' D' U'
U2 F B' R' F' D2 U'
U2 F B' D R' F' U'
U2 F B' D' R' F' U'
U2 F B' D2 R' F' U'
B D U L' B' L' R'
B D U L' B' R' L'
D' F' L' D' B' U L
D2 F' L' D' B' U L
L2 F' L F2 B' L2 U
L2 F' L B' L2 F2 U
L2 F' L B' F2 L2 U
L2 F' L' F2 U2 F' U'
L F' L F L2 B' U
D2 F' L2 F L B' U
D' F' L2 F L B' U
D F' L' D' B' U L
L F' L' U2 F2 B' U'
L F' L' U2 B' F2 U'
D F' L2 F L B' U
B D F' L' B' U L'
U2 F' R' F' B' R' U'
U2 F' R' B' F' R' U'
F' D' L' D' B' U L
F' D' L2 F L B' U
U2 F' D B' R' F' U'
L F' U2 F2 R B U'
L' F' D' B' L' U L2
U2 F' D' B' R' F' U'
L' F' B L' F B2 U
L' F' B L' B2 F U
U2 F' D2 B' R' F' U'
L' F' B' L' D F U
L' F' B' L' D' F U
L' F' B' L' D2 F U
L' F' B' L' F U D
L' F' B' L' F U D'
L' F' B' L' F U D2
L' F' B' L' F D U
L' F' B' L' F D' U
L' F' B' L' F D2 U
U2 F' B' R' D F' U'
U2 F' B' R' D' F' U'
U2 F' B' R' D2 F' U'
U2 F' B' R' F' U' D
U2 F' B' R' F' U' D'
U2 F' B' R' F' U' D2
U2 F' B' R' F' D U'
U2 F' B' R' F' D' U'
U2 F' B' R' F' D2 U'
L' F' B2 L' F B U
L' F' B2 L' B F U
U2 F' B' D R' F' U'
U2 F' B' D' R' F' U'
U2 F' B' D2 R' F' U'
U2 F2 R' F' B' R' U'
U2 F2 R' B' F' R' U'
F' D2 L' D' B' U L
F' D2 L2 F L B' U
U2 F2 D B' R' F' U'
L F2 U2 F' R B U'
L' F2 D' B' U L B'
U2 F2 D' B' R' F' U'
U2 F2 D2 B' R' F' U'
L' F2 B' L' F L' U
U2 F2 B' R' D F' U'
U2 F2 B' R' D' F' U'
U2 F2 B' R' D2 F' U'
U2 F2 B' R' F' U' D
U2 F2 B' R' F' U' D'
U2 F2 B' R' F' U' D2
U2 F2 B' R' F' D U'
U2 F2 B' R' F' D' U'
U2 F2 B' R' F' D2 U'
U2 F2 B' D R' F' U'
U2 F2 B' D' R' F' U'
U2 F2 B' D2 R' F' U'
B D2 F' L' F' B' U
B D2 F' L' B' F' U
U2 B R' F' B2 R' U'
U2 B R' B2 F' R' U'
U' B D L2 F R B
F' B L' D B' U L2
F' B L' D2 F2 B' U
F' B L' D2 B' F2 U
F' B L' B' U2 B' U'
B F R B2 L F U'
L' B F' L' F B2 U
L' B F' L' B2 F U
F B R B2 L F U'
L' B' L U2 B' R' U'
L' B' L' F U2 R U'
L' B' L' F' L' F2 U
U2 B' L' R' F' L U'
F' B D L' B' U L'
U2 B' L2 R' F' L2 U'
F' B D2 L' F2 B' U
F' B D2 L' B' F2 U
U2 B' R F R2 F' U'
U2 B' R F' R2 F' U'
U2 B' R F2 R2 F' U'
U2 B' R' L' F' L U'
U2 B' R' L2 F' L2 U'
U2 B' R' D F' U' D
U2 B' R' D F' U' D'
U2 B' R' D F' U' D2
U2 B' R' D F' D U'
U2 B' R' D F' D' U'
U2 B' R' D F' D2 U'
U2 B' R' D' F' U' D
U2 B' R' D' F' U' D'
U2 B' R' D' F' U' D2
U2 B' R' D' F' D U'
U2 B' R' D' F' D' U'
U2 B' R' D' F' D2 U'
U2 B' R' D2 F' U' D
U2 B' R' D2 F' U' D'
U2 B' R' D2 F' U' D2
U2 B' R' D2 F' D U'
U2 B' R' D2 F' D' U'
U2 B' R' D2 F' D2 U'
U2 B' R' F U' D R2
U2 B' R' F D U' R2
U2 B' R' F2 D F U'
U2 B' R' F2 D' F U'
U2 B' R' F2 D2 F U'
B F D2 F2 L' B' U
L' B' U D' L' B' L
F B D2 F2 L' B' U
B' F' L' B' U2 B U'
F' B' L' B' U2 B U'
B2 F' L' B' U D L2
B2 F' L' B' U2 B2 U'
B2 F' L' B' D U L2
B2 F' L' B' D2 F2 U
B F' L' D B' U L2
B F' L' D2 F2 B' U
B F' L' D2 B' F2 U
R' B' U2 R B L U
B F' L' B' U2 B' U'
U2 B' U' B' D' R' B
U2 B' D R' D F' U'
U2 B' D R' D' F' U'
U2 B' D R' D2 F' U'
U2 B' D R' F' U' D
U2 B' D R' F' U' D'
U2 B' D R' F' U' D2
U2 B' D R' F' D U'
U2 B' D R' F' D' U'
U2 B' D R' F' D2 U'
U2 B' D F R' F' U'
U2 B' D F' R' F' U'
U2 B' D F2 R' F' U'
L' B' D' U L' B' L
U2 B' D' R' D F' U'
U2 B' D' R' D' F' U'
U2 B' D' R' D2 F' U'
U2 B' D' R' F' U' D
U2 B' D' R' F' U' D'
U2 B' D' R' F' U' D2
U2 B' D' R' F' D U'
U2 B' D' R' F' D' U'
U2 B' D' R' F' D2 U'
U2 B' D' F R' F' U'
U2 B' D' F' R' F' U'
U2 B' D' F2 R' F' U'
U2 B' D2 R' D F' U'
U2 B' D2 R' D' F' U'
U2 B' D2 R' D2 F' U'
U2 B' D2 R' F' U' D
U2 B' D2 R' F' U' D'
U2 B' D2 R' F' U' D2
U2 B' D2 R' F' D U'
U2 B' D2 R' F' D' U'
U2 B' D2 R' F' D2 U'
U2 B' D2 F R' F' U'
U2 B' D2 F' R' F' U'
U2 B' D2 F2 R' F' U'
L' B' F' L' D F U
L' B' F' L' D' F U
L' B' F' L' D2 F U
L' B' F' L' F U D
L' B' F' L' F U D'
L' B' F' L' F U D2
L' B' F' L' F D U
L' B' F' L' F D' U
L' B' F' L' F D2 U
U2 B' F R' D F' U'
U2 B' F R' D' F' U'
U2 B' F R' D2 F' U'
U2 B' F R' F' U' D
U2 B' F R' F' U' D'
U2 B' F R' F' U' D2
U2 B' F R' F' D U'
U2 B' F R' F' D' U'
U2 B' F R' F' D2 U'
U2 B' F D R' F' U'
U2 B' F D' R' F' U'
U2 B' F D2 R' F' U'
L' B' F2 L' F L' U
U2 B' F' R' D F' U'
U2 B' F' R' D' F' U'
U2 B' F' R' D2 F' U'
U2 B' F' R' F' U' D
U2 B' F' R' F' U' D'
U2 B' F' R' F' U' D2
U2 B' F' R' F' D U'
U2 B' F' R' F' D' U'
U2 B' F' R' F' D2 U'
U2 B' F' D R' F' U'
U2 B' F' D' R' F' U'
U2 B' F' D2 R' F' U'
U2 B' F2 R' D F' U'
U2 B' F2 R' D' F' U'
U2 B' F2 R' D2 F' U'
U2 B' F2 R' F' U' D
U2 B' F2 R' F' U' D'
U2 B' F2 R' F' U' D2
U2 B' F2 R' F' D U'
U2 B' F2 R' F' D' U'
U2 B' F2 R' F' D2 U'
U2 B' F2 D R' F' U'
U2 B' F2 D' R' F' U'
U2 B' F2 D2 R' F' U'
B F' D L' B' U L'
B F' D2 L' F2 B' U
B F' D2 L' B' F2 U
R B2 L F B R U'
R B2 L B F R U'
F' B2 L' B' U D L2
F' B2 L' B' U2 B2 U'
F' B2 L' B' D U L2
F' B2 L' B' D2 F2 U
R2 B2 R2 F' L' B' U
L' B2 F' L' F B U
L' B2 F' L' B F U
