F2 L' D F R F
F2 L' F R D F2
F2 L' F D R F2
F2 L' F' D F2 R
F' R F' L' D F2
F2 U L F U' L2
L2 F' D R F' L'
L2 F' L' D R F' L'
R' F' R L' D F2 L'
L2 F' L2 D R F' L'
L' F' R D F' L' F'
R' F' R F2 L' D F2
L' F' R F D F2 L'
L' F' R F' D L' F2
L2 F' R D' F' L' F
L' F' D R F' L' F'
F2 D' L' D F R F
F2 D' L' F R D F2
F2 D' L' F D R F2
F2 D' L' F' D F2 R
L2 F' D L R F' L'
L2 F' D L' R F' L'
L2 F' D L2 R F' L'
L2 F' D R L F' L'
L2 F' D R L' F' L'
L2 F' D R L2 F' L'
L2 F' D R D F' L'
L2 F' D R D' F' L'
L2 F' D R D2 F' L'
L2 F' D R F' L' D
L2 F' D R F' L' D'
L2 F' D R F' L' D2
L2 F' D R F' D L'
L2 F' D R F' D' L'
L2 F' D R F' D2 L'
L2 F' D' R F' L' F
F' D' R F' L' D F2
L2 F' D' F' L' F R
F2 D' U L F U' L2
D' F2 L' U F L2 U'
D' F2 L' F' D R2 F2
D' F2 L' F' D F2 R2
L2 F2 L' U' R B U
L2 F2 L' F D R F'
U F2 L F U' L2 R
U F2 L F U' R L2
L F2 L' U L F U'
L2 F2 U' R B U L'
L' F2 D L' F R F
F2 D2 L' D F R F
F2 D2 L' F R D F2
F2 D2 L' F D R F2
F2 D2 L' F' D F2 R
F' D2 R F' L' D F2
F2 D2 U L F U' L2
F2 B D B' L' F R
F' B D' R F' B' L'
F' B D' R B' F' L'
F' B D' B' R F' L'
B F' D' R F' B' L'
B F' D' R B' F' L'
B F' D' B' R F' L'
B F2 D B' L' F R
