F' R' U' B U L
F' U D B U' R'
D' U B U' F' R
D U B U' F' R'
U D B U' F' R'
U D' B U' F' R
B U' D' F' R B'
B U' D' F' B' R
B U' D' B' F' R
B U' B' D' F' R
B' D L2 F' B R'
B' D L2 B F' R'
F' D U B U' R'
B' D F' L2 B R'
B' D F' B L2 R'
B' D F' B R' L2
B' D B L2 F' R'
B' D B F' L2 R'
B' D B F' R' L2
D' F' U B U' R
D F' U B U' R'
B D' U' F' R B'
B D' U' F' B' R
B D' U' B' F' R
D' B U' F' R B'
D' B U' F' B' R
D' B U' B' F' R
D B U' F' R' B'
U B U' D' F' R
U B D' U' F' R
F' B' D L2 B R'
B' F' D L2 B R'
F' B' D B L2 R'
F' B' D B R' L2
B' F' D B L2 R'
B' F' D B R' L2
B U' D' B' F' D' R
B U' D' B' F' D2 R
U D' B F U' F2 R
B U' D2 B' D F' R
B' U' F' D L2 B R'
B' U' F' D B L2 R'
B' U' F' D B R' L2
B U' F' R' B' D' R2
B U' F' D B R' B2
B U' F' B2 D B R'
U D2 L' F B U' F2
U D2 L' B F U' F2
B U' B' D' F' R D
B U' B' D' F' R D'
B U' B' D' F' R D2
B U' B' D' F' D R
B U' B' D' F' D' R
B U' B' D' F' D2 R
B U' B2 D F' B R'
B U' B2 D B F' R'
B U' B2 D' F' B R
B U' B2 D' B F' R
B U' B2 F' D B R'
U D2 B L' F U' F2
U D2 B U' D F' R
B' U2 D L2 F' B R'
B' U2 D L2 B F' R'
U D2 B D U' F' R
B' U2 D F' L2 B R'
B' U2 D F' B L2 R'
B' U2 D F' B R' L2
B' U2 D B L2 F' R'
B' U2 D B F' L2 R'
B' U2 D B F' R' L2
B' U2 F' D L2 B R'
B' U2 F' D B L2 R'
B' U2 F' D B R' L2
R2 F R2 D' L2 F' R
R2 F R2 D' F' L2 R
R2 F R2 D' F' R L2
D' F U B U' F2 R
F' D L U B U' R'
B' D L F' L B R'
D F U B U' R' F2
D F U B U' F2 R'
F' D L' U B U' R'
B' D L' B L' F' R'
F' D L2 U B U' R'
B' D L2 D2 F' B R
B' D L2 D2 B F' R
B' D L2 F B R' F2
B' D L2 F' B R' D
B' D L2 F' B R' D'
B' D L2 F' B R' D2
B' D L2 F' B D R'
B' D L2 F' B D' R'
B' D L2 F' B D2 R'
B' D L2 F2 B R' F
B' D L2 B D F' R'
B' D L2 B D' F' R'
B' D L2 B D2 F' R'
B' D L2 B F R' F2
B' D L2 B F' R' D
B' D L2 B F' R' D'
B' D L2 B F' R' D2
B' D L2 B F' D R'
B' D L2 B F' D' R'
B' D L2 B F' D2 R'
B' D L2 B F2 R' F
D' F B U' F2 R B'
D' F B U' F2 B' R
D' F B U' B' F2 R
B' D U L2 F' B R'
B' D U L2 B F' R'
D F B U' R' F2 B'
D F B U' R' B' F2
D F B U' F2 R' B'
B' D U F' L2 B R'
B' D U F' B L2 R'
B' D U F' B R' L2
B' D U B L2 F' R'
B' D U B F' L2 R'
B' D U B F' R' L2
F' D U F B U' R'
F' D U F' B U' R'
F' D U F2 B U' R'
F' D U B U' R' D
F' D U B U' R' D'
F' D U B U' R' D2
F' D U B U' D R'
F' D U B U' D' R'
F' D U B U' D2 R'
F' D U B D U' R'
F' D U B D' U' R'
F' D U B D2 U' R'
F' D U B F U' R'
F' D U B F' U' R'
F' D U B F2 U' R'
B' D U' L2 F' B R'
B' D U' L2 B F' R'
F2 D U B U' R' F
F2 D U B U' F R'
D' F' L U B U' R
B' D U' F' L2 B R'
B' D U' F' B L2 R'
B' D U' F' B R' L2
B' D U' B L2 F' R'
B' D U' B F' L2 R'
B' D U' B F' R' L2
B' D U2 L2 F' B R'
B' D U2 L2 B F' R'
B' D U2 F' L2 B R'
B' D U2 F' B L2 R'
B' D U2 F' B R' L2
D2 F' L' U F B U'
D' F' L' U B U' R
D2 F' L' U B F U'
B' D U2 B L2 F' R'
B' D U2 B F' L2 R'
B' D U2 B F' R' L2
D F' L U B U' R'
B' D F L2 F2 B R'
B' D F L2 B R' F2
B' D F L2 B F2 R'
B D U' F' B R' B2
B D U' B F' R' B2
D' F' L2 U B U' R
B' D F B L2 R' F2
B' D F B L2 F2 R'
B' D F B R' L2 F2
B' D F B R' F2 L2
F2 D F U B U' R'
B' D F' L' B L' R'
B' D F' L' B R' L'
D F' L' U B U' R'
B' D F' L2 B R' D
B' D F' L2 B R' D'
B' D F' L2 B R' D2
B' D F' L2 B D R'
B' D F' L2 B D' R'
B' D F' L2 B D2 R'
B' D F' B L2 R' D
B' D F' B L2 R' D'
B' D F' B L2 R' D2
B' D F' B L2 D R'
B' D F' B L2 D' R'
B' D F' B L2 D2 R'
B' D F' B R' L2 D
B' D F' B R' L2 D'
B' D F' B R' L2 D2
D' F' R D B' L B
D' F' R D' F L' F'
D F' L2 U B U' R'
D' F' R F' D' F L'
D' F' R B D B' L
B' D F2 B R' F L2
B' D B L F' L R'
B' D B L F' R' L
L' F' R' U' B U L
B' D B L2 D F' R'
B' D B L2 D' F' R'
B' D B L2 D2 F' R'
B' D B L2 F R' F2
B' D B L2 F' R' D
B' D B L2 F' R' D'
B' D B L2 F' R' D2
B' D B L2 F' D R'
B' D B L2 F' D' R'
B' D B L2 F' D2 R'
B' D B L2 F2 R' F
L2 F' R' U' B U L
D' F' R2 U' F' U R'
B' D B F L2 R' F2
B' D B F L2 F2 R'
B' D B F R' L2 F2
B' D B F R' F2 L2
B' D B F' L2 R' D
B' D B F' L2 R' D'
B' D B F' L2 R' D2
B' D B F' L2 D R'
B' D B F' L2 D' R'
B' D B F' L2 D2 R'
B' D B F' R' L2 D
B' D B F' R' L2 D'
B' D B F' R' L2 D2
B' D B F2 R' F L2
U' F' R2 F' U F R
F2 D B U' R' F B'
F2 D B U' R' B' F
F2 D B U' F R' B'
L F' R' U' B U L
D' F' U D B U' R
D2 F' U D' B U' R'
D' F' U D' B U' R
D' F' U D2 B U' R
L' F' U D B U' R'
D' F' U B U' R D
D' F' U B U' R D'
D' F' U B U' R D2
D' F' U B U' D R
D' F' U B U' D' R
D' F' U B U' D2 R
D' F' U B D U' R
D' F' U B D' U' R
D' F' U B D2 U' R
R F' R' B U' F' B'
R F' R' B U' B' F'
L2 F' U D B U' R'
D F' U F B U' R'
D F' U F' B U' R'
D F' U F2 B U' R'
D F' U B U' R' D
D F' U B U' R' D'
D F' U B U' R' D2
D F' U B U' D R'
D F' U B U' D' R'
D F' U B U' D2 R'
D F' U B D U' R'
D F' U B D' U' R'
D F' U B D2 U' R'
D F' U B F U' R'
D F' U B F' U' R'
D F' U B F2 U' R'
L F' U D B U' R'
D' F' D U B U' R
L' F' D U B U' R'
L2 F' D U B U' R'
D2 F' D' U B U' R'
D' F' D' U B U' R
L F' D U B U' R'
D' F' D2 U B U' R
F' D' R2 U' F' U R
B' D' R2 F' B U2 R
B' D' R2 B F' U2 R
D' F' B' D L2 B R
D' F' B' D B L2 R
D' F' B' D B R L2
L' F' B' D L2 B R'
L' F' B' D B L2 R'
L' F' B' D B R' L2
L2 F' B' D L2 B R'
F' D' U F' B U' R
L2 F' B' D B L2 R'
L2 F' B' D B R' L2
F' D' U B F' U' R
L F' B' D L2 B R'
L F' B' D B L2 R'
L F' B' D B R' L2
B D' U' F' R D B'
B D' U' F' R D' B'
B D' U' F' R D2 B'
B D' U' F' R B' D
B D' U' F' R B' D'
B D' U' F' R B' D2
B D' U' F' R' B' R2
B D' U' F' D R B'
B D' U' F' D B' R
B D' U' F' D' R B'
B D' U' F' D' B' R
B D' U' F' D2 R B'
B D' U' F' D2 B' R
B D' U' F' B R B2
B D' U' F' B' R D
B D' U' F' B' R D'
B D' U' F' B' R D2
B D' U' F' B' D R
B D' U' F' B' D' R
B D' U' F' B' D2 R
B D' U' B F' R B2
B D' U' B' F' R D
B D' U' B' F' R D'
B D' U' B' F' R D2
B D' U' B' F' D R
B D' U' B' F' D' R
B D' U' B' F' D2 R
F' D' F' R D' F L'
B' D' F' D2 L2 B R
B' D' F' D2 B L2 R
B' D' F' D2 B R L2
B' D' F' B D2 L2 R
B' D' F' B D2 R L2
B D' F U' F2 R B'
B D' F U' F2 B' R
B D' F U' B' F2 R
D' F2 R D' F L' R
D' F2 R D' F R L'
B' D' B F' D2 L2 R
B' D' B F' D2 R L2
D' F2 R2 F R D' L2
D' F2 R2 F D' L2 R
D' F2 R2 F D' R L2
D' F2 U B U' F R
D F2 U B U' R' F
D F2 U B U' F R'
F' D2 L' U F B U'
F' D2 L' U B F U'
U F2 D B U' R' F
U F2 D B U' F R'
D F2 B U' R' F B'
D F2 B U' R' B' F
D F2 B U' F R' B'
B D2 U' B' D F' R
U B L U' D' F' R
U B L D' U' F' R
U B L' U' D' F' R
U B L' D' U' F' R
U B L2 U' D' F' R
U B L2 D' U' F' R
U B R F' R' U' F'
D2 B U' D F' R B'
D2 B U' D F' B' R
D2 B U' D B' F' R
L' B U' D' F' R B'
L' B U' D' F' B' R
L' B U' D' B' F' R
D' B U' F' R D B'
D' B U' F' R D' B'
D' B U' F' R D2 B'
D' B U' F' R B' D
D' B U' F' R B' D'
D' B U' F' R B' D2
D' B U' F' R' B' R2
D' B U' F' D R B'
D' B U' F' D B' R
D' B U' F' D' R B'
D' B U' F' D' B' R
D' B U' F' D2 R B'
D' B U' F' D2 B' R
D' B U' F' B R B2
D' B U' F' B' R D
D' B U' F' B' R D'
D' B U' F' B' R D2
D' B U' F' B' D R
D' B U' F' B' D' R
D' B U' F' B' D2 R
D2 B U' B' D F' R
D' B U' B F' R B2
D' B U' B' F' R D
D' B U' B' F' R D'
D' B U' B' F' R D2
D' B U' B' F' D R
D' B U' B' F' D' R
D' B U' B' F' D2 R
L' B U' B' D' F' R
L2 B U' D' F' R B'
L2 B U' D' F' B' R
L2 B U' D' B' F' R
L2 B U' B' D' F' R
D B U' D F' R' B'
D B U' D' F' R' B'
D B U' D2 F' R' B'
D B U' F R' F2 B'
D B U' F R' B' F2
D B U' F' R B' R2
D B U' F' R' D B'
D B U' F' R' D' B'
D B U' F' R' D2 B'
D B U' F' R' B' D
D B U' F' R' B' D'
D B U' F' R' B' D2
D B U' F' R2 B' R
D B U' F' D R' B'
D B U' F' D' R' B'
D B U' F' D2 R' B'
D B U' F2 R' F B'
D B U' F2 R' B' F
D B U' B' D2 F' R
D2 B D U' F' R B'
D2 B D U' F' B' R
D2 B D U' B' F' R
L B U' D' F' R B'
L B U' D' F' B' R
U B U' D' F' R D
U B U' D' F' R D'
U B U' D' F' R D2
U B U' D' F' D R
U B U' D' F' D' R
U B U' D' F' D2 R
L B U' D' B' F' R
L B U' B' D' F' R
L' B D' U' F' R B'
L' B D' U' F' B' R
L' B D' U' B' F' R
D B D U' F' R' B'
L2 B D' U' F' R B'
L2 B D' U' F' B' R
L2 B D' U' B' F' R
F' B R F' U' F B'
F' B R F' U' B' F
F2 B R F' U' F2 B'
F2 B R F' U' B' F2
D B D' U' F' R' B'
U B D' L U' F' R
U B D' L' U' F' R
U B D' L2 U' F' R
D' B F U' F2 R B'
D' B F U' F2 B' R
D' B F U' B' F2 R
B F R F' U' F' B'
B F R F' U' B' F'
U B D' U' F' R D
U B D' U' F' R D'
U B D' U' F' R D2
U B D' U' F' D R
U B D' U' F' D' R
U B D' U' F' D2 R
L B D' U' F' R B'
L B D' U' F' B' R
L B D' U' B' F' R
U B D' F U' F2 R
D B D2 U' F' R' B'
F B R F' U' F' B'
F B R F' U' B' F'
U B D2 L' F U' F2
F2 B R2 U' F B' R'
F2 B R2 U' B' R' F
F2 B R2 U' B' F R'
D B F U' R' F2 B'
D B F U' R' B' F2
D B F U' F2 R' B'
B F R2 U' F2 B' R'
B F R2 U' B' R' F2
B F R2 U' B' F2 R'
F B R2 U' F2 B' R'
F B R2 U' B' R' F2
F B R2 U' B' F2 R'
D B F2 U' R' F B'
D B F2 U' R' B' F
D B F2 U' F R' B'
B' F' L D L2 B R'
B' F' L D B L2 R'
B' F' L D B R' L2
F' B' L D L2 B R'
F' B' L D B L2 R'
F' B' L D B R' L2
B' F' L' D L2 B R'
B' F' L' D B L2 R'
B' F' L' D B R' L2
F' B' L' D L2 B R'
F' B' L' D B L2 R'
F' B' L' D B R' L2
B' F' L2 D L2 B R'
B' F' L2 D B L2 R'
B' F' L2 D B R' L2
F' B' L2 D L2 B R'
F' B' L2 D B L2 R'
F' B' L2 D B R' L2
D2 B' D L2 F' B R
D2 B' D L2 B F' R
L' B' D L2 F' B R'
L' B' D L2 B F' R'
D2 B' D F' L2 B R
D2 B' D F' B L2 R
D2 B' D F' B R L2
D2 B' D B L2 F' R
D2 B' D B F' L2 R
D2 B' D B F' R L2
L' B' D F' L2 B R'
L' B' D F' B L2 R'
L' B' D F' B R' L2
L' B' D B L2 F' R'
L2 B' D L2 F' B R'
L2 B' D L2 B F' R'
L' B' D B F' L2 R'
L' B' D B F' R' L2
B F' R F' U' F B'
B F' R F' U' B' F
L2 B' D F' L2 B R'
L2 B' D F' B L2 R'
L2 B' D F' B R' L2
L2 B' D B L2 F' R'
L2 B' D B F' L2 R'
L2 B' D B F' R' L2
L B' D L2 F' B R'
L B' D L2 B F' R'
L B' D F' L2 B R'
L B' D F' B L2 R'
L B' D F' B R' L2
L B' D B L2 F' R'
L B' D B F' L2 R'
L B' D B F' R' L2
D' B' F' D L2 B R
D' B' F' D B L2 R
D' B' F' D B R L2
L' B' F' D L2 B R'
L' B' F' D B L2 R'
L' B' F' D B R' L2
B' F' D L' B L' R'
B' F' D L' B R' L'
B' F' D L2 B R' D
B' F' D L2 B R' D'
B' F' D L2 B R' D2
B' F' D L2 B D R'
B' F' D L2 B D' R'
B' F' D L2 B D2 R'
L2 B' F' D L2 B R'
L2 B' F' D B L2 R'
L2 B' F' D B R' L2
F' B' D L' B L' R'
F' B' D L' B R' L'
F' B' D L2 B R' D
F' B' D L2 B R' D'
F' B' D L2 B R' D2
F' B' D L2 B D R'
F' B' D L2 B D' R'
F' B' D L2 B D2 R'
B' F' D B L2 R' D
B' F' D B L2 R' D'
B' F' D B L2 R' D2
B' F' D B L2 D R'
B' F' D B L2 D' R'
B' F' D B L2 D2 R'
B' F' D B R' L2 D
B' F' D B R' L2 D'
B' F' D B R' L2 D2
F' B' D B L2 R' D
F' B' D B L2 R' D'
F' B' D B L2 R' D2
F' B' D B L2 D R'
F' B' D B L2 D' R'
F' B' D B L2 D2 R'
F' B' D B R' L2 D
F' B' D B R' L2 D'
F' B' D B R' L2 D2
F2 B' D F L2 B R'
F2 B' D F B L2 R'
F2 B' D F B R' L2
F2 B' D B R' F L2
F2 B' D B F L2 R'
F2 B' D B F R' L2
L B' F' D L2 B R'
L B' F' D B L2 R'
L B' F' D B R' L2
B F2 R F' U' F2 B'
B F2 R F' U' B' F2
B F2 R2 U' F B' R'
B F2 R2 U' B' R' F
B F2 R2 U' B' F R'
B' F2 D F L2 B R'
B' F2 D F B L2 R'
B' F2 D F B R' L2
B' F2 D B R' F L2
B' F2 D B F L2 R'
B' F2 D B F R' L2
U B2 D' B' U' F' R
