F R B U2 L'
F' R F2 B U2
F' R B F2 U2
F R' U2 L' F'
F U2 L F L2
R' F U2 L' F2
R F B U2 L'
R B F U2 L'
R D2 B R' F U2
R D2 B F R' U2
F U2 D L F L2
F U2 D' L F L2
R' F R U2 L' F2
F U2 D2 L F L2
R' F R' U2 L' F2
R2 F R U2 L' F'
R' F R2 U2 L' F2
D2 F R B R' U2
F U2 F' L F L'
R2 F R' B U2 L'
R' F U2 L F2 L2
R' F U2 L' F2 D
R' F U2 L' F2 D'
R' F U2 L' F2 D2
R' F U2 L2 F2 L
R F R2 U2 L' F'
R2 F U2 D2 L' F
R' F D2 B2 U2 L'
R' F B U2 L' F2
R2 F D2 U2 L' F
R' F B' U2 L' F2
D2 F B R' U2 F'
R F D B U2 L'
R' F B2 U2 L' F2
F D R B U2 L'
R F D' B U2 L'
D2 F B' U2 L F
F D R' U2 L' F'
R F D2 B U2 L'
R F B R U2 L'
R F B R' U2 L'
R F B R2 U2 L'
R F B U2 L' D
R F B U2 L' D'
R F B U2 L' D2
R F B U2 D L'
R F B U2 D' L'
R F B U2 D2 L'
R F B D U2 L'
R F B D' U2 L'
R F B D2 U2 L'
R' F' R F2 U2 F2
F D U2 L F L2
R2 F' R F2 U2 F
F D' R B U2 L'
F D' R' U2 L' F'
R F' B R F2 U2
F D' U2 L F L2
F' D2 R B U2 B
F D2 R B U2 L'
F D2 R' U2 L' F'
F D2 U2 L F L2
D2 B R' F U2 F2
R B R F U2 L'
R B R' F U2 L'
R B R2 F U2 L'
F' B R F2 B U2
F' B R B F2 U2
B' F R B U2 L'
R' B F U2 L' F2
B2 F R B U2 L'
B' F R' U2 L' F'
B2 F R' U2 L' F'
D2 B F R' U2 F'
B F R B U2 L'
F B R B U2 L'
B F R' U2 L' F'
F B R' U2 L' F'
B' F U2 L F L2
R B F R U2 L'
R B F R' U2 L'
R B F R2 U2 L'
B2 F U2 L F L2
R B F U2 L' D
R B F U2 L' D'
R B F U2 L' D2
R B F U2 D L'
R B F U2 D' L'
R B F U2 D2 L'
R B F D U2 L'
R B F D' U2 L'
R B F D2 U2 L'
R B F' R F2 U2
B F U2 L F L2
F B U2 L F L2
F' B' R F2 B U2
F' B' R B F2 U2
B' F' R F2 B U2
B' F' R B F2 U2
B2 F' R F2 B U2
B2 F' R B F2 U2
B F' R F2 B U2
B F' R B F2 U2
F B' R B U2 L'
F B' R' U2 L' F'
R' B' F U2 L' F2
D2 B' F U2 L F
F B' U2 L F L2
F' B2 R F2 B U2
F' B2 R B F2 U2
F B2 R B U2 L'
F B2 R' U2 L' F'
R' B2 F U2 L' F2
F B2 U2 L F L2
F' L R F2 B U2 R
F' L R B L' F2 U2
F' L R B F2 U2 R
F L R B L' U2 L'
U L U L F B' L'
U L U L B' F L'
U' L U' L F B' L'
U' L U' L B' F L'
L2 R D2 R2 F' B' L
L2 R D2 R2 B' L F'
L2 R D2 R2 B' F' L
U2 L F L B L2 B2
U2 L F L B' L2 D
U2 L F L B' L2 D'
U2 L F L B' L2 D2
U2 L F L B2 L2 B
U2 L F L' U2 F U2
L R B L' F U2 L'
R L B L' F U2 L'
U2 L F B L B' L2
U2 L F B' L B' L2
U2 L F B2 L B' L2
U2 L F' L F2 B' L'
U2 L F' L B' F2 L'
U2 L F' L2 F2 L' B'
U2 L F2 L F' B' L'
U2 L F2 L B' F' L'
U2 L F2 L2 F' L' B'
U2 L B F L B' L2
U2 L B' F L B' L2
U2 L B2 F L B' L2
F' L' R F2 L B U2
L2 R' D2 F' R2 B' L
L2 R' D2 F' B' L R2
L2 R' D2 F' B' R2 L
L2 R' D2 B' L F' R2
L2 R' D2 B' F' L R2
L2 R' D2 B' F' R2 L
L2 R' F B' L' F2 R
L2 R' B' F L' F2 R
U2 L' F L2 F L B'
F L' F2 D2 B2 R' F'
R' L2 D2 F' R2 B' L
R' L2 D2 F' B' L R2
R' L2 D2 F' B' R2 L
F' L2 R F2 L2 B U2
F' L2 R F2 B L2 U2
F' L2 R B L2 F2 U2
R' L2 D2 B' L F' R2
F' L2 R B F2 L2 U2
R' L2 D2 B' F' L R2
R' L2 D2 B' F' R2 L
R L2 D2 R2 F' B' L
R L2 D2 R2 B' L F'
R L2 D2 R2 B' F' L
R' L2 F B' L' F2 R
U L2 U L F L' B'
U' L2 U' L F L' B'
U L2 U D2 B' L F
U L2 U B' L F L'
U' L2 U' D2 B' L F
U' L2 U' B' L F L'
F L2 U2 D2 L R2 F
F L2 U2 D2 L F R2
F L2 U2 D2 R2 L F
R' L2 B' F L' F2 R
U' L2 D2 U' B' L F
F L2 D2 U2 L R2 F
F L2 D2 U2 L F R2
F L2 D2 U2 R2 L F
U L2 D2 U B' L F
U L2 F R U B' L'
U2 L2 F B L' F B2
U2 L2 F B L' B2 F
U2 L2 F B' L' D F
U2 L2 F B' L' D' F
U2 L2 F B' L' D2 F
U2 L2 F B' L' F D
U2 L2 F B' L' F D'
U2 L2 F B' L' F D2
U2 L2 F B2 L' F B
U2 L2 F B2 L' B F
F2 L2 F' L2 U2 L F
F' L2 F2 L2 U2 L F
U2 L2 B L' F L' B2
U2 L2 B L' F B2 L'
U2 L2 B L' B2 F L'
U2 L2 B F L' F B2
U2 L2 B F L' B2 F
U2 L2 B' L' F L' D
U2 L2 B' L' F L' D'
U2 L2 B' L' F L' D2
U2 L2 B' L' F D L'
U2 L2 B' L' F D' L'
U2 L2 B' L' F D2 L'
U2 L2 B' F L' D F
U2 L2 B' F L' D' F
U2 L2 B' F L' D2 F
U2 L2 B' F L' F D
U2 L2 B' F L' F D'
U2 L2 B' F L' F D2
U2 L2 B2 L' F L' B
U2 L2 B2 L' F B L'
U2 L2 B2 L' B F L'
F L2 B2 L2 R' U2 F'
F L2 B2 R' L2 U2 F'
U2 L2 B2 F L' F B
U2 L2 B2 F L' B F
F' R L F2 B U2 R
F' R L B L' F2 U2
F' R L B F2 U2 R
F R L B L' U2 L'
F' R L' F2 L B U2
F' R L2 F2 L2 B U2
F' R L2 F2 B L2 U2
F' R L2 B L2 F2 U2
F' R L2 B F2 L2 U2
F R U R2 U L' F'
F' R U' D R2 U' F'
F' R U2 R2 F' R2 B
F R U2 L' R2 F' R2
F R U2 L' U2 B U2
F' R U2 B' D2 F2 B2
F' R U2 B' D2 B2 F2
F R U2 R2 L' F' R2
F' R D U' R2 U' F'
D' R D F B U2 L'
D' R D B F U2 L'
F' R D B U' R2 U'
F' R D B U2 D B2
F' R D B D U2 B2
F' R D B D' F2 U2
F R D R2 U2 L' F'
F R D B R U2 L'
F R D B R' U2 L'
F R D B R2 U2 L'
F R D B U2 L' D
F R D B U2 L' D'
F R D B U2 L' D2
F R D B U2 D L'
F R D B U2 D' L'
F R D B U2 D2 L'
F R D B D U2 L'
F R D B D' U2 L'
F R D B D2 U2 L'
D' R D' F B R' U2
D' R D' B R' F U2
D' R D' B F R' U2
F' R D' B U L2 U
F' R D' B U2 D' B2
F' R D' B D F2 U2
F' R D' B D' U2 B2
F R D' R2 U2 L' F'
F R D' B R U2 L'
F R D' B R' U2 L'
F R D' B R2 U2 L'
F R D' B U2 L' D
F R D' B U2 L' D'
F R D' B U2 L' D2
F R D' B U2 D L'
F R D' B U2 D' L'
F R D' B U2 D2 L'
F R D' B D U2 L'
F R D' B D' U2 L'
F R D' B D2 U2 L'
D2 R D2 F B U2 L'
B' R D2 F B R' U2
F' R D2 F B U2 B
F' R D2 F' B U2 B
D2 R D2 B F U2 L'
B' R D2 B R' F U2
F' R D2 F2 B U2 B
B2 R D2 F B R' U2
B' R D2 B F R' U2
F' R D2 B U2 D B
F' R D2 B U2 D' B
F' R D2 B U2 D2 B
F' R D2 B U2 B D
F' R D2 B U2 B D'
F' R D2 B U2 B D2
F' R D2 B D U2 B
F' R D2 B D' U2 B
F' R D2 B D2 U2 B
F' R D2 B F U2 B
F' R D2 B F' U2 B
F' R D2 B F2 U2 B
B2 R D2 B R' F U2
B2 R D2 B F R' U2
F R D2 R2 U2 L' F'
B R D2 F B R' U2
B R D2 B R' F U2
B' R F R2 U2 L' F'
B R D2 B F R' U2
F R D2 B R U2 L'
F R D2 B R' U2 L'
F R D2 B R2 U2 L'
F R D2 B U2 L' D
F R D2 B U2 L' D'
F R D2 B U2 L' D2
F R D2 B U2 D L'
F R D2 B U2 D' L'
F R D2 B U2 D2 L'
F R D2 B D U2 L'
F R D2 B D' U2 L'
F R D2 B D2 U2 L'
B2 R F R2 U2 L' F'
B' R F D B U2 L'
D' R F D' B R' U2
F' R F D F B U2
F' R F D B F U2
B' R F D' B U2 L'
D2 R F B R' U2 D
D2 R F B R' U2 D'
D2 R F B R' U2 D2
D2 R F B R' D U2
D2 R F B R' D' U2
D2 R F B R' D2 U2
D2 R F B D R' U2
F' R F D' F B U2
D2 R F B D' R' U2
D2 R F B D2 R' U2
F' R F D' B F U2
B' R F D2 B U2 L'
B' R F B R U2 L'
B' R F B R' U2 L'
U2 R F U2 L' R' F'
B' R F B R2 U2 L'
F' R F D2 F B U2
U2 R F U2 R' L' F'
B' R F B U2 L' D
B' R F B U2 L' D'
B' R F B U2 L' D2
B' R F B U2 D L'
B' R F B U2 D' L'
B' R F B U2 D2 L'
B' R F B D U2 L'
B' R F B D' U2 L'
F' R F D2 B F U2
B2 R F D B U2 L'
B' R F B D2 U2 L'
B R F R2 U2 L' F'
F' R F B D F U2
F' R F B D' F U2
F' R F B D2 F U2
B2 R F D' B U2 L'
B2 R F D2 B U2 L'
B2 R F B R U2 L'
B2 R F B R' U2 L'
B2 R F B R2 U2 L'
D R F D R2 U2 F'
B2 R F B U2 L' D
B2 R F B U2 L' D'
B2 R F B U2 L' D2
B2 R F B U2 D L'
B2 R F B U2 D' L'
B2 R F B U2 D2 L'
B2 R F B D U2 L'
B2 R F B D' U2 L'
B2 R F B D2 U2 L'
D R F D B R2 U2
F2 R F B R U2 B
D R F D' B U2 L2
B R F D B U2 L'
B R F D' B U2 L'
D R F B U F2 U
D R F B U2 D' L2
D R F B D R2 U2
D R F B D' U2 L2
B R F D2 B U2 L'
B R F B R U2 L'
B R F B R' U2 L'
B R F B R2 U2 L'
B R F B U2 L' D
B R F B U2 L' D'
B R F B U2 L' D2
B R F B U2 D L'
B R F B U2 D' L'
B R F B U2 D2 L'
B R F B D U2 L'
B R F B D' U2 L'
B R F B D2 U2 L'
F' R F' D F' B U2
F' R F' D B F' U2
D2 R F' B R' F2 U2
F' R F' D' F' B U2
F' R F' D' B F' U2
B' R F' B R F2 U2
F' R F' D2 F' B U2
F' R F' D2 B F' U2
F' R F' B D F' U2
F' R F' B D' F' U2
F' R F' B D2 F' U2
B2 R F' B R F2 U2
F' R F2 L B L' U2
F2 R F' B U2 L' B'
F' R F2 L2 B L2 U2
B R F' B R F2 U2
F' R F2 U R2 U F'
F' R F2 U2 R2 F' R2
F' R F2 D B U2 D
F' R F2 D B U2 D'
F' R F2 D B U2 D2
F' R F2 D B D U2
F' R F2 D B D' U2
F' R F2 D B D2 U2
F' R F2 D' B U2 D
F' R F2 D' B U2 D'
F' R F2 D' B U2 D2
F' R F2 D' B D U2
F' R F2 D' B D' U2
F' R F2 D' B D2 U2
F' R F2 D2 B U2 D
F' R F2 D2 B U2 D'
F' R F2 D2 B U2 D2
F' R F2 D2 B D U2
F' R F2 D2 B D' U2
F' R F2 D2 B D2 U2
F' R F2 B' U2 D2 F2
F' R F2 B' D2 U2 F2
F' R F2 B2 D B' U2
F' R F2 B2 D' B' U2
F' R F2 B2 D2 B' U2
F' R B L F2 U2 R
F' R B L' F2 L U2
D2 R B R F R2 U2
D2 R B R' D F U2
D2 R B R' D' F U2
B' R B R F U2 L'
D2 R B R' D2 F U2
F' R B L2 F2 L2 U2
D2 R B R' F U2 D
D2 R B R' F U2 D'
D2 R B R' F U2 D2
D2 R B R' F D U2
D2 R B R' F D' U2
D2 R B R' F D2 U2
B' R B R' F U2 L'
F' R B R F2 R' U2
B' R B R2 F U2 L'
F' R B R' F2 U2 L'
F' R B R2 F2 R2 U2
B2 R B R F U2 L'
F' R B U D' L2 U
F2 R B R U2 B L
B2 R B R' F U2 L'
F' R B U' D R2 U'
D2 R B D R' F U2
D2 R B D F R' U2
F R F2 B R F2 U2
B2 R B R2 F U2 L'
D' R B D F U2 L'
F2 R B R' F' U2 L'
D2 R B D' R' F U2
F' R B U2 D2 B2 D
F' R B U2 D2 B2 D'
F' R B U2 D2 B2 D2
D2 R B D' F R' U2
F' R B U2 B D2 B2
F' R B U2 B' D2 B2
F' R B U2 B2 D2 B2
D2 R B D2 R' F U2
F' R B D U' R2 U'
D2 R B D2 F R' U2
B R B R F U2 L'
D2 R B F R' U2 D
D2 R B F R' U2 D'
D2 R B F R' U2 D2
D2 R B F R' D U2
D2 R B F R' D' U2
D2 R B F R' D2 U2
F' R B D' U L2 U
D2 R B F D R' U2
D2 R B F D' R' U2
D2 R B F D2 R' U2
B R B R' F U2 L'
D2 R B F' R' F2 U2
B' R B F R U2 L'
B' R B F R' U2 L'
B' R B F R2 U2 L'
F' R B D2 U2 B2 D
F' R B D2 U2 B2 D'
F' R B D2 U2 B2 D2
F' R B D2 F U2 B2
B' R B F U2 L' D
B' R B F U2 L' D'
B' R B F U2 L' D2
F' R B D2 F' U2 B2
B' R B F U2 D L'
B' R B F U2 D' L'
B' R B F U2 D2 L'
F' R B D2 F2 U2 B2
B' R B F D U2 L'
B' R B F D' U2 L'
B' R B F D2 U2 L'
B R B R2 F U2 L'
B' R B F' R F2 U2
F' R B F D F U2
F' R B F D' F U2
F' R B F D2 F U2
F R B R U2 L' D
F R B R U2 L' D'
F R B R U2 L' D2
F R B R U2 D L'
F R B R U2 D' L'
F R B R U2 D2 L'
F' R B F' D F' U2
F R B R D U2 L'
F' R B F' D' F' U2
F R B R D' U2 L'
F' R B F' D2 F' U2
F R B R D2 U2 L'
F R B R' U2 L' D
F R B R' U2 L' D'
F R B R' U2 L' D2
F R B R' U2 D L'
F R B R' U2 D' L'
F R B R' U2 D2 L'
F R B R' D U2 L'
F R B R' D' U2 L'
F R B R' D2 U2 L'
B2 R B F R U2 L'
B2 R B F R' U2 L'
B2 R B F R2 U2 L'
B2 R B F U2 L' D
B2 R B F U2 L' D'
B2 R B F U2 L' D2
B2 R B F U2 D L'
B2 R B F U2 D' L'
B2 R B F U2 D2 L'
B2 R B F D U2 L'
B2 R B F D' U2 L'
B2 R B F D2 U2 L'
F R B R2 U2 L' D
F R B R2 U2 L' D'
F R B R2 U2 L' D2
F R B R2 U2 D L'
F R B R2 U2 D' L'
F R B R2 U2 D2 L'
B2 R B F' R F2 U2
F R B R2 D U2 L'
F2 R B F R U2 B
F R B R2 D' U2 L'
F R B R2 D2 U2 L'
F2 R B F' U2 L' B'
F R B U' B U' L'
F R B U' B' U' L'
D R B F U F2 U
F R B U' B2 U' L'
D R B F U2 D' L2
D R B F D R2 U2
F R B U2 L2 D L
F R B U2 L2 D' L
F R B U2 L2 D2 L
D R B F D' U2 L2
F R B U2 D L' D
F R B U2 D L' D'
F R B U2 D L' D2
F R B U2 D' L' D
F R B U2 D' L' D'
F R B U2 D' L' D2
F R B U2 D2 L' D
F R B U2 D2 L' D'
F R B U2 D2 L' D2
F R B U2 B' L' B
F R B U2 B2 L' B2
B R B F R U2 L'
B R B F R' U2 L'
B R B F R2 U2 L'
F R B D R U2 L'
F R B D R' U2 L'
B R B F U2 L' D
B R B F U2 L' D'
B R B F U2 L' D2
B R B F U2 D L'
B R B F U2 D' L'
B R B F U2 D2 L'
F R B D R2 U2 L'
B R B F D U2 L'
B R B F D' U2 L'
B R B F D2 U2 L'
F R B D U2 L' D
F R B D U2 L' D'
F R B D U2 L' D2
B R B F' R F2 U2
F R B D' R U2 L'
F R B D' R' U2 L'
F R B D' R2 U2 L'
F R B D' U2 L' D
F R B D' U2 L' D'
F R B D' U2 L' D2
F R B D2 R U2 L'
F R B D2 R' U2 L'
F R B D2 R2 U2 L'
F R B D2 U2 L' D
F R B D2 U2 L' D'
F R B D2 U2 L' D2
F' R B' U2 D2 F2 B2
F' R B' U2 D2 B2 F2
F R B F2 R F2 U2
F' R B' D2 U2 F2 B2
F' R B' D2 U2 B2 F2
F R B' R B2 U2 L'
F' R B' F2 U2 D2 F2
F' R B' F2 D2 U2 F2
F R B' R' B2 U2 L'
F R B' R2 B2 U2 L'
F R B' U2 L' D2 F2
F R B' U2 D2 L' F2
F R B' D2 U2 L' F2
F' R B2 D2 B' U2 B'
F' R B2 F2 D B' U2
F R B2 R B' U2 L'
F' R B2 F2 D' B' U2
F' R B2 F2 D2 B' U2
F R B2 R' B' U2 L'
F R B2 R2 B' U2 L'
F R B2 U2 L2 F L
F R B2 D B' U2 L'
F R B2 D' B' U2 L'
F R B2 D2 B' U2 L'
F R' U' L U' L2 F'
F R' U' L U' F' L2
F R' U' L2 U' L F'
F R' U' L2 U' F' L
D2 R' U2 L2 F' B' L
D2 R' U2 L2 B' L F'
D2 R' U2 L2 B' F' L
F' R' U2 D2 L2 F' B2
F' R' U2 D2 L2 B2 F'
F' R' U2 D2 F' L2 B2
F' R' U2 D2 F' B2 L2
F' R' U2 D2 B2 L2 F'
F' R' U2 D2 B2 F' L2
F R' U' B U' L' F'
F R' U' B' U' L' F'
F R' U' B2 U' L' F'
F R' U2 L F L2 F2
F R' U2 L F' L2 D
F R' U2 L F' L2 D'
F R' U2 L F' L2 D2
F R' U2 L' D F' D
F R' U2 L' D F' D'
F R' U2 L' D F' D2
F R' U2 L' D' F' D
F R' U2 L' D' F' D'
F R' U2 L' D' F' D2
F R' U2 L' D2 F' D
F R' U2 L' D2 F' D'
F R' U2 L' D2 F' D2
F R' U2 L' F2 D F
F R' U2 L' F2 D' F
F R' U2 L' F2 D2 F
F R' U2 L2 D L F'
F R' U2 L2 D F' L
F R' U2 L2 D' L F'
F R' U2 L2 D' F' L
F R' U2 L2 D2 L F'
F R' U2 L2 D2 F' L
F R' U2 L2 F L F2
F R' U2 L2 F' L D
F R' U2 L2 F' L D'
F R' U2 L2 F' L D2
F R' U2 L2 F' D L
F R' U2 L2 F' D' L
F R' U2 L2 F' D2 L
F R' U2 D L F' L2
F R' U2 D L' D F'
F R' U2 D L' D' F'
F R' U2 D L' D2 F'
F R' U2 D L' F' D
F R' U2 D L' F' D'
F R' U2 D L' F' D2
F R' U2 D L2 F' L
F R' U2 D' L F' L2
F R' U2 D' L' D F'
F R' U2 D' L' D' F'
F R' U2 D' L' D2 F'
F R' U2 D' L' F' D
F R' U2 D' L' F' D'
F R' U2 D' L' F' D2
F R' U2 D' L2 F' L
F R' U2 D2 L F' L2
F R' U2 D2 L' D F'
F R' U2 D2 L' D' F'
F R' U2 D2 L' D2 F'
F R' U2 D2 L' F' D
F R' U2 D2 L' F' D'
F R' U2 D2 L' F' D2
F R' U2 D2 L2 F' L
D' R' D F U2 L' F2
F R' U2 B' L' F' B
F R' U2 B' L' B F'
F R' U2 B2 L' F' B2
F R' U2 B2 L' B2 F'
F R' D R2 B U2 L'
F R' D U2 L F' L2
F R' D U2 L' D F'
F R' D U2 L' D' F'
F R' D U2 L' D2 F'
F R' D U2 L' F' D
F R' D U2 L' F' D'
F R' D U2 L' F' D2
F R' D U2 L2 F' L
F R' D B U2 L' F'
F R' D B' U2 L' F'
L' U2 L U2 F L' B'
F R' D B2 U2 L' F'
F R' D' R2 B U2 L'
F R' D' U2 L F' L2
F R' D' U2 L' D F'
F R' D' U2 L' D' F'
F R' D' U2 L' D2 F'
F R' D' U2 L' F' D
F R' D' U2 L' F' D'
F R' D' U2 L' F' D2
F R' D' U2 L2 F' L
D2 R' D2 F U2 L' F2
F' R' D2 U2 L2 F' B2
F' R' D2 U2 L2 B2 F'
F' R' D2 U2 F' L2 B2
F' R' D2 U2 F' B2 L2
F' R' D2 U2 B2 L2 F'
F' R' D2 U2 B2 F' L2
F R' D' B U2 L' F'
F R' D' B' U2 L' F'
F R' D' B2 U2 L' F'
R' U2 L' F L' F2 B'
R' U2 L' F L' B' F2
B' R' F R U2 L' F2
F R' D2 R2 B U2 L'
B' R' F R' U2 L' F2
B' R' F R2 U2 L' F2
F R' D2 U2 L F' L2
F R' D2 U2 L' D F'
F R' D2 U2 L' D' F'
F R' D2 U2 L' D2 F'
F R' D2 U2 L' F' D
F R' D2 U2 L' F' D'
F R' D2 U2 L' F' D2
F R' D2 U2 L2 F' L
F' R' F R2 F U2 F
B2 R' F R U2 L' F2
B2 R' F R' U2 L' F2
B' R' F U2 L F2 L2
B' R' F U2 L' F2 D
B' R' F U2 L' F2 D'
B' R' F U2 L' F2 D2
B' R' F U2 L2 F2 L
F2 R' F R F' U2 F'
B2 R' F R2 U2 L' F2
F R' D2 B U2 L' F'
D2 R' F B R' U2 F2
F R' D2 B' U2 L' F'
D2 R' F B' U2 L F2
D2 R' F B' U2 F2 L
B2 R' F U2 L F2 L2
B2 R' F U2 L' F2 D
B2 R' F U2 L' F2 D'
B2 R' F U2 L' F2 D2
B2 R' F U2 L2 F2 L
B R' F R U2 L' F2
R' U2 L2 D2 F' B' L
B' R' F D2 B2 U2 L'
R' U2 L2 D2 B' L F'
F R' D2 B2 U2 L' F'
R' U2 L2 D2 B' F' L
B' R' F B U2 L' F2
B R' F R' U2 L' F2
R' U2 L2 F B' L' F2
B' R' F B' U2 L' F2
B R' F R2 U2 L' F2
L U2 L' F B' U2 L'
B' R' F B2 U2 L' F2
B2 R' F D2 B2 U2 L'
D R' F U' B U' F2
B2 R' F B U2 L' F2
B R' F U2 L F2 L2
B R' F U2 L' F2 D
B R' F U2 L' F2 D'
B R' F U2 L' F2 D2
B R' F U2 L2 F2 L
B2 R' F B' U2 L' F2
R' U2 L2 B' F L' F2
B2 R' F B2 U2 L' F2
B' R' F' R F2 U2 F2
L U2 L' B' F U2 L'
B R' F D2 B2 U2 L'
F2 R' F' L' B2 R' B
B R' F B U2 L' F2
L2 U2 L2 F U2 L' F
B2 R' F' R F2 U2 F2
B R' F B' U2 L' F2
B R' F B2 U2 L' F2
B R' F' R F2 U2 F2
F' R' F2 R2 U2 D F
F' R' F2 R2 U2 D' F
F' R' F2 R2 U2 D2 F
F' R' F2 R2 U2 F D
F' R' F2 R2 U2 F D'
F' R' F2 R2 U2 F D2
F' R' F2 R2 D U2 F
F' R' F2 R2 D' U2 F
F' R' F2 R2 D2 U2 F
F' R' F2 R2 B U2 F
F' R' F2 R2 B' U2 F
F' R' F2 R2 B2 U2 F
F' R' F2 U2 D2 F L2
F' R' F2 U2 F D2 L2
F' R' F2 D2 U2 F L2
F' R' F2 B R2 U2 F
F' R' F2 B' R2 U2 F
F' R' F2 B2 R2 U2 F
F R' F2 R F2 U2 F'
F' R' B R2 F2 B U2
F' R' B R2 B F2 U2
D2 R' B F R' U2 F2
B' R' B F U2 L' F2
F' R' B F2 R2 U2 F
B2 R' B F U2 L' F2
F R' B R2 B U2 L'
F' R' B' R2 F2 B U2
F' R' B' R2 B F2 U2
F R' B U2 L F' L2
F R' B U2 L' D F'
F R' B U2 L' D' F'
F R' B U2 L' D2 F'
F R' B U2 L' F' D
F R' B U2 L' F' D'
F R' B U2 L' F' D2
F R' B U2 L2 F' L
F R' B U2 D L' F'
F R' B U2 D' L' F'
F R' B U2 D2 L' F'
B R' B F U2 L' F2
F R' B D U2 L' F'
F R' B D' U2 L' F'
F R' B D2 U2 L' F'
D2 R' B' F U2 L F2
D2 R' B' F U2 F2 L
B' R' B' F U2 L' F2
F' R' B' F2 R2 U2 F
B2 R' B' F U2 L' F2
F R' B' R2 B U2 L'
F' R' B2 R2 F2 B U2
F' R' B2 R2 B F2 U2
F R' B' U2 L F' L2
F R' B' U2 L' D F'
F R' B' U2 L' D' F'
F R' B' U2 L' D2 F'
F R' B' U2 L' F' D
F R' B' U2 L' F' D'
F R' B' U2 L' F' D2
F R' B' U2 L2 F' L
F R' B' U2 D L' F'
B R' B' F U2 L' F2
F R' B' U2 D' L' F'
F R' B' U2 D2 L' F'
F R' B' D U2 L' F'
F R' B' D' U2 L' F'
F R' B' D2 U2 L' F'
B' R' B2 F U2 L' F2
F' R' B2 F2 R2 U2 F
R' U2 D2 L2 F' B' L
R' U2 D2 L2 B' L F'
R' U2 D2 L2 B' F' L
B2 R' B2 F U2 L' F2
F R' B2 R2 B U2 L'
F R' B2 U2 L F' L2
F R' B2 U2 L' D F'
F R' B2 U2 L' D' F'
F R' B2 U2 L' D2 F'
F R' B2 U2 L' F' D
F R' B2 U2 L' F' D'
F R' B2 U2 L' F' D2
F R' B2 U2 L2 F' L
B R' B2 F U2 L' F2
F R' B2 U2 D L' F'
F R' B2 U2 D' L' F'
F R' B2 U2 D2 L' F'
F R' B2 D U2 L' F'
F R' B2 D' U2 L' F'
F R' B2 D2 U2 L' F'
R' U2 F L' F2 D2 B2
R2 U2 D2 L2 B' L F
L2 U2 D2 R2 B' L F
L2 U2 D2 B' L R2 F
L2 U2 D2 B' L F R2
L2 U2 D2 B' R2 L F
R' U2 F' U2 R F2 U2
R' U2 F' U2 F2 U2 L'
F R2 U R U L' F'
F R2 U2 L' R F' R'
F R2 U2 R L' F' R'
F R2 U2 D2 L' D F
F R2 U2 D2 L' D' F
F R2 U2 D2 L' D2 F
F R2 U2 D2 L' F D
F R2 U2 D2 L' F D'
F R2 U2 D2 L' F D2
R U2 B2 L2 F B' L'
R U2 B2 L2 B' F L'
D2 R2 D2 F U2 L' F
F R2 D2 R U2 L' F
B' R2 F R U2 L' F'
D2 R2 F R' B R' U2
F R2 D2 R' U2 L' F
B' R2 F R' B U2 L'
F' R2 F R' F B U2
F' R2 F R' B F U2
F R2 D2 R2 U2 L' F
B2 R2 F R U2 L' F'
F R2 D2 U2 L' D F
F R2 D2 U2 L' D' F
