U R B' U F' B
U R B' U B F'
B R B2 U L F'
B R B2 U F' L
B' R' U' B R U2
R' B' U D2 F2 L'
R' B' U' R B2 U2
R' B' U' B2 R U2
D B' U2 L U' L'
R' B' D2 U F2 L'
B F' R B2 U F' L
R B' U' B' U2 L F'
R B' U' B' U2 F' L
R' B' D' F2 R2 U L'
R B' U' B2 U2 F' L'
D B' D U2 L U' L'
R' B' D2 U L F2 L'
R' B' D2 U L' F2 L'
F B' R' U' B R U2
R' B' D2 U L2 F2 L'
R' B' D2 U F2 L' D
R' B' D2 U F2 L' D'
R' B' D2 U F2 L' D2
R' B' D2 U F2 D L'
R' B' D2 U F2 D' L'
R' B' D2 U F2 D2 L'
R' B' D2 U' R U2 F2
R' B' D2 F U F L'
R B' U2 B' U' L F'
R B' U2 B' U' F' L
R2 B' D' R' F2 U F
D B' D' U2 L U' L'
R2 B' D' F2 R' U F'
D' B' F U2 L' U' L
R2 B' D2 R' U L2 F'
R2 B' D2 R' U F' L2
D B' D2 U2 L U' L'
D' B' F' R U' R' U2
U B' D2 L' U F B
U B' D2 L' U B F
R' B' F2 U L' D2 F2
R' B' F2 U D2 L' F2
R' B' F2 U' B2 U2 L'
D B' F U2 L U' L'
R B' D2 U F L' F2
R' B' F2 D' R2 U L'
R' B' F2 D2 U L' F2
R B' D2 F U L' F2
D B' F' U2 L U' L'
D B' F2 U2 L U' L'
R B' F2 U D2 F L'
R B' F2 D2 U F L'
B' F2 R' U' B R U2
B F2 R B2 U L F'
B F2 R B2 U F' L
U B2 D L2 B R' U
U B2 D B L2 R' U
U B2 D B R' L2 U
