D' L' R2 F' R B2
D' L' R2 F' B2 R
D' L' R2 B2 F' R
D' R2 L' F' R B2
D' R2 L' F' B2 R
D' R2 L' B2 F' R
D' R2 B2 L' F' R
D F2 B R U2 R2
D B F2 R U2 R2
D2 R2 U' L' F' D R2
D' R2 U' L' F' R B2
D' R2 U' L' F' B2 R
D' R2 U' L' B2 F' R
D2 R2 U' D L' F' R
D' R2 U' B2 L' F' R
D' R2 U2 L' F' R B2
D' R2 U2 L' F' B2 R
D' R2 U2 L' B2 F' R
D' R2 U2 B2 L' F' R
D2 R2 D U' L' F' R
D R2 D2 L' F' R B2
D R2 D2 L' F' B2 R
D R2 D2 L' B2 F' R
D R2 D2 B2 L' F' R
D' R2 B L' F' B R
D' R2 B L' B F' R
D' R2 B2 L F' L2 R
D' R2 B2 L F' R L2
D' R2 B2 L' F' R D
D' R2 B2 L' F' R D'
D' R2 B2 L' F' R D2
D' R2 B2 L' F' D R
D' R2 B2 L' F' D' R
D' R2 B2 L' F' D2 R
D' R2 B2 L2 F' L R
D' R2 B2 L2 F' R L
D' U L' R2 F' R B2
D' U L' R2 F' B2 R
D' U L' R2 B2 F' R
D' U R2 L' F' R B2
D' U R2 L' F' B2 R
D' U R2 L' B2 F' R
D' U R2 B2 L' F' R
U' D F2 B R U2 R2
U2 D F2 B R U2 R2
D U F2 B R U2 R2
U' D B F2 R U2 R2
U D F2 B R U2 R2
U2 D B F2 R U2 R2
D U B F2 R U2 R2
U D B F2 R U2 R2
L2 D' R2 U L F' R
L2 D' R2 U F' L R
L2 D' R2 U F' R L
D' U' L' R2 F' R B2
U' D' L' R2 F' R B2
U' D' L' R2 F' B2 R
D' U' L' R2 F' B2 R
U' D' L' R2 B2 F' R
D' U' L' R2 B2 F' R
L2 D' U L R2 F' R
U2 D' L' R2 F' R B2
U2 D' L' R2 F' B2 R
U2 D' L' R2 B2 F' R
L2 D' U R2 L F' R
L2 D' U R2 F' L R
L2 D' U R2 F' R L
U D' L' R2 F' R B2
U D' L' R2 F' B2 R
U D' L' R2 B2 F' R
U' D' R2 L' F' R B2
D' U' R2 L' F' R B2
D' U' R2 L' F' B2 R
U' D' R2 L' F' B2 R
D' U' R2 L' B2 F' R
U' D' R2 L' B2 F' R
U2 D' R2 L' F' R B2
U2 D' R2 L' F' B2 R
U2 D' R2 L' B2 F' R
U' D' R2 B2 L' F' R
D' U' R2 B2 L' F' R
U D' R2 L' F' R B2
U D' R2 L' F' B2 R
U2 D' R2 B2 L' F' R
U D' R2 L' B2 F' R
U D' R2 B2 L' F' R
D U' F2 B R U2 R2
D U' B F2 R U2 R2
R D2 L' F D R2 B2
R D2 L' F D B2 R2
D' U2 L' R2 F' R B2
D' U2 L' R2 F' B2 R
D' U2 L' R2 B2 F' R
D' U2 R2 L' F' R B2
D' U2 R2 L' F' B2 R
D' U2 R2 L' B2 F' R
D' U2 R2 B2 L' F' R
D U2 F2 B R U2 R2
D U2 B F2 R U2 R2
D' F L' B U2 B L
D' F B L' U2 B L
B2 D F2 R B' L U2
B2 D F2 B' L R U2
B2 D F2 B' R L U2
F2 D F2 B U2 L' R'
F2 D F2 B U2 R' L'
F2 D B R F2 U2 R2
B2 D B' L F2 U2 L2
F2 D B F2 U2 L' R'
F2 D B F2 U2 R' L'
B2 D B' F2 L R U2
B2 D B' F2 R L U2
L' F' D R' B R' F'
F2 D' R2 F' B2 L R
F2 D' R2 F' B2 R L
D' F' B2 L2 R F L'
D' F' B2 R L2 F L'
F2 D' R2 B2 L F' R
F2 D' R2 B2 F' L R
F2 D' R2 B2 F' R L
F D' R2 F' L' R B2
F D' R2 F' L' B2 R
F D' R2 F' R L' B2
F D' R2 F' R B2 L'
F D' R2 F' B2 L' R
F D' R2 F' B2 R L'
F D' R2 B2 F' L' R
F D' R2 B2 F' R L'
D F2 L B R U2 R2
D F2 L' B R U2 R2
D F2 L2 B R U2 R2
B2 D' B2 L' R2 F' R
B2 D' B2 R2 L' F' R
D F2 B L R U2 R2
D F2 B L' R U2 R2
D F2 B L2 R U2 R2
D F2 B R L U2 R2
D F2 B R L' U2 R2
D F2 B R L2 U2 R2
D F2 B R U2 R2 D
D F2 B R U2 R2 D'
D F2 B R U2 R2 D2
D F2 B R D2 L2 U2
D F2 B U2 R' D2 L2
D F2 B D R U2 R2
D F2 B D' R U2 R2
D F2 B D2 R U2 R2
D F2 B' L R B2 U2
D F2 B' L B2 R U2
D F2 B' R L B2 U2
D F2 B' R B2 U2 R'
D F2 B2 R B' U2 R'
R' B L2 R' U L F'
R' B L2 R' U F' L
D B L F2 U2 L2 R'
D B L F2 U2 R' L2
R' B R' L2 U L F'
R' B R' L2 U F' L
D B L2 F2 U2 L R'
D B L2 F2 U2 R' L
D B R F2 R U2 R
D B R' F2 R U2 R'
D B R2 F2 L' R U2
D B R2 F2 R L' U2
D' B U2 L' D2 B R'
D' B U2 D2 L' B R'
D' B U2 D2 B L' R'
D' B U2 D2 B R' L'
D B U2 L' R' D2 B2
D B U2 L' D2 R' B2
D B U2 R' L' D2 B2
D B U2 R' D2 L' B2
D B U2 R' D2 B2 L'
D B U2 D2 L' R' B2
D B U2 D2 R' L' B2
D B U2 D2 R' B2 L'
D' B D2 U2 L' B R'
D' B D2 U2 B L' R'
D' B D2 U2 B R' L'
D' B F L' U2 B L
D B D2 U2 L' R' B2
D B D2 U2 R' L' B2
D B D2 U2 R' B2 L'
D B F2 L R U2 R2
D B F2 L' R U2 R2
D B F2 L2 R U2 R2
D B F2 R L U2 R2
D B F2 R L' U2 R2
D B F2 R L2 U2 R2
D B F2 R U2 R2 D
D B F2 R U2 R2 D'
D B F2 R U2 R2 D2
D B F2 R D2 L2 U2
D B F2 U2 R' D2 L2
D B F2 D R U2 R2
D B F2 D' R U2 R2
D B F2 D2 R U2 R2
D B' L F2 B2 U2 L2
D B' L B2 F2 U2 L2
D B' L' D2 R2 F2 B2
D B' L' D2 R2 B2 F2
D B' L' D2 F2 R2 B2
D B' L' D2 F2 B2 R2
D B' L' D2 B2 R2 F2
D B' L' D2 B2 F2 R2
D B' D2 B2 L' R' F2
D B' D2 B2 L' F2 R'
D B' D2 B2 R' L' F2
D B' F2 L R B2 U2
D B' F2 L B2 R U2
D B' F2 R L B2 U2
D B' F2 R B2 U2 R'
D' B2 L' F' D2 R F'
D' B2 L2 F L D2 R2
D' B2 L2 F' L R F2
D' B2 L2 F' R L F2
D' B2 L2 F' R F2 L
D' B2 F' L2 R F L'
D' B2 F' R L2 F L'
D B2 F2 R B' U2 R'
