F' B2 U2 R
B2 F' U2 R
B2 L F' U2 R
F' L B2 U2 R
B2 L' F' U2 R
F L' F2 B2 U2
F L' B2 F2 U2
F' L' B2 U2 R
B2 L2 F' U2 R
F' L2 B2 U2 R
F' U2 R D2 F2
F' U2 D2 R F2
L' F' B2 U2 R
L F' B2 U2 R
L2 F' B2 U2 R
F' D2 U2 R F2
B2 F L' F2 U2
B2 F' L U2 R
B2 F' L' U2 R
B2 F' L2 U2 R
B2 F' U2 R D
B2 F' U2 R D'
B2 F' U2 R D2
B2 F' U2 D R
B2 F' U2 D' R
B2 F' U2 D2 R
F B2 L' F2 U2
B2 F' D U2 R
F' B2 L U2 R
B2 F' D' U2 R
F' B2 L' U2 R
B2 F' D2 U2 R
F' B2 L2 U2 R
L' B2 F' U2 R
F' B2 U2 R D
F' B2 U2 R D'
F' B2 U2 R D2
F' B2 U2 D R
F' B2 U2 D' R
F' B2 U2 D2 R
F' B2 D U2 R
L B2 F' U2 R
F' B2 D' U2 R
F' B2 D2 U2 R
L2 B2 F' U2 R
F D2 U2 F2 B2 R
F D2 U2 B2 F2 R
F' D2 B U2 R F2
F' D2 B' U2 R F2
B D2 F' B U2 R'
B D2 F' B U2 R'
B' D2 B' L F' U2
F D2 F2 R B2 L
U2 B R2 F' B R
F' D2 B2 U2 R F2
B' D2 B' F' L U2
U2 B R2 B F' R
B D2 B F' U2 R'
F' B L B U2 R
B2 F L F2 L2 U2
F' B L' B U2 R
B2 F L' U2 D2 B2
B2 F L' D2 U2 B2
B2 F L' F2 U2 D
B2 F L' F2 U2 D'
B2 F L' F2 U2 D2
B2 F L' F2 D U2
B2 F L' F2 D' U2
B2 F L' F2 D2 U2
F' B L2 B U2 R
B2 F L2 F2 L U2
B F L' F2 B U2
B F L' B F2 U2
F B L' F2 B U2
F B L' B F2 U2
D2 B F' U2 F' R'
F' B U2 R2 F' R'
D2 B' L F' U2 F'
F' B D B U2 R
F' B D' B U2 R
F' B D2 B U2 R
B2 F D2 L' U2 B2
B2 F' L U2 R D
B2 F' L U2 R D'
B2 F' L U2 R D2
B2 F' L U2 D R
B2 F' L U2 D' R
B2 F' L U2 D2 R
B2 F' L D U2 R
B2 F' L D' U2 R
B2 F' L D2 U2 R
F' B' L2 U2 R F
B2 F' L' U2 R D
B2 F' L' U2 R D'
B2 F' L' U2 R D2
B2 F' L' U2 D R
B2 F' L' U2 D' R
B2 F' L' U2 D2 R
B2 F' L' D U2 R
B2 F' L' D' U2 R
B2 F' L' D2 U2 R
B' F' L2 U2 R F
B F' L B U2 R
B2 F' L2 U2 R D
B2 F' L2 U2 R D'
B2 F' L2 U2 R D2
B2 F' L2 U2 D R
B2 F' L2 U2 D' R
B2 F' L2 U2 D2 R
B2 F' L2 D U2 R
B2 F' L2 D' U2 R
B2 F' L2 D2 U2 R
B F' L' B U2 R
B F' L2 B U2 R
L' B2 L F' U2 R
B2 F' U B U R
B2 F' U B' U R
B2 F' U B2 U R
D2 B' F' L U2 F'
L' B2 L' F' U2 R
B2 F' U2 R2 D R'
B2 F' U2 R2 D' R'
B2 F' U2 R2 D2 R'
B2 F' U2 D R D
B2 F' U2 D R D'
B2 F' U2 D R D2
B2 F' U2 D' R D
B2 F' U2 D' R D'
B2 F' U2 D' R D2
B2 F' U2 D2 R D
B2 F' U2 D2 R D'
B2 F' U2 D2 R D2
F' B' D B' U2 R
L' B2 L2 F' U2 R
B' F' D B' U2 R
B2 F' U2 B R B'
B2 F' U2 B2 R B2
B2 F' D L U2 R
B2 F' D L' U2 R
B2 F' D L2 U2 R
B F' U2 R2 F' R'
B2 F' D U2 R D
B2 F' D U2 R D'
B2 F' D U2 R D2
F' B' D' B' U2 R
B' F' D' B' U2 R
L2 B2 L F' U2 R
L2 B2 L F' U2 R
B2 F' D' L U2 R
B2 F' D' L' U2 R
B2 F' D' L2 U2 R
L B2 L F' U2 R
B2 F' D' U2 R D
B2 F' D' U2 R D'
B2 F' D' U2 R D2
F' B' D2 B' U2 R
B' F' D2 B' U2 R
B F' D B U2 R
L2 B2 L' F' U2 R
B2 F' D2 L U2 R
F' B2 L U2 R D
F' B2 L U2 R D'
F' B2 L U2 R D2
B2 F' D2 L' U2 R
F' B2 L U2 D R
F' B2 L U2 D' R
F' B2 L U2 D2 R
B2 F' D2 L2 U2 R
F' B2 L D U2 R
F' B2 L D' U2 R
F' B2 L D2 U2 R
L B2 L' F' U2 R
R' B2 R F' U2 R
B2 F' D2 U2 R D
B2 F' D2 U2 R D'
B2 F' D2 U2 R D2
B F' D' B U2 R
L2 B2 L2 F' U2 R
F' B2 L' U2 R D
F' B2 L' U2 R D'
F' B2 L' U2 R D2
F' B2 L' U2 D R
F' B2 L' U2 D' R
F' B2 L' U2 D2 R
F' B2 L' D U2 R
F' B2 L' D' U2 R
F' B2 L' D2 U2 R
L B2 L2 F' U2 R
B F' D2 B U2 R
F' B2 L2 U2 R D
F' B2 L2 U2 R D'
F' B2 L2 U2 R D'
F' B2 L2 U2 R D2
F' B2 L2 U2 D R
F' B2 L2 U2 D' R
F' B2 L2 U2 D2 R
F' B2 L2 D U2 R
F' B2 L2 D' U2 R
F' B2 L2 D2 U2 R
F B2 L F2 L2 U2
B2 F2 L2 U2 B' R'
F2 B2 L2 U2 B' R'
F B2 L' U2 D2 B2
F B2 L' D2 U2 B2
F B2 L' F2 U2 D
F B2 L' F2 U2 D'
F B2 L' F2 U2 D2
F B2 L' F2 D U2
F B2 L' F2 D' U2
F B2 L' F2 D2 U2
F B2 L2 F2 L U2
F' B2 U B U R
F' B2 U B' U R
F' B2 U B2 U R
L' B2 F L' F2 U2
L' B2 F' L U2 R
F' B2 U2 R2 D R'
L' B2 F' L' U2 R
F' B2 U2 R2 D' R'
F' B2 U2 R2 D2 R'
F' B2 U2 D R D
F' B2 U2 D R D'
F' B2 U2 D R D2
L' B2 F' L2 U2 R
F' B2 U2 D' R D
F' B2 U2 D' R D'
F' B2 U2 D' R D2
F' B2 U2 D2 R D
F' B2 U2 D2 R D'
F' B2 U2 D2 R D2
F' B2 U2 B R B'
L' B2 F' U2 R D
L' B2 F' U2 R D'
L' B2 F' U2 R D2
L' B2 F' U2 D R
L' B2 F' U2 D' R
L' B2 F' U2 D2 R
F' B2 U2 B2 R B2
F' B2 D L U2 R
L' B2 F' D U2 R
F' B2 D L' U2 R
L' B2 F' D' U2 R
F' B2 D L2 U2 R
L' B2 F' D2 U2 R
F' B2 D U2 R D
F' B2 D U2 R D'
F' B2 D U2 R D2
F' B2 D' L U2 R
F' B2 D' L' U2 R
F' B2 D' L2 U2 R
F' B2 D' U2 R D
F' B2 D' U2 R D'
F' B2 D' U2 R D2
L2 B2 F L' F2 U2
B2 F2 D F U2 R
F2 B2 D F U2 R
F' B2 D2 L U2 R
F' B2 D2 L' U2 R
F' B2 D2 L2 U2 R
L B2 F L' F2 U2
F' B2 D2 U2 R D
F' B2 D2 U2 R D'
F' B2 D2 U2 R D2
L2 B2 F' L U2 R
L2 B2 F' L' U2 R
L2 B2 F' L2 U2 R
L B2 F' L U2 R
L B2 F' L' U2 R
B2 F2 D' F U2 R
F2 B2 D' F U2 R
L B2 F' L2 U2 R
L2 B2 F' U2 R D
L2 B2 F' U2 R D'
L2 B2 F' U2 R D2
L2 B2 F' U2 D R
L2 B2 F' U2 D' R
L2 B2 F' U2 D2 R
L2 B2 F' D U2 R
L2 B2 F' D' U2 R
L B2 F' U2 R D
L B2 F' U2 R D'
L B2 F' U2 R D2
L B2 F' U2 D R
L B2 F' U2 D' R
L B2 F' U2 D2 R
L2 B2 F' D2 U2 R
L B2 F' D U2 R
L B2 F' D' U2 R
L B2 F' D2 U2 R
B2 F2 D2 F U2 R
F2 B2 D2 F U2 R
F B2 D2 L' U2 B2
F' L R' B2 R U2 R
F' L R2 B2 L R2 U2
F' L R2 B2 R2 L U2
D' L U R2 B' U B2
F' L U D' R2 U R'
U' L U F' B2 U2 R
D' L U B' R2 U B
U' L U B2 F' U2 R
F' L U' D L2 U' R
U L U' F' B2 U2 R
F' L U2 R U2 B2 U2
F' L U2 R D2 F2 D
F' L U2 R D2 F2 D'
F' L U2 R D2 F2 D2
F' L U2 R F D2 F2
F' L U2 R F' D2 F2
F' L U2 R F2 D2 F2
U L U' B2 F' U2 R
F' L U2 R2 D2 R' F2
F' L U2 R2 D2 F2 R'
D2 L U2 R2 F2 B R'
D2 L U2 R2 B R' F2
D2 L U2 R2 B F2 R'
F' L U2 D R D F2
B2 L U2 R2 D2 B R'
F' L U2 D2 R F2 D
F' L U2 D2 R F2 D'
F' L U2 D2 R F2 D2
F' L U2 D2 R' F2 R2
F' L U2 D2 R2 F2 R'
B L U2 R2 F' B R
B L U2 R2 B F' R
B2 L U2 D2 R2 B R'
F L U2 D2 R2 F2 B2
F L U2 D2 R2 B2 F2
F L U2 D2 F2 R2 B2
F L U2 D2 F2 B2 R2
F' L U2 F2 D2 F2 R
R2 L D2 L2 F2 B R'
F L U2 D2 B2 R2 F2
R2 L D2 L2 B R' F2
F L U2 D2 B2 F2 R2
R2 L D2 L2 B F2 R'
R2 L D2 F2 L2 B R'
R2 L D2 F2 B L2 R'
R2 L D2 F2 B R' L2
R2 L D2 B L2 R' F2
R2 L D2 B L2 F2 R'
R2 L D2 B R' L2 F2
R2 L D2 B R' F2 L2
R2 L D2 B F2 L2 R'
R2 L D2 B F2 R' L2
F' L D U' L2 U' R
F' L D U2 R D F2
F' L D' U R2 U R'
F' L D2 L U2 R F2
F' L D2 L' U2 R F2
F' L D2 L2 U2 R F2
F' L D2 U2 R F2 D
F' L D2 U2 R F2 D'
F' L D2 U2 R F2 D2
F' L D2 U2 R' F2 R2
F' L D2 U2 R2 F2 R'
B2 L D2 U2 R2 B R'
D2 L D2 F' B2 U2 R
F L D2 U2 R2 F2 B2
F L D2 U2 R2 B2 F2
F L D2 U2 F2 R2 B2
F L D2 U2 F2 B2 R2
F L D2 U2 B2 R2 F2
F L D2 U2 B2 F2 R2
F' L D2 B U2 R F2
F' L D2 B' U2 R F2
B L D2 F' B U2 R'
B L D2 F' B U2 R'
D2 L D2 B2 F' U2 R
F' L D2 B2 U2 R F2
B L D2 B F' U2 R'
B2 L F L F2 L2 U2
B' L F L' F2 B' U2
B' L F L' B' F2 U2
B2 L F L' U2 D2 B2
B2 L F L' D2 U2 B2
B2 L F L' F2 U2 D
B2 L F L' F2 U2 D'
B2 L F L' F2 U2 D2
B2 L F L' F2 D U2
B2 L F L' F2 D' U2
B2 L F L' F2 D2 U2
B2 L F L2 F2 L U2
B L F L' F2 B U2
B L F L' B F2 U2
F L F L2 B2 U2 B
B2 L F D2 L' U2 B2
B L F B L' F2 U2
B' L F' L U2 R F
B2 L F' L U2 R D
B2 L F' L U2 R D'
B2 L F' L U2 R D2
B2 L F' L U2 D R
B2 L F' L U2 D' R
B2 L F' L U2 D2 R
F L F B2 L2 U2 B'
B2 L F' L D U2 R
B2 L F' L D' U2 R
B2 L F' L D2 U2 R
B' L F' L' B' U2 R
B2 L F' L' U2 R D
B2 L F' L' U2 R D'
B2 L F' L' U2 R D2
B2 L F' L' U2 D R
B2 L F' L' U2 D' R
B2 L F' L' U2 D2 R
F2 L F' L' F B2 U2
B2 L F' L' D U2 R
B2 L F' L' D' U2 R
B2 L F' L' D2 U2 R
F2 L F' L' B2 F U2
B2 L F' L2 U2 R D
B2 L F' L2 U2 R D'
B2 L F' L2 U2 R D2
B2 L F' L2 U2 D R
B2 L F' L2 U2 D' R
B2 L F' L2 U2 D2 R
B2 L F' L2 D U2 R
B2 L F' L2 D' U2 R
B L F' L B U2 R
B2 L F' L2 D2 U2 R
B L F' L' B U2 R
F L F' L2 F' B2 U2
F L F' L2 B2 F' U2
B L F' L2 B U2 R
D' L F' U R2 B' U
D' L F' U B' R2 U
D2 L F' U2 D2 F' R
B2 L F' U B U R
B2 L F' U B' U R
B2 L F' U B2 U R
B' L F' U2 R' F' R2
B2 L F' U2 R2 D R'
B2 L F' U2 R2 D' R'
B2 L F' U2 R2 D2 R'
B2 L F' U2 D R D
B2 L F' U2 D R D'
B2 L F' U2 D R D2
B2 L F' U2 D' R D
B2 L F' U2 D' R D'
B2 L F' U2 D' R D2
B2 L F' U2 D2 R D
B2 L F' U2 D2 R D'
B2 L F' U2 D2 R D2
B2 L F' U2 B R B'
B2 L F' U2 B2 R B2
B2 L F' D L U2 R
B2 L F' D L' U2 R
D2 L F' D2 U2 F' R
B2 L F' D L2 U2 R
B2 L F' D U2 R D
B2 L F' D U2 R D'
B2 L F' D U2 R D2
B2 L F' D' L U2 R
B L F' U2 R2 F' R'
B2 L F' D' L' U2 R
D2 L F' B U2 F' R'
B2 L F' D' L2 U2 R
D2 L F' B' L U2 F'
B2 L F' D' U2 R D
B2 L F' D' U2 R D'
B2 L F' D' U2 R D2
B2 L F' D2 L U2 R
B2 L F' D2 L' U2 R
B2 L F' D2 L2 U2 R
B L F' D B U2 R
B2 L F' D2 U2 R D
B2 L F' D2 U2 R D'
B2 L F' D2 U2 R D2
B L F' D' B U2 R
F2 L F' B2 L' F U2
B L F' D2 B U2 R
B L F' B L U2 R
B L F' B L' U2 R
B L F' B L2 U2 R
B L F' B U2 R D
B L F' B U2 R D'
B L F' B U2 R D2
B L F' B U2 D R
B L F' B U2 D' R
B L F' B U2 D2 R
B L F' B D U2 R
B L F' B D' U2 R
B L F' B D2 U2 R
F' L F2 L' F2 B2 U2
F' L F2 L' B2 F2 U2
F L F' B2 L2 F' U2
F L F2 L B2 U2 R'
B2 L F2 L2 U2 B' R'
F L F2 L' B2 L' U2
F L F2 L2 U2 D2 F2
F L F2 L2 D2 U2 F2
F L F2 L2 B2 U2 D
F L F2 L2 B2 U2 D'
F L F2 L2 B2 U2 D2
F L F2 L2 B2 D U2
F L F2 L2 B2 D' U2
F L F2 L2 B2 D2 U2
R' L B2 R F' U2 R
F L F2 U2 D2 R2 F2
F L F2 U2 D2 F2 R2
B2 L F2 D F U2 R
B2 L F2 D' F U2 R
B2 L F2 D2 F U2 R
F' L F2 B2 L' F2 U2
F L F2 D2 U2 R2 F2
F L F2 D2 U2 F2 R2
F L F2 B L2 B U2
F' L B L B U2 R
F L F2 B' L2 U2 F
F' L B L' B U2 R
F L F2 B2 L2 U2 D
F L F2 B2 L2 U2 D'
F L F2 B2 L2 U2 D2
F L F2 B2 L2 D U2
F L F2 B2 L2 D' U2
F L F2 B2 L2 D2 U2
F L F2 B2 U2 D2 R2
F L F2 B2 D2 U2 R2
F' L B L2 B U2 R
B L B L F' U2 R
B L B L' F' U2 R
F L B L2 F2 B U2
F L B L2 B F2 U2
B L B L2 F' U2 R
F' L B U2 R2 F' R'
F' L B D B U2 R
F' L B D' B U2 R
F' L B D2 B U2 R
D2 L B F' U2 F' R'
D2 L B' L F' U2 F'
B L B F L' F2 U2
B L B F' L U2 R
B L B F' L' U2 R
B L B F' L2 U2 R
F L B F2 L2 B U2
F' L B' L2 U2 R F
B L B F' U2 R D
B L B F' U2 R D'
B L B F' U2 R D2
B L B F' U2 D R
B L B F' U2 D' R
B L B F' U2 D2 R
B L B F' D U2 R
B L B F' D' U2 R
B L B F' D2 U2 R
F L B' L2 F2 U2 F'
F' L B' D B' U2 R
F' L B' D' B' U2 R
F' L B' D2 B' U2 R
D2 L B' F' L U2 F'
F' L B2 L U2 R D
F' L B2 L U2 R D'
F' L B2 L U2 R D2
F' L B2 L U2 D R
F' L B2 L U2 D' R
F' L B2 L U2 D2 R
F' L B2 L D U2 R
F' L B2 L D' U2 R
F' L B2 L D2 U2 R
F' L B2 L' U2 R D
F' L B2 L' U2 R D'
F' L B2 L' U2 R D2
F' L B2 L' U2 D R
F' L B2 L' U2 D' R
F' L B2 L' U2 D2 R
F' L B2 L' D U2 R
F' L B2 L' D' U2 R
F' L B2 L' D2 U2 R
F2 L B2 L U2 B' R'
F' L B2 L2 U2 R D
F' L B2 L2 U2 R D'
F' L B2 L2 U2 R D2
F' L B2 L2 U2 D R
F' L B2 L2 U2 D' R
F' L B2 L2 U2 D2 R
F' L B2 L2 D U2 R
F' L B2 L2 D' U2 R
F L B' F2 L2 U2 F
F' L B2 L2 D2 U2 R
F2 L B2 L' F U2 R
F L B2 L F2 L U2
F L B2 L' F2 U2 R
F L B2 L2 U2 D2 B2
F L B2 L2 D2 U2 B2
F L B2 L2 F2 U2 D
F L B2 L2 F2 U2 D'
F L B2 L2 F2 U2 D2
F L B2 L2 F2 D U2
F L B2 L2 F2 D' U2
F L B2 L2 F2 D2 U2
F' L B2 U B U R
F' L B2 U B' U R
F' L B2 U B2 U R
F' L B2 U2 R2 D R'
F' L B2 U2 R2 D' R'
F' L B2 U2 R2 D2 R'
F' L B2 U2 D R D
F' L B2 U2 D R D'
F' L B2 U2 D R D2
F' L B2 U2 D' R D
F' L B2 U2 D' R D'
F' L B2 U2 D' R D2
F' L B2 U2 D2 R D
F' L B2 U2 D2 R D'
F' L B2 U2 D2 R D2
F' L B2 U2 B R B'
F' L B2 U2 B2 R B2
F' L B2 D L U2 R
F' L B2 D L' U2 R
F' L B2 D L2 U2 R
F' L B2 D U2 R D
F' L B2 D U2 R D'
F' L B2 D U2 R D2
F' L B2 D' L U2 R
F' L B2 D' L' U2 R
F' L B2 D' L2 U2 R
F' L B2 D' U2 R D
F' L B2 D' U2 R D'
F' L B2 D' U2 R D2
F' L B2 D2 L U2 R
F' L B2 D2 L' U2 R
F' L B2 D2 L2 U2 R
F' L B2 D2 U2 R D
F' L B2 D2 U2 R D'
F' L B2 D2 U2 R D2
F L B2 U2 D2 R2 B2
F L B2 U2 D2 B2 R2
F' L B2 F2 L' F2 U2
F2 L B2 F' L' F U2
F L B2 D2 U2 R2 B2
F L B2 D2 U2 B2 R2
F L B2 F L2 U2 B'
F L B2 F' L2 F' U2
F L B2 F2 L2 U2 D
F L B2 F2 L2 U2 D'
F L B2 F2 L2 U2 D2
F L B2 F2 L2 D U2
F L B2 F2 L2 D' U2
F L B2 F2 L2 D2 U2
F L B2 F2 U2 D2 R2
F L B2 F2 D2 U2 R2
F L' R F2 R' B2 U2
F L' R F2 B2 U2 L
F L' R B2 F2 U2 L
F' L' R' B2 R U2 R
F L' R' F2 B2 U2 L'
F L' R' B2 R F2 U2
F L' R' B2 F2 U2 L'
F' L' R2 B2 L R2 U2
F' L' R2 B2 R2 L U2
F L' R2 F2 R2 B2 U2
F L' R2 F2 B2 R2 U2
F L' R2 B2 R2 F2 U2
F L' R2 B2 F2 R2 U2
R2 L' D2 L2 F2 B R'
R2 L' D2 L2 B R' F2
R2 L' D2 L2 B F2 R'
F' L' U D' R2 U R'
F L' U D' L2 R2 U
F L' U D' R2 L2 U
U' L' U F' B2 U2 R
R2 L' D2 F2 L2 B R'
R2 L' D2 F2 B L2 R'
R2 L' D2 F2 B R' L2
R2 L' D2 B L2 R' F2
R2 L' D2 B L2 F2 R'
R2 L' D2 B R' L2 F2
R2 L' D2 B R' F2 L2
R2 L' D2 B F2 L2 R'
R2 L' D2 B F2 R' L2
U' L' U B2 F' U2 R
F' L' U' D L2 U' R
F L' U' D L2 R2 U'
F L' U' D R2 L2 U'
U L' U' F' B2 U2 R
F' L' U2 R U2 B2 U2
F' L' U2 R D2 F2 D
F' L' U2 R D2 F2 D'
F' L' U2 R D2 F2 D2
F' L' U2 R F D2 F2
F' L' U2 R F' D2 F2
F' L' U2 R F2 D2 F2
D2 L' U2 R2 F2 B R'
D2 L' U2 R2 B R' F2
D2 L' U2 R2 B F2 R'
