L' D2 B2 U F L
R2 F2 R U' L' F
D2 B2 L' R U F' L2
D2 B2 R L' U L2 F'
D2 B2 R L' U F' L2
B2 F2 L' R U' F L2
F2 B2 L' R U' F L2
B2 F2 R L' U' F L2
F2 B2 R L' U' F L2
B2 F2 R U' L' F L2
F2 B2 R U' L' F L2
L' B2 U D R2 F L
L' B2 U D F L R2
L' B2 U D F R2 L
L' B2 U2 F2 U' L F'
L' B2 U2 F2 U' F' L
L' B2 D U R2 F L
L' B2 D U F L R2
L' B2 D U F R2 L
D2 B2 D2 L' U F L2
B2 F2 D2 R U' L F'
B2 F2 D2 R U' F' L
F2 B2 D2 R U' L F'
F2 B2 D2 R U' F' L
R2 B2 F2 R U' L' F
