F' U' L2 F2 R
B2 U' R' F L2
B2 U' F L2 R'
B2 U' F R' L2
U' F' L2 F2 R
D' B2 U' R' F
D' B2 U' F R'
B2 F2 U' L2 F' R'
F2 B2 U' L2 F' R'
D' B2 D' U' R' F
D' B2 D' U' F R'
F2 B2 U' F' L2 R'
F2 B2 U' F' R' L2
B2 F2 U' F' L2 R'
B2 F2 U' F' R' L2
U B2 U2 R' F L2
U B2 U2 F L2 R'
U B2 U2 F R' L2
D' B2 D2 U' R' F
D' B2 D2 U' F R'
U' B2 F L2 R' B2
U' B2 F R' L2 B2
U' B2 F R' B2 L2
D' B2 F' U' R' F2
D' B2 F' U' F2 R'
D' B2 F2 U' F' R'
U L R U2 L' F L2
U L R' U2 L' F L2
U L R2 U2 L' F L2
U2 L U L' U F L2
F' L U' L F2 D R2
B2 L U' L' R' F L2
B2 L U' L' F L2 R'
B2 L U' L' F R' L2
U L U' L' U' F L2
B2 L U' R' L' F L2
F' L U' F2 L D R2
F' L U' F2 D L R2
F' L U' F2 D R2 L
U L U2 L U2 B' U2
U L U2 L' F L2 D
U L U2 L' F L2 D'
U L U2 L' F L2 D2
U L U2 L' F' L2 F2
U L U2 L' F2 L2 F'
U L U2 F L' F L2
U L U2 F' L' F L2
U L U2 F2 L' F L2
U' L D2 L F2 R F'
U L D2 R U2 L F'
U L D2 R U2 F' L
U L D2 R2 U2 L F
U L D2 B2 R' B U2
U L B' U2 F' L' F
U L B2 D2 R' B U2
F' L' U L2 U2 L F2
F' L' U L2 U2 F2 L
F2 L' U L2 U2 L F'
F2 L' U L2 U2 F' L
F' L' U' L' R F2 R
F' L' U' L' R' F2 R
F' L' U' L' R2 F2 R
F' L' U' L' F2 R D
F' L' U' L' F2 R D'
F' L' U' L' F2 R D2
F' L' U' L' F2 D R
F' L' U' L' F2 D' R
F' L' U' L' F2 D2 R
F' L' U' R L' F2 R
F2 L' U' L' F2 R F
F' L' U' R' L' F2 R
F' L' U' R2 L' F2 R
F2 L' U' D2 L' F' R2
U' L' U2 L2 U2 L F
F L' D F2 U' F2 L'
U' L' D2 L R2 F L2
U' L' D2 L F L2 R2
U' L' D2 L F R2 L2
F L' D2 L' R2 D B2
U' L' D2 R2 L F L2
F2 L' D2 U' L' F' R2
F L' D2 R2 L' D B2
F L' D2 R2 D L' B2
F L' D2 R2 D B2 L'
F' L' B U' L' F2 R
F' L' B' U' L' F2 R
F' L' B2 U' L' F2 R
U' L2 R U2 B' L' U2
F' L2 R F2 R D B2
U' L2 R' U2 B' L' U2
U L2 R B' L' U2 L
U' L2 R2 U2 B' L' U2
U L2 R' B' L' U2 L
F' L2 R2 F2 D R B2
F' L2 R2 F2 D B2 R
D2 L2 U R2 B' L' U2
U L2 R2 B' L' U2 L
D2 L2 U B' L' R2 U2
D2 L2 U B' R2 L' U2
F' L2 U' F2 R D' L2
F' L2 U' F2 D' L2 R
F' L2 U' F2 D' R L2
U' L2 U2 D B' L' U2
U' L2 U2 D' B' L' U2
F L2 U2 L' U L U
U' L2 U2 D2 B' L' U2
U' L2 U2 B L' B2 U2
U' L2 U2 B' L' U2 D
U' L2 U2 B' L' U2 D'
U' L2 U2 B' L' U2 D2
U' L2 U2 B' L' D U2
U' L2 U2 B' L' D' U2
U' L2 U2 B' L' D2 U2
U' L2 U2 B' D L' U2
U' L2 U2 B' D' L' U2
U' L2 U2 B' D2 L' U2
U' L2 U2 B2 L' B U2
U L2 U2 B' L' U2 B
U' L2 D U2 B' L' U2
U L2 D B' L' U2 L
U' L2 D' U2 B' L' U2
U L2 D' B' L' U2 L
U' L2 D2 U2 B' L' U2
U' L2 F L2 F L2 R
U' L2 F L2 F R L2
U L2 D2 B' L' U2 L
U' L2 F U2 B' U2 R'
U' L2 F2 L2 R F L2
F' L2 F2 R U R' U'
U' L2 F2 R L2 F L2
U' L2 F2 R U2 B' U2
F' L2 F2 R2 D R' B2
U' L2 F2 U2 B' U2 R
U' L2 B D2 F2 R B'
U' L2 B D2 F2 B' R
U L2 B L' B2 R' U2
U' L2 B D2 B' F2 R
U' L2 B' L' U2 L B
U L2 B' L' R U2 L
U L2 B' L' R' U2 L
U L2 B' L' R2 U2 L
U L2 B' L' U2 L D
U L2 B' L' U2 L D'
U L2 B' L' U2 L D2
U L2 B' L' U2 D L
U L2 B' L' U2 D' L
U L2 B' L' U2 D2 L
U L2 B' L' D U2 L
U L2 B' L' D' U2 L
U L2 B' L' D2 U2 L
U L2 B' R L' U2 L
U L2 B' R' L' U2 L
U L2 B' R2 L' U2 L
U L2 B' D L' U2 L
D' L2 B2 U L' B U2
U L2 B' D' L' U2 L
D' L2 B2 U B L' U2
U L2 B' D2 L' U2 L
U R L U2 L' F L2
U' R L2 U2 B' L' U2
F' R L2 F2 R D B2
U R L2 B' L' U2 L
U2 R U F' L2 F2 R
L2 U B' L' U' B U'
U R U2 F' L2 F2 R
U' R F L' D2 L' R2
U' R F L' D2 R2 L'
U' R F L2 U2 L' U2
U' R F L2 F2 R F2
L' U' L' F2 D R F'
U' R F U2 L U2 L
U' R F B2 L2 R' B2
U' R F B2 R' L2 B2
U' R F B2 R' B2 L2
U' R F' L2 R F2 R
U' R F' L2 R' F2 R
U' R F' L2 R2 F2 R
U' R F' L2 F2 R D
U' R F' L2 F2 R D'
U' R F' L2 F2 R D2
U' R F' L2 F2 D R
U' R F' L2 F2 D' R
U' R F' L2 F2 D2 R
U' R F' R L2 F2 R
U' R F' R' L2 F2 R
U' R F' R2 L2 F2 R
U2 R F' U L2 F2 R
U R F' L2 F2 R B'
U R F' L2 F2 B' R
U R F' L2 B' F2 R
U' R F2 L2 F2 R F
U' R B2 R' F L2 B2
U' R B2 R' F B2 L2
U' R B2 R' B2 F L2
U R B' U2 F L2 R
U R B' U2 F R L2
U2 R B2 U R' F L2
U2 R B2 U F L2 R'
U2 R B2 U F R' L2
U' R B2 F L2 R' B2
U' R B2 F R' L2 B2
U' R B2 F R' B2 L2
U R B2 U2 R' F L2
U R B2 U2 F L2 R'
U R B2 U2 F R' L2
U R' L U2 L' F L2
U' R' L2 U2 B' L' U2
B2 R' U R U' F L2
U R' L2 B' L' U2 L
U2 R' U F' L2 F2 R
L2 U' F2 R D' L2 F
L2 U' F2 D' L2 R F
L2 U' F2 D' R L2 F
U R' U2 F' L2 F2 R
U' R' F L' D2 L' R2
U' R' F L' D2 R2 L'
U' R' F L2 U2 L' U2
U' R' F L2 F2 R F2
B2 R' F L D' L B'
U' R' F U2 L U2 L
U' R' F B2 L2 R' B2
U' R' F B2 R' L2 B2
U' R' F B2 R' B2 L2
U' R' F' L2 R F2 R
U' R' F' L2 R' F2 R
U' R' F' L2 R2 F2 R
U' R' F' L2 F2 R D
U' R' F' L2 F2 R D'
U' R' F' L2 F2 R D2
U' R' F' L2 F2 D R
U' R' F' L2 F2 D' R
U' R' F' L2 F2 D2 R
U' R' F' R L2 F2 R
U' R' F' R' L2 F2 R
U' R' F' R2 L2 F2 R
U2 R' F' U L2 F2 R
U R' F' L2 F2 R B'
U R' F' L2 F2 B' R
U R' F' L2 B' F2 R
U' R' F2 L2 F2 R F
D' R' B2 R U' R2 F
D' R' B2 R U' F R2
U' R' B2 R' F L2 B2
U' R' B2 R' F B2 L2
U' R' B2 R' B2 F L2
U R' B' U2 F L2 R
U R' B' U2 F R L2
U2 R' B2 U R' F L2
U2 R' B2 U F L2 R'
U2 R' B2 U F R' L2
U' R' B2 F L2 R' B2
U' R' B2 F R' L2 B2
U' R' B2 F R' B2 L2
F R' B2 L2 R' D B2
F R' B2 R' L2 D B2
U R' B2 U2 R' F L2
U R' B2 U2 F L2 R'
U R' B2 U2 F R' L2
U R2 L U2 L' F L2
U' R2 L2 U2 B' L' U2
F' R2 L2 F2 D R B2
F' R2 L2 F2 D B2 R
U R2 L2 B' L' U2 L
U2 R2 U F' L2 F2 R
D2 R2 U2 D F B2 R'
D2 R2 U2 D B2 R' F
D2 R2 U2 D B2 F R'
D2 R2 U2 F D B2 R'
L2 U2 B' L' U L U
D2 R2 D U2 F B2 R'
D2 R2 D U2 B2 R' F
D2 R2 D U2 B2 F R'
D' R2 D F B2 L2 R'
D' R2 D F B2 R' L2
U R2 U2 F' L2 F2 R
D' R2 D B2 R' F L2
D' R2 D B2 F L2 R'
D' R2 D B2 F R' L2
D2 R2 D' F2 L U2 F'
F R2 D B2 R' D' L2
F R2 D B2 D' L2 R'
F R2 D B2 D' R' L2
L' D L F2 U' L2 F'
L' D L F2 U' F' L2
U' R2 F L' D2 L' R2
U' R2 F L' D2 R2 L'
U' R2 F L2 U2 L' U2
U' R2 F L2 F2 R F2
U' R2 F U2 L U2 L
D' R2 F D B2 L2 R'
D' R2 F D B2 R' L2
U' R2 F B2 L2 R' B2
U' R2 F B2 R' L2 B2
U' R2 F B2 R' B2 L2
U' R2 F' L2 R F2 R
U' R2 F' L2 R' F2 R
U' R2 F' L2 R2 F2 R
U' R2 F' L2 F2 R D
U' R2 F' L2 F2 R D'
U' R2 F' L2 F2 R D2
U' R2 F' L2 F2 D R
U' R2 F' L2 F2 D' R
U' R2 F' L2 F2 D2 R
U' R2 F' R L2 F2 R
U' R2 F' R' L2 F2 R
U' R2 F' R2 L2 F2 R
U2 R2 F' U L2 F2 R
U' R2 F2 L2 F2 R F
U R2 F' L2 F2 R B'
U R2 F' L2 F2 B' R
U R2 F' L2 B' F2 R
D' R2 B2 R2 U' R F
U' R2 B2 R' F L2 B2
U' R2 B2 R' F B2 L2
U' R2 B2 R' B2 F L2
U' R2 B2 F L2 R' B2
U' R2 B2 F R' L2 B2
U' R2 B2 F R' B2 L2
U R2 B' U2 F L2 R
U R2 B' U2 F R L2
U2 R2 B2 U R' F L2
U2 R2 B2 U F L2 R'
U2 R2 B2 U F R' L2
F' U L R U2 L F2
F' U L R U2 F2 L
F' U L R' U2 L F2
F' U L R' U2 F2 L
F' U L R2 U2 L F2
F' U L R2 U2 F2 L
F R2 B2 L2 D R' B2
F' U L U2 L F2 D
F' U L U2 L F2 D'
F' U L U2 L F2 D2
F' U L U2 L' F2 L2
F2 U L R U2 L F
F' U L U2 F' L F'
F' U L U2 F2 L D
F' U L U2 F2 L D'
F' U L U2 F2 L D2
F' U L U2 F2 D L
F' U L U2 F2 D' L
F' U L U2 F2 D2 L
F' U L D2 B2 R' U2
F2 U L U2 L D F'
F2 U L U2 L D' F'
F2 U L U2 L D2 F'
F2 U L U2 L F' D
F2 U L U2 L F' D'
F2 U L U2 L F' D2
F2 U L U2 L' F' L2
F2 U L U2 D L F'
F2 U L U2 D F' L
F2 U L U2 D' L F'
F2 U L U2 D' F' L
F2 U L U2 D2 L F'
F2 U L U2 D2 F' L
F2 U L U2 F L F2
F2 U L U2 F' L D
F2 U L U2 F' L D'
F2 U L U2 F' L D2
F2 U L U2 F' D L
F2 U L U2 F' D' L
F2 U L U2 F' D2 L
F2 U L D U2 L F'
F2 U L D U2 F' L
F2 U L D' U2 L F'
F2 U L D' U2 F' L
U R2 B2 U2 R' F L2
U R2 B2 U2 F L2 R'
U R2 B2 U2 F R' L2
F2 U L D2 U2 L F'
F2 U L D2 U2 F' L
F' U L B2 R' U2 F2
F2 U L B' U2 F' L'
F' U L' U2 L' F2 R
F U L U' L' U' L2
F U L U2 L D F2
B2 U L' U2 L' R' F'
B2 U L' U2 R' L' F'
D2 U L2 R2 B' L' U2
F' U L2 F2 R D2 B2
F' U L2 F2 D2 R B2
F' U L2 F2 D2 B2 R
D2 U L2 B' L' R2 U2
D2 U L2 B' R2 L' U2
F' U R L U2 L F2
F' U R L U2 F2 L
F2 U R L U2 L F
F' U R U2 L2 F2 R
B2 U R U2 R2 F L2
B2 U R U2 F L2 R2
B2 U R U2 F R2 L2
B U L2 B' L U2 L'
B2 U R F L2 R2 B
B2 U R F R2 L2 B
B2 U R F R2 B L2
F' U R' L U2 L F2
F' U R' L U2 F2 L
R2 D F2 U F' B2 R'
R2 D F2 U B2 F' R'
F' U R' U2 L2 F2 R
B2 U R' F' L2 F2 B'
B2 U R' F' L2 B' F2
F' U R2 L U2 L F2
F' U R2 L U2 F2 L
D2 U R2 L2 B' L' U2
F' U R2 U2 L2 F2 R
B2 U R2 U2 R F L2
D2 U R2 B' U2 F R
D2 U R2 B2 U2 R' F
D2 U R2 B2 U2 F R'
R2 D B2 R' D' F L2
R2 D B2 D' R' F L2
R2 D B2 D' F L2 R'
R2 D B2 D' F R' L2
F' U D2 L R2 B2 U2
F' U D2 L B2 R2 U2
F2 U D2 L R2 B U2
F' U D2 R2 L B2 U2
F' U D2 R2 B2 U2 R'
B2 U D2 R2 U2 R F
F2 U D2 R2 L B U2
F' U D2 B2 R2 U2 R
B2 U F L2 R2 B R
U2 D F2 U' L U2 F'
B2 U F R2 L2 B R
B2 U F R2 B L2 R
B2 U F R2 B R L2
U2 D F2 B2 U F' R'
B U F L2 R2 B R'
B U F R2 L2 B R'
B U F R2 B L2 R'
B U F R2 B R' L2
B2 U F' L2 R' F2 B'
B2 U F' L2 R' B' F2
B2 U F' L2 F2 R' B'
B2 U F' R' L2 F2 B'
B2 U F' R' L2 B' F2
D2 U B' R2 U2 F R
R' D' R B2 U' R' F
R' D' R B2 U' F R'
F2 U F' B' L2 B' R'
F2 U F' B2 L2 R' B'
F2 U F' B2 R' L2 B'
D2 U B2 R2 U2 R F
B2 U B U2 F L2 R
B2 U B U2 F R L2
U2 D B2 F2 U F' R'
B U B U2 R' F L2
B U B U2 F L2 R'
B U B U2 F R' L2
R D' R' B2 U' R' F
R D' R' B2 U' F R'
F2 U B' F' L2 B' R'
F' U B2 U2 L2 R' F2
F' U B2 U2 L2 F2 R'
F' U B2 U2 R' L2 F2
F' U B2 U2 R' F2 L2
F' U B2 U2 F2 L2 R'
F' U B2 U2 F2 R' L2
F2 U B2 U2 L2 F' R'
F2 U B2 U2 F' L2 R'
F2 U B2 U2 F' R' L2
F2 U B2 F' L2 R' B'
F2 U B2 F' R' L2 B'
B U B2 U2 F L2 R
B U B2 U2 F R L2
F2 U' L F L F2 R
F2 U' L' D2 L' F' R2
F' U' L2 R F2 R D
F' U' L2 R F2 R D'
F' U' L2 R F2 R D2
F' U' L2 R F2 D R
F' U' L2 R F2 D' R
F' U' L2 R F2 D2 R
F' U' L2 R' F2 R D
F' U' L2 R' F2 R D'
F' U' L2 R' F2 R D2
F' U' L2 R' F2 D R
F' U' L2 R' F2 D' R
F' U' L2 R' F2 D2 R
F' U' L2 R2 F2 R D
F' U' L2 R2 F2 R D'
F' U' L2 R2 F2 R D2
F' U' L2 R2 F2 D R
F' U' L2 R2 F2 D' R
F' U' L2 R2 F2 D2 R
B2 U' L2 R' U2 B' U2
F' U' L2 U2 L' U2 F2
F2 U' L2 R' F2 R F'
F2 U' L2 U2 L' U2 F'
F' U' L2 F R F R
F' U' L2 F R' F R
F' U' L2 F R2 F R
F' U' L2 F D F R
F' U' L2 F D' F R
F' U' L2 F D2 F R
F2 U' L2 D F2 R F
F' U' L2 F2 R2 D R'
F' U' L2 F2 R2 D' R'
F' U' L2 F2 R2 D2 R'
F2 U' L2 D' F2 R F
F' U' L2 F2 D R D
F' U' L2 F2 D R D'
F' U' L2 F2 D R D2
F' U' L2 F2 D' R D
F' U' L2 F2 D' R D'
F' U' L2 F2 D' R D2
F' U' L2 F2 D2 R D
F' U' L2 F2 D2 R D'
F' U' L2 F2 D2 R D2
F' U' L2 F2 B R B'
F' U' L2 F2 B2 R B2
F2 U' L2 D2 F2 R F
F' U' L2 B F2 R B'
F' U' L2 B2 F2 R B2
F2 U' L2 F2 R D F
F2 U' L2 F2 R D' F
F2 U' L2 F2 R D2 F
F2 U' L2 F2 R F D
F2 U' L2 F2 R F D'
F2 U' L2 F2 R F D2
F2 U' L2 F2 R' F R2
F2 U' L2 F2 R2 F R'
F2 U' L2 F2 D R F
F2 U' L2 F2 D' R F
F2 U' L2 F2 D2 R F
F' U' R L2 F2 R D
F' U' R L2 F2 R D'
F' U' R L2 F2 R D2
F' U' R L2 F2 D R
F' U' R L2 F2 D' R
F' U' R L2 F2 D2 R
B U' L2 U2 B' L U2
D2 U' F L' D2 L2 R2
D2 U' F L' D2 R2 L2
F U' L2 R2 D' F2 R
D' U' F U B2 U' R'
U' D' F U B2 U' R'
B2 U' R F L2 R2 D
B2 U' R F L2 R2 D'
B2 U' R F L2 R2 D2
B2 U' R F R2 L2 D
B2 U' R F R2 L2 D'
B2 U' R F R2 L2 D2
B2 U' R F' L2 R2 F2
B2 U' R F' L2 F2 R2
B2 U' R F' R2 L2 F2
B2 U' R F' R2 F2 L2
D2 U' F U2 L R2 U2
B2 U' R F2 L2 F' R2
D2 U' F U2 R2 L U2
F' U' R' L2 F2 R D
F' U' R' L2 F2 R D'
F' U' R' L2 F2 R D2
F' U' R' L2 F2 D R
F' U' R' L2 F2 D' R
F' U' R' L2 F2 D2 R
D2 U' F B2 R' B2 L
B2 U' R' L2 U2 B' U2
F2 U' R' L2 F2 R F'
B2 U' R' D' F D L2
B2 U' R' D2 F D2 L2
B2 U' R' F L D L
B2 U' R' F L D' L
B2 U' R' F L D2 L
B2 U' R' F L' D L'
B2 U' R' F L' D' L'
B2 U' R' F L' D2 L'
B2 U' R' F B' L2 B
B2 U' R' F B2 L2 B2
B2 U' R' F' L F2 L
B2 U' R' F' L2 F2 D
B2 U' R' F' L2 F2 D'
B2 U' R' F' L2 F2 D2
B2 U' R' F2 L F' L
B2 U' R' F2 L2 D F'
B2 U' R' F2 L2 D' F'
B2 U' R' F2 L2 D2 F'
B2 U' R' F2 L2 F' D
B2 U' R' F2 L2 F' D'
B2 U' R' F2 L2 F' D2
B2 U' R' B' F L2 B
B2 U' R' B2 F L2 B2
F' U' R2 L2 F2 R D
F' U' R2 L2 F2 R D'
F' U' R2 L2 F2 R D2
F' U' R2 L2 F2 D R
F' U' R2 L2 F2 D' R
F' U' R2 L2 F2 D2 R
R' D' B2 R U' R2 F
R' D' B2 R U' F R2
B2 U' D R' D' F L2
F U' R2 L2 D' F2 R
L' D2 L U' R2 F L2
L' D2 L U' F L2 R2
L' D2 L U' F R2 L2
B2 U' D' R' D F L2
B2 U' D' R' F D L2
B2 U' D' F R' D L2
B2 U' D' F D L2 R'
B2 U' D' F D R' L2
B2 U' D2 F D2 L2 R'
B2 U' D2 F D2 R' L2
U' D' B2 U' R' F B2
U' D' B2 U' R' B2 F
D' U' B2 U' R' F B2
D' U' B2 U' R' B2 F
B2 U' F L R' D L
B2 U' F L R' D' L
B2 U' F L R' D2 L
U' D' B2 U' F R' B2
D' U' B2 U' F R' B2
B2 U' F L D L R'
B2 U' F L D R' L
D2 U' B2 R' F B2 L
B2 U' F L D' L R'
B2 U' F L D' R' L
B2 U' F L D2 L R'
B2 U' F L D2 R' L
D2 U' B2 R' B2 F L
B2 U' F L' R' D L'
B2 U' F L' R' D' L'
B2 U' F L' R' D2 L'
B2 U' F L' D L' R'
B2 U' F L' D R' L'
B2 U' F L' D' L' R'
B2 U' F L' D' R' L'
B2 U' F L' D2 L' R'
B2 U' F L' D2 R' L'
B2 U' F L2 R2 D R
B2 U' F L2 R2 D' R
B2 U' F L2 R2 D2 R
B2 U' F L2 D R' D
B2 U' F L2 D R' D'
B2 U' F L2 D R' D2
B2 U' F L2 D' R' D
B2 U' F L2 D' R' D'
B2 U' F L2 D' R' D2
B2 U' F L2 D2 R' D
B2 U' F L2 D2 R' D'
B2 U' F L2 D2 R' D2
B2 U' F L2 F' R' F
B2 U' F L2 F2 R' F2
B2 U' F R' L D L
B2 U' F R' L D' L
B2 U' F R' L D2 L
F2 U' F L2 R F2 R
B2 U' F R' L' D L'
B2 U' F R' L' D' L'
B2 U' F R' L' D2 L'
F2 U' F L2 R' F2 R
F2 U' F L2 R2 F2 R
B2 U' F R' F L2 F'
F2 U' F L2 F2 R D
F2 U' F L2 F2 R D'
F2 U' F L2 F2 R D2
B2 U' F R' F2 L2 F2
F2 U' F L2 F2 D R
F2 U' F L2 F2 D' R
F2 U' F L2 F2 D2 R
B2 U' F R' B' L2 B
B2 U' F R' B2 L2 B2
F2 U' F R L2 F2 R
B2 U' F R2 L2 D R
B2 U' F R2 L2 D' R
B2 U' F R2 L2 D2 R
F2 U' F R' L2 F2 R
F2 U' F R2 L2 F2 R
B U' D2 F' R F2 L'
D2 U' B2 F R' B2 L
B2 U' F D R' D' L2
B2 U' F D' R' D L2
B2 U' F B' L2 B R'
B2 U' F' L R' F2 L
B2 U' F' L F2 L R'
B2 U' F' L F2 R' L
F' U' F' L2 F2 R F
B U' F L2 B R' B'
B2 U' F' L2 R F2 R2
B2 U' F' L2 R' F2 D
B2 U' F' L2 R' F2 D'
B2 U' F' L2 R' F2 D2
B2 U' F' L2 F R' F
B2 U' F' L2 F2 R' D
B2 U' F' L2 F2 R' D'
B2 U' F' L2 F2 R' D2
B2 U' F' L2 F2 D R'
B2 U' F' L2 F2 D' R'
B2 U' F' L2 F2 D2 R'
B2 U' F' R L2 F2 R2
F2 U' F' L' D2 L' R2
F2 U' F' L' D2 R2 L'
B2 U' F' R F2 L2 R2
B2 U' F' R F2 R2 L2
B2 U' F' R' L F2 L
B2 U' F' R' L2 F2 D
B2 U' F' R' L2 F2 D'
B2 U' F' R' L2 F2 D2
F2 U' F' L2 U2 L' U2
B2 U' F' R' F' L2 F'
B2 U' F' R' F2 L2 D
B2 U' F' R' F2 L2 D'
B2 U' F' R' F2 L2 D2
F2 U' F' L2 F2 R F2
F2 U' F' U2 L U2 L
B U' F B R' B' L2
B' U' F2 L2 D F' R
F' U' F2 L' D2 L' R2
F' U' F2 L' D2 R2 L'
F' U' F2 L2 U2 L' U2
F' U' F2 L2 F2 R F2
B2 U' F2 L F' L R'
B2 U' F2 L F' R' L
F2 U' F' B2 L2 R' B2
F2 U' F' B2 R' L2 B2
F2 U' F' B2 R' B2 L2
B2 U' F2 L2 D F' R'
B2 U' F2 L2 D' F' R'
B2 U' F2 L2 D2 F' R'
B2 U' F2 L2 F R' F2
B2 U' F2 L2 F' R' D
B2 U' F2 L2 F' R' D'
B2 U' F2 L2 F' R' D2
B2 U' F2 L2 F' D R'
B2 U' F2 L2 F' D' R'
B2 U' F2 L2 F' D2 R'
B2 U' F2 L2 F2 R' F
F' U' F2 U2 L U2 L
F' U' F2 B2 L2 R' B2
F' U' F2 B2 R' L2 B2
F' U' F2 B2 R' B2 L2
B U' F2 L2 D2 F' R
B U' B R' F B' L2
B U' B R' B' F L2
U D2 L2 R2 B' L' U2
B U' B F R' B' L2
B2 U' B' F L2 B R'
F' U' B2 L2 R' F2 B2
F' U' B2 L2 R' B2 F2
F' U' B2 L2 F2 R' B2
U D2 L2 B' L' R2 U2
U D2 L2 B' R2 L' U2
F' U' B2 R' L2 F2 B2
F' U' B2 R' L2 B2 F2
F' U' B2 R' F2 L2 B2
F' U' B2 R' F2 B2 L2
F' U' B2 R' B2 L2 F2
F' U' B2 R' B2 F2 L2
F2 U' B2 L2 F' R' B2
F' U' B2 F2 L2 R' B2
F' U' B2 F2 R' L2 B2
F' U' B2 F2 R' B2 L2
F2 U' B2 F' L2 R' B2
F2 U' B2 F' R' L2 B2
F2 U' B2 F' R' B2 L2
U' D2 F L' D2 L2 R2
U' D2 F L' D2 R2 L2
F U' B2 U L2 R' B2
F U' B2 U R' L2 B2
F U' B2 U R' B2 L2
U' D2 F U2 L R2 U2
U' D2 F U2 R2 L U2
U D2 R2 L2 B' L' U2
F U2 L U L' U L2
U' D2 F B2 R' B2 L
F U2 L U2 L D' B2
U D2 R2 B' U2 F R
U D2 R2 B2 U2 R' F
U D2 R2 B2 U2 F R'
F' U2 L2 F2 R D' B2
F' U2 L2 F2 D' R B2
F' U2 L2 F2 D' B2 R
F' U2 R U L2 F2 R
B2 U2 R U R2 F L2
B2 U2 R U F L2 R2
B2 U2 R U F R2 L2
F' U2 R' U L2 F2 R
D U2 F2 U' L U2 F'
B2 U2 R' F L2 D' B2
D U2 F2 B2 U F' R'
F' U2 R2 U L2 F2 R
B2 U2 R2 U R F L2
U' D2 B2 R' F B2 L
U' D2 B2 R' B2 F L
B' U2 D F2 U F' R
U' D2 B2 F R' B2 L
B2 U2 D F2 U F' R'
U D2 B' R2 U2 F R
U' F L F2 L F2 R
U' F L' R D2 L' R2
U' F L' R D2 R2 L'
U' F L' R' D2 L' R2
U' F L' R' D2 R2 L'
U' F L' R2 D2 L' R2
