U' B' L2 R' F'
U' B' R' L2 F'
U' B' R' F' L2
F R B U L2 B2
F R B U B2 L2
U' R' F' B' L2 R'
U' R' F' B' R' L2
U' R' B' L2 F' R'
U' R' B' F' L2 R'
U' R' B' F' R' L2
U' F B' L2 R' F'
U' F B' R' L2 F'
U' F B' R' F' L2
U' F' B' L2 R' F'
U' F' B' R' L2 F'
U' F' B' R' F' L2
U' F2 B' L2 R' F'
U' F2 B' R' L2 F'
U' F2 B' R' F' L2
U' B' L R' F' L
U' B' L2 R' D F'
U' B' L2 R' D' F'
U' B' L2 R' D2 F'
U' B' L2 R' F' D
U' B' L2 R' F' D'
U' B' L2 R' F' D2
U' B' L2 D R' F'
U' B' L2 D' R' F'
U' B' L2 D2 R' F'
U' B' L2 F R' F'
U' B' L2 F' R' F'
U' B' L2 F2 R' F'
U B' L F L R
U B' L F R L
U' B' R' L F' L
U' B' R' L2 D F'
U' B' R' L2 D' F'
U' B' R' L2 D2 F'
U' B' R' L2 F' D
U' B' R' L2 F' D'
U' B' R' L2 F' D2
U' B' R' F L2 F2
U' B' R' F' L2 D
U' B' R' F' L2 D'
U' B' R' F' L2 D2
U' B' F L2 R' F'
U' B' F R' L2 F'
U' B' F R' F' L2
U' B' F' L2 R' F'
U' B' F' R' L2 F'
U' B' F' R' F' L2
U' B' F2 L2 R' F'
U' B' F2 R' L2 F'
U' B' F2 R' F' L2
U' B2 L2 B R' F'
U' F B' R' L2 D F'
U' F B' R' L2 D' F'
U' F B' R' L2 D2 F'
U' F B' R' L2 F' D
U' F B' R' L2 F' D'
U' F B' R' L2 F' D2
U' F B' R' F L2 F2
U' F B' R' F' L2 D
U' F B' R' F' L2 D'
U' F B' R' F' L2 D2
F D R F2 B U B2
F D R B F2 U B2
U' F B2 L2 B R' F'
R F B R U L2 B2
R F B R U B2 L2
U F B' L R F L
U F B' L2 D2 R F'
U F B' R L F L
R' F' L' U' L B' L2
L F' L' U' B' L2 R'
L F' L' U' B' R' L2
F' D F2 R B U B2
U' F' R' F' B' L2 R'
U' F' R' F' B' R' L2
U' F' R' B' L2 F' R'
U' F' R' B' F' L2 R'
U' F' R' B' F' R' L2
U2 F' U B' L2 R' F'
U2 F' U B' R' L2 F'
U2 F' U B' R' F' L2
R' F' D' B2 L' U' B
R' F' B L' U' L' B2
R' F' B L' U' B2 L'
U' F' B' L R' F' L
U' F' B' L2 R' D F'
U' F' B' L2 R' D' F'
U' F' B' L2 R' D2 F'
U' F' B' L2 R' F' D
U' F' B' L2 R' F' D'
U' F' B' L2 R' F' D2
U' F' B' L2 D R' F'
U' F' B' L2 D' R' F'
U' F' B' L2 D2 R' F'
U' F' B' L2 F R' F'
U' F' B' L2 F' R' F'
U' F' B' L2 F2 R' F'
U' F' B' R' L F' L
U' F' B' R' L2 D F'
U' F' B' R' L2 D' F'
U' F' B' R' L2 D2 F'
U' F' B' R' L2 F' D
U' F' B' R' L2 F' D'
U' F' B' R' L2 F' D2
U' F' B' R' F L2 F2
U' F' B' R' F' L2 D
U' F' B' R' F' L2 D'
U' F' B' R' F' L2 D2
U' F' B2 L2 B R' F'
R' F' B2 L' U' L' B
R' F' B2 L' U' B L'
U' F2 R' F' B' L2 R'
U' F2 R' F' B' R' L2
U' F2 R' B' L2 F' R'
U' F2 R' B' F' L2 R'
U' F2 R' B' F' R' L2
B2 D' B2 U' B' R' F'
U2 F2 U B' L2 R' F'
U2 F2 U B' R' L2 F'
U2 F2 U B' R' F' L2
U' F2 B' L R' F' L
U' F2 B' L2 R' D F'
U' F2 B' L2 R' D' F'
U' F2 B' L2 R' D2 F'
U' F2 B' L2 R' F' D
U' F2 B' L2 R' F' D'
U' F2 B' L2 R' F' D2
U' F2 B' L2 D R' F'
U' F2 B' L2 D' R' F'
U' F2 B' L2 D2 R' F'
U' F2 B' L2 F R' F'
U' F2 B' L2 F' R' F'
U' F2 B' L2 F2 R' F'
U' F2 B' R' L F' L
U' F2 B' R' L2 D F'
U' F2 B' R' L2 D' F'
U' F2 B' R' L2 D2 F'
U' F2 B' R' L2 F' D
U' F2 B' R' L2 F' D'
U' F2 B' R' L2 F' D2
U' F2 B' R' F L2 F2
U' F2 B' R' F' L2 D
U' F2 B' R' F' L2 D'
U' F2 B' R' F' L2 D2
U' F2 B2 L2 B R' F'
U' B L U2 L F B2
U' B L U2 L B2 F
U2 B L F U' L B2
R B L U L F B2
U B L F L R B2
R B L U L B2 F
U B L F L B2 R
U B L F R L B2
U' B R B2 L2 R' F
U' B R B2 L2 F R'
U' B R B2 R' L2 F
U' B R' F' B2 L2 R'
U' B R' F' B2 R' L2
U' B R' B2 L2 F' R'
U' B R' B2 F' L2 R'
U' B R' B2 F' R' L2
R B U L F L B2
R B U B2 L F L
B' F R B U B' L2
B F R B U L2 B
B F R B U B L2
R' B F' L' U' L' B2
R' B F' L' U' B2 L'
F B R B U L2 B
F B R B U B L2
U' B' L R' D L F'
U' B' L R' D F' L
U' B' L R' D' L F'
U' B' L R' D' F' L
U' B' L R' D2 L F'
U' B' L R' D2 F' L
U' B' L R' F L F2
U' B' L R' F' L D
U' B' L R' F' L D'
U' B' L R' F' L D2
U' B' L R' F' D L
U' B' L R' F' D' L
U' B' L R' F' D2 L
U' B' L D L R' F'
U' B' L D R' L F'
U' B' L D R' F' L
U' B' L D' L R' F'
U' B' L D' R' L F'
U' B' L D' R' F' L
U' B' L D2 L R' F'
U' B' L D2 R' L F'
U' B' L D2 R' F' L
U' B' L F L R' F'
U' B' L F R' L F'
U' B' L F R' F' L
U' B' L F' L R' F'
U' B' L F' R' L F'
U' B' L F' R' F' L
R B F R U L2 B2
R B F R U B2 L2
U' B' L F2 L R' F'
U' B' L F2 R' L F'
U' B' L F2 R' F' L
U' B' L' R' D L' F'
U' B' L' R' D' L' F'
U' B' L' R' D2 L' F'
U' B' L' D L' R' F'
U' B' L' D R' L' F'
U' B' L' D' L' R' F'
U' B' L' D' R' L' F'
U' B' L' D2 L' R' F'
U' B' L' D2 R' L' F'
U' B' L' F R' F' L'
U' B' L2 R F R2 F'
U' B' L2 R F' R2 F'
U' B' L2 R F2 R2 F'
U' B' L2 R' D F' D
U' B' L2 R' D F' D'
U' B' L2 R' D F' D2
U' B' L2 R' D' F' D
U' B' L2 R' D' F' D'
U' B' L2 R' D' F' D2
U' B' L2 R' D2 F' D
U' B' L2 R' D2 F' D'
U' B' L2 R' D2 F' D2
U' B' L2 R' F2 D F
U' B' L2 R' F2 D' F
U' B' L2 R' F2 D2 F
U' B' L2 D R' D F'
U' B' L2 D R' D' F'
U' B' L2 D R' D2 F'
U' B' L2 D R' F' D
U' B' L2 D R' F' D'
U' B' L2 D R' F' D2
U' B' L2 D F R' F'
U' B' L2 D F' R' F'
U' B' L2 D F2 R' F'
U' B' L2 D' R' D F'
U' B' L2 D' R' D' F'
U' B' L2 D' R' D2 F'
U' B' L2 D' R' F' D
U' B' L2 D' R' F' D'
U' B' L2 D' R' F' D2
U' B' L2 D' F R' F'
U' B' L2 D' F' R' F'
U' B' L2 D' F2 R' F'
U B' L R F L R
U' B' L2 D2 R' D F'
U' B' L2 D2 R' D' F'
U' B' L2 D2 R' D2 F'
U B' L R F R L
U' B' L2 D2 R' F' D
U' B' L2 D2 R' F' D'
U' B' L2 D2 R' F' D2
U' B' L2 D2 F R' F'
U' B' L2 D2 F' R' F'
U' B' L2 D2 F2 R' F'
U B' L R' F L R
U B' L R' F R L
U' B' L2 F R' D F'
U' B' L2 F R' D' F'
U' B' L2 F R' D2 F'
U' B' L2 F R' F' D
U' B' L2 F R' F' D'
U' B' L2 F R' F' D2
U' B' L2 F D R' F'
U' B' L2 F D' R' F'
U' B' L2 F D2 R' F'
U B' L R2 F L R
U B' L R2 F R L
U' B' L2 F' R' D F'
U' B' L2 F' R' D' F'
U' B' L2 F' R' D2 F'
U' B' L2 F' R' F' D
U' B' L2 F' R' F' D'
U' B' L2 F' R' F' D2
U' B' L2 F' D R' F'
U' B' L2 F' D' R' F'
U' B' L2 F' D2 R' F'
U' B' L2 F2 R' D F'
U' B' L2 F2 R' D' F'
U' B' L2 F2 R' D2 F'
U' B' L2 F2 R' F' D
U' B' L2 F2 R' F' D'
U' B' L2 F2 R' F' D2
U' B' L2 F2 D R' F'
U' B' L2 F2 D' R' F'
U' B' L2 F2 D2 R' F'
U B' L D F L R
U B' L D F R L
U B' L D' F L R
U B' L D' F R L
U B' L D2 F L R
U B' L D2 F R L
U B' L F L R D
U B' L F L R D'
U B' L F L R D2
U B' L F L D R
U B' L F L D' R
U B' L F L D2 R
U B' L F R L D
U B' L F R L D'
U B' L F R L D2
U B' L F R D L
U B' L F R D' L
U B' L F R D2 L
U B' L F D L R
U B' L F D R L
U' B' R L2 F R2 F'
U B' L F D' L R
U B' L F D' R L
U' B' R L2 F' R2 F'
U B' L F D2 L R
U B' L F D2 R L
U' B' R L2 F2 R2 F'
U B' L F2 L F' R
U' B' R F L2 R2 F'
U' B' R F R2 L2 F'
U' B' R F R2 F' L2
U' B' R F' L2 R2 F'
U' B' R F' R2 L2 F'
U' B' R F' R2 F' L2
U' B' R F2 L2 R2 F'
U' B' R F2 R2 L2 F'
U' B' R F2 R2 F' L2
U' B' R' L D L F'
U' B' R' L D F' L
U' B' R' L D' L F'
U' B' R' L D' F' L
U' B' R' L D2 L F'
U' B' R' L D2 F' L
U' B' R' L F L F2
U' B' R' L F' L D
U' B' R' L F' L D'
U' B' R' L F' L D2
U' B' R' L F' D L
U' B' R' L F' D' L
U' B' R' L F' D2 L
U' B' R' L' D L' F'
U' B' R' L' D' L' F'
U' B' R' L' D2 L' F'
U' B' R' L2 D F' D
U' B' R' L2 D F' D'
U' B' R' L2 D F' D2
U' B' R' L2 D' F' D
U' B' R' L2 D' F' D'
U' B' R' L2 D' F' D2
U' B' R' L2 D2 F' D
U' B' R' L2 D2 F' D'
U' B' R' L2 D2 F' D2
U' B' R' L2 F2 D F
U' B' R' L2 F2 D' F
U' B' R' L2 F2 D2 F
U' B' R' D' F' D L2
U' B' R' D2 F' D2 L2
U' B' R' F L F2 L
U' B' R' F L2 F2 D
U' B' R' F L2 F2 D'
U' B' R' F L2 F2 D2
U' B' R' F' L D L
U' B' R' F' L D' L
U' B' R' F' L D2 L
U' B' R' F' L' D L'
U' B' R' F' L' D' L'
U' B' R' F' L' D2 L'
U' B' R' F' B' L2 B
U' B' R' F' B2 L2 B2
U' B' R' B' L2 F' B
U' B' R' B' L2 B F'
U' B' R' B' F' L2 B
U' B' R' B2 L2 F' B2
U' B' R' B2 L2 B2 F'
U' B' R' B2 F' L2 B2
U B' L2 D2 F R F'
U B' L2 F D2 R F'
U B' R L F L R
U B' R L F R L
U B' R' L F L R
U B' R' L F R L
U B' R2 L F L R
U B' R2 L F R L
U' B' D R' D' L2 F'
U' B' D R' D' F' L2
U' B' D' R' D L2 F'
U' B' D' R' D F' L2
U' B' D' R' F' D L2
F B' R B U B' L2
U' B' F L R' F' L
U' B' F L2 R' D F'
U' B' F L2 R' D' F'
U' B' F L2 R' D2 F'
U' B' F L2 R' F' D
U' B' F L2 R' F' D'
U' B' F L2 R' F' D2
U' B' F L2 D R' F'
U' B' F L2 D' R' F'
U' B' F L2 D2 R' F'
U' B' F L2 F R' F'
U' B' F L2 F' R' F'
U' B' F L2 F2 R' F'
U' B' F R' L F' L
U' B' F R' L2 D F'
U' B' F R' L2 D' F'
U' B' F R' L2 D2 F'
U' B' F R' L2 F' D
U' B' F R' L2 F' D'
U' B' F R' L2 F' D2
U' B' F R' F L2 F2
U' B' F R' F' L2 D
U' B' F R' F' L2 D'
U' B' F R' F' L2 D2
U' B' F' L R' F' L
U' B' F' L2 R' D F'
U' B' F' L2 R' D' F'
U' B' F' L2 R' D2 F'
U' B' F' L2 R' F' D
U' B' F' L2 R' F' D'
U' B' F' L2 R' F' D2
U' B' F' L2 D R' F'
U' B' F' L2 D' R' F'
U' B' F' L2 D2 R' F'
U' B' F' L2 F R' F'
U' B' F' L2 F' R' F'
U' B' F' L2 F2 R' F'
U' B' F' R' L F' L
U' B' F' R' L2 D F'
U' B' F' R' L2 D' F'
U' B' F' R' L2 D2 F'
U' B' F' R' L2 F' D
U' B' F' R' L2 F' D'
U' B' F' R' L2 F' D2
U' B' F' R' F L2 F2
U' B' F' R' F' L2 D
U' B' F' R' F' L2 D'
U' B' F' R' F' L2 D2
U' B' F2 L R' F' L
U' B' F2 L2 R' D F'
U' B' F2 L2 R' D' F'
U' B' F2 L2 R' D2 F'
U' B' F2 L2 R' F' D
U' B' F2 L2 R' F' D'
U' B' F2 L2 R' F' D2
U' B' F2 L2 D R' F'
U' B' F2 L2 D' R' F'
U' B' F2 L2 D2 R' F'
U' B' F2 L2 F R' F'
U' B' F2 L2 F' R' F'
U' B' F2 L2 F2 R' F'
U' B' F2 R' L F' L
U' B' F2 R' L2 D F'
U' B' F2 R' L2 D' F'
U' B' F2 R' L2 D2 F'
U' B' F2 R' L2 F' D
U' B' F2 R' L2 F' D'
U' B' F2 R' L2 F' D2
U' B' F2 R' F L2 F2
U' B' F2 R' F' L2 D
U' B' F2 R' F' L2 D'
U' B' F2 R' F' L2 D2
U B' F L R F L
U B' F L2 D2 R F'
U B' F R L F L
U' B2 L' B L' R' F'
U' B2 L' B R' L' F'
U' B2 L2 F B R' F'
U' B2 L2 F' B R' F'
U' B2 L2 F2 B R' F'
U' B2 L2 B R' D F'
U' B2 L2 B R' D' F'
U' B2 L2 B R' D2 F'
U' B2 L2 B R' F' D
U' B2 L2 B R' F' D'
U' B2 L2 B R' F' D2
U' B2 L2 B D R' F'
U' B2 L2 B D' R' F'
U' B2 L2 B D2 R' F'
U' B2 L2 B F R' F'
U' B2 L2 B F' R' F'
U' B2 L2 B F2 R' F'
U B2 L F L B R
D' B2 U' B' R' F' B2
D' B2 U' B' R' B2 F'
U' B2 F L2 B R' F'
U' B2 F' L2 B R' F'
R' B2 F' L' U' L' B
R' B2 F' L' U' B L'
U' B2 F2 L2 B R' F'
